Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abdomenn	abdomɛn	ABDOMEN	wikipron	-	-
abes	abese	ABESE	wikipron	-	-
abese	abese	ABESE	wikipron	-	-
abim	abim	ABIM	wikipron	-	-
abime	abime	ABIME	wikipron	-	-
adverb	advɛːb	ADBEB	wikipron	-	-
adverbial	advɛːbjal	ADBEBYAL	wikipron	-	-
aja	adʒa	ADSA	wikipron	-	-
aji	adʒi	ADSI	wikipron	-	-
akseptab	akseptab	AKSEPTAB	wikipron	-	-
akseptabilite	akseptabilite	AKSEPTABILITE	wikipron	-	-
akseptans	akseptɑ̃s	AKSEPTAS	wikipron	-	-
aksepte	aksepte	AKSEPTE	wikipron	-	-
alvida	alvida	ALBIDA	wikipron	-	-
alvida	əlvida	ELBIDA	wikipron	-	-
amiz	amiz	AMIS	wikipron	-	-
amize	amize	AMISE	wikipron	-	-
anba	ɑ̃ba	ABA	wikipron	-	-
andomaz	ɑ̃domaz	ADOMAS	wikipron	-	-
andomaze	ɑ̃domaze	ADOMASE	wikipron	-	-
andomazman	ɑ̃domazmɑ̃	ADOMASMA	wikipron	-	-
anons	anɔ̃s	ANOS	wikipron	-	-
anonse	anɔ̃se	ANOSE	wikipron	-	-
ape	ape	APE	wikipron	-	-
aswar	aswɑː	ASWA	wikipron	-	-
ato	ato	ATO	wikipron	-	-
belna	belna	BELNA	wikipron	-	-
bezwin	bezwɛ̃	BESWE	wikipron	-	-
bienelve	bjɛ̃nelve	BYENELBE	wikipron	-	-
Bondie	bɔ̃dʒje	BODSYE	wikipron	-	-
bye	baj	BAY	wikipron	-	-
chacha	tʃatʃa	TSATSA	wikipron	-	-
chawki	tʃəwki	TSEWKI	wikipron	-	-
cheri	ʃeʁi	SERI	wikipron	-	-
chor	tʃoɾ	TSOR	wikipron	-	-
chula	tʃulha	TSULHA	wikipron	-	-
dada	dada	DADA	wikipron	-	-
dadi	dadi	DADI	wikipron	-	-
dan	dɑ̃	DA	wikipron	-	-
de	de	DE	wikipron	-	-
defigir	defiɡiːə	DEPIGIE	wikipron	-	-
defigire	defiɡiʁe	DEPIGIRE	wikipron	-	-
dega	deɡa	DEGA	wikipron	-	-
denigre	deniɡʁe	DENIGRE	wikipron	-	-
didi	didi	DIDI	wikipron	-	-
ekrir	ekʁiːə	EKRIE	wikipron	-	-
ekrivin	ekʁivɛ̃	EKRIBE	wikipron	-	-
elevasion	elevasjɔ̃	ELEBASYO	wikipron	-	-
elevasion	elevaʃɔ̃	ELEBASO	wikipron	-	-
elve	elve	ELBE	wikipron	-	-
ena	ena	ENA	wikipron	-	-
