Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abu	abu	ABU	abvd	DUST	abvd_11_dust_1
abuaʔ	abuaʔ	ABUAH	abvd	HAIR	abvd_26_hair_1
aie	aie	AIE	abvd	WATER	abvd_122_water_2
amaʔ	amaʔ	AMAH	abvd	MOTHER	abvd_59_mother_35
ambo	ambo	AMBO	abvd	I	abvd_182_i_9
ampeʔ	ampeʔ	AMPEH	abvd	FOUR	abvd_200_four_1
anam	anam	ANAM	abvd	SIX	abvd_202_six_1
anaʔ	anaʔ	ANAH	abvd	CHILD	abvd_56_child_1
angin	angin	ANGIN	abvd	WIND	abvd_136_wind_1
anjiaŋ	anjia	ANYIA	abvd	DOG	abvd_96_dog_27
apaʔ	apaʔ	APAH	abvd	FATHER	abvd_60_father_12
api	api	API	abvd	FIRE	abvd_143_fire_1
apo	apo	APO	abvd	WHAT	abvd_188_what_1
asoʔ	asoʔ	ASOH	abvd	SMOKE (EXHAUST)	abvd_145_smoke_49
atok	atok	ATOK	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
atoʔ	atoʔ	ATOH	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
atĭ	at	AT	abvd	LIVER	abvd_17_liver_1
awan	awan	AWAN	abvd	CLOUD	abvd_131_cloud_1
aŋ	a	A	abvd	THOU	abvd_183_thou_1
ba-rasian	barasian	BARASIAN	abvd	DREAM (SOMETHING)	-
baaŋoʔ	baaoʔ	BAAOH	abvd	BREATHE	abvd_28_tobreathe_37
baburu	baburu	BABURU	abvd	HUNT	abvd_69_tohunt_23
bagoleʔ	bagoleʔ	BAGOLEH	abvd	LIE DOWN	abvd_49_toliedown_54
bajalan	bajalan	BAYALAN	abvd	WALK	abvd_5_towalk_21
bakarajo	bakarajo	BAKARAYO	abvd	WORK (ACTIVITY)	abvd_83_towork_23
bana	bana	BANA	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_1
bapikie	bapikie	BAPIKIE	abvd	THINK	abvd_21_tothink_22
baranaŋ	barana	BARANA	abvd	SWIM	abvd_9_toswim_23
bareʔ	bareʔ	BAREH	abvd	HEAVY	abvd_142_heavy_1
baru	baru	BARU	abvd	NEW	abvd_163_new_1
basah	basah	BASAH	abvd	WET	abvd_141_wet_1
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
batua	batua	BATUA	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_23
baʔa	baʔa	BAHA	abvd	HOW	-
bilo	bilo	BILO	abvd	WHEN	abvd_170_when_13
bini	bini	BINI	abvd	WIFE	abvd_58_wife_5
bintang	bintang	BINTANG	abvd	STAR	abvd_130_star_1
buah-buahan	buahbuahan	BUAHBUAHAN	abvd	FRUIT	abvd_117_fruit_1
bulan	bulan	BULAN	abvd	MOON	abvd_129_moon_1
bulu	bulu	BULU	abvd	FEATHER	abvd_99_feather_1
buntu	buntu	BUNTU	abvd	BLUNT	-
burambuih	burambuih	BURAMBUIH	abvd	BLOW (OF WIND)	abvd_137_toblow_30
buruaŋ	burua	BURUA	abvd	BIRD	abvd_97_bird_17
busuaʔ	busuaʔ	BUSUAH	abvd	ROTTEN	abvd_112_rotten_56
buyuaŋ	buyua	BUUUA	abvd	CHILD	-
buŋo	buo	BUO	abvd	FLOWER	abvd_116_flower_1
bāu	bu	BU	abvd	SHOULDER	abvd_19_shoulder_17
caciaŋ	cacia	KAKIA	abvd	WORM	abvd_107_wormearthworm_23
cieʔ	cieʔ	KIEH	abvd	ONE	-
dagiaŋ	dagia	DAGIA	abvd	FLESH OR MEAT	abvd_103_meatflesh_26
dahan	dahan	DAHAN	abvd	BRANCH	abvd_113_branch_1
dakeʔ	dakeʔ	DAKEH	abvd	NEAR	abvd_179_near_28
dan	dan	DAN	abvd	AND	abvd_192_and_18
danau	danau	DANAU	abvd	LAKE	abvd_126_lake_1
darah	darah	DARAH	abvd	BLOOD	abvd_23_blood_1
dataŋ	data	DATA	abvd	COME	abvd_7_tocome_14
daun	daun	DAUN	abvd	LEAF	abvd_114_leaf_1
di	di	DI	abvd	AT	abvd_173_at_20
di ateh	diateh	DIATEH	abvd	ABOVE	abvd_175_above_1
di bawah	dibawah	DIBAWAH	abvd	BELOW OR UNDER	abvd_176_below_1
di dalam	didalam	DIDALAM	abvd	IN	abvd_174_ininside_1
dima	dima	DIMA	abvd	WHERE	-
diŋin	diin	DIIN	abvd	COLD	abvd_139_cold_1
duduaʔ	duduaʔ	DUDUAH	abvd	SIT	abvd_51_tosit_35
duo	duo	DUO	abvd	TWO	abvd_198_two_1
duo puluah	duopuluah	DUOPULUAH	abvd	TWENTY	abvd_207_twenty_3
eloʔ	eloʔ	ELOH	abvd	GOOD	abvd_164_good_68
gadaŋ	gada	GADA	abvd	BIG	abvd_153_big_27
galaʔ	galaʔ	GALAH	abvd	LAUGH	abvd_33_tolaugh_108
garam	garam	GARAM	abvd	SALT	abvd_125_salt_18
gigi	gigi	GIGI	abvd	TOOTH	abvd_31_tooth_17
gomoʔ	gomoʔ	GOMOH	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_26
guruah	guruah	GURUAH	abvd	THUNDER	abvd_134_thunder_1
hari	hari	HARI	abvd	DAY (NOT NIGHT)	abvd_168_day_17
iduaŋ	idua	IDUA	abvd	NOSE	abvd_27_nose_1
iduiʔ	iduiʔ	IDUIH	abvd	BE ALIVE	abvd_76_tolivebealive_1
ijau	ijau	IYAU	abvd	GREEN	abvd_151_green_25
ikan	ikan	IKAN	abvd	FISH	abvd_111_fish_1
iko	iko	IKO	abvd	THIS	-
ikua	ikua	IKUA	abvd	TAIL	abvd_105_tail_1
indaʔ	indaʔ	INDAH	abvd	NO OR NOT	abvd_195_nonot_109
itam	itam	ITAM	abvd	BLACK	abvd_147_black_1
jaeʔ	jaeʔ	YAEH	abvd	BAD OR EVIL	abvd_165_badevil_1
jatuah	jatuah	YATUAH	abvd	FALL	abvd_95_tofall_38
jauah	jauah	YAUAH	abvd	FAR	abvd_180_far_1
juuah	juuah	YUUAH	abvd	FAR	abvd_180_far_1
kabuiʔ	kabuiʔ	KABUIH	abvd	FOG	abvd_132_fog_1
kalau	kalau	KALAU	abvd	IF	abvd_193_if_14
kapalo	kapalo	KAPALO	abvd	HEAD	abvd_24_head_45
kariaŋ	karia	KARIA	abvd	DRY	abvd_140_dry_22
kasiaʔ	kasiaʔ	KASIAH	abvd	SAND	abvd_121_sand_24
kayu	kayu	KAUU	abvd	STICK	abvd_79_stickwood_1
keloʔ	keloʔ	KELOH	abvd	TURN	abvd_8_toturn_25
keteʔ	keteʔ	KETEH	abvd	SMALL	abvd_152_small_28
kida	kida	KIDA	abvd	LEFT	abvd_2_left_56
kileʔ	kileʔ	KILEH	abvd	LIGHTNING	abvd_135_lightning_1
kito	kito	KITO	abvd	WE	abvd_185_we_1
ko	ko	KO	abvd	THIS	-
kulik	kulik	KULIK	abvd	SKIN	abvd_12_skin_1
kuliʔ	kuliʔ	KULIH	abvd	SKIN	abvd_12_skin_1
kumuah	kumuah	KUMUAH	abvd	DIRTY	abvd_10_dirty_35
kuniaŋ	kunia	KUNIA	abvd	YELLOW	abvd_150_yellow_1
kuoʔ	kuoʔ	KUOH	abvd	YAWN	-
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
kāu	ku	KU	abvd	THOU	abvd_183_thou_1
labuah	labuah	LABUAH	abvd	PATH OR ROAD	-
lain	lain	LAIN	abvd	OTHER	abvd_190_other_2
laki	laki	LAKI	abvd	HUSBAND	abvd_57_husband_28
laki-laki	lakilaki	LAKILAKI	abvd	MALE PERSON	abvd_54_manmale_2
laloʔ	laloʔ	LALOH	abvd	SLEEP	-
lauiʔ	lauiʔ	LAUIH	abvd	SEA	abvd_124_sea_6
lawah-lawah	lawahlawah	LAWAHLAWAH	abvd	SPIDER	abvd_110_spider_1
laweh	laweh	LAWEH	abvd	WIDE	abvd_159_wide_1?
laŋiʔ	laiʔ	LAIH	abvd	SKY	abvd_128_sky_1
lidah	lidah	LIDAH	abvd	TONGUE	abvd_32_tongue_4
lihie	lihie	LIHIE	abvd	NECK	abvd_25_neck_1
limo	limo	LIMO	abvd	FIVE	abvd_201_five_1
limo puluah	limopuluah	LIMOPULUAH	abvd	FIFTY	abvd_208_fifty_1
maetoŋ	maeto	MAETO	abvd	COUNT	abvd_196_tocount_31
maidu	maidu	MAIDU	abvd	SMELL (PERCEIVE)	-
mailie	mailie	MAILIE	abvd	FLOW	abvd_123_toflow_56
maisoʔ	maisoʔ	MAISOH	abvd	SUCK	abvd_42_tosuck_1
makan	makan	MAKAN	abvd	EAT	abvd_37_toeat_1
malam	malam	MALAM	abvd	NIGHT	abvd_167_night_20
malieʔ	malieʔ	MALIEH	abvd	SEE	abvd_46_tosee_23
maliue	maliue	MALIUE	abvd	SPIT	abvd_36_tospit_54
malu	malu	MALU	abvd	SHY OR ASHAMED	abvd_161_shyashamed_20
mam-bae	mambae	MAMBAE	abvd	THROW	abvd_94_tothrow_119
