Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-ani	ani	ANI	abvd	EAT	abvd_37_toeat_1
-bal	bal	BAL	abvd	THROW	abvd_94_tothrow_28
-en-	en	EN	abvd	SLEEP	abvd_48_tosleep_8
-gamuk	gamuk	GAMUK	abvd	SAY	-
-gile	gile	GILE	abvd	SPLIT	abvd_80_tosplit_49
-giteni	giteni	GITENI	abvd	COOK (SOMETHING)	-
-ita-	ita	ITA	abvd	SEE	abvd_46_tosee_1
-log-	log	LOG	abvd	SWIM	abvd_9_toswim_28
-lu-	lu	LU	abvd	VOMIT	abvd_35_tovomit_8
-lumi	lumi	LUMI	abvd	DRINK	abvd_40_todrink_20
-mado	mado	MADO	abvd	SIT	abvd_51_tosit_18
-mat	mat	MAT	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-nai	nai	NAI	abvd	COOK (SOMETHING)	abvd_39_tocook_3
-noŋ	no	NO	abvd	HEAR	abvd_44_tohear_1
-pan	pan	PAN	abvd	SHOOT	abvd_70_toshoot_1
-pipi	pipi	PIPI	abvd	SQUEEZE	abvd_88_tosqueeze_21
-rati	rati	RATI	abvd	BITE	abvd_41_tobite_1
-re	re	RE	abvd	BLOW (OF WIND)	-
-rer	rer	RER	abvd	FEAR (BE AFRAID)	abvd_22_tofear_29
-sara	sara	SARA	abvd	COOK (SOMETHING)	-
-sel	sel	SEL	abvd	LAUGH	abvd_33_tolaugh_65
-soŋ	so	SO	abvd	COME	abvd_7_tocome_21
-sue	sue	SUE	abvd	STAB	abvd_71_tostabpierce_1
-tam	tam	TAM	abvd	CRY	abvd_34_tocry_1
-te	te	TE	abvd	SEE	abvd_46_tosee_1
-tor	tor	TOR	abvd	WALK	abvd_5_towalk_37
-tuli	tuli	TULI	abvd	SAY	-
-tur	tur	TUR	abvd	STAND	abvd_52_tostand_2
-tut-	tut	TUT	abvd	SHOOT	-
-tute	tute	TUTE	abvd	CUT OR HACK	abvd_78_tocuthack_3
-vani-	vani	BANI	abvd	CRY	-
-ya-	ya	UA	abvd	WALK	abvd_5_towalk_68
-yabi	yabi	UABI	abvd	HOLD	abvd_89_tohold_23
-ŋanoŋ-	ano	ANO	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_29
ai	ai	AI	abvd	STICK	abvd_79_stickwood_1
aigi	aigi	AIGI	abvd	OTHER	-
alon	alon	ALON	abvd	TOOTH	-
amul	amul	AMUL	abvd	ASH	-
ap	ap	AP	abvd	HOUSE	abvd_61_house_23
aru	aru	ARU	abvd	TWO	abvd_198_two_1
aru-aru	aruaru	ARUARU	abvd	FOUR	-
ateu	ateu	ATEU	abvd	LIVER	abvd_17_liver_1
aun	aun	AUN	abvd	NEW	abvd_163_new_1
awa	awa	AWA	abvd	TWO	-
awan	awan	AWAN	abvd	MOUTH	abvd_30_mouth_36
awan abi	awanabi	AWANABI	abvd	YAWN	-
aŋ	a	A	abvd	YOU	abvd_186_you_1
balbalmau tabulsi	balbalmautabulsi	BALBALMAUTABULSI	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_41
balen	balen	BALEN	abvd	TONGUE	abvd_32_tongue_33
baman man	bamanman	BAMANMAN	abvd	FATHER	abvd_60_father_1
baras	baras	BARAS	abvd	YEAR	abvd_169_year_14
borait	borait	BORAIT	abvd	STAR	-
boret	boret	BORET	abvd	STAR	-
bubur	bubur	BUBUR	abvd	HUNT	abvd_69_tohunt_23
budabut	budabut	BUDABUT	abvd	FOREST	-
budbud	budbud	BUDBUD	abvd	FOG	abvd_132_fog_30
buli hate	bulihate	BULIHATE	abvd	TURN	abvd_8_toturn_28
buran	buran	BURAN	abvd	NECK	abvd_25_neck_68
dabin	dabin	DABIN	abvd	ROOT	abvd_115_root_14
dabok	dabok	DABOK	abvd	BIG	-
dad	dad	DAD	abvd	BUY	-
dadup-man	dadupman	DADUPMAN	abvd	COLD	abvd_139_cold_50
dal	dal	DAL	abvd	PATH OR ROAD	abvd_6_roadpath_1
daran	daran	DARAN	abvd	RED	abvd_149_red_25
darauͪ	darauͪ	DARAU	abvd	BLOOD	abvd_23_blood_1
di	di	DI	abvd	THEY	abvd_187_they_25
do	do	DO	abvd	AND	-
eim	eim	EIM	abvd	HE OR SHE	-
enamim	enamim	ENAMIM	abvd	DREAM (SOMETHING)	-
es-meni-	esmeni	ESMENI	abvd	BREATHE	abvd_28_tobreathe_88
gag	gag	GAG	abvd	RAT	-
gagau-man	gagauman	GAGAUMAN	abvd	DRY	abvd_140_dry_70
gagi	gagi	GAGI	abvd	SEA	abvd_124_sea_37
gahaudhud	gahaudhud	GAHAUDHUD	abvd	DUST	abvd_11_dust_59
garaŋgareŋ dup	garagaredup	GARAGAREDUP	abvd	FOREST	-
garman	garman	GARMAN	abvd	HEAD	abvd_24_head_55
gaun	gaun	GAUN	abvd	DOG	abvd_96_dog_43
gorman	gorman	GORMAN	abvd	HEAD	abvd_24_head_55
gurgur	gurgur	GURGUR	abvd	BLACK	abvd_147_black_66
hai	hai	HAI	abvd	WHO	abvd_189_who_1
hanat	hanat	HANAT	abvd	WHAT	-
hay an	hayan	HAUAN	abvd	BAD OR EVIL	abvd_165_badevil_1
hodaŋ	hoda	HODA	abvd	ALL	abvd_191_all_52
huhulun	huhulun	HUHULUN	abvd	FEATHER	abvd_99_feather_1
hunɨ	hunɨ	HUNI	abvd	KILL	abvd_74_tokill_1
i	i	I	abvd	HE OR SHE	abvd_184_heshe_1
id	id	ID	abvd	WE	abvd_185_we_1
id aru ŋam aru	idaruamaru	IDARUAMARU	abvd	WE	abvd_185_we_1
ilon gire	ilongire	ILONGIRE	abvd	THINK	-
is	is	IS	abvd	MOSQUITO	-
kabakab	kabakab	KABAKAB	abvd	WHITE	abvd_148_white_70
kaiman	kaiman	KAIMAN	abvd	BE ALIVE	-
kakoi	kakoi	KAKOI	abvd	FLOWER	-
kalam	kalam	KALAM	abvd	MOON	abvd_129_moon_26
kaluŋ	kalu	KALU	abvd	FEATHER	abvd_99_feather_9
karekare	karekare	KAREKARE	abvd	SCRATCH	abvd_77_toscratch_12
kas	kas	KAS	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
kaserom-rom	kaseromrom	KASEROMROM	abvd	SPIDER	abvd_110_spider_82
katulun	katulun	KATULUN	abvd	EGG	abvd_98_egg_1
kit	kit	KIT	abvd	STEAL	-
kududon	kududon	KUDUDON	abvd	EAR	abvd_43_ear_67
kuroi	kuroi	KUROI	abvd	INTESTINES	abvd_16_intestines_17
laulan	laulan	LAULAN	abvd	SPIT	-
leikiri	leikiri	LEIKIRI	abvd	SEW	-
lepalep	lepalep	LEPALEP	abvd	WIDE	abvd_159_wide_48
lul	lul	LUL	abvd	SAND	abvd_121_sand_47
luwan	luwan	LUWAN	abvd	BELLY	abvd_14_belly_37
malalain	malalain	MALALAIN	abvd	LONG	abvd_155_long_12
mam	mam	MAM	abvd	CHEW	abvd_38_tochew_1
mas	mas	MAS	abvd	SALT	abvd_125_salt_3
mat	mat	MAT	abvd	SNAKE	abvd_106_snake_12
matan	matan	MATAN	abvd	EYE	abvd_45_eye_1
matiti	matiti	MATITI	abvd	DAY (NOT NIGHT)	abvd_168_day_67
mein	mein	MEIN	abvd	THIS	-
modan	modan	MODAN	abvd	FLESH OR MEAT	abvd_103_meatflesh_23
mol	mol	MOL	abvd	ROPE	abvd_65_rope_29
molelain	molelain	MOLELAIN	abvd	LONG	abvd_155_long_12
mon	mon	MON	abvd	THAT	-
moŋai	moai	MOAI	abvd	THAT	-
mumui	mumui	MUMUI	abvd	HIDE	-
na-ni-ŋgo	nanigo	NANIGO	abvd	BURN	abvd_144_toburn_27
natun	natun	NATUN	abvd	CHILD	abvd_56_child_5
nen	nen	NEN	abvd	FOOT OR LEG	abvd_4_legfoot_63
nidun	nidun	NIDUN	abvd	NOSE	abvd_27_nose_27
nong	nong	NONG	abvd	KNOW (SOMETHING)	-
nuk duhumi-	nukduhumi	NUKDUHUMI	abvd	HIT	abvd_72_tohit_32
numan	numan	NUMAN	abvd	HAND	abvd_1_hand_1
numan tahek	numantahek	NUMANTAHEK	abvd	FIVE	abvd_201_five_1
nun	nun	NUN	abvd	DIRTY	abvd_10_dirty_42
nup	nup	NUP	abvd	LAKE	-
nup-nub	nupnub	NUPNUB	abvd	WATER	-
oŋ	o	O	abvd	THOU	abvd_183_thou_1
pain	pain	PAIN	abvd	FEMALE PERSON	abvd_55_womanfemale_1
pat	pat	PAT	abvd	STONE	abvd_120_stone_1
patare-n	pataren	PATAREN	abvd	BREAST	-
patun	patun	PATUN	abvd	BACK	abvd_13_back_104
raun	raun	RAUN	abvd	HAIR	abvd_26_hair_40
rayen	rayen	RAUEN	abvd	BRANCH	abvd_113_branch_1
rei	rei	REI	abvd	GRASS	abvd_118_grass_14
ror	ror	ROR	abvd	FLY (MOVE THROUGH AIR)	-
rugun	rugun	RUGUN	abvd	FLOWER	abvd_116_flower_30
sabi a	sabia	SABIA	abvd	DAY (NOT NIGHT)	-
sagai	sagai	SAGAI	abvd	DIG	abvd_90_todig_10
saron	saron	SARON	abvd	FEATHER	abvd_99_feather_37
sebun	sebun	SEBUN	abvd	WING	-
si sam	sisam	SISAM	abvd	SUCK	-
suluŋan	suluan	SULUAN	abvd	SKIN	abvd_12_skin_32
suse	suse	SUSE	abvd	FASTEN	abvd_66_totieupfasten_123
susun	susun	SUSUN	abvd	BREAST	abvd_18_breast_1
t	t	T	abvd	ONE	-
ta hek	tahek	TAHEK	abvd	ONE	abvd_197_one_55
tagwai	tagwai	TAGWAI	abvd	WHERE	-
taik	taik	TAIK	abvd	ONE	abvd_197_one_55
tamat	tamat	TAMAT	abvd	MALE PERSON	abvd_54_manmale_12
tamat painim	tamatpainim	TAMATPAINIM	abvd	PERSON	abvd_53_personhumanbeing_1
tan	tan	TAN	abvd	EARTH (SOIL)	abvd_119_earthsoil_1
te	te	TE	abvd	KNOW (SOMETHING)	-
tega	tega	TEGA	abvd	WHERE	-
ti	ti	TI	abvd	NO OR NOT	abvd_195_nonot_10
tidom	tidom	TIDOM	abvd	NIGHT	abvd_167_night_11
tim	tim	TIM	abvd	WIND	abvd_136_wind_43
timtain	timtain	TIMTAIN	abvd	SKY	-
tinan ñen	tinanen	TINANEN	abvd	MOTHER	abvd_59_mother_1
tol	tol	TOL	abvd	THREE	abvd_199_three_1
tukuran	tukuran	TUKURAN	abvd	SHORT	abvd_154_short_66
tutu	tutu	TUTU	abvd	BONE	abvd_15_bone_1
ud	ud	UD	abvd	GRASS	abvd_118_grass_52
udu	udu	UDU	abvd	RAT	abvd_102_rat_3
urat	urat	URAT	abvd	WORK (ACTIVITY)	abvd_83_towork_41
urom	urom	UROM	abvd	RAIN (PRECIPITATION)	-
ut	ut	UT	abvd	LOUSE	abvd_108_louse_1
uyan	uyan	UUAN	abvd	GOOD	abvd_164_good_1
uyun	uyun	UUUN	abvd	TAIL	abvd_105_tail_1
vail	vail	BAIL	abvd	THUNDER	abvd_134_thunder_44
vasiŋ	vasi	BASI	abvd	FISH	-
wananan	wananan	WANANAN	abvd	WARM	abvd_138_warm_1
wegamanen	wegamanen	WEGAMANEN	abvd	OLD	abvd_162_old_91
wei	wei	WEI	abvd	RIGHT	-
yaron	yaron	UARON	abvd	SHOULDER	abvd_19_shoulder_27
yau	yau	UAU	abvd	FIRE	abvd_143_fire_1
yawa yawa	yawayawa	UAWAUAWA	abvd	FOUR	abvd_200_four_1
yawan	yawan	UAWAN	abvd	HUSBAND	abvd_57_husband_2
yayaŋani	yayaani	UAUAANI	abvd	COUNT	-
yaŋ	ya	UA	abvd	YELLOW	abvd_150_yellow_9
yaŋa	yaa	UAA	abvd	NAME	abvd_63_name_66
ŋam	am	AM	abvd	WE	abvd_185_we_12
ŋas	as	AS	abvd	LEFT	abvd_2_left_19
ŋau	au	AU	abvd	I	abvd_182_i_12
ŋen	en	EN	abvd	FOOT OR LEG	abvd_4_legfoot_63
