Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
А	a	A	wikipron	-	-
аба	aba	ABA	wikipron	-	-
абажур	abaʒur	ABASUR	wikipron	-	-
абажури	abaʒuɾi	ABASURI	wikipron	-	-
абаџии	abad͡ʒii	ABASII	wikipron	-	-
абаџија	abad͡ʒija	ABASIYA	wikipron	-	-
абдал	abdaɫ	ABDAL	wikipron	-	-
абдали	abdali	ABDALI	wikipron	-	-
абдалиште	abdaliʃtɛ	ABDALISTE	wikipron	-	-
абдест	abdɛst	ABDEST	wikipron	-	-
абдикации	abdikat͡sii	ABDIKASII	wikipron	-	-
абдикација	abdikat͡sija	ABDIKASIYA	wikipron	-	-
абдицира	abdit͡siɾa	ABDISIRA	wikipron	-	-
абдицирајќи	abdit͡sirajci	ABDISIRAYKI	wikipron	-	-
абдицирање	abdit͡siɾaɲɛ	ABDISIRANE	wikipron	-	-
абдомен	abdɔmɛn	ABDOMEN	wikipron	-	-
абдоменален	abdɔmɛnalɛn	ABDOMENALEN	wikipron	-	-
абдомени	abdɔmɛni	ABDOMENI	wikipron	-	-
абдоминален	abdɔminalɛn	ABDOMINALEN	wikipron	-	-
абдоминално	abdɔminaɫnɔ	ABDOMINALNO	wikipron	-	-
абе	abɛ	ABE	wikipron	-	-
абен	abɛn	ABEN	wikipron	-	-
абер	abɛr	ABER	wikipron	-	-
аберации	abɛrat͡sii	ABERASII	wikipron	-	-
аберација	abɛrat͡sija	ABERASIYA	wikipron	-	-
абери	abɛɾi	ABERI	wikipron	-	-
аберџии	abɛrd͡ʒii	ABERSII	wikipron	-	-
аберџија	abɛrd͡ʒija	ABERSIYA	wikipron	-	-
абецедар	abɛt͡sɛdar	ABESEDAR	wikipron	-	-
абејќи	abɛjci	ABEYKI	wikipron	-	-
аби	abi	ABI	wikipron	-	-
абиогенеза	abijɔɡɛnɛza	ABIYOGENESA	wikipron	-	-
Абиџа	abid͡ʒa	ABISA	wikipron	-	-
абиџаец	abid͡ʒaɛt͡s	ABISAES	wikipron	-	-
абиџајка	abid͡ʒajka	ABISAYKA	wikipron	-	-
абиџајски	abid͡ʒajski	ABISAYSKI	wikipron	-	-
аблатив	abɫatif	ABLATIP	wikipron	-	-
абнормален	abnɔrmalɛn	ABNORMALEN	wikipron	-	-
абнормално	abnɔrmaɫnɔ	ABNORMALNO	wikipron	-	-
аболира	abɔliɾa	ABOLIRA	wikipron	-	-
аболиран	abɔliɾan	ABOLIRAN	wikipron	-	-
аболирајќи	abɔlirajci	ABOLIRAYKI	wikipron	-	-
аболирање	abɔliɾaɲɛ	ABOLIRANE	wikipron	-	-
аболиции	abɔlit͡sii	ABOLISII	wikipron	-	-
аболиција	abɔlit͡sija	ABOLISIYA	wikipron	-	-
абонација	abɔnat͡sija	ABONASIYA	wikipron	-	-
абонент	abɔnɛnt	ABONENT	wikipron	-	-
абоненти	abɔnɛnti	ABONENTI	wikipron	-	-
абонира	abɔniɾa	ABONIRA	wikipron	-	-
абонос	abɔnɔs	ABONOS	wikipron	-	-
абориген	abɔɾiɡɛn	ABORIGEN	wikipron	-	-
абортира	abɔrtiɾa	ABORTIRA	wikipron	-	-
абортиран	abɔrtiɾan	ABORTIRAN	wikipron	-	-
абортирајќи	abɔrtirajci	ABORTIRAYKI	wikipron	-	-
абортирање	abɔrtiɾaɲɛ	ABORTIRANE	wikipron	-	-
абортус	abɔrtus	ABORTUS	wikipron	-	-
абортуси	abɔrtusi	ABORTUSI	wikipron	-	-
абразив	abrazif	ABRASIP	wikipron	-	-
абразија	abrazija	ABRASIYA	wikipron	-	-
абраш	abraʃ	ABRAS	wikipron	-	-
абревијација	abrɛvijat͡sija	ABREBIYASIYA	wikipron	-	-
абсолутен	apsɔɫutɛn	APSOLUTEN	wikipron	-	-
абсорбира	apsɔrbiɾa	APSORBIRA	wikipron	-	-
абсорбиран	apsɔrbiɾan	APSORBIRAN	wikipron	-	-
абстрактен	apstraktɛn	APSTRAKTEN	wikipron	-	-
абсурден	apsurdɛn	APSURDEN	wikipron	-	-
абудабиец	abudabijɛt͡s	ABUDABIYES	wikipron	-	-
абудабиски	abudabiski	ABUDABISKI	wikipron	-	-
абудабијка	abudabijka	ABUDABIYKA	wikipron	-	-
абудабијки	abudabijki	ABUDABIYKI	wikipron	-	-
абудабијци	abudabijt͡si	ABUDABIYSI	wikipron	-	-
Абхазиец	apxazijɛt͡s	APKASIYES	wikipron	-	-
абхазиски	apxaziski	APKASISKI	wikipron	-	-
Абхазија	apxazija	APKASIYA	wikipron	-	-
Абхазијка	apxazijka	APKASIYKA	wikipron	-	-
Абхазијки	apxazijki	APKASIYKI	wikipron	-	-
Абхазијци	apxazijt͡si	APKASIYSI	wikipron	-	-
абхаски	apxaski	APKASKI	wikipron	-	-
ав	af	AP	wikipron	-	-
ава	ava	ABA	wikipron	-	-
авалира	avaliɾa	ABALIRA	wikipron	-	-
аван	avan	ABAN	wikipron	-	-
авангарда	avaŋɡarda	ABANGARDA	wikipron	-	-
авангарден	avaŋɡardɛn	ABANGARDEN	wikipron	-	-
авангардно	avaŋɡardnɔ	ABANGARDNO	wikipron	-	-
авани	avani	ABANI	wikipron	-	-
аванс	avans	ABANS	wikipron	-	-
авансен	avansɛn	ABANSEN	wikipron	-	-
аванси	avansi	ABANSI	wikipron	-	-
авансира	avansiɾa	ABANSIRA	wikipron	-	-
авантура	avantuɾa	ABANTURA	wikipron	-	-
авантури	avantuɾi	ABANTURI	wikipron	-	-
авантуризам	avanturizam	ABANTURISAM	wikipron	-	-
авантурист	avanturist	ABANTURIST	wikipron	-	-
авантуристи	avanturisti	ABANTURISTI	wikipron	-	-
