Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a ave	aave	AABE	abvd	WHERE	abvd_181_where_3
a pat̪emoano	apat̪emoano	APATEMOANO	abvd	NEAR	abvd_179_near_113
a uⁿdu	audu	AUDU	abvd	DRINK	abvd_40_todrink_6
a voa xʰaɲip	avoaxaɲip	ABOAKANIP	abvd	DREAM (SOMETHING)	abvd_50_todream_1
a ⁿdit̪	adit̪	ADIT	abvd	SUCK	abvd_42_tosuck_25
aleⁿdep	aledep	ALEDEP	abvd	THIN	abvd_156_thin_63
apuli nea	apulinea	APULINEA	abvd	PERSON	abvd_53_personhumanbeing_93
avi	avi	ABI	abvd	SAY	abvd_64_tosay_13
a’o:t̪	aot̪	AOT	abvd	FAR	abvd_180_far_97
caguᵐboan	caguboan	KAGUBOAN	abvd	TURN	-
cama	cama	KAMA	abvd	IF	abvd_193_if_26
can	can	KAN	abvd	IN	abvd_174_ininside_15
can jat̪i	canjat̪i	KANYATI	abvd	SEA	abvd_124_sea_1
can t̪ea	cant̪ea	KANTEA	abvd	HIT	abvd_72_tohit_10?
cana θoat̪it̪	canaoat̪it̪	KANAOATIT	abvd	SKY	abvd_128_sky_61
cãmi	cãmi	KMI	abvd	PLANT (SOMETHING)	abvd_84_toplant_73
cika	cika	KIKA	abvd	NO OR NOT	abvd_195_nonot_10
en a pa xaumu	enapaxaumu	ENAPAKAUMU	abvd	OLD	abvd_162_old_64
en aᵐboa xaʰmaŋ	enaboaxama	ENABOAKAMA	abvd	NEW	abvd_163_new_53
fava	fava	PABA	abvd	FOUR	abvd_200_four_1
fine	fine	PINE	abvd	COUNT	abvd_196_tocount_26
fiŋ	fi	PI	abvd	BLACK	abvd_147_black_99
foaike	foaike	POAIKE	abvd	WET	abvd_141_wet_115
foawat̪	foawat̪	POAWAT	abvd	WHITE	abvd_148_white_11
ga	ga	GA	abvd	WE	-
gae	gae	GAE	abvd	YOU	abvd_186_you_1
go	go	GO	abvd	AND	abvd_192_and_12
i ai ŋan	iaian	IAIAN	abvd	BRANCH	-
i feⁿdala n	ifedalan	IPEDALAN	abvd	BLOOD	abvd_23_blood_46
i foaⁿdan	ifoadan	IPOADAN	abvd	PATH OR ROAD	abvd_6_roadpath_5
i jamoa n	ijamoan	IYAMOAN	abvd	FATHER	abvd_60_father_1
i jena n	ijenan	IYENAN	abvd	EAR	abvd_43_ear_1
i jia n	ijian	IYIAN	abvd	BELLY	abvd_14_belly_1
i mae	imae	IMAE	abvd	FIRE	abvd_143_fire_51
i mani	imani	IMANI	abvd	BIRD	abvd_97_bird_1
i moa	imoa	IMOA	abvd	HOUSE	abvd_61_house_1
i moaⁿden	imoaden	IMOADEN	abvd	FEMALE PERSON	abvd_55_womanfemale_119
i o:t̪	iot̪	IOT	abvd	ROPE	abvd_65_rope_31
i si n	isin	ISIN	abvd	HAND	abvd_1_hand_10
i t̪’amo	it̪amo	ITAMO	abvd	FEMALE PERSON	abvd_55_womanfemale_119
i t̪’i n	it̪in	ITIN	abvd	BREAST	abvd_18_breast_1
i vai	ivai	IBAI	abvd	STONE	abvd_120_stone_1
i wa:n	iwan	IWAN	abvd	ROOT	abvd_115_root_2
i xat̪one t̪’amo	ixat̪onet̪amo	IKATONETAMO	abvd	WIFE	-
i xat̪ot̪	ixat̪ot̪	IKATOT	abvd	HUSBAND	abvd_57_husband_2
i xawe nea	ixawenea	IKAWENEA	abvd	CHILD	-
i xaʝu	ixaʝu	IKAGU	abvd	MALE PERSON	-
i xʰa n	ixan	IKAN	abvd	FOOT OR LEG	abvd_4_legfoot_1
i xʰi: n	ixin	IKIN	abvd	LIVER	abvd_17_liver_1
i ɲan	iɲan	INAN	abvd	MOTHER	abvd_59_mother_1
