Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	wikipron	-	-
a	aː	A	wikipron	-	-
abadissa	abadɪssa	ABADISSA	wikipron	-	-
abaki	abaːkɪ	ABAKI	wikipron	-	-
abaki	aːbakɪ	ABAKI	wikipron	-	-
abaku	abaːku	ABAKU	wikipron	-	-
abaku	aːbaku	ABAKU	wikipron	-	-
abatija	abatiːja	ABATIYA	wikipron	-	-
abaxx	abaʃ	ABAS	wikipron	-	-
abbaku	abbaku	ABBAKU	wikipron	-	-
abbaku	abbaːku	ABBAKU	wikipron	-	-
abbandun	abbanduːn	ABBANDUN	wikipron	-	-
abbanduna	abbanduːna	ABBANDUNA	wikipron	-	-
abbandunajna	abbandunajna	ABBANDUNAYNA	wikipron	-	-
abbandunajt	abbandunajt	ABBANDUNAYT	wikipron	-	-
abbandunajtu	abbandunajtu	ABBANDUNAYTU	wikipron	-	-
abbandunat	abbandunaːt	ABBANDUNAT	wikipron	-	-
abbandunaw	abbandunaw	ABBANDUNAW	wikipron	-	-
abbassu	abbassu	ABBASSU	wikipron	-	-
abbati	abbaːtɪ	ABBATI	wikipron	-	-
abbatija	abbatiːja	ABBATIYA	wikipron	-	-
abbatin	abbatiːn	ABBATIN	wikipron	-	-
abbatissa	abbatɪssa	ABBATISSA	wikipron	-	-
abbattut	abbattuːt	ABBATTUT	wikipron	-	-
abbazija	abbat͡siːja	ABBASIYA	wikipron	-	-
abbella	abbɛlla	ABBELLA	wikipron	-	-
abbellejna	abbɛllɛjna	ABBELLEYNA	wikipron	-	-
abbellejt	abbɛllɛjt	ABBELLEYT	wikipron	-	-
abbellejtu	abbɛllɛjtu	ABBELLEYTU	wikipron	-	-
abbellew	abbɛllɛw	ABBELLEW	wikipron	-	-
abbelli	abbɛllɪ	ABBELLI	wikipron	-	-
abbelliet	abbɛllɪːt	ABBELLIT	wikipron	-	-
abbelliment	abbɛllɪmɛnt	ABBELLIMENT	wikipron	-	-
abbellixxa	abbɛllɪʃʃa	ABBELLISSA	wikipron	-	-
abbellixxejna	abbɛllɪʃʃɛjna	ABBELLISSEYNA	wikipron	-	-
abbellixxejt	abbɛllɪʃʃɛjt	ABBELLISSEYT	wikipron	-	-
abbellixxejtu	abbɛllɪʃʃɛjtu	ABBELLISSEYTU	wikipron	-	-
abbellixxew	abbɛllɪʃʃɛw	ABBELLISSEW	wikipron	-	-
abbellixxi	abbɛllɪʃʃɪ	ABBELLISSI	wikipron	-	-
abbellixxiet	abbɛllɪʃʃɪːt	ABBELLISSIT	wikipron	-	-
abbellixxu	abbɛllɪʃʃu	ABBELLISSU	wikipron	-	-
abbellu	abbɛllu	ABBELLU	wikipron	-	-
abbiltà	abbɪltaː	ABBILTA	wikipron	-	-
abbina	abbiːna	ABBINA	wikipron	-	-
abbinar	abbɪnaːr	ABBINAR	wikipron	-	-
abbiss	abbɪs	ABBIS	wikipron	-	-
abbissa	abbɪssa	ABBISSA	wikipron	-	-
abbli	abblɪ	ABBLI	wikipron	-	-
abbon	abbɔːn	ABBON	wikipron	-	-
abbona	abbɔːna	ABBONA	wikipron	-	-
abbonajna	abbɔnajna	ABBONAYNA	wikipron	-	-
abbonajt	abbɔnajt	ABBONAYT	wikipron	-	-
abbonajtu	abbɔnajtu	ABBONAYTU	wikipron	-	-
abbonament	abbɔnamɛnt	ABBONAMENT	wikipron	-	-
abbonat	abbɔnaːt	ABBONAT	wikipron	-	-
abbonaw	abbɔnaw	ABBONAW	wikipron	-	-
abborra	abbɔrra	ABBORRA	wikipron	-	-
abborrejna	abbɔrrɛjna	ABBORREYNA	wikipron	-	-
abborrejt	abbɔrrɛjt	ABBORREYT	wikipron	-	-
abborrejtu	abbɔrrɛjtu	ABBORREYTU	wikipron	-	-
abborrew	abbɔrrɛw	ABBORREW	wikipron	-	-
abborri	abbɔrrɪ	ABBORRI	wikipron	-	-
abborriet	abbɔrrɪːt	ABBORRIT	wikipron	-	-
abborriment	abbɔrrɪmɛnt	ABBORRIMENT	wikipron	-	-
abborrixxa	abbɔrrɪʃʃa	ABBORRISSA	wikipron	-	-
abborrixxejna	abbɔrrɪʃʃɛjna	ABBORRISSEYNA	wikipron	-	-
abborrixxejt	abbɔrrɪʃʃɛjt	ABBORRISSEYT	wikipron	-	-
abborrixxejtu	abbɔrrɪʃʃɛjtu	ABBORRISSEYTU	wikipron	-	-
abborrixxew	abbɔrrɪʃʃɛw	ABBORRISSEW	wikipron	-	-
abborrixxi	abbɔrrɪʃʃɪ	ABBORRISSI	wikipron	-	-
abborrixxiet	abbɔrrɪʃʃɪːt	ABBORRISSIT	wikipron	-	-
abborrixxu	abbɔrrɪʃʃu	ABBORRISSU	wikipron	-	-
abborru	abbɔrru	ABBORRU	wikipron	-	-
abbozz	abbɔt͡s	ABBOS	wikipron	-	-
abbozza	abbɔtt͡sa	ABBOTSA	wikipron	-	-
abbozzajna	abbɔtt͡sajna	ABBOTSAYNA	wikipron	-	-
abbozzajt	abbɔtt͡sajt	ABBOTSAYT	wikipron	-	-
abbozzajtu	abbɔtt͡sajtu	ABBOTSAYTU	wikipron	-	-
abbozzar	abbɔtt͡saːr	ABBOTSAR	wikipron	-	-
abbozzat	abbɔtt͡saːt	ABBOTSAT	wikipron	-	-
abbozzaw	abbɔtt͡saw	ABBOTSAW	wikipron	-	-
abbrevja	abbrɛːvja	ABBREBYA	wikipron	-	-
abbrevjar	abbrɛvjaːr	ABBREBYAR	wikipron	-	-
abbrevjazzjoni	abbrɛvjatt͡sjɔːnɪ	ABBREBYATSYONI	wikipron	-	-
abbuzzar	abbutt͡saːr	ABBUTSAR	wikipron	-	-
abbuż	abbuːs	ABBUS	wikipron	-	-
abbuża	abbuːza	ABBUSA	wikipron	-	-
abbużiv	abbuziːf	ABBUSIP	wikipron	-	-
abbużivament	abbuzɪvamɛnt	ABBUSIBAMENT	wikipron	-	-
abdika	abdɪka	ABDIKA	wikipron	-	-
abdikazzjoni	abdɪkatt͡sjɔːnɪ	ABDIKATSYONI	wikipron	-	-
Abdilla	abdɪlla	ABDILLA	wikipron	-	-
Abela	abɛːla	ABELA	wikipron	-	-
abilità	abɪlɪtaː	ABILITA	wikipron	-	-
abita	aːbɪta	ABITA	wikipron	-	-
abitabbli	abɪtabblɪ	ABITABBLI	wikipron	-	-
abitant	abɪtant	ABITANT	wikipron	-	-
abitanta	abɪtanta	ABITANTA	wikipron	-	-
abitat	abɪtaːt	ABITAT	wikipron	-	-
abitazzjoni	abɪtatt͡sjɔːnɪ	ABITATSYONI	wikipron	-	-
abjad	abjat	ABYAT	wikipron	-	-
abjura	abjuːra	ABYURA	wikipron	-	-
abolixxa	abɔlɪʃʃa	ABOLISSA	wikipron	-	-
abolizzjoni	abɔlɪtt͡sjɔːnɪ	ABOLITSYONI	wikipron	-	-
abolizzjoniżmu	abɔlɪtt͡sjɔniːzmu	ABOLITSYONISMU	wikipron	-	-
aborta	abɔrta	ABORTA	wikipron	-	-
Abraham	abraːm	ABRAM	wikipron	-	-
abroga	aːbrɔɡa	ABROGA	wikipron	-	-
abt	apt	APT	wikipron	-	-
abtejn	aptɛjn	APTEYN	wikipron	-	-
abti	aptɪ	APTI	wikipron	-	-
abtijiet	aptɪjɪːt	APTIYIT	wikipron	-	-
Adam	adaːm	ADAM	wikipron	-	-
adatt	adat	ADAT	wikipron	-	-
adatta	adatta	ADATTA	wikipron	-	-
