Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-faⁿdə	fadə	PADE	abvd	FASTEN	-
-fial	fial	PIAL	abvd	WALK	abvd_5_towalk_10
-fik	fik	PIK	abvd	SQUEEZE	-
-flae	flae	PLAE	abvd	SPIT	abvd_36_tospit_35
-ial	ial	IAL	abvd	STAB	abvd_71_tostabpierce_14
-iop	iop	IOP	abvd	SEE	-
-iul	iul	IUL	abvd	LAUGH	abvd_33_tolaugh_13
-i·tu	itu	ITU	abvd	HUNT	-
-iənətan	iənətan	IENETAN	abvd	LIE DOWN	abvd_49_toliedown_1
-iənəᵐban	iənəban	IENEBAN	abvd	SLEEP	abvd_48_tosleep_93
-kai	kai	KAI	abvd	CRY	abvd_34_tocry_57
-kakə	kakə	KAKE	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_14
-kan	kan	KAN	abvd	EAT	abvd_37_toeat_1
-kar	kar	KAR	abvd	SCRATCH	abvd_77_toscratch_12
-kil	kil	KIL	abvd	DIG	abvd_90_todig_1
-kungar	kungar	KUNGAR	abvd	HOLD	abvd_89_tohold_3
-kəβək	kəək	KEEK	abvd	THROW	abvd_94_tothrow_84
-lai	lai	LAI	abvd	HIT	abvd_72_tohit_41
-loloβ	lolo	LOLO	abvd	SWIM	abvd_9_toswim_8
-lualuə	lualuə	LUALUE	abvd	VOMIT	abvd_35_tovomit_8
-luβup	luup	LUUP	abvd	BLOW (OF WIND)	abvd_137_toblow_4
-lər	lər	LER	abvd	FALL	-
-ləŋə	ləə	LEE	abvd	HEAR	abvd_44_tohear_1
-mar	mar	MAR	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-marək	marək	MAREK	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-maul	maul	MAUL	abvd	BE ALIVE	abvd_76_tolivebealive_1
-mdom-kle	mdomkle	MDOMKLE	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_18
-mun	mun	MUN	abvd	DRINK	abvd_40_todrink_1
-muniə	muniə	MUNIE	abvd	SUCK	abvd_42_tosuck_11
-nər	nər	NER	abvd	BURN	abvd_144_toburn_86
-ra	ra	RA	abvd	CUT OR HACK	abvd_78_tocuthack_1
-ra·pa	rapa	RAPA	abvd	SPLIT	-
-rmal	rmal	RMAL	abvd	STAND	abvd_52_tostand_25
-rəkətan	rəkətan	REKETAN	abvd	SIT	abvd_51_tosit_1?
-tak nlaŋ	taknla	TAKNLA	abvd	BREATHE	abvd_28_tobreathe_78
-tul	tul	TUL	abvd	SEW	abvd_67_tosew_60
-βini	ini	INI	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_77
-βliŋ-kə	likə	LIKE	abvd	TURN	abvd_8_toturn_4
-βuar	uar	UAR	abvd	BITE	abvd_41_tobite_51
-βuk	uk	UK	abvd	COUNT	abvd_196_tocount_1
-βənmə	ənmə	ENME	abvd	COME	abvd_7_tocome_1
-βər	ər	ER	abvd	SAY	abvd_64_tosay_30
-ⁿdomʷi	domi	DOMI	abvd	THINK	abvd_21_tothink_13
apkei	apkei	APKEI	abvd	WHAT	abvd_188_what_1
arar	arar	ARAR	abvd	MALE PERSON	abvd_54_manmale_14
aruai	aruai	ARUAI	abvd	OLD	abvd_162_old_1
aβak to	aakto	AAKTO	abvd	EGG	-
fafin	fafin	PAPIN	abvd	FEMALE PERSON	abvd_55_womanfemale_1
feo	feo	PEO	abvd	NEW	abvd_163_new_1
finkrənə	finkrənə	PINKRENE	abvd	FLOWER	-
frufrun	frufrun	PRUPRUN	abvd	WARM	abvd_138_warm_12?
fərəma	fərəma	PEREMA	abvd	DRY	abvd_140_dry_11
i-limə	ilimə	ILIME	abvd	FIVE	abvd_201_five_1
i-luə	iluə	ILUE	abvd	TWO	abvd_198_two_1
i-tol	itol	ITOL	abvd	THREE	abvd_199_three_1
i-βar	iar	IAR	abvd	FOUR	abvd_200_four_1
ila-ŋ	ila	ILA	abvd	FOOT OR LEG	abvd_4_legfoot_37
iumə	iumə	IUME	abvd	IN	abvd_174_ininside_18
iə	iə	IE	abvd	IN	abvd_174_ininside_1
iᵐboŋ	ibo	IBO	abvd	NIGHT	abvd_167_night_1
kaikə	kaikə	KAIKE	abvd	THOU	abvd_183_thou_1
kaiⁿde	kaide	KAIDE	abvd	WE	abvd_185_we_I
kaiⁿdə iluə	kaidəiluə	KAIDEILUE	abvd	WE	-
kamei	kamei	KAMEI	abvd	WE	abvd_185_we_E
kamei iluə	kameiiluə	KAMEIILUE	abvd	WE	-
kamiu	kamiu	KAMIU	abvd	YOU	abvd_186_you_1
ka·p	kap	KAP	abvd	RAT	abvd_102_rat_3
kaᵐbariə	kabariə	KABARIE	abvd	MOON	abvd_129_moon_6
kia-ŋ	kia	KIA	abvd	HUSBAND	abvd_57_husband_62?
kulu-ŋ	kulu	KULU	abvd	SKIN	abvd_12_skin_1
kuniu-ŋ	kuniu	KUNIU	abvd	NOSE	abvd_27_nose_1
kənək-maru-ŋ	kənəkmaru	KENEKMARU	abvd	EYE	abvd_45_eye_1
kəpa-nə	kəpanə	KEPANE	abvd	WING	abvd_100_wing_1
kəᵐblaiə	kəblaiə	KEBLAIE	abvd	LIGHTNING	abvd_135_lightning_26
lak-βar	lakar	LAKAR	abvd	NINE	abvd_205_nine_20
lakai	lakai	LAKAI	abvd	STICK	abvd_79_stickwood_1
lok-rol	lokrol	LOKROL	abvd	EIGHT	abvd_204_eight_5
lokroᵑgai	lokrogai	LOKROGAI	abvd	SIX	abvd_202_six_45
loku-lua	lokulua	LOKULUA	abvd	SEVEN	abvd_203_seven_4
lualimə	lualimə	LUALIME	abvd	TEN	abvd_206_ten_4
lufa-ŋ	lufa	LUPA	abvd	MOUTH	-
lukʷai	lukai	LUKAI	abvd	GRASS	abvd_118_grass_105
luma-ŋ	luma	LUMA	abvd	HAND	abvd_1_hand_1
lumfo	lumfo	LUMPO	abvd	SQUEEZE	abvd_88_tosqueeze_89
lurə-nə	lurənə	LURENE	abvd	LEAF	-
luβu-ŋ	luu	LUU	abvd	TOOTH	abvd_31_tooth_1
ləᵐbaŋə	ləbaə	LEBAE	abvd	DOG	abvd_96_dog_29
m-leler	mleler	MLELER	abvd	YELLOW	abvd_150_yellow_76
m-lolo	mlolo	MLOLO	abvd	BLACK	abvd_147_black_41?
mama	mama	MAMA	abvd	MOTHER	abvd_59_mother_5
marwə	marwə	MARWE	abvd	RIGHT	abvd_3_right_5
mau	mau	MAU	abvd	LEFT	abvd_2_left_1
ma·kə	makə	MAKE	abvd	COOK (SOMETHING)	abvd_39_tocook_19
ma·ⁿdin	madin	MADIN	abvd	COLD	abvd_139_cold_1
maᵐbo-ŋ	mabo	MABO	abvd	BELLY	abvd_14_belly_74
maⁿdei	madei	MADEI	abvd	HEAVY	abvd_142_heavy_32
miuβoβo	miuoo	MIUOO	abvd	WHITE	abvd_148_white_98
moi	moi	MOI	abvd	STAR	abvd_130_star_13
momo	momo	MOMO	abvd	WET	abvd_141_wet_36
mta·	mta	MTA	abvd	BAD OR EVIL	-
məkalkal	məkalkal	MEKALKAL	abvd	SHARP	abvd_81_sharp_14
məlwa	məlwa	MELWA	abvd	PATH OR ROAD	abvd_6_roadpath_41
məməhake	məməhake	MEMEHAKE	abvd	GREEN	abvd_151_green_8
məna-ŋ	məna	MENA	abvd	TONGUE	abvd_32_tongue_7
məniβniβ	mənini	MENINI	abvd	THIN	abvd_156_thin_1
mərorol	mərorol	MEROROL	abvd	THICK	abvd_157_thick_3
mərək-iu-ŋ	mərəkiu	MEREKIU	abvd	BREAST	abvd_18_breast_47
mərəkiap	mərəkiap	MEREKIAP	abvd	DUST	abvd_11_dust_84
