Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
babazi	babazi	BABASI	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bagʔo	bagʔo	BAGHO	abvd	NEW	abvd_163_new_1
bana	bana	BANA	abvd	HUSBAND	abvd_57_husband_1
bangaʔ	bangaʔ	BANGAH	abvd	BITE	abvd_41_tobite_30
banwa	banwa	BANWA	abvd	FOREST	-
batiʔ	batiʔ	BATIH	abvd	HEAR	abvd_44_tohear_20
bato	bato	BATO	abvd	STONE	abvd_120_stone_1
bazo	bazo	BASO	abvd	POUND	abvd_93_topoundbeat_1
baʔbaʔ	baʔbaʔ	BAHBAH	abvd	MOUTH	abvd_30_mouth_1
bilang	bilang	BILANG	abvd	COUNT	abvd_196_tocount_1
bitoʔon	bitoʔon	BITOHON	abvd	STAR	abvd_130_star_1
bohok	bohok	BOHOK	abvd	HAIR	abvd_26_hair_1
bolad	bolad	BOLAD	abvd	DRY	abvd_140_dry_42
bolan	bolan	BOLAN	abvd	MOON	abvd_129_moon_1
boyak	boyak	BOUAK	abvd	FLOWER	abvd_116_flower_22
bɨkɨg	bɨkɨg	BIKIG	abvd	BONE	abvd_15_bone_16
dagat	dagat	DAGAT	abvd	SEA	abvd_124_sea_25
dagɨm	dagɨm	DAGIM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
dagʔok	dagʔok	DAGHOK	abvd	THUNDER	-
dahon	dahon	DAHON	abvd	LEAF	abvd_114_leaf_1
dakolaʔ	dakolaʔ	DAKOLAH	abvd	BIG	abvd_153_big_22
danaw	danaw	DANAW	abvd	LAKE	abvd_126_lake_1
dibdib	dibdib	DIBDIB	abvd	BREAST	abvd_18_breast_17
dikag	dikag	DIKAG	abvd	SCRATCH	abvd_77_toscratch_36
dilaʔ	dilaʔ	DILAH	abvd	TONGUE	abvd_32_tongue_4
diri	diri	DIRI	abvd	NO OR NOT	abvd_195_nonot_2
dogoʔ	dogoʔ	DOGOH	abvd	BLOOD	abvd_23_blood_16
dowa	dowa	DOWA	abvd	TWO	abvd_198_two_1
gabok	gabok	GABOK	abvd	FIRE	-
gabon	gabon	GABON	abvd	CLOUD	abvd_131_cloud_1
gamot	gamot	GAMOT	abvd	ROOT	abvd_115_root_3
gɨzamay	gɨzamay	GISAMAU	abvd	SMALL	abvd_152_small_29
habor	habor	HABOR	abvd	BLUNT	abvd_82_dullblunt_68
halas	halas	HALAS	abvd	SNAKE	abvd_106_snake_26
haldɨk	haldɨk	HALDIK	abvd	FEAR (BE AFRAID)	abvd_22_tofear_16
haloʔag	haloʔag	HALOHAG	abvd	WIDE	abvd_159_wide_62
hangin	hangin	HANGIN	abvd	WIND	abvd_136_wind_1
hangod	hangod	HANGOD	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_4
hao	hao	HAO	abvd	I	abvd_182_i_1
hawid	hawid	HAWID	abvd	HOLD	abvd_89_tohold_121
haʔin	haʔin	HAHIN	abvd	WHERE	abvd_181_where_1
honlas	honlas	HONLAS	abvd	FAT (ORGANIC SUBSTANCE)	-
hoyop	hoyop	HOUOP	abvd	BLOW (OF WIND)	abvd_137_toblow_1
iko	iko	IKO	abvd	THOU	abvd_183_thou_1
iza	iza	ISA	abvd	HE OR SHE	abvd_184_heshe_1
kabot	kabot	KABOT	abvd	DIG	abvd_90_todig_22
kaganʔo	kaganʔo	KAGANHO	abvd	WHEN	abvd_170_when_10
kahabzan	kahabzan	KAHABSAN	abvd	NIGHT	-
kalot	kalot	KALOT	abvd	SCRATCH	abvd_77_toscratch_44
kami	kami	KAMI	abvd	WE	abvd_185_we_2
kamo	kamo	KAMO	abvd	YOU	abvd_186_you_1
karis	karis	KARIS	abvd	STAB	-
karohaan	karohaan	KAROHAAN	abvd	TWENTY	abvd_207_twenty_11
kasakit	kasakit	KASAKIT	abvd	PAINFUL OR SICK	abvd_160_painfulsick_1
katawa	katawa	KATAWA	abvd	LAUGH	abvd_33_tolaugh_1
kawat	kawat	KAWAT	abvd	STEAL	abvd_73_tosteal_24
kaʔɨn	kaʔɨn	KAHIN	abvd	EAT	abvd_37_toeat_1
kilala	kilala	KILALA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_18
kilat	kilat	KILAT	abvd	LIGHTNING	abvd_135_lightning_1
kindal	kindal	KINDAL	abvd	SKIN	abvd_12_skin_39
kita	kita	KITA	abvd	SEE	abvd_46_tosee_1
kon	kon	KON	abvd	IF	abvd_193_if_1
lagkaw	lagkaw	LAGKAW	abvd	HOUSE	-
langit	langit	LANGIT	abvd	SKY	abvd_128_sky_1
langoy	langoy	LANGOU	abvd	SWIM	abvd_9_toswim_1
lawa	lawa	LAWA	abvd	SPIDER	abvd_110_spider_1
laʔin	laʔin	LAHIN	abvd	OTHER	abvd_190_other_2
laʔong	laʔong	LAHONG	abvd	SAY	abvd_64_tosay_32
likod	likod	LIKOD	abvd	BACK	abvd_13_back_1
lima	lima	LIMA	abvd	FIVE	abvd_201_five_1
liso	liso	LISO	abvd	TURN	abvd_8_toturn_21
liwaʔan	liwaʔan	LIWAHAN	abvd	STICK	-
liʔɨg	liʔɨg	LIHIG	abvd	NECK	abvd_25_neck_1
lopaʔ	lopaʔ	LOPAH	abvd	EARTH (SOIL)	abvd_119_earthsoil_25
loʔtoʔ	loʔtoʔ	LOHTOH	abvd	SIT	-
lɨpad	lɨpad	LIPAD	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_21
lɨpɨs	lɨpɨs	LIPIS	abvd	ROPE	-
mabasaʔ	mabasaʔ	MABASAH	abvd	WET	abvd_141_wet_1
mabɨgʔat	mabɨgʔat	MABIGHAT	abvd	HEAVY	abvd_142_heavy_1
madamɨʔ	madamɨʔ	MADAMIH	abvd	THICK	abvd_157_thick_21
madolaw	madolaw	MADOLAW	abvd	YELLOW	abvd_150_yellow_24
magazon	magazon	MAGASON	abvd	GOOD	-
mahaʔit	mahaʔit	MAHAHIT	abvd	SHARP	abvd_81_sharp_38
malataʔ	malataʔ	MALATAH	abvd	ROTTEN	abvd_112_rotten_26
malaʔas	malaʔas	MALAHAS	abvd	OLD	abvd_162_old_43
mamʔin	mamʔin	MAMHIN	abvd	CHEW	abvd_38_tochew_1
manokmanok	manokmanok	MANOKMANOK	abvd	BIRD	abvd_97_bird_1
mapotiʔ	mapotiʔ	MAPOTIH	abvd	WHITE	abvd_148_white_1
mararag	mararag	MARARAG	abvd	RED	abvd_149_red_1
maripaʔ	maripaʔ	MARIPAH	abvd	DIRTY	abvd_10_dirty_50
masipɨg	masipɨg	MASIPIG	abvd	SHY OR ASHAMED	abvd_161_shyashamed_29
masiʔɨt	masiʔɨt	MASIHIT	abvd	NARROW	-
mata	mata	MATA	abvd	EYE	abvd_45_eye_1
matay	matay	MATAU	abvd	CRY	-
matignaw	matignaw	MATIGNAW	abvd	COLD	abvd_139_cold_26
maʔimpis	maʔimpis	MAHIMPIS	abvd	CHILD	-
maʔinit	maʔinit	MAHINIT	abvd	WARM	abvd_138_warm_23
maʔitɨm	maʔitɨm	MAHITIM	abvd	BLACK	abvd_147_black_1
maʔonga	maʔonga	MAHONGA	abvd	BAD OR EVIL	abvd_165_badevil_29
nagʔas	nagʔas	NAGHAS	abvd	SAND	-
napoloʔ	napoloʔ	NAPOLOH	abvd	TEN	abvd_206_ten_5
ngaran	ngaran	NGARAN	abvd	NAME	abvd_63_name_1
ngipin	ngipin	NGIPIN	abvd	TOOTH	abvd_31_tooth_1
nipis	nipis	NIPIS	abvd	THIN	abvd_156_thin_1
palit	palit	PALIT	abvd	BUY	abvd_91_tobuy_25
panaw	panaw	PANAW	abvd	WALK	abvd_5_towalk_2
panik	panik	PANIK	abvd	CLIMB	abvd_172_toclimb_1
patay	patay	PATAU	abvd	KILL	abvd_74_tokill_2
pato	pato	PATO	abvd	LIVER	-
paʔa	paʔa	PAHA	abvd	FOOT OR LEG	abvd_4_legfoot_20
pikas	pikas	PIKAS	abvd	CUT OR HACK	-
piliʔ	piliʔ	PILIH	abvd	CHOOSE	abvd_85_tochoose_1
pislit	pislit	PISLIT	abvd	SQUEEZE	abvd_88_tosqueeze_95
pito	pito	PITO	abvd	SEVEN	abvd_203_seven_1
salad	salad	SALAD	abvd	BELOW OR UNDER	abvd_176_below_26
sapaʔ	sapaʔ	SAPAH	abvd	WATER	abvd_122_water_30
sinʔo	sinʔo	SINHO	abvd	WHO	abvd_189_who_14
siran	siran	SIRAN	abvd	THEY	abvd_187_they_1
sizam	sizam	SISAM	abvd	NINE	abvd_205_nine_9
sizɨp	sizɨp	SISIP	abvd	SUCK	abvd_42_tosuck_31
sobo	sobo	SOBO	abvd	COOK (SOMETHING)	abvd_39_tocook_31
soka	soka	SOKA	abvd	VOMIT	abvd_35_tovomit_9
sonog	sonog	SONOG	abvd	BURN	abvd_144_toburn_21
soso	soso	SOSO	abvd	BREAST	abvd_18_breast_1
sɨnʔad	sɨnʔad	SINHAD	abvd	COOK (SOMETHING)	abvd_39_tocook_125
tagnɨk	tagnɨk	TAGNIK	abvd	MOSQUITO	abvd_109_mosquito_27
tagoʔ	tagoʔ	TAGOH	abvd	HIDE	abvd_171_tohide_13
tagʔinɨp	tagʔinɨp	TAGHINIP	abvd	DREAM (SOMETHING)	abvd_50_todream_30
tahay	tahay	TAHAU	abvd	DRY	abvd_140_dry_44
tahiʔ	tahiʔ	TAHIH	abvd	SEW	abvd_67_tosew_1
talinga	talinga	TALINGA	abvd	EAR	abvd_43_ear_1
tanak	tanak	TANAK	abvd	FALL	-
tanan	tanan	TANAN	abvd	ALL	abvd_191_all_24
tanɨm	tanɨm	TANIM	abvd	PLANT (SOMETHING)	abvd_84_toplant_2
tarabaho	tarabaho	TARABAHO	abvd	WORK (ACTIVITY)	abvd_83_towork_103
taʔo	taʔo	TAHO	abvd	PERSON	abvd_53_personhumanbeing_1
timbag	timbag	TIMBAG	abvd	THROW	abvd_94_tothrow_34
tinaʔi	tinaʔi	TINAHI	abvd	BELLY	abvd_14_belly_19
tindɨg	tindɨg	TINDIG	abvd	STAND	abvd_52_tostand_20
tolo	tolo	TOLO	abvd	THREE	abvd_199_three_1
toma	toma	TOMA	abvd	LOUSE	abvd_108_louse_3
torog	torog	TOROG	abvd	SLEEP	abvd_48_tosleep_1
toʔig	toʔig	TOHIG	abvd	YEAR	abvd_169_year_25
toʔo	toʔo	TOHO	abvd	RIGHT	abvd_3_right_5
wala	wala	WALA	abvd	LEFT	abvd_2_left_25
walo	walo	WALO	abvd	EIGHT	abvd_204_eight_3
ʔababaʔ	ʔababaʔ	HABABAH	abvd	SHORT	abvd_154_short_54
