Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ad͡ʒikan	adʒikan	ADSIKAN	northeuralex	YOUNG	-
ad͡ʒikɤ	adʒikɤ	ADSIK	northeuralex	SMALL	-
ad͡ʒikɤ_ad͡ʒikɤ	adʒikɤadʒikɤ	ADSIKADSIK	northeuralex	A LITTLE	-
ad͡ʒirkalampi	adʒirkalampi	ADSIRKALAMPI	northeuralex	906_cover	-
afan	afan	APAN	northeuralex	438_fight	-
ai	ai	AI	northeuralex	WHAT	-
ai_sɤmɤ	aisɤmɤ	AISM	northeuralex	WHY	-
ai_tʰurkun	aitʰurkun	AITURKUN	northeuralex	WHY	-
aifini	aifini	AIPINI	northeuralex	ALREADY	-
aikʰa_ɔxɔtɤ	aikʰaɔxɔtɤ	AIKAOKOT	northeuralex	ALWAYS	-
ainamɤ	ainamɤ	AINAM	northeuralex	HOW	-
aipa	aipa	AIPA	northeuralex	WHERE	-
aipitɤ	aipitɤ	AIPIT	northeuralex	WHITHER (WHERE TO)	-
aisilan	aisilan	AISILAN	northeuralex	HELP (ASSISTANCE)	-
aisin	aisin	AISIN	northeuralex	GOLD	-
aitakan	aitakan	AITAKAN	northeuralex	SHOULDER	-
aitʰumpi	aitʰumpi	AITUMPI	northeuralex	RECOVER	-
aixa_ʃuʃu	aixaʃuʃu	AIKASUSU	northeuralex	GRAIN	-
aka	aka	AKA	northeuralex	RAIN (PRECIPITATION)	-
aka_tampi	akatampi	AKATAMPI	northeuralex	RAIN (RAINING)	-
akampi	akampi	AKAMPI	northeuralex	RAIN (RAINING)	-
akʰd͡ʒampi	akʰdʒampi	AKDSAMPI	northeuralex	THUNDER (VERB)	-
akʰd͡ʒan	akʰdʒan	AKDSAN	northeuralex	THUNDER	-
akʰijapumpi	akʰijapumpi	AKIYAPUMPI	northeuralex	SMOKE (EMIT SMOKE)	-
akʰsun_ta	akʰsunta	AKSUNTA	northeuralex	THROAT	-
akʰtampi	akʰtampi	AKTAMPI	northeuralex	BELIEVE	-
akʰtulampi	akʰtulampi	AKTULAMPI	northeuralex	PROTECT	-
akʰtun	akʰtun	AKTUN	northeuralex	SOLID	-
akʰtuŋka	akʰtuŋka	AKTUNKA	northeuralex	SOLID	-
akʰʊnamɤ	akʰʊnamɤ	AKUNAM	northeuralex	EVERYWHERE	-
ala	ala	ALA	northeuralex	HILL	-
alampi	alampi	ALAMPI	northeuralex	TELL	-
ald͡ʒampi	aldʒampi	ALDSAMPI	northeuralex	775_depart	-
alijampi	alijampi	ALIYAMPI	northeuralex	WAIT (FOR)	-
alimpi	alimpi	ALIMPI	northeuralex	885_get	-
alimɤ_kaimpi	alimɤkaimpi	ALIMKAIMPI	northeuralex	885_get	-
alin	alin	ALIN	northeuralex	MOUNTAIN	-
alkintʰu	alkintʰu	ALKINTU	northeuralex	571_famous	-
alkitampi	alkitampi	ALKITAMPI	northeuralex	COMMEND	-
altasi	altasi	ALTASI	northeuralex	DEATH	-
alxʊtan	alxʊtan	ALKUTAN	northeuralex	PATTERN	-
ama	ama	AMA	northeuralex	FATHER	-
amaka	amaka	AMAKA	northeuralex	589_later	-
amaka_inɤŋki	amakainɤŋki	AMAKAINNKI	northeuralex	589_later	-
amala	amala	AMALA	northeuralex	BEHIND	-
amari	amari	AMARI	northeuralex	AFTERWARDS	-
amarki	amarki	AMARKI	northeuralex	NORTH	-
amd͡ʒi	amdʒi	AMDSI	northeuralex	BROTHER	-
amkampi	amkampi	AMKAMPI	northeuralex	SLEEP	-
ampa	ampa	AMPA	northeuralex	BIG	-
ampula	ampula	AMPULA	northeuralex	VERY	-
amrki	amrki	AMRKI	northeuralex	BEHIND	-
amtulampi	amtulampi	AMTULAMPI	northeuralex	GLUE	-
amtʰalampi	amtʰalampi	AMTALAMPI	northeuralex	TRY	-
amtʰan	amtʰan	AMTAN	northeuralex	ODOR (SMELL)	-
amtʰan_simtʰɤn	amtʰansimtʰɤn	AMTANSIMTN	northeuralex	TASTE	-
amtʰaŋka	amtʰaŋka	AMTANKA	northeuralex	TASTY	-
amt͡ʃampi	amtʃampi	AMTSAMPI	northeuralex	BOLT (MOVE IN HASTE)	-
amt͡ʃanampi	amtʃanampi	AMTSANAMPI	northeuralex	RUSTLE (OF LEAVES)	-
amu	amu	AMU	northeuralex	SLEEP (STATE)	-
anami	anami	ANAMI	northeuralex	ELK	-
anampi	anampi	ANAMPI	northeuralex	PUSH	-
anija_pija	anijapija	ANIYAPIYA	northeuralex	JANUARY	-
ant_kɤtʰɤmpi	antkɤtʰɤmpi	ANTKTMPI	northeuralex	WAKE UP	-
antantɤ	antantɤ	ANTANT	northeuralex	INSTANTLY (IMMEDIATELY)	-
antʰaxa	antʰaxa	ANTAKA	northeuralex	GUEST	-
antʰuxʊri	antʰuxʊri	ANTUKURI	northeuralex	COLD	-
apkʰa	apkʰa	APKA	northeuralex	SKY	-
apkʰai_sukʰtun	apkʰaisukʰtun	APKAISUKTUN	northeuralex	AIR	-
aptaxa	aptaxa	APTAKA	northeuralex	LEAF	-
apuri	apuri	APURI	northeuralex	EVIL	-
arampi	arampi	ARAMPI	northeuralex	DO	-
arpuʃampi	arpuʃampi	ARPUSAMPI	northeuralex	MOVE (ONESELF)	-
arta	arta	ARTA	northeuralex	NEW	-
asi	asi	ASI	northeuralex	VERY	-
asixa	asixa	ASIKA	northeuralex	YOUNG	-
asxa	asxa	ASKA	northeuralex	WING	-
asxan	asxan	ASKAN	northeuralex	SIDE	-
ataramɤ	ataramɤ	ATARAM	northeuralex	HOW	-
atulampi	atulampi	ATULAMPI	northeuralex	HERD (SOMETHING)	-
atʰaŋki_ɔt͡ʃipɤ	atʰaŋkiɔtʃipɤ	ATANKIOTSIP	northeuralex	SOON	-
at͡ʃampi	atʃampi	ATSAMPI	northeuralex	VISIT	-
at͡ʃapumpi	atʃapumpi	ATSAPUMPI	northeuralex	EMERGE (APPEAR)	-
at͡ʃin	atʃin	ATSIN	northeuralex	LOAD	-
at͡ʃixa	atʃixa	ATSIKA	northeuralex	LOAD	-
axʊn	axʊn	AKUN	northeuralex	BROTHER	-
aŋka	aŋka	ANKA	northeuralex	MOUTH	-
aŋka_ɔd͡ʒɔmpi	aŋkaɔdʒɔmpi	ANKAODSOMPI	northeuralex	KISS	-
aŋkalampi	aŋkalampi	ANKALAMPI	northeuralex	ASK (REQUEST)	-
aŋkasimpi	aŋkasimpi	ANKASIMPI	northeuralex	TRY	-
aʃʃampi	aʃʃampi	ASSAMPI	northeuralex	MOVE (ONESELF)	-
d͡ʒa	dʒa	DSA	northeuralex	CHEAP	-
d͡ʒad͡ʒuri	dʒadʒuri	DSADSURI	northeuralex	DENSE	-
d͡ʒafakʰʊ	dʒafakʰʊ	DSAPAKU	northeuralex	HANDLE	-
d͡ʒafampi	dʒafampi	DSAPAMPI	northeuralex	SEIZE	-
d͡ʒafu	dʒafu	DSAPU	northeuralex	WOOL	-
d͡ʒakʰa	dʒakʰa	DSAKA	northeuralex	GAP (DISTANCE)	-
d͡ʒakʰatɤ	dʒakʰatɤ	DSAKAT	northeuralex	IN FRONT OF	-
d͡ʒakʰsun	dʒakʰsun	DSAKSUN	northeuralex	FIR	-
d͡ʒakʰtan	dʒakʰtan	DSAKTAN	northeuralex	PINE	-
d͡ʒakʰʊn	dʒakʰʊn	DSAKUN	northeuralex	EIGHT	-
d͡ʒakʰʊn_pija	dʒakʰʊnpija	DSAKUNPIYA	northeuralex	AUGUST	-
d͡ʒakʰʊnd͡ʒu	dʒakʰʊndʒu	DSAKUNDSU	northeuralex	EIGHTY	-
d͡ʒalakʰtʰan	dʒalakʰtʰan	DSALAKTAN	northeuralex	SPACE (AVAILABLE)	-
d͡ʒalan	dʒalan	DSALAN	northeuralex	SHOP	-
d͡ʒalkijampi	dʒalkijampi	DSALKIYAMPI	northeuralex	ADD	-
d͡ʒaltampi	dʒaltampi	DSALTAMPI	northeuralex	SWINDLE	-
d͡ʒalu	dʒalu	DSALU	northeuralex	FULL	-
d͡ʒand͡ʒuri	dʒandʒuri	DSANDSURI	northeuralex	BERRY	-
d͡ʒant͡ʃuxʊn	dʒantʃuxʊn	DSANTSUKUN	northeuralex	SWEET	-
d͡ʒasikan	dʒasikan	DSASIKAN	northeuralex	LETTER	-
d͡ʒat͡ʃin	dʒatʃin	DSATSIN	northeuralex	OTHER	-
d͡ʒaxʊtai	dʒaxʊtai	DSAKUTAI	northeuralex	BOAT	-
d͡ʒid͡ʒumpi	dʒidʒumpi	DSIDSUMPI	northeuralex	WRITE	-
d͡ʒid͡ʒun	dʒidʒun	DSIDSUN	northeuralex	STROKE (OF PEN)	-
d͡ʒilaŋka	dʒilaŋka	DSILANKA	northeuralex	GENTLE	-
d͡ʒilkan	dʒilkan	DSILKAN	northeuralex	VOICE	-
d͡ʒilkʰin	dʒilkʰin	DSILKIN	northeuralex	LOCK	-
d͡ʒilun	dʒilun	DSILUN	northeuralex	POOR	-
d͡ʒimpi	dʒimpi	DSIMPI	northeuralex	COME	-
d͡ʒipkɤ	dʒipkɤ	DSIPK	northeuralex	STINGY	-
d͡ʒira	dʒira	DSIRA	northeuralex	DENSE	-
d͡ʒiramin	dʒiramin	DSIRAMIN	northeuralex	THICK	-
d͡ʒixa	dʒixa	DSIKA	northeuralex	MONEY	-
d͡ʒiŋ	dʒiŋ	DSIN	northeuralex	OFTEN	-
d͡ʒui	dʒui	DSUI	northeuralex	CHILD (YOUNG HUMAN)	-
d͡ʒukʊn	dʒukʊn	DSUKUN	northeuralex	DISTANCE	-
d͡ʒulɤrki	dʒulɤrki	DSULRKI	northeuralex	SOUTH	-
d͡ʒulɤsi	dʒulɤsi	DSULSI	northeuralex	FORWARD	-
d͡ʒun	dʒun	DSUN	northeuralex	VEIN	-
d͡ʒupɤn	dʒupɤn	DSUPN	northeuralex	FAIRY TALE	-
d͡ʒurkan	dʒurkan	DSURKAN	northeuralex	286_row	-
