Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aliali	aliali	ALIALI	abvd	WALK	abvd_5_towalk_10
ani	ani	ANI	abvd	EAT	abvd_37_toeat_1
ariβi	arii	ARII	abvd	RAT	abvd_102_rat_18
asi	asi	ASI	abvd	ROPE	abvd_65_rope_58
asu-	asu	ASU	abvd	DUST	abvd_11_dust_41
atisiβo	atisio	ATISIO	abvd	BITE	abvd_41_tobite_1
aβenie	aenie	AENIE	abvd	WHERE	abvd_181_where_3
aᵐpu	apu	APU	abvd	FIRE	abvd_143_fire_19
aᵑkeaᵑke-	akeake	AKEAKE	abvd	RIGHT	abvd_3_right_72
ese	ese	ESE	abvd	ONE	abvd_197_one_1
etˢa	eta	ETA	abvd	GREEN	abvd_151_green_8
eβia	eia	EIA	abvd	COUNT	abvd_196_tocount_70
ila-βuni	ilauni	ILAUNI	abvd	KILL	abvd_74_tokill_68
ima	ima	IMA	abvd	HOUSE	abvd_61_house_1
inia	inia	INIA	abvd	HE OR SHE	abvd_184_heshe_1
ire	ire	IRE	abvd	THEY	abvd_187_they_1
ise-	ise	ISE	abvd	NAME	abvd_63_name_1
isei	isei	ISEI	abvd	WHO	abvd_189_who_1
iᵑke	ike	IKE	abvd	WE	abvd_185_we_47
iᵑko	iko	IKO	abvd	THOU	abvd_183_thou_1
kaui	kaui	KAUI	abvd	HOLD	abvd_89_tohold_3
kokono	kokono	KOKONO	abvd	LIE DOWN	abvd_49_toliedown_65
lani	lani	LANI	abvd	WIND	abvd_136_wind_1
lasiβo	lasio	LASIO	abvd	HIT	-
laᵐpa	lapa	LAPA	abvd	BIG	abvd_153_big_10
leβine	leine	LEINE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
lima	lima	LIMA	abvd	HAND	abvd_1_hand_1
lima-raβu	limarau	LIMARAU	abvd	SIX	abvd_202_six_35
loto	loto	LOTO	abvd	SPIT	abvd_36_tospit_37
lo·	lo	LO	abvd	BLACK	abvd_147_black_40
loβiau	loiau	LOIAU	abvd	FOREST	abvd_127_woodsforest_2
loᵐboloᵐbo	lobolobo	LOBOLOBO	abvd	FOG	abvd_132_fog_65
loᵐpoloᵐpo	lopolopo	LOPOLOPO	abvd	CLOUD	abvd_131_cloud_95
loᵑkoloᵑko	lokoloko	LOKOLOKO	abvd	BAD OR EVIL	abvd_165_badevil_102
lua	lua	LUA	abvd	VOMIT	abvd_35_tovomit_8
malau	malau	MALAU	abvd	SLEEP	abvd_48_tosleep_60
mamasa	mamasa	MAMASA	abvd	GOOD	abvd_164_good_57
mamaβu	mamau	MAMAU	abvd	ASH	abvd_146_ashes_1
mani	mani	MANI	abvd	SQUEEZE	abvd_88_tosqueeze_70
mano	mano	MANO	abvd	BIRD	abvd_97_bird_1
marau	marau	MARAU	abvd	LEFT	abvd_2_left_2
marimaria	marimaria	MARIMARIA	abvd	YELLOW	-
marita	marita	MARITA	abvd	SNAKE	abvd_106_snake_12
mariᵐpiriᵐpi	maripiripi	MARIPIRIPI	abvd	COLD	abvd_139_cold_113
masomaso	masomaso	MASOMASO	abvd	WET	abvd_141_wet_49
mata-	mata	MATA	abvd	EYE	abvd_45_eye_1
matau	matau	MATAU	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
mate	mate	MATE	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
matˢa	mata	MATA	abvd	STICK	abvd_79_stickwood_24
matˢi	mati	MATI	abvd	FISH	abvd_111_fish_53
mauri	mauri	MAURI	abvd	BE ALIVE	abvd_76_tolivebealive_1
meme-	meme	MEME	abvd	TONGUE	abvd_32_tongue_7
metˢo	meto	METO	abvd	COOK (SOMETHING)	abvd_39_tocook_78
mui	mui	MUI	abvd	MOSQUITO	abvd_109_mosquito_1
nalusu-	nalusu	NALUSU	abvd	NOSE	abvd_27_nose_1
nasaβa	nasaa	NASAA	abvd	WHAT	abvd_188_what_1
natu-	natu	NATU	abvd	CHILD	abvd_56_child_5
nisa	nisa	NISA	abvd	LAUGH	abvd_33_tolaugh_91
nura	nura	NURA	abvd	BREATHE	abvd_28_tobreathe_74
one	one	ONE	abvd	SAND	abvd_121_sand_1
ora-	ora	ORA	abvd	ROOT	abvd_115_root_2
ra-ᵐpati	rapati	RAPATI	abvd	NINE	abvd_205_nine_20
rani	rani	RANI	abvd	DAY (NOT NIGHT)	abvd_168_day_6
rau-	rau	RAU	abvd	LEAF	abvd_114_leaf_1
raβu-rua	raurua	RAURUA	abvd	SEVEN	abvd_203_seven_13
raβu-tolu	rautolu	RAUTOLU	abvd	EIGHT	abvd_204_eight_5
rioni	rioni	RIONI	abvd	SEE	abvd_46_tosee_14
ririseni	ririseni	RIRISENI	abvd	TURN	abvd_8_toturn_34
