Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abu	abu	ABU	abvd	ASH	abvd_146_ashes_1
adiʔ	adiʔ	ADIH	abvd	CHILD	-
agiʔ	agiʔ	AGIH	abvd	COME	abvd_7_tocome_1
akuoi	akuoi	AKUOI	abvd	I	abvd_182_i_1
alit	alit	ALIT	abvd	ROPE	-
amaʔ	amaʔ	AMAH	abvd	FATHER	abvd_60_father_1
ampil	ampil	AMPIL	abvd	NEAR	abvd_179_near_25
arab	arab	ARAB	abvd	THROW	-
atop	atop	ATOP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
a|ka	aka	AKA	abvd	IF	abvd_193_if_1
bagaŋ	baga	BAGA	abvd	TOOTH	abvd_31_tooth_53
baloi	baloi	BALOI	abvd	HOUSE	abvd_61_house_14
barotag	barotag	BAROTAG	abvd	BLUNT	-
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
bayaʔ	bayaʔ	BAUAH	abvd	WALK	-
baŋit	bait	BAIT	abvd	BITE	-
bibig	bibig	BIBIG	abvd	MOUTH	abvd_30_mouth_32
bo	bo	BO	abvd	AND	abvd_192_and_27
bobai	bobai	BOBAI	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bonok	bonok	BONOK	abvd	GRASS	-
botak	botak	BOTAK	abvd	SPLIT	-
boyod	boyod	BOUOD	abvd	RAT	-
boŋolan	boolan	BOOLAN	abvd	EAR	abvd_43_ear_13
bubul	bubul	BUBUL	abvd	FEATHER	abvd_99_feather_1
bukat	bukat	BUKAT	abvd	OPEN	abvd_92_toopenuncover_1
bukaʔ	bukaʔ	BUKAH	abvd	OPEN	abvd_92_toopenuncover_1
bulan	bulan	BULAN	abvd	MOON	abvd_129_moon_1
buloi	buloi	BULOI	abvd	HUSBAND	-
buok	buok	BUOK	abvd	HAIR	abvd_26_hair_1
butaʔ	butaʔ	BUTAH	abvd	EARTH (SOIL)	abvd_119_earthsoil_25
buŋai	buai	BUAI	abvd	FRUIT	abvd_117_fruit_9
buŋaion	buaion	BUAION	abvd	SAND	abvd_121_sand_23?
buŋan	buan	BUAN	abvd	FLOWER	abvd_116_flower_1
dagat	dagat	DAGAT	abvd	SEA	abvd_124_sea_25
dalan	dalan	DALAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
danow	danow	DANOW	abvd	LAKE	abvd_126_lake_1
dapuŋ	dapu	DAPU	abvd	BURN	-
daun	daun	DAUN	abvd	LEAF	abvd_114_leaf_1
deewa	deewa	DEEWA	abvd	TWO	abvd_198_two_1
dewa mopulu	dewamopulu	DEWAMOPULU	abvd	TWENTY	abvd_207_twenty_3
deyowa	deyowa	DEUOWA	abvd	TWO	abvd_198_two_1
diaʔ	diaʔ	DIAH	abvd	NO OR NOT	abvd_195_nonot_2
dilaʔ	dilaʔ	DILAH	abvd	TONGUE	abvd_32_tongue_4
do-dagum	dodagum	DODAGUM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
domok	domok	DOMOK	abvd	HOLD	-
dua	dua	DUA	abvd	TWO	abvd_198_two_1
duduʔ	duduʔ	DUDUH	abvd	FALL	-
duguʔ	duguʔ	DUGUH	abvd	BLOOD	abvd_23_blood_16
eteʔ	eteʔ	ETEH	abvd	BREAST	abvd_18_breast_6
ginabui	ginabui	GINABUI	abvd	DUST	-
gobii	gobii	GOBII	abvd	NIGHT	abvd_167_night_21
gotup	gotup	GOTUP	abvd	THUNDER	-
ibanya	ibanya	IBANUA	abvd	OTHER	abvd_190_other_12
ikow	ikow	IKOW	abvd	THOU	abvd_183_thou_1
inaʔ	inaʔ	INAH	abvd	MOTHER	abvd_59_mother_1
ine	ine	INE	abvd	WHO	abvd_189_who_14
intau	intau	INTAU	abvd	PERSON	abvd_53_personhumanbeing_1
intaʔ	intaʔ	INTAH	abvd	ONE	-
iput	iput	IPUT	abvd	TAIL	abvd_105_tail_30
kaan	kaan	KAAN	abvd	EAT	abvd_37_toeat_1
kami	kami	KAMI	abvd	WE	abvd_185_we_2
kayu	kayu	KAUU	abvd	STICK	abvd_79_stickwood_1
kayuon	kayuon	KAUUON	abvd	FOREST	abvd_127_woodsforest_2
kilat	kilat	KILAT	abvd	LIGHTNING	abvd_135_lightning_1
kita	kita	KITA	abvd	WE	abvd_185_we_1
ko	ko	KO	abvd	AT	abvd_173_at_15
kolikip	kolikip	KOLIKIP	abvd	WING	-
koloanan	koloanan	KOLOANAN	abvd	RIGHT	abvd_3_right_1
koloïgi	kologi	KOLOGI	abvd	LEFT	abvd_2_left_1
komintan	komintan	KOMINTAN	abvd	ALL	-
kompoŋ	kompo	KOMPO	abvd	INTESTINES	-
kosiŋ	kosi	KOSI	abvd	LAUGH	abvd_33_tolaugh_41
kulit	kulit	KULIT	abvd	SKIN	abvd_12_skin_1
kuliʔ	kuliʔ	KULIH	abvd	SKIN	abvd_12_skin_1
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
l-um-ayug	lumayug	LUMAUUG	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_43
lagapan	lagapan	LAGAPAN	abvd	BIRD	-
laŋit	lait	LAIT	abvd	SKY	abvd_128_sky_1
laŋui	laui	LAUI	abvd	SWIM	abvd_9_toswim_1
likud	likud	LIKUD	abvd	BACK	abvd_13_back_1
lima	lima	LIMA	abvd	HAND	abvd_1_hand_1
lima nopuluʔ	limanopuluʔ	LIMANOPULUH	abvd	FIFTY	abvd_208_fifty_1
lituʔ	lituʔ	LITUH	abvd	SIT	abvd_51_tosit_44
liu	liu	LIU	abvd	TURN	abvd_8_toturn_2
lobud	lobud	LOBUD	abvd	DUST	-
lokutoi	lokutoi	LOKUTOI	abvd	CLOUD	-
lolaki	lolaki	LOLAKI	abvd	MALE PERSON	abvd_54_manmale_2
loŋoʔ	looʔ	LOOH	abvd	FAT (ORGANIC SUBSTANCE)	-
ma-lanit	malanit	MALANIT	abvd	SHARP	abvd_81_sharp_43
mata	mata	MATA	abvd	EYE	abvd_45_eye_1
matoi	matoi	MATOI	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
mo-bagu	mobagu	MOBAGU	abvd	NEW	abvd_163_new_1
mo-baŋkal	mobakal	MOBAKAL	abvd	SHY OR ASHAMED	-
mo-belek	mobelek	MOBELEK	abvd	COLD	-
mo-biag	mobiag	MOBIAG	abvd	BE ALIVE	abvd_76_tolivebealive_15
mo-bo-bagaʔ	mobobagaʔ	MOBOBAGAH	abvd	SWELL	abvd_87_toswell_1
mo-bobat	mobobat	MOBOBAT	abvd	WET	abvd_141_wet_1
mo-bogat	mobogat	MOBOGAT	abvd	HEAVY	abvd_142_heavy_1
mo-bokag	mobokag	MOBOKAG	abvd	DRY	-
mo-bunod	mobunod	MOBUNOD	abvd	THICK	-
mo-buruk	moburuk	MOBURUK	abvd	ROTTEN	abvd_112_rotten_1
mo-buyuk	mobuyuk	MOBUUUK	abvd	ROTTEN	abvd_112_rotten_1
mo-darag	modarag	MODARAG	abvd	YELLOW	abvd_150_yellow_38
mo-dayag	modayag	MODAUAG	abvd	YELLOW	abvd_150_yellow_38
mo-dodok	mododok	MODODOK	abvd	POUND	abvd_93_topoundbeat_21
mo-duŋuʔ	moduuʔ	MODUUH	abvd	COOK (SOMETHING)	-
mo-gamal	mogamal	MOGAMAL	abvd	WORK (ACTIVITY)	-
mo-gina	mogina	MOGINA	abvd	BREATHE	abvd_28_tobreathe_1
mo-gorod	mogorod	MOGOROD	abvd	SQUEEZE	-
mo-guraŋ	mogura	MOGURA	abvd	OLD	abvd_162_old_21
mo-kali	mokali	MOKALI	abvd	DIG	abvd_90_todig_1
mo-kogoŋ	mokogo	MOKOGO	abvd	SHORT	-
mo-kukud	mokukud	MOKUKUD	abvd	SCRATCH	abvd_77_toscratch_23
mo-laŋgoʔ	molagoʔ	MOLAGOH	abvd	LONG	abvd_155_long_22
mo-loben	moloben	MOLOBEN	abvd	BIG	-
mo-lunow	molunow	MOLUNOW	abvd	GREEN	abvd_151_green_33
mo-miliʔ	momiliʔ	MOMILIH	abvd	CHOOSE	abvd_85_tochoose_1
mo-miot	momiot	MOMIOT	abvd	SHOOT	-
mo-mula	momula	MOMULA	abvd	PLANT (SOMETHING)	abvd_84_toplant_1
mo-muni	momuni	MOMUNI	abvd	HIDE	abvd_171_tohide_1
mo-nagaʔ	monagaʔ	MONAGAH	abvd	CUT OR HACK	-
mo-nakow	monakow	MONAKOW	abvd	STEAL	abvd_73_tosteal_1
mo-nipit	monipit	MONIPIT	abvd	THIN	abvd_156_thin_1
mo-ondok	moondok	MOONDOK	abvd	FEAR (BE AFRAID)	abvd_22_tofear_32
mo-patuʔ	mopatuʔ	MOPATUH	abvd	WARM	abvd_138_warm_26
mo-pia	mopia	MOPIA	abvd	GOOD	abvd_164_good_1
mo-pira	mopira	MOPIRA	abvd	GOOD	abvd_164_good_1
mo-ponik	moponik	MOPONIK	abvd	CLIMB	abvd_172_toclimb_1
mo-pura	mopura	MOPURA	abvd	RED	abvd_149_red_28
mo-pusiʔ	mopusiʔ	MOPUSIH	abvd	WHITE	abvd_148_white_1
mo-puya	mopuya	MOPUUA	abvd	RED	abvd_149_red_28
mo-raat	moraat	MORAAT	abvd	BAD OR EVIL	abvd_165_badevil_1
mo-raruʔ	moraruʔ	MORARUH	abvd	FAR	abvd_180_far_1
mo-romuʔ	moromuʔ	MOROMUH	abvd	DIRTY	abvd_10_dirty_32
mo-rondiʔ	morondiʔ	MORONDIH	abvd	BLACK	abvd_147_black_36
mo-rupit	morupit	MORUPIT	abvd	NARROW	-
mo-ruŋag	moruag	MORUAG	abvd	WIDE	-
mo-siug	mosiug	MOSIUG	abvd	SLEEP	-
mo-taau	motaau	MOTAAU	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_1
mo-takit	motakit	MOTAKIT	abvd	PAINFUL OR SICK	abvd_160_painfulsick_1
mo-talui	motalui	MOTALUI	abvd	BUY	abvd_91_tobuy_20
mo-yaat	moyaat	MOUAAT	abvd	BAD OR EVIL	abvd_165_badevil_1
mo-yayuʔ	moyayuʔ	MOUAUUH	abvd	FAR	abvd_180_far_1
mo-yomuʔ	moyomuʔ	MOUOMUH	abvd	DIRTY	abvd_10_dirty_32
mo-yondiʔ	moyondiʔ	MOUONDIH	abvd	BLACK	abvd_147_black_36
mo-ïlig	molig	MOLIG	abvd	FLOW	abvd_123_toflow_27
mo-ïntok	montok	MONTOK	abvd	SMALL	abvd_152_small_49
mog-alow	mogalow	MOGALOW	abvd	HUNT	abvd_69_tohunt_1
mog-asaŋ	mogasa	MOGASA	abvd	FASTEN	-
mog-dagum	mogdagum	MOGDAGUM	abvd	SEW	-
mog-irup	mogirup	MOGIRUP	abvd	BLOW (OF WIND)	abvd_137_toblow_1
mog-ontob	mogontob	MOGONTOB	abvd	THINK	-
moko-doŋog	mokodoog	MOKODOOG	abvd	HEAR	abvd_44_tohear_1
mon-duyaʔ	monduyaʔ	MONDUUAH	abvd	SPIT	abvd_36_tospit_1
mopulu	mopulu	MOPULU	abvd	TEN	abvd_206_ten_5
mosia	mosia	MOSIA	abvd	THEY	abvd_187_they_51
moto-tukaʔ	mototukaʔ	MOTOTUKAH	abvd	VOMIT	abvd_35_tovomit_17
moïkow	mokow	MOKOW	abvd	YOU	abvd_186_you_21
moŋ-iap	moiap	MOIAP	abvd	COUNT	abvd_196_tocount_2
moŋ-inum	moinum	MOINUM	abvd	DRINK	abvd_40_todrink_1
moŋ-ombal	moombal	MOOMBAL	abvd	CRY	-
moŋ-ontoŋ	moonto	MOONTO	abvd	SEE	abvd_46_tosee_25
moŋ-oŋ-uab	moouab	MOOUAB	abvd	YAWN	abvd_47_toyawn_19
naa	naa	NAA	abvd	THIS	abvd_177_this_8
naanda	naanda	NAANDA	abvd	HOW	abvd_194_how_29
natu	natu	NATU	abvd	EGG	abvd_98_egg_17
o monag	omonag	OMONAG	abvd	BELOW OR UNDER	-
o monik	omonik	OMONIK	abvd	ABOVE	-
obaga	obaga	OBAGA	abvd	SHOULDER	abvd_19_shoulder_1
oluasi	oluasi	OLUASI	abvd	WORM	abvd_107_wormearthworm_1
onda	onda	ONDA	abvd	WHERE	abvd_181_where_1
onom	onom	ONOM	abvd	SIX	abvd_202_six_1
onu	onu	ONU	abvd	WHAT	abvd_188_what_2
opat	opat	OPAT	abvd	FOUR	abvd_200_four_1
oyok	oyok	OUOK	abvd	SMOKE (EXHAUST)	abvd_145_smoke_22
patoi	patoi	PATOI	abvd	KILL	abvd_74_tokill_2
paŋkul	pakul	PAKUL	abvd	HIT	abvd_72_tohit_27
pitu	pitu	PITU	abvd	SEVEN	abvd_203_seven_1
sia	sia	SIA	abvd	HE OR SHE	abvd_184_heshe_1
sian	sian	SIAN	abvd	BELLY	abvd_14_belly_1
sidalom	sidalom	SIDALOM	abvd	LIVER	-
simuton	simuton	SIMUTON	abvd	SALT	abvd_125_salt_17
sindog	sindog	SINDOG	abvd	STAND	abvd_52_tostand_20
sindun	sindun	SINDUN	abvd	NECK	-
siol	siol	SIOL	abvd	FOOT OR LEG	-
siug	siug	SIUG	abvd	LIE DOWN	-
siŋgai	sigai	SIGAI	abvd	DAY (NOT NIGHT)	abvd_168_day_62
t-um-ogo-ïnop	tumogonop	TUMOGONOP	abvd	DREAM (SOMETHING)	abvd_50_todream_30
t-um-otop	tumotop	TUMOTOP	abvd	SUCK	-
taoŋ	tao	TAO	abvd	YEAR	abvd_169_year_1
tapuot	tapuot	TAPUOT	abvd	FOG	abvd_132_fog_28
tapuʔ	tapuʔ	TAPUH	abvd	FLESH OR MEAT	abvd_103_meatflesh_29
taŋa	taa	TAA	abvd	BRANCH	abvd_113_branch_2
taŋoi	taoi	TAOI	abvd	NAME	abvd_63_name_13
to-tuu	totuu	TOTUU	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_6
tolu	tolu	TOLU	abvd	THREE	abvd_199_three_1
tompot	tompot	TOMPOT	abvd	WIND	-
tontolawaʔ	tontolawaʔ	TONTOLAWAH	abvd	SPIDER	abvd_110_spider_1
toonu	toonu	TOONU	abvd	WHEN	abvd_170_when_10
topaʔ	topaʔ	TOPAH	abvd	CHEW	-
toyaʔ	toyaʔ	TOUAH	abvd	FISH	-
toŋut	tout	TOUT	abvd	SMELL (PERCEIVE)	-
tua	tua	TUA	abvd	THAT	abvd_178_that_16
tubig	tubig	TUBIG	abvd	WATER	abvd_122_water_14
tulan	tulan	TULAN	abvd	BONE	abvd_15_bone_1
tulaŋ	tula	TULA	abvd	BONE	abvd_15_bone_1
tuluʔ	tuluʔ	TULUH	abvd	FIRE	abvd_143_fire_12
tumbal	tumbal	TUMBAL	abvd	STAB	-
tundi	tundi	TUNDI	abvd	STAR	abvd_130_star_75
uakat	uakat	UAKAT	abvd	ROOT	abvd_115_root_2
ulag	ulag	ULAG	abvd	SNAKE	abvd_106_snake_2
ulaŋ	ula	ULA	abvd	ROPE	abvd_65_rope_42
ulu	ulu	ULU	abvd	HEAD	abvd_24_head_1
uman	uman	UMAN	abvd	SAY	abvd_64_tosay_58
uyan	uyan	UUAN	abvd	RAIN (PRECIPITATION)	abvd_133_rain_1
uŋkuʔ	ukuʔ	UKUH	abvd	DOG	abvd_96_dog_20
wolu	wolu	WOLU	abvd	EIGHT	abvd_204_eight_3
yo	yo	UO	abvd	AND	abvd_192_and_27
yoŋit	yoit	UOIT	abvd	MOSQUITO	abvd_109_mosquito_22
ŋipon	ipon	IPON	abvd	TOOTH	abvd_31_tooth_1
ŋiruŋ	iru	IRU	abvd	NOSE	abvd_27_nose_1
ŋiuŋ	iu	IU	abvd	NOSE	abvd_27_nose_1
