Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-fa	fa	PA	abvd	WHERE	abvd_181_where_3
-fé	f	P	abvd	NEW	abvd_163_new_1
-kámi	kmi	KMI	abvd	YOU	abvd_186_you_1
-kú	k	K	abvd	BURN	abvd_144_toburn_10
-mmoot	mmoot	MMOOT	abvd	COOK (SOMETHING)	abvd_39_tocook_19
-mʷmʷe	mme	MME	abvd	SLEEP	-
-mʷu	mu	MU	abvd	THAT	abvd_178_that_11
-mʷuu-n	muun	MUUN	abvd	THAT	abvd_178_that_11
-pwúkú	pwk	PWK	abvd	HUNDRED	abvd_209_onehundred_20
-se	se	SE	abvd	NO OR NOT	abvd_195_nonot_4
-yé	y	U	abvd	WHO	abvd_189_who_9
-ŋee-t	eet	EET	abvd	WHEN	abvd_170_when_1
-ŋé-réw	rw	RW	abvd	THOUSAND	abvd_210_onethousand_17
a-rapa-	arapa	ARAPA	abvd	NEAR	abvd_179_near_13
a:l	al	AL	abvd	PATH OR ROAD	abvd_6_roadpath_1
a:pw	apw	APW	abvd	NO OR NOT	-
aal	aal	AAL	abvd	PATH OR ROAD	abvd_6_roadpath_1
aikarɛ	aikarɛ	AIKARE	abvd	SCRATCH	abvd_77_toscratch_12
aikér	aikr	AIKR	abvd	SCRATCH	abvd_77_toscratch_12
aja	aja	AYA	abvd	WHERE	abvd_181_where_3
akarakarej	akarakarej	AKARAKAREY	abvd	SCRATCH	abvd_77_toscratch_12
akiaki:	akiaki	AKIAKI	abvd	THINK	abvd_21_tothink_12
al:ɛanej	alɛanej	ALEANEY	abvd	COUNT	-
al:ɛm	alɛm	ALEM	abvd	GOOD	-
ala-	ala	ALA	abvd	PATH OR ROAD	abvd_6_roadpath_1
amw:o:ta	amwota	AMWOTA	abvd	COOK (SOMETHING)	abvd_39_tocook_19
amwaʃɞʉ	amwaʃɞʉ	AMWASU	abvd	HOLD	abvd_89_tohold_16
anʉan fatɨl	anʉanfatɨl	ANUANPATIL	abvd	GREEN	-
anʉf:a	anʉfa	ANUPA	abvd	STEAL	-
ara-mes	arames	ARAMES	abvd	PERSON	abvd_53_personhumanbeing_67
aramɛs	aramɛs	ARAMES	abvd	PERSON	abvd_53_personhumanbeing_67
arap	arap	ARAP	abvd	NEAR	abvd_179_near_13
araw	araw	ARAW	abvd	GREEN	abvd_151_green_13
arawaraw	arawaraw	ARAWARAW	abvd	GREEN	abvd_151_green_13
asaki-	asaki	ASAKI	abvd	MOTHER	-
ashe	ashe	ASHE	abvd	THROW	abvd_94_tothrow_14
at:ɨf	atɨf	ATIP	abvd	SPIT	abvd_36_tospit_19
atɨnijæf	atɨnijf	ATINIYP	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
atɨŋej	atɨej	ATIEY	abvd	THROW	abvd_94_tothrow_105
awa-	awa	AWA	abvd	MOUTH	abvd_30_mouth_36
awki:ʃ	awkiʃ	AWKIS	abvd	WE	-
awúfar	awfar	AWPAR	abvd	SHOULDER	abvd_19_shoulder_1
awúfara-	awfara	AWPARA	abvd	SHOULDER	abvd_19_shoulder_1
aŋaŋ	aa	AA	abvd	WORK (ACTIVITY)	abvd_83_towork_12
aŋej	aej	AEY	abvd	EAT	abvd_37_toeat_1
aŋɛ	aɛ	AE	abvd	EAT	abvd_37_toeat_1
aʉfara-	aʉfara	AUPARA	abvd	SHOULDER	abvd_19_shoulder_1
e:n	en	EN	abvd	THOU	abvd_183_thou_6
eech	eech	EEKH	abvd	RAT	abvd_102_rat_16
een	een	EEN	abvd	THOU	abvd_183_thou_6
eet	eet	EET	abvd	ONE	abvd_197_one_1
fa:ʉ	faʉ	PAU	abvd	STONE	abvd_120_stone_1
faaw	faaw	PAAW	abvd	STONE	abvd_120_stone_1
fatal	fatal	PATAL	abvd	WALK	abvd_5_towalk_8
fatil	fatil	PATIL	abvd	GRASS	abvd_118_grass_1
fato-ki	fatoki	PATOKI	abvd	PLANT (SOMETHING)	abvd_84_toplant_6
fatɨl	fatɨl	PATIL	abvd	GRASS	abvd_118_grass_1
ffééw	ffw	PPW	abvd	COLD	abvd_139_cold_11
ffót	fft	PPT	abvd	PLANT (SOMETHING)	abvd_84_toplant_6
fi:fi	fifi	PIPI	abvd	LIGHTNING	abvd_135_lightning_34
fi:kej	fikej	PIKEY	abvd	BURN	-
fijej	fijej	PIYEY	abvd	SQUEEZE	abvd_88_tosqueeze_15
fili	fili	PILI	abvd	CHOOSE	abvd_85_tochoose_1
filɛ	filɛ	PILE	abvd	CHOOSE	abvd_85_tochoose_1
fit:o	fito	PITO	abvd	COME	-
fiye-	fiye	PIUE	abvd	SQUEEZE	abvd_88_tosqueeze_15
fotok	fotok	POTOK	abvd	FLESH OR MEAT	abvd_103_meatflesh_10
fáán	fn	PN	abvd	FOUR	abvd_200_four_1
fæ:-	f	P	abvd	BELOW OR UNDER	abvd_176_below_1
fé	f	P	abvd	NEW	abvd_163_new_1
fétal	ftal	PTAL	abvd	WALK	abvd_5_towalk_8
fóól	fl	PL	abvd	GROW	abvd_86_togrow_8
fóólo-nɛ	flonɛ	PLONE	abvd	GROW	abvd_86_togrow_8
fútuko	ftuko	PTUKO	abvd	FLESH OR MEAT	abvd_103_meatflesh_10
fúú	f	P	abvd	STAR	abvd_130_star_1
fɔtokej	fɔtokej	POTOKEY	abvd	PLANT (SOMETHING)	abvd_84_toplant_6
fɞ:tej	fɞtej	PTEY	abvd	FASTEN	abvd_66_totieupfasten_11
fɨlli:	fɨlli	PILLI	abvd	CHOOSE	abvd_85_tochoose_1
fɨsuw	fɨsuw	PISUW	abvd	SEVEN	abvd_203_seven_1
fʉ	fʉ	PU	abvd	STAR	abvd_130_star_1
i-	i	I	abvd	AT	abvd_173_at_1
i:	i	I	abvd	HE OR SHE	abvd_184_heshe_1
i:fɨʃ	ifɨʃ	IPIS	abvd	RIGHT	-
i:k	ik	IK	abvd	FISH	abvd_111_fish_1
i:məŋ	imə	IME	abvd	LEFT	abvd_2_left_13
i:r	ir	IR	abvd	THEY	abvd_187_they_1
iaŋijaŋ	iaija	IAIYA	abvd	BLOW (OF WIND)	abvd_137_toblow_8
iin	iin	IIN	abvd	MOTHER	abvd_59_mother_1
iir	iir	IIR	abvd	THEY	abvd_187_they_1
ijɛr	ijɛr	IYER	abvd	YEAR	-
ijɞ	ijɞ	IY	abvd	WHO	abvd_189_who_9
imwa-	imwa	IMWA	abvd	HOUSE	abvd_61_house_1
ina-	ina	INA	abvd	MOTHER	abvd_59_mother_1
ita-	ita	ITA	abvd	NAME	abvd_63_name_66
iwel	iwel	IWEL	abvd	LIE DOWN	-
iŋɛ:t	iɛt	IET	abvd	WHEN	abvd_170_when_1
ja	ja	YA	abvd	HOW	-
jaʉkis	jaʉkis	YAUKIS	abvd	THIN	-
jaʉʃa	jaʉʃa	YAUSA	abvd	THICK	-
jæ:	j	Y	abvd	SWIM	-
jæ: ʃ:ɔw	jʃɔw	YSOW	abvd	LIVER	abvd_17_liver_1
jæ:f	jf	YP	abvd	FIRE	abvd_143_fire_1
jɔ:s	jɔs	YOS	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
jɞ:ʃ	jɞʃ	YS	abvd	RAT	abvd_102_rat_16
k:aj	kaj	KAY	abvd	LAUGH	abvd_33_tolaugh_11
k:aŋ	ka	KA	abvd	SHARP	abvd_81_sharp_14
k:ʉ	kʉ	KU	abvd	LOUSE	abvd_108_louse_1
k:ʉw	kʉw	KUW	abvd	BITE	abvd_41_tobite_9
kamɞ	kamɞ	KAM	abvd	BUY	-
karɛ	karɛ	KARE	abvd	IF	abvd_193_if_7
ki:ʃ	kiʃ	KIS	abvd	WE	abvd_185_we_1
kiil	kiil	KIIL	abvd	SKIN	abvd_12_skin_1
kiish	kiish	KIISH	abvd	WE	abvd_185_we_1
kili	kili	KILI	abvd	SKIN	abvd_12_skin_1
kish	kish	KISH	abvd	WE	abvd_185_we_1
kkay	kkay	KKAU	abvd	LAUGH	abvd_33_tolaugh_11
kkaŋ	kka	KKA	abvd	SHARP	abvd_81_sharp_14
ku:	ku	KU	abvd	BLUNT	abvd_82_dullblunt_72
kufti:n	kuftin	KUPTIN	abvd	SMALL	-
kulula	kulula	KULULA	abvd	TURN	-
kumʷushu-	kumushu	KUMUSHU	abvd	HAND	abvd_1_hand_9
káámi	kmi	KMI	abvd	YOU	abvd_186_you_1
kúle-e-	klee	KLEE	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_18
kúú	k	K	abvd	LOUSE	abvd_108_louse_1
kúú-	k	K	abvd	BITE	abvd_41_tobite_9
kúúkú	kk	KK	abvd	BITE	abvd_41_tobite_9
kɔmwija	kɔmwija	KOMWIYA	abvd	DOG	-
kɨlej	kɨlej	KILEY	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_18
kɨlɨ-	kɨlɨ	KILI	abvd	SKIN	abvd_12_skin_1
kɨri:s	kɨris	KIRIS	abvd	FAT (ORGANIC SUBSTANCE)	-
l:an	lan	LAN	abvd	IN	abvd_174_ininside_1
lap	lap	LAP	abvd	BIG	abvd_153_big_10
lima-	lima	LIMA	abvd	FIVE	abvd_201_five_1
limé-	lim	LIM	abvd	FIVE	abvd_201_five_1
liya-	liya	LIUA	abvd	FEMALE PERSON	abvd_55_womanfemale_6
lló-	ll	LL	abvd	IN	abvd_174_ininside_1
lááŋ	l	L	abvd	SKY	abvd_128_sky_1
láŋi-	li	LI	abvd	SKY	abvd_128_sky_1
læ:ŋ	l	L	abvd	SKY	abvd_128_sky_1
læjlæj	ljlj	LYLY	abvd	LONG	abvd_155_long_13
lɛ:mal	lɛmal	LEMAL	abvd	FOREST	-
lɨkap:ɨʃej	lɨkapɨʃej	LIKAPISEY	abvd	SHOOT	-
lɨkɨnʉa-	lɨkɨnʉa	LIKINUA	abvd	BACK	-
lɨmwow	lɨmwow	LIMWOW	abvd	FIVE	abvd_201_five_1
lɨmæ	lɨm	LIM	abvd	FIFTY	abvd_208_fifty_11
lɨt:opwulæ:r	lɨtopwulr	LITOPWULR	abvd	SPIDER	abvd_110_spider_7
lʉk:ap	lʉkap	LUKAP	abvd	BIG	-
m:aʃ	maʃ	MAS	abvd	ROTTEN	abvd_112_rotten_50
ma-alúwél	maalwl	MAALWL	abvd	THICK	abvd_157_thick_3
ma-nawa-	manawa	MANAWA	abvd	BE ALIVE	abvd_76_tolivebealive_7
ma-ram	maram	MARAM	abvd	MOON	abvd_129_moon_7
ma-taw	mataw	MATAW	abvd	SEA	abvd_124_sea_13
ma:n sʉ:sʉ	mansʉsʉ	MANSUSU	abvd	BIRD	abvd_97_bird_1
ma:w	maw	MAW	abvd	YAWN	abvd_47_toyawn_19
maas	maas	MAAS	abvd	EYE	abvd_45_eye_1
makʉra-	makʉra	MAKURA	abvd	HEAD	-
manaw	manaw	MANAW	abvd	BE ALIVE	abvd_76_tolivebealive_7
maram	maram	MARAM	abvd	MOON	abvd_129_moon_7
matak	matak	MATAK	abvd	PAINFUL OR SICK	abvd_160_painfulsick_1
maw	maw	MAW	abvd	YAWN	abvd_47_toyawn_19
mawúr	mawr	MAWR	abvd	SLEEP	abvd_48_tosleep_1
maŋimaŋɛ	maimaɛ	MAIMAE	abvd	THINK	abvd_21_tothink_11
maʉr	maʉr	MAUR	abvd	SLEEP	abvd_48_tosleep_1
me	me	ME	abvd	AND	abvd_192_and_2
me-sɛk	mesɛk	MESEK	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
mmash	mmash	MMASH	abvd	ROTTEN	abvd_112_rotten_50
mmat	mmat	MMAT	abvd	DRY	abvd_140_dry_11
