Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abatia	abatia	ABATIA	abvd	MOON	abvd_129_moon_6
afunaᵐbu	afunabu	APUNABU	abvd	ASH	abvd_146_ashes_1
ai	ai	AI	abvd	WATER	abvd_122_water_2
ale	ale	ALE	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_31
aniani	aniani	ANIANI	abvd	EAT	abvd_37_toeat_1
anyan	anyan	ANUAN	abvd	EAT	abvd_37_toeat_1
apatia	apatia	APATIA	abvd	MOON	abvd_129_moon_6
apu	apu	APU	abvd	FIRE	abvd_143_fire_19
ara-	ara	ARA	abvd	ROOT	abvd_115_root_2
araf	araf	ARAP	abvd	CLOUD	abvd_131_cloud_18
ariβi	arii	ARII	abvd	RAT	abvd_102_rat_18
asiai	asiai	ASIAI	abvd	ROPE	abvd_65_rope_58
asu	asu	ASU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
asu-	asu	ASU	abvd	DUST	abvd_11_dust_41
asun-apu	asunapu	ASUNAPU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
ati	ati	ATI	abvd	SHARP	abvd_81_sharp_14
atia	atia	ATIA	abvd	BITE	abvd_41_tobite_1
aβaβa-	aaa	AAA	abvd	WING	abvd_100_wing_1
aβunapu	aunapu	AUNAPU	abvd	ASH	abvd_146_ashes_1
aᵐbu	abu	ABU	abvd	FIRE	abvd_143_fire_19
aᵐppaᵐpa-na	appapana	APPAPANA	abvd	WING	abvd_100_wing_1
aⁿdaⁿdi-ku	adadiku	ADADIKU	abvd	RIGHT	abvd_3_right_53
aⁿdʳaβu	adau	ADAU	abvd	FOG	abvd_132_fog_3
aⁿdʳeⁿdʳi-	adedi	ADEDI	abvd	RIGHT	abvd_3_right_53
aⁿdʳira	adira	ADIRA	abvd	COLD	abvd_139_cold_125
aⁿdʳu-	adu	ADU	abvd	BACK	abvd_13_back_82
aⁿdʳu-ku	aduku	ADUKU	abvd	BACK	abvd_13_back_82
aⁿdʳua	adua	ADUA	abvd	CLOUD	abvd_131_cloud_18
batu-k	batuk	BATUK	abvd	HEAD	abvd_24_head_9
boro-k	borok	BOROK	abvd	EAR	abvd_43_ear_16
dalo-k	dalok	DALOK	abvd	NECK	abvd_25_neck_42
dumunpirin	dumunpirin	DUMUNPIRIN	abvd	THUNDER	abvd_134_thunder_8
elia	elia	ELIA	abvd	DIG	abvd_90_todig_1
