Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'a'o	ao	AO	abvd	BELOW OR UNDER	abvd_176_below_8
'a'o'e	aoe	AOE	abvd	NO OR NOT	abvd_195_nonot_11
'aa	aa	AA	abvd	DAY (NOT NIGHT)	abvd_168_day_7
'aatou	aatou	AATOU	abvd	THEY	abvd_187_they_1
'ai	ai	AI	abvd	EAT	abvd_37_toeat_1
'aki	aki	AKI	abvd	SKY	abvd_128_sky_1
'atou	atou	ATOU	abvd	THEY	abvd_187_they_1
'au	au	AU	abvd	HUNDRED	abvd_209_onehundred_2
'e'o	eo	EO	abvd	TONGUE	abvd_32_tongue_15
'ehuahi	ehuahi	EHUAHI	abvd	ASH	abvd_146_ashes_67
'eita	eita	EITA	abvd	FOREST	-
'eka	eka	EKA	abvd	GOOD	abvd_164_good_14
'enana	enana	ENANA	abvd	PERSON	abvd_53_personhumanbeing_1
'enata	enata	ENATA	abvd	PERSON	abvd_53_personhumanbeing_1
'epo	epo	EPO	abvd	EARTH (SOIL)	abvd_119_earthsoil_11
'epo'epo	epoepo	EPOEPO	abvd	DIRTY	abvd_10_dirty_9
'ihi	ihi	IHI	abvd	CUT OR HACK	abvd_78_tocuthack_10
'iina'i	iinai	IINAI	abvd	FLESH OR MEAT	abvd_103_meatflesh_18
'ima	ima	IMA	abvd	FIVE	abvd_201_five_1
'ima 'oko	imaoko	IMAOKO	abvd	RIGHT	abvd_3_right_33
'ima a'ea'e	imaaeae	IMAAEAE	abvd	LEFT	-
'ima oko	imaoko	IMAOKO	abvd	RIGHT	abvd_3_right_33
'ite	ite	ITE	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_12
'o ia	oia	OIA	abvd	HE OR SHE	abvd_184_heshe_1
'o'oti	ooti	OOTI	abvd	CUT OR HACK	abvd_78_tocuthack_9
'oa	oa	OA	abvd	LONG	abvd_155_long_12
'oe	oe	OE	abvd	THOU	abvd_183_thou_1
'oko	oko	OKO	abvd	HEAR	abvd_44_tohear_1
'okohu'u	okohuu	OKOHUU	abvd	TEN	abvd_206_ten_5
'omi	omi	OMI	abvd	SQUEEZE	abvd_88_tosqueeze_10
'omo	omo	OMO	abvd	SUCK	abvd_42_tosuck_7
'ono	ono	ONO	abvd	HEAR	abvd_44_tohear_1
'onohu'u	onohuu	ONOHUU	abvd	TEN	abvd_206_ten_5
'opu	opu	OPU	abvd	BELLY	abvd_14_belly_2
'oto	oto	OTO	abvd	IN	abvd_174_ininside_5
'otou	otou	OTOU	abvd	YOU	abvd_186_you_16
'ouoho	ouoho	OUOHO	abvd	HAIR	abvd_26_hair_40
'ua	ua	UA	abvd	VOMIT	abvd_35_tovomit_8
'uka	uka	UKA	abvd	ABOVE	abvd_175_above_9
'una	una	UNA	abvd	ABOVE	abvd_175_above_9
'utu	utu	UTU	abvd	LOUSE	abvd_108_louse_1
-hine	hine	HINE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
a'èo	ao	AO	abvd	TONGUE	abvd_32_tongue_15
aahea	aahea	AAHEA	abvd	WHEN	abvd_170_when_5
aha	aha	AHA	abvd	WHAT	abvd_188_what_1
ahi	ahi	AHI	abvd	FIRE	abvd_143_fire_1
ai	ai	AI	abvd	WHO	abvd_189_who_1
aika	aika	AIKA	abvd	HOUSE	abvd_61_house_6
aka	aka	AKA	abvd	ROOT	abvd_115_root_2
akeake	akeake	AKEAKE	abvd	LEFT	-
akiaki	akiaki	AKIAKI	abvd	LEFT	-
anu	anu	ANU	abvd	COLD	abvd_139_cold_8
ao	ao	AO	abvd	CLOUD	abvd_131_cloud_12
atamai	atamai	ATAMAI	abvd	RIGHT	abvd_3_right_7
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
ato	ato	ATO	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
au	au	AU	abvd	I	abvd_182_i_1
auahi	auahi	AUAHI	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
de ahgy	deahgy	DEAHGU	abvd	SKY	abvd_128_sky_1
ehuehu	ehuehu	EHUEHU	abvd	DUST	abvd_11_dust_1
fa'e	fae	PAE	abvd	HOUSE	abvd_61_house_14
faa	faa	PAA	abvd	FOUR	abvd_200_four_1
fafa	fafa	PAPA	abvd	MOUTH	abvd_30_mouth_1
faiti	faiti	PAITI	abvd	NARROW	abvd_158_narrow_84
fatea	fatea	PATEA	abvd	WIDE	abvd_159_wide_21
fettoe	fettoe	PETTOE	abvd	STAR	abvd_130_star_1
fetuu	fetuu	PETUU	abvd	STAR	abvd_130_star_1
fitiì	fiti	PITI	abvd	FASTEN	abvd_66_totieupfasten_148
fitu	fitu	PITU	abvd	SEVEN	abvd_203_seven_1
ha	ha	HA	abvd	BREATHE	abvd_28_tobreathe_11
ha'amaahanahana	haamaahanahana	HAAMAAHANAHANA	abvd	WARM	abvd_138_warm_1
ha'ameta'u	haametau	HAAMETAU	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
ha'e	hae	HAE	abvd	HOUSE	abvd_61_house_14
haa	haa	HAA	abvd	FOUR	abvd_200_four_1
haha	haha	HAHA	abvd	MOUTH	abvd_30_mouth_1
hahana	hahana	HAHANA	abvd	HUSBAND	abvd_57_husband_13
hahune	hahune	HAHUNE	abvd	MOON	abvd_129_moon_1?
hakaika	hakaika	HAKAIKA	abvd	SHY OR ASHAMED	-
hakanaa	hakanaa	HAKANAA	abvd	HIDE	-
hakau'a	hakaua	HAKAUA	abvd	BURN	abvd_144_toburn_3
hana	hana	HANA	abvd	WORK (ACTIVITY)	abvd_83_towork_10
hani	hani	HANI	abvd	KNOW (SOMETHING)	-
hatiti'i	hatitii	HATITII	abvd	THUNDER	abvd_134_thunder_14
hatu	hatu	HATU	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
hatu-keàa	hatukea	HATUKEA	abvd	STONE	abvd_120_stone_1
hatutiì	hatuti	HATUTI	abvd	THUNDER	abvd_134_thunder_14
hauhau	hauhau	HAUHAU	abvd	BAD OR EVIL	abvd_165_badevil_32
hava	hava	HABA	abvd	DIRTY	abvd_10_dirty_8
haámate	hamate	HAMATE	abvd	KILL	abvd_74_tokill_2
he'e mai	heemai	HEEMAI	abvd	COME	abvd_7_tocome_1
hea	hea	HEA	abvd	WHERE	abvd_181_where_3
heko	heko	HEKO	abvd	MALE PERSON	abvd_54_manmale_17?
hete	hete	HETE	abvd	SWELL	abvd_87_toswell_5
hetuu	hetuu	HETUU	abvd	STAR	abvd_130_star_1
hiamoe	hiamoe	HIAMOE	abvd	SLEEP	abvd_48_tosleep_10
hika	hika	HIKA	abvd	FALL	abvd_95_tofall_44
