Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-it͡ʃ	it͡ʃ	IS	abvd	CRY	abvd_34_tocry_66
-iβ	i	I	abvd	BLOW (OF WIND)	abvd_137_toblow_5
-jomo	jomo	YOMO	abvd	CHEW	abvd_38_tochew_21
-kar	kar	KAR	abvd	WORK (ACTIVITY)	abvd_83_towork_7
-liek	liek	LIEK	abvd	SIT	abvd_51_tosit_110
-lil	lil	LIL	abvd	BIG	abvd_153_big_91
-lis	lis	LIS	abvd	SEE	abvd_46_tosee_14
-lis tɛŋi	listɛi	LISTEI	abvd	DREAM (SOMETHING)	-
-liŋliŋ	lili	LILI	abvd	WALK	abvd_5_towalk_60
-liɛk	liɛk	LIEK	abvd	SIT	abvd_51_tosit_110
-lo	lo	LO	abvd	PLANT (SOMETHING)	abvd_84_toplant_10
-lu	lu	LU	abvd	VOMIT	abvd_35_tovomit_8
-luak	luak	LUAK	abvd	VOMIT	abvd_35_tovomit_8
-luaɣ	luaɣ	LUAG	abvd	VOMIT	abvd_35_tovomit_8
-luo	luo	LUO	abvd	SHOOT	abvd_70_toshoot_15
-luɔ	luɔ	LUO	abvd	SHOOT	abvd_70_toshoot_15
-ləŋləŋ	lələ	LELE	abvd	WALK	abvd_5_towalk_60
-memes	memes	MEMES	abvd	DRY	abvd_140_dry_11
-mes	mes	MES	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-metʊr	metʊr	METUR	abvd	SLEEP	abvd_48_tosleep_1
-miel	miel	MIEL	abvd	RED	abvd_149_red_1
-miles	miles	MILES	abvd	COLD	abvd_139_cold_51
-mimin	mimin	MIMIN	abvd	SHY OR ASHAMED	abvd_161_shyashamed_54
-mit	mit	MIT	abvd	BLACK	abvd_147_black_1
-miŋir	miir	MIIR	abvd	BREATHE	abvd_28_tobreathe_13
-miɛl	miɛl	MIEL	abvd	RED	abvd_149_red_1
-mo	mo	MO	abvd	COME	abvd_7_tocome_1
-msit	msit	MSIT	abvd	PAINFUL OR SICK	abvd_160_painfulsick_1
-mumu	mumu	MUMU	abvd	ROTTEN	abvd_112_rotten_51
-mætur	mtur	MTUR	abvd	LIE DOWN	abvd_49_toliedown_37
-mætər	mtər	MTER	abvd	SLEEP	abvd_48_tosleep_1
-məliʧ	məliʧ	MELI	abvd	FASTEN	abvd_66_totieupfasten_80
-mən	mən	MEN	abvd	DRINK	abvd_40_todrink_1
-məⁿdax	mədax	MEDAK	abvd	NEW	abvd_163_new_48
-mɛtər	mɛtər	METER	abvd	SLEEP	abvd_48_tosleep_1
-mɪn	mɪn	MIN	abvd	DRINK	abvd_40_todrink_1
-mɪsit	mɪsit	MISIT	abvd	PAINFUL OR SICK	abvd_160_painfulsick_1
-mʷo	mo	MO	abvd	COME	abvd_7_tocome_1
-netˢnetˢ aɣe	netnetaɣe	NETNETAGE	abvd	THROW	-
-nən	nən	NEN	abvd	FLOW	-
-pit͡ʃ	pit͡ʃ	PIS	abvd	GOOD	abvd_164_good_48
-piʧ	piʧ	PI	abvd	GOOD	abvd_164_good_48
-ptir	ptir	PTIR	abvd	STAND	abvd_52_tostand_2
-pus	pus	PUS	abvd	SMALL	abvd_152_small_106
-ri	ri	RI	abvd	OPEN	-
-ruten	ruten	RUTEN	abvd	TURN	abvd_8_toturn_111
-rutenem	rutenem	RUTENEM	abvd	TURN	abvd_8_toturn_111
-rutɛn	rutɛn	RUTEN	abvd	TURN	abvd_8_toturn_111
-rəŋ	rə	RE	abvd	HEAR	abvd_44_tohear_1
-rəŋdo	rədo	REDO	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_19
-rəŋmen	rəmen	REMEN	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_42
-rɪŋ	rɪ	RI	abvd	HEAR	abvd_44_tohear_1
-sar	sar	SAR	abvd	STAB	abvd_71_tostabpierce_14
-sara	sara	SARA	abvd	STAB	abvd_71_tostabpierce_14
-sax	sax	SAK	abvd	CLIMB	abvd_172_toclimb_2
-sen	sen	SEN	abvd	BITE	-
-set	set	SET	abvd	BAD OR EVIL	abvd_165_badevil_1
-suse	suse	SUSE	abvd	HOLD	abvd_89_tohold_46
-suvsip	suvsip	SUBSIP	abvd	SWIM	abvd_9_toswim_12
-suvsiɸ	suvsiɸ	SUBSIP	abvd	SWIM	abvd_9_toswim_12
-səli	səli	SELI	abvd	BURN	abvd_144_toburn_4
-sərɛn	sərɛn	SEREN	abvd	SWELL	abvd_87_toswell_69
-səβsiβ	səsi	SESI	abvd	SWIM	abvd_9_toswim_12
-sɛt	sɛt	SET	abvd	BAD OR EVIL	abvd_165_badevil_1
-tir	tir	TIR	abvd	STAND	abvd_52_tostand_2
-titiŋ	titi	TITI	abvd	SAY	-
-titiβ	titi	TITI	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_32
-tiᵐbus	tibus	TIBUS	abvd	SPIT	abvd_36_tospit_15
-tiᵐbəs	tibəs	TIBES	abvd	SPIT	abvd_36_tospit_15
-tmos	tmos	TMOS	abvd	LAUGH	abvd_33_tolaugh_47
-tosusuen	tosusuen	TOSUSUEN	abvd	HIDE	abvd_171_tohide_37
-tosusuɛn	tosusuɛn	TOSUSUEN	abvd	HIDE	abvd_171_tohide_37
-tu-	tu	TU	abvd	HOLD	-
-tumos	tumos	TUMOS	abvd	LAUGH	abvd_33_tolaugh_47
-tər	tər	TER	abvd	SEW	abvd_67_tosew_13
-tərep	tərep	TEREP	abvd	OLD	abvd_162_old_27
-tɛŋ	tɛ	TE	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_85
-tɪtiv	tɪtiv	TITIB	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_32
-tˢetˢ	tet	TET	abvd	CUT OR HACK	abvd_78_tocuthack_29
-tˢetˢᵐbʳi	tetbi	TETBI	abvd	SPLIT	abvd_80_tosplit_1
-tˢiləβ	tilə	TILE	abvd	BE ALIVE	abvd_76_tolivebealive_57
-tˢitˢul	titul	TITUL	abvd	CRY	abvd_34_tocry_59?
-tˢpon	tpon	TPON	abvd	COUNT	abvd_196_tocount_69
