Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'a	a	A	abvd	FOUR	abvd_200_four_1
'a'a	aa	AA	abvd	MOUTH	abvd_30_mouth_1
'a'ine	aine	AINE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
'akaea	akaea	AKAEA	abvd	BREATHE	abvd_28_tobreathe_80
'akaearanga	akaearanga	AKAEARANGA	abvd	LIE DOWN	-
'akakiukiu	akakiukiu	AKAKIUKIU	abvd	CUT OR HACK	-
'akaokonga	akaokonga	AKAOKONGA	abvd	FASTEN	-
'akarongo	akarongo	AKARONGO	abvd	HEAR	abvd_44_tohear_1
'akatekire	akatekire	AKATEKIRE	abvd	SWELL	-
'akāma	akma	AKMA	abvd	SHY OR ASHAMED	abvd_161_shyashamed_1
'akātū	akt	AKT	abvd	STAND	abvd_52_tostand_2
'amama	amama	AMAMA	abvd	CHEW	abvd_38_tochew_1
'anga	anga	ANGA	abvd	WORK (ACTIVITY)	abvd_83_towork_10
'are	are	ARE	abvd	HOUSE	abvd_61_house_14
'ata'ata	ataata	ATAATA	abvd	WIDE	-
'ea	ea	EA	abvd	WHERE	abvd_181_where_3
'ema	ema	EMA	abvd	LEFT	abvd_2_left_11
'ere	ere	ERE	abvd	WALK	abvd_5_towalk_6
'etu	etu	ETU	abvd	STAR	abvd_130_star_1
'itu	itu	ITU	abvd	SEVEN	abvd_203_seven_1
'oko	oko	OKO	abvd	BUY	abvd_91_tobuy_7
'ongi	ongi	ONGI	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_9
'ou	ou	OU	abvd	NEW	abvd_163_new_1
'u'ure	uure	UURE	abvd	OPEN	-
'ua	ua	UA	abvd	FRUIT	abvd_117_fruit_1
'uki	uki	UKI	abvd	STAB	abvd_71_tostabpierce_1
'uru	uru	URU	abvd	FEATHER	abvd_99_feather_1
-ìne	ne	NE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
a 'ea	aea	AEA	abvd	WHEN	abvd_170_when_5
a'a	aa	AA	abvd	WHAT	abvd_188_what_1
a'ae	aae	AAE	abvd	SPLIT	abvd_80_tosplit_5
a'ana	aana	AANA	abvd	HUSBAND	abvd_57_husband_13
a'ape	aape	AAPE	abvd	FOOT OR LEG	-
a'i	ai	AI	abvd	FIRE	abvd_143_fire_1
a'u	au	AU	abvd	COME	abvd_7_tocome_44
ahana	ahana	AHANA	abvd	WIFE	abvd_58_wife_8
ai	ai	AI	abvd	WHO	abvd_189_who_1
aka	aka	AKA	abvd	ROOT	abvd_115_root_2
amama	amama	AMAMA	abvd	YAWN	abvd_47_toyawn_19
ano	ano	ANO	abvd	YEAR	-
anu	anu	ANU	abvd	COLD	abvd_139_cold_8
anuanu	anuanu	ANUANU	abvd	SPIT	abvd_36_tospit_14
ao	ao	AO	abvd	CLOUD	abvd_131_cloud_12
ara	ara	ARA	abvd	PATH OR ROAD	abvd_6_roadpath_1
arero	arero	ARERO	abvd	TONGUE	abvd_32_tongue_15
aruaru	aruaru	ARUARU	abvd	HUNT	abvd_69_tohunt_7
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
ato	ato	ATO	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
atutiri	atutiri	ATUTIRI	abvd	THUNDER	abvd_134_thunder_14
au	au	AU	abvd	I	abvd_182_i_1
auahi	auahi	AUAHI	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
ave	ave	ABE	abvd	TAIL	-
e	e	E	abvd	AND	abvd_192_and_8
e'u	eu	EU	abvd	DUST	abvd_11_dust_1
erero	erero	ERERO	abvd	TONGUE	abvd_32_tongue_15
eti	eti	ETI	abvd	BITE	abvd_41_tobite_9
haha	haha	HAHA	abvd	MOUTH	abvd_30_mouth_1
hau	hau	HAU	abvd	WIND	abvd_136_wind_10
hinu	hinu	HINU	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_12
i'u	iu	IU	abvd	NOSE	abvd_27_nose_1
iakoia	iakoia	IAKOIA	abvd	HE OR SHE	abvd_184_heshe_1
ika	ika	IKA	abvd	FISH	abvd_111_fish_1
iki	iki	IKI	abvd	AT	abvd_173_at_1
ingoa	ingoa	INGOA	abvd	NAME	abvd_63_name_6
inu	inu	INU	abvd	DRINK	abvd_40_todrink_1
iritoke	iritoke	IRITOKE	abvd	WORM	abvd_107_wormearthworm_7
iva	iva	IBA	abvd	NINE	abvd_205_nine_5
ivi	ivi	IBI	abvd	BONE	abvd_15_bone_52
ka'a	kaa	KAA	abvd	BURN	abvd_144_toburn_62
kae	kae	KAE	abvd	SPIT	-
kai	kai	KAI	abvd	EAT	abvd_37_toeat_1
kaka	kaka	KAKA	abvd	ROPE	-
kakaroumei	kakaroumei	KAKAROUMEI	abvd	LIVER	-
kaki	kaki	KAKI	abvd	NECK	abvd_25_neck_20
kamo	kamo	KAMO	abvd	STEAL	abvd_73_tosteal_6
kata	kata	KATA	abvd	LAUGH	abvd_33_tolaugh_7
kau	kau	KAU	abvd	SWIM	abvd_9_toswim_5
kene'u	keneu	KENEU	abvd	SCRATCH	-
kerekere	kerekere	KEREKERE	abvd	BLACK	abvd_147_black_5
keri	keri	KERI	abvd	DIG	abvd_90_todig_1
kero	kero	KERO	abvd	THROW	-
ki	ki	KI	abvd	SAY	abvd_64_tosay_43
kikikiki	kikikiki	KIKIKIKI	abvd	HEAVY	-
kiko	kiko	KIKO	abvd	FLESH OR MEAT	abvd_103_meatflesh_10
kino	kino	KINO	abvd	BAD OR EVIL	abvd_165_badevil_9
