Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ako	ako	AKO	abvd	I	abvd_182_i_1
arag	arag	ARAG	abvd	AND	-
aw	aw	AW	abvd	AND	abvd_192_and_47
babaʔ	babaʔ	BABAH	abvd	MOUTH	abvd_30_mouth_1
bagu	bagu	BAGU	abvd	NEW	abvd_163_new_1
bana	bana	BANA	abvd	HUSBAND	abvd_57_husband_1
baray	baray	BARAU	abvd	HOUSE	abvd_61_house_14
basaʔ	basaʔ	BASAH	abvd	WET	abvd_141_wet_1
batu	batu	BATU	abvd	STONE	abvd_120_stone_1
batáng	batng	BATNG	abvd	BRANCH	abvd_113_branch_2
baʔas	baʔas	BAHAS	abvd	DRY	-
baʔin	baʔin	BAHIN	abvd	SPLIT	-
baʔuʔ	baʔuʔ	BAHUH	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_71
bilang	bilang	BILANG	abvd	COUNT	abvd_196_tocount_1
bili	bili	BILI	abvd	BUY	abvd_91_tobuy_1
binaning	binaning	BINANING	abvd	YELLOW	abvd_150_yellow_37
birad	birad	BIRAD	abvd	DRY	abvd_140_dry_42
bitiʔis	bitiʔis	BITIHIS	abvd	FOOT OR LEG	abvd_4_legfoot_23
bituʔun	bituʔun	BITUHUN	abvd	STAR	abvd_130_star_1
borot	borot	BOROT	abvd	SWELL	-
bubay	bubay	BUBAU	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bubul	bubul	BUBUL	abvd	FEATHER	abvd_99_feather_1
bulak	bulak	BULAK	abvd	FLOWER	abvd_116_flower_22
bunga	bunga	BUNGA	abvd	FRUIT	abvd_117_fruit_9
buran	buran	BURAN	abvd	MOON	abvd_129_moon_1
buwangin	buwangin	BUWANGIN	abvd	SAND	abvd_121_sand_34
bɨktɨn	bɨktɨn	BIKTIN	abvd	HAND	abvd_1_hand_29
bɨkɨʔ	bɨkɨʔ	BIKIH	abvd	NO OR NOT	abvd_195_nonot_26
