Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ae	ae	AE	abvd	FOOT OR LEG	abvd_4_legfoot_1
aine	aine	AINE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
aira	aira	AIRA	abvd	WHEN	abvd_170_when_1
alale	alale	ALALE	abvd	WALK	abvd_5_towalk_115
alu	alu	ALU	abvd	OTHER	-
amari soasoa	amarisoasoa	AMARISOASOA	abvd	DAY (NOT NIGHT)	-
anaʔo	anaʔo	ANAHO	abvd	STEAL	abvd_73_tosteal_1
apʷaŋ	apa	APA	abvd	ASH	-
ara	ara	ARA	abvd	NAME	abvd_63_name_1
atabala	atabala	ATABALA	abvd	ABOVE	abvd_175_above_1
au	au	AU	abvd	LAUGH	abvd_33_tolaugh_61
awa	awa	AWA	abvd	MOUTH	abvd_30_mouth_36
aŋoaŋo	aoao	AOAO	abvd	YELLOW	abvd_150_yellow_9
bage	bage	BAGE	abvd	SHOULDER	abvd_19_shoulder_30
baituʔa	baituʔa	BAITUHA	abvd	HOW	-
balu	balu	BALU	abvd	TURN	-
bara	bara	BARA	abvd	DRY	-
barasi	barasi	BARASI	abvd	YEAR	abvd_169_year_14
bazi	bazi	BASI	abvd	WING	abvd_100_wing_20
biabia	biabia	BIABIA	abvd	BIG	-
bou	bou	BOU	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_103
buiri	buiri	BUIRI	abvd	TURN	abvd_8_toturn_28
dabuli	dabuli	DABULI	abvd	BELLY	-
dandan	dandan	DANDAN	abvd	WET	abvd_141_wet_19
dara	dara	DARA	abvd	BLOOD	abvd_23_blood_1
daradara	daradara	DARADARA	abvd	RED	abvd_149_red_25
dau	dau	DAU	abvd	LEAF	abvd_114_leaf_1
daŋ	da	DA	abvd	WATER	abvd_122_water_1
debu	debu	DEBU	abvd	HAND	-
dia	dia	DIA	abvd	THEY	abvd_187_they_25
doŋa	doa	DOA	abvd	HAIR	-
doʔi	doʔi	DOHI	abvd	HOLD	-
eneʔi	eneʔi	ENEHI	abvd	CLIMB	abvd_172_toclimb_1?
eno	eno	ENO	abvd	SLEEP	abvd_48_tosleep_8
eruma	eruma	ERUMA	abvd	BELOW OR UNDER	-
eta	eta	ETA	abvd	ABOVE	abvd_175_above_1
euri	euri	EURI	abvd	BLOW (OF WIND)	abvd_137_toblow_71
ewa	ewa	EWA	abvd	FIRE	abvd_143_fire_1
eʔu	eʔu	EHU	abvd	TAIL	abvd_105_tail_1
gapu	gapu	GAPU	abvd	DUST	abvd_11_dust_59
goai	goai	GOAI	abvd	STAR	abvd_130_star_84
gʷala	gala	GALA	abvd	BAD OR EVIL	-
i	i	I	abvd	AT	abvd_173_at_1
i lo	ilo	ILO	abvd	IN	abvd_174_ininside_1
iawia	iawia	IAWIA	abvd	GOOD	abvd_164_good_1
ile	ile	ILE	abvd	TOOTH	-
ilo pile	ilopile	ILOPILE	abvd	THINK	-
inaŋa	inaa	INAA	abvd	WHERE	-
iʔa	iʔa	IHA	abvd	FISH	abvd_111_fish_1
jala	jala	YALA	abvd	PATH OR ROAD	abvd_6_roadpath_1
jimjim	jimjim	YIMYIM	abvd	BLACK	abvd_147_black_16
jiʔa	jiʔa	YIHA	abvd	DIRTY	-
kaiko	kaiko	KAIKO	abvd	THOU	abvd_183_thou_1
kaka	kaka	KAKA	abvd	OPEN	-
kara	kara	KARA	abvd	PAINFUL OR SICK	-
keka	keka	KEKA	abvd	WE	abvd_185_we_1
keliaki	keliaki	KELIAKI	abvd	CHOOSE	-
kisa	kisa	KISA	abvd	CHEW	-
kita	kita	KITA	abvd	WE	abvd_185_we_1
koma	koma	KOMA	abvd	HIDE	-
labʷaro	labaro	LABARO	abvd	SPIDER	abvd_110_spider_1
lalau	lalau	LALAU	abvd	FEATHER	abvd_99_feather_24
lama	lama	LAMA	abvd	IN	-
lamalama	lamalama	LAMALAMA	abvd	THUNDER	abvd_134_thunder_68
laŋ	la	LA	abvd	SKY	abvd_128_sky_1
lima	lima	LIMA	abvd	FIVE	abvd_201_five_1
lima be oati	limabeoati	LIMABEOATI	abvd	NINE	abvd_205_nine_11
lima be rua	limaberua	LIMABERUA	abvd	SEVEN	abvd_203_seven_5
lima be teɬe	limabeteɬe	LIMABETELE	abvd	SIX	-
lima be toli	limabetoli	LIMABETOLI	abvd	EIGHT	-
loŋo	loo	LOO	abvd	HEAR	abvd_44_tohear_1
lulu	lulu	LULU	abvd	SAND	abvd_121_sand_47
mai	mai	MAI	abvd	COME	abvd_7_tocome_1
malipi	malipi	MALIPI	abvd	WORK (ACTIVITY)	abvd_83_towork_61
manipi	manipi	MANIPI	abvd	THIN	abvd_156_thin_1
mara	mara	MARA	abvd	SEA	abvd_124_sea_8
mata	mata	MATA	abvd	EYE	abvd_45_eye_1
mate	mate	MATE	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
matoli	matoli	MATOLI	abvd	THICK	abvd_157_thick_3
mawa	mawa	MAWA	abvd	YAWN	abvd_47_toyawn_19
maya	maya	MAUA	abvd	SHY OR ASHAMED	abvd_161_shyashamed_1
maŋ	ma	MA	abvd	BIRD	abvd_97_bird_1
maʔasi	maʔasi	MAHASI	abvd	SALT	abvd_125_salt_3
meme	meme	MEME	abvd	TONGUE	abvd_32_tongue_7
moga	moga	MOGA	abvd	GROW	-
moimoi	moimoi	MOIMOI	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_58
mopuru	mopuru	MOPURU	abvd	ROTTEN	abvd_112_rotten_1
more	more	MORE	abvd	PAINFUL OR SICK	-
moruŋa	morua	MORUA	abvd	ALL	-
muʔumuʔu	muʔumuʔu	MUHUMUHU	abvd	SMALL	-
mʷagaru	magaru	MAGARU	abvd	NOSE	-
mʷage	mage	MAGE	abvd	LIVER	abvd_17_liver_1
mʷamʷa	mama	MAMA	abvd	COOK (SOMETHING)	abvd_39_tocook_6
mʷanaʔo	manaʔo	MANAHO	abvd	EAT	abvd_37_toeat_8
mʷane	mane	MANE	abvd	MALE PERSON	abvd_54_manmale_1
mʷare	mare	MARE	abvd	FLOWER	abvd_116_flower_31
mʷata	mata	MATA	abvd	SNAKE	abvd_106_snake_12
mʷatamʷata	matamata	MATAMATA	abvd	WORM	abvd_107_wormearthworm_10
mʷatubu	matubu	MATUBU	abvd	HEAVY	-
mʷaŋo	mao	MAO	abvd	SPIT	-
naita	naita	NAITA	abvd	WHO	abvd_189_who_54
natu	natu	NATU	abvd	CHILD	abvd_56_child_5
naŋ	na	NA	abvd	MOSQUITO	abvd_109_mosquito_1
nono	nono	NONO	abvd	SUCK	abvd_42_tosuck_1
nuʔu	nuʔu	NUHU	abvd	BACK	-
oásari	osari	OSARI	abvd	OPEN	-
pana	pana	PANA	abvd	SHOOT	abvd_70_toshoot_1
pasala	pasala	PASALA	abvd	NEEDLE (FOR SEWING)	-
patu	patu	PATU	abvd	EGG	abvd_98_egg_32
pera	pera	PERA	abvd	HOUSE	abvd_61_house_29
pile	pile	PILE	abvd	SAY	abvd_64_tosay_81
pisaʔi	pisaʔi	PISAHI	abvd	SQUEEZE	abvd_88_tosqueeze_29
pitiʔawa	pitiʔawa	PITIHAWA	abvd	LIGHTNING	-
ragiragi	ragiragi	RAGIRAGI	abvd	WORM	-
ragogo	ragogo	RAGOGO	abvd	WARM	-
rara	rara	RARA	abvd	FAT (ORGANIC SUBSTANCE)	-
raʔana	raʔana	RAHANA	abvd	WHAT	-
regina	regina	REGINA	abvd	THATCH OR ROOF	-
roa	roa	ROA	abvd	HUSBAND	abvd_57_husband_2?
roró	ror	ROR	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_1
royo	royo	ROUO	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_1
roʔaʔi	roʔaʔi	ROHAHI	abvd	THROW	-
rua	rua	RUA	abvd	TWO	abvd_198_two_1
ruru	ruru	RURU	abvd	BREAST	abvd_18_breast_1
salaga	salaga	SALAGA	abvd	LONG	abvd_155_long_20
sapara	sapara	SAPARA	abvd	BRANCH	abvd_113_branch_16
sare	sare	SARE	abvd	SPLIT	-
sariŋa	saria	SARIA	abvd	NEAR	abvd_179_near_22
saru	saru	SARU	abvd	SHARP	-
sema	sema	SEMA	abvd	HEAD	abvd_24_head_69
semam	semam	SEMAM	abvd	HEAD	abvd_24_head_69
sie	sie	SIE	abvd	THEY	abvd_187_they_1
siresire	siresire	SIRESIRE	abvd	GRASS	abvd_118_grass_20
siŋ	si	SI	abvd	DRINK	-
siŋaba	siaba	SIABA	abvd	FOREST	-
soaʔi	soaʔi	SOAHI	abvd	STAND	-
taburi	taburi	TABURI	abvd	FEAR (BE AFRAID)	-
tago	tago	TAGO	abvd	NO OR NOT	abvd_195_nonot_4
tama	tama	TAMA	abvd	FATHER	abvd_60_father_1
tamoŋ	tamo	TAMO	abvd	FALL	-
tamʷata	tamata	TAMATA	abvd	PERSON	abvd_53_personhumanbeing_1
tanotano	tanotano	TANOTANO	abvd	PLANT (SOMETHING)	abvd_84_toplant_2
tapou	tapou	TAPOU	abvd	BONE	-
tapulo	tapulo	TAPULO	abvd	FALL	-
taŋ	ta	TA	abvd	CRY	abvd_34_tocry_1
tea	tea	TEA	abvd	SEE	abvd_46_tosee_1
teʔe	teʔe	TEHE	abvd	ONE	abvd_197_one_53
tina	tina	TINA	abvd	MOTHER	abvd_59_mother_1
tine	tine	TINE	abvd	INTESTINES	abvd_16_intestines_1
toli	toli	TOLI	abvd	THREE	abvd_199_three_1
toto	toto	TOTO	abvd	CUT OR HACK	abvd_78_tocuthack_3
