Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aita	aita	AITA	abvd	NO OR NOT	-
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
amu	amu	AMU	abvd	ROOT	abvd_115_root_3
analalu	analalu	ANALALU	abvd	PAINFUL OR SICK	-
apalini	apalini	APALINI	abvd	HOW	-
api	api	API	abvd	FIRE	abvd_143_fire_1
asa úma	asama	ASAMA	abvd	WIFE	abvd_58_wife_2
asu	asu	ASU	abvd	DOG	abvd_96_dog_1
atandàsa	atandsa	ATANDSA	abvd	BAD OR EVIL	-
ati	ati	ATI	abvd	LIVER	abvd_17_liver_1
awang	awang	AWANG	abvd	SKY	abvd_128_sky_7
ba	ba	BA	abvd	SWELL	abvd_87_toswell_34
ba oka da	baokada	BAOKADA	abvd	IF	-
bai	bai	BAI	abvd	POUND	abvd_93_topoundbeat_1
banasa	banasa	BANASA	abvd	WARM	abvd_138_warm_1
basa	basa	BASA	abvd	WET	abvd_141_wet_1
bela	bela	BELA	abvd	WHITE	abvd_148_white_3?
benggu	benggu	BENGGU	abvd	WHERE	abvd_181_where_2
bera	bera	BERA	abvd	SPLIT	abvd_80_tosplit_1
buatu	buatu	BUATU	abvd	HEAVY	abvd_142_heavy_1
buwa	buwa	BUWA	abvd	OPEN	abvd_92_toopenuncover_1
bàlara	blara	BLARA	abvd	WIDE	abvd_159_wide_2
daura	daura	DAURA	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
dengíra	dengra	DENGRA	abvd	STAND	abvd_52_tostand_6
diku	diku	DIKU	abvd	SMALL	abvd_152_small_1
duada	duada	DUADA	abvd	TWO	abvd_198_two_1
dusu	dusu	DUSU	abvd	SEW	-
dàkuta	dkuta	DKUTA	abvd	SHARP	abvd_81_sharp_4
dàngu	dngu	DNGU	abvd	AND	abvd_192_and_4
dàsa	dsa	DSA	abvd	GOOD	abvd_164_good_8
eta	eta	ETA	abvd	SEE	abvd_46_tosee_1
genggi	genggi	GENGGI	abvd	SPIDER	abvd_110_spider_3
gú	g	G	abvd	THAT	abvd_178_that_8
hai bawa	haibawa	HAIBAWA	abvd	BELOW OR UNDER	abvd_176_below_1
hai dali	haidali	HAIDALI	abvd	IN	abvd_174_ininside_1
hai desa	haidesa	HAIDESA	abvd	ABOVE	abvd_175_above_5
herai	herai	HERAI	abvd	WHO	abvd_189_who_5
ia	ia	IA	abvd	FISH	abvd_111_fish_1
ina	ina	INA	abvd	MOTHER	abvd_59_mother_1
iraka	iraka	IRAKA	abvd	DIRTY	abvd_10_dirty_1
kabela	kabela	KABELA	abvd	THUNDER	abvd_134_thunder_7
kabuni	kabuni	KABUNI	abvd	HIDE	abvd_171_tohide_1
kadeta	kadeta	KADETA	abvd	LONG	abvd_155_long_7
kalada	kalada	KALADA	abvd	BIG	abvd_153_big_3
