Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-an	an	AN	abvd	EAT	abvd_37_toeat_1
-as	as	AS	abvd	BITE	abvd_41_tobite_1
-aʔ	aʔ	AH	abvd	CLIMB	abvd_172_toclimb_2
-deⁿden	deden	DEDEN	abvd	SWIM	abvd_9_toswim_79
-ele	ele	ELE	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_75
-golo	golo	GOLO	abvd	HUNT	abvd_69_tohunt_59?
-iapɪkɪs	iapɪkɪs	IAPIKIS	abvd	TURN	abvd_8_toturn_35
-iax-	iax	IAK	abvd	TURN	abvd_8_toturn_120
-iaxpikis	iaxpikis	IAKPIKIS	abvd	TURN	abvd_8_toturn_35
-iəɣpikis	iəɣpikis	IEGPIKIS	abvd	TURN	abvd_8_toturn_35
-kaʔan	kaʔan	KAHAN	abvd	EAT	abvd_37_toeat_1
-kil	kil	KIL	abvd	DIG	abvd_90_todig_1
-kɪl	kɪl	KIL	abvd	DIG	abvd_90_todig_1
-lalap	lalap	LALAP	abvd	PLANT (SOMETHING)	abvd_84_toplant_10
-lap	lap	LAP	abvd	PLANT (SOMETHING)	abvd_84_toplant_10
-lel	lel	LEL	abvd	HOLD	abvd_89_tohold_71
-li	li	LI	abvd	SEE	abvd_46_tosee_14
-liliŋe	lilie	LILIE	abvd	SEE	abvd_46_tosee_14
-liluo	liluo	LILUO	abvd	VOMIT	abvd_35_tovomit_8
-liluwo	liluwo	LILUWO	abvd	VOMIT	abvd_35_tovomit_8
-liluɔ	liluɔ	LILUO	abvd	VOMIT	abvd_35_tovomit_8
-liᵑge	lige	LIGE	abvd	BURN	abvd_144_toburn_75
-maxa	maxa	MAKA	abvd	FALL	-
-maᵑgal	magal	MAGAL	abvd	SHARP	abvd_81_sharp_14
-mes	mes	MES	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-meta	meta	META	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-metaʔ	metaʔ	METAH	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-min	min	MIN	abvd	DRINK	abvd_40_todrink_1
-mitox	mitox	MITOK	abvd	SLEEP	abvd_48_tosleep_1
-mitox ðatane	mitoxatane	MITOKATANE	abvd	LIE DOWN	abvd_49_toliedown_37
-mom	mom	MOM	abvd	ROTTEN	abvd_112_rotten_51
-mɛdaʔ	mɛdaʔ	MEDAH	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-mɛmaɣas	mɛmaɣas	MEMAGAS	abvd	DRY	abvd_140_dry_97
-mɛs	mɛs	MES	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-mɛtaʔ	mɛtaʔ	METAH	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-mɪn	mɪn	MIN	abvd	DRINK	abvd_40_todrink_1
-mɪⁿdox	mɪdox	MIDOK	abvd	SLEEP	abvd_48_tosleep_1
-mɪⁿdox ðatane	mɪdoxatane	MIDOKATANE	abvd	LIE DOWN	abvd_49_toliedown_37
-mʷox	mox	MOK	abvd	BE ALIVE	abvd_76_tolivebealive_1
-mʷɔx	mɔx	MOK	abvd	BE ALIVE	abvd_76_tolivebealive_1
-naŋxa	naxa	NAKA	abvd	BREATHE	abvd_28_tobreathe_13
-naᵑgan-	nagan	NAGAN	abvd	DIRTY	abvd_10_dirty_130
-nemeðaʔ	nemeaʔ	NEMEAH	abvd	COLD	abvd_139_cold_97
-ox	ox	OK	abvd	SCRATCH	abvd_77_toscratch_77
-palel	palel	PALEL	abvd	HOLD	abvd_89_tohold_71
-paʔ	paʔ	PAH	abvd	CLIMB	abvd_172_toclimb_9
-pul	pul	PUL	abvd	COME	abvd_7_tocome_25
-pus	pus	PUS	abvd	FASTEN	abvd_66_totieupfasten_32
-rupoŋe	rupoe	RUPOE	abvd	HIT	abvd_72_tohit_87?
-samaŋe	samae	SAMAE	abvd	NEAR	abvd_179_near_93
-samʷe	same	SAME	abvd	CHEW	abvd_38_tochew_21
-sax	sax	SAK	abvd	OPEN	abvd_92_toopenuncover_58
-sim	sim	SIM	abvd	CUT OR HACK	abvd_78_tocuthack_101
-simbəxube	simbəxube	SIMBEKUBE	abvd	CUT OR HACK	abvd_78_tocuthack_101
-siŋ	si	SI	abvd	CUT OR HACK	abvd_78_tocuthack_99?
-siᵐbax	sibax	SIBAK	abvd	SPLIT	abvd_80_tosplit_9
-siᵐbəx	sibəx	SIBEK	abvd	SPLIT	abvd_80_tosplit_9
-sle	sle	SLE	abvd	POUND	-
-sox	sox	SOK	abvd	OPEN	abvd_92_toopenuncover_58
-spax	spax	SPAK	abvd	HUNT	-
-spo	spo	SPO	abvd	SIT	abvd_51_tosit_40
-spospo	spospo	SPOSPO	abvd	SIT	abvd_51_tosit_40
-spospɔ	spospɔ	SPOSPO	abvd	SIT	abvd_51_tosit_40
-sum	sum	SUM	abvd	FALL	abvd_95_tofall_42
-sumxoʔ	sumxoʔ	SUMKOH	abvd	COOK (SOMETHING)	abvd_39_tocook_95
-supo	supo	SUPO	abvd	SIT	abvd_51_tosit_40
-suᵐbro	subro	SUBRO	abvd	THROW	abvd_94_tothrow_86
-suᵐʙoxoʔ	suʙoxoʔ	SUBOKOH	abvd	COOK (SOMETHING)	abvd_39_tocook_95
-suᵐʙro	suʙro	SUBRO	abvd	THROW	abvd_94_tothrow_86
-səɣʊp	səɣʊp	SEGUP	abvd	BLOW (OF WIND)	abvd_137_toblow_4
-sɪᵐbax	sɪbax	SIBAK	abvd	SPLIT	abvd_80_tosplit_9
