Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	abvd	AT	abvd_173_at_1
a-sa	asa	ASA	abvd	WHAT	abvd_188_what_1
afi	afi	API	abvd	FIRE	abvd_143_fire_1
alolona	alolona	ALOLONA	abvd	IN	abvd_174_ininside_1
anxarakua	anxarakua	ANKARAKUA	abvd	NEW	abvd_163_new_9
araŋgwa	aragwa	ARAGWA	abvd	NEW	abvd_163_new_9?
araᵑgʷa	araga	ARAGA	abvd	NEW	abvd_163_new_9
araᵑɡʷa	araɡa	ARAGA	abvd	NEW	abvd_163_new_9
asa	asa	ASA	abvd	WHAT	abvd_188_what_1
asasiɣa	asasiɣa	ASASIGA	abvd	POUND	abvd_93_topoundbeat_61
asaβa	asaa	ASAA	abvd	WHAT	abvd_188_what_1
ase	ase	ASE	abvd	NAME	abvd_63_name_1
asnao	asnao	ASNAO	abvd	WHAT	abvd_188_what_1
asoaᵑgu	asoagu	ASOAGU	abvd	HUSBAND	-
asu	asu	ASU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
asɸa mate	asɸamate	ASPAMATE	abvd	KILL	abvd_74_tokill_2
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
ato	ato	ATO	abvd	IF	abvd_193_if_79
aulu	aulu	AULU	abvd	ABOVE	abvd_175_above_47
avi	avi	ABI	abvd	FIRE	abvd_143_fire_1
awe	awe	AWE	abvd	BE ALIVE	abvd_76_tolivebealive_58
aŋoxa	aoxa	AOKA	abvd	YELLOW	abvd_150_yellow_9
aŋoɣa	aoɣa	AOGA	abvd	YELLOW	abvd_150_yellow_9
aŋʷaxa	aaxa	AAKA	abvd	YELLOW	abvd_150_yellow_9
aŋʷaɣa	aaɣa	AAGA	abvd	YELLOW	abvd_150_yellow_9
aɸi	aɸi	API	abvd	FIRE	abvd_143_fire_1
aβi	ai	AI	abvd	FIRE	abvd_143_fire_1
aᵏpʷa	apa	APA	abvd	BURN	abvd_144_toburn_94
aᵏpʷaaᵏpʷa	apaapa	APAAPA	abvd	BLACK	-
bal	bal	BAL	abvd	STEAL	abvd_73_tosteal_23
bisa	bisa	BISA	abvd	NO OR NOT	abvd_195_nonot_114
boᵐbo fʷaɣa	bobofaɣa	BOBOPAGA	abvd	SPLIT	-
dao-ɣʷai	daoɣai	DAOGAI	abvd	LEAF	abvd_114_leaf_1
dixeᵑgo	dixego	DIKEGO	abvd	TURN	-
diɣefu	diɣefu	DIGEPU	abvd	ASH	abvd_146_ashes_100
ea	ea	EA	abvd	AT	abvd_173_at_1
eas	eas	EAS	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
easu	easu	EASU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
eaɸ	eaɸ	EAP	abvd	FIRE	abvd_143_fire_1
eaβ	ea	EA	abvd	FIRE	abvd_143_fire_1
efa	efa	EPA	abvd	LIE DOWN	abvd_49_toliedown_111
el saɣe	elsaɣe	ELSAGE	abvd	ABOVE	-
ela	ela	ELA	abvd	THIS	abvd_177_this_62
elβano	elano	ELANO	abvd	THAT	-
embieŋ memea	embiememea	EMBIEMEMEA	abvd	SHY OR ASHAMED	abvd_161_shyashamed_55
eno	eno	ENO	abvd	LIE DOWN	abvd_49_toliedown_1
era	era	ERA	abvd	THEY	abvd_187_they_1
era rua	erarua	ERARUA	abvd	THEY	abvd_187_they_1
ete	ete	ETE	abvd	SEE	abvd_46_tosee_1
etet sura	etetsura	ETETSURA	abvd	CHOOSE	abvd_85_tochoose_45
etet suri	etetsuri	ETETSURI	abvd	CHOOSE	abvd_85_tochoose_45
eti	eti	ETI	abvd	FASTEN	abvd_66_totieupfasten_31
ewe	ewe	EWE	abvd	NO OR NOT	abvd_195_nonot_54
eβa	ea	EA	abvd	LIE DOWN	abvd_49_toliedown_111
eᵐbe	ebe	EBE	abvd	WHERE	abvd_181_where_3?
fafae riki	fafaeriki	PAPAERIKI	abvd	SMALL	abvd_152_small_155
fafaeriki	fafaeriki	PAPAERIKI	abvd	NARROW	abvd_158_narrow_82
fafah	fafah	PAPAH	abvd	BELOW OR UNDER	abvd_176_below_93
fafai	fafai	PAPAI	abvd	SEW	-
fafine	fafine	PAPINE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
falaŋa	falaa	PALAA	abvd	MOUTH	abvd_30_mouth_42
fale	fale	PALE	abvd	HOUSE	abvd_61_house_14
falfal	falfal	PALPAL	abvd	COUNT	-
falisi	falisi	PALISI	abvd	GRASS	abvd_118_grass_1
falu	falu	PALU	abvd	COUNT	abvd_196_tocount_1
fanai	fanai	PANAI	abvd	COME	abvd_7_tocome_1
fani	fani	PANI	abvd	COME	abvd_7_tocome_1
fanma	fanma	PANMA	abvd	COME	abvd_7_tocome_1
fara	fara	PARA	abvd	LIVER	abvd_17_liver_17
fara-	fara	PARA	abvd	LIVER	abvd_17_liver_17
fara-ᵑgu	faragu	PARAGU	abvd	LIVER	abvd_17_liver_17
faraŋa	faraa	PARAA	abvd	LIVER	abvd_17_liver_17
fasaŋavul	fasaavul	PASAABUL	abvd	THOUSAND	-
fasixo-na	fasixona	PASIKONA	abvd	FLESH OR MEAT	abvd_103_meatflesh_10
fasixona	fasixona	PASIKONA	abvd	FLESH OR MEAT	abvd_103_meatflesh_10
fasxo-na	fasxona	PASKONA	abvd	FLESH OR MEAT	abvd_103_meatflesh_10
fat	fat	PAT	abvd	STONE	abvd_120_stone_1
fati	fati	PATI	abvd	FOUR	abvd_200_four_1
fato	fato	PATO	abvd	STONE	-
fatu	fatu	PATU	abvd	STONE	abvd_120_stone_1
fatɪ	fatɪ	PATI	abvd	FOUR	abvd_200_four_1
fau	fau	PAU	abvd	FASTEN	abvd_66_totieupfasten_162
favine	favine	PABINE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
faɣasaŋavul	faɣasaavul	PAGASAABUL	abvd	THOUSAND	-
fefe	fefe	PEPE	abvd	MOTHER	abvd_59_mother_97
fei	fei	PEI	abvd	IF	-
fei xusiᵐbe	feixusibe	PEIKUSIBE	abvd	HOW	abvd_194_how_58
fenaɣa	fenaɣa	PENAGA	abvd	CLIMB	abvd_172_toclimb_69
fene	fene	PENE	abvd	SHOOT	abvd_70_toshoot_1
fenex	fenex	PENEK	abvd	CLIMB	abvd_172_toclimb_69
feta	feta	PETA	abvd	IF	abvd_193_if_96
feti	feti	PETI	abvd	SAY	abvd_64_tosay_47
fet̪a	fet̪a	PETA	abvd	IF	abvd_193_if_96
feve	feve	PEBE	abvd	SAY	abvd_64_tosay_13
feβe	fee	PEE	abvd	SAY	abvd_64_tosay_13
fifif	fifif	PIPIP	abvd	FOG	abvd_132_fog_11
fififi	fififi	PIPIPI	abvd	FOG	abvd_132_fog_11
fifiri	fifiri	PIPIRI	abvd	SQUEEZE	abvd_88_tosqueeze_16
fifirtaxi	fifirtaxi	PIPIRTAKI	abvd	NEAR	abvd_179_near_131
fila	fila	PILA	abvd	LIGHTNING	abvd_135_lightning_26
finik	finik	PINIK	abvd	SKIN	abvd_12_skin_28
finu-	finu	PINU	abvd	SKIN	abvd_12_skin_28
finu-ᵑgu	finugu	PINUGU	abvd	SKIN	abvd_12_skin_28
finuh	finuh	PINUH	abvd	SKIN	abvd_12_skin_28
finuŋa	finua	PINUA	abvd	SKIN	abvd_12_skin_28
fin|xusu-	finxusu	PINKUSU	abvd	MOUTH	abvd_30_mouth_73
fira	fira	PIRA	abvd	FLOWER	abvd_116_flower_35
firana	firana	PIRANA	abvd	FLOWER	abvd_116_flower_35
firfirtah	firfirtah	PIRPIRTAH	abvd	NEAR	abvd_179_near_131
firoxia	firoxia	PIROKIA	abvd	SEW	abvd_67_tosew_72
firsa	firsa	PIRSA	abvd	SQUEEZE	abvd_88_tosqueeze_16
firtaxe	firtaxe	PIRTAKE	abvd	NEAR	abvd_179_near_131
fitiu	fitiu	PITIU	abvd	STAR	abvd_130_star_1
fla	fla	PLA	abvd	LIGHTNING	abvd_135_lightning_26
forsah	forsah	PORSAH	abvd	HOW	-
fra	fra	PRA	abvd	SPIT	abvd_36_tospit_113
frak	frak	PRAK	abvd	FLOWER	abvd_116_flower_35
frax	frax	PRAK	abvd	FLOWER	abvd_116_flower_35
fula	fula	PULA	abvd	MOON	abvd_129_moon_1
fulu	fulu	PULU	abvd	FEATHER	abvd_99_feather_1
fulⁿdolua	fuldolua	PULDOLUA	abvd	HUNDRED	-
fən	fən	PEN	abvd	SKIN	abvd_12_skin_28
fɪris	fɪris	PIRIS	abvd	SQUEEZE	abvd_88_tosqueeze_16
fʷafʷa	fafa	PAPA	abvd	MOUTH	abvd_30_mouth_84
fʷai xai	faixai	PAIKAI	abvd	FRUIT	abvd_117_fruit_1
fʷate	fate	PATE	abvd	OTHER	-
fʷiah	fiah	PIAH	abvd	CORRECT (RIGHT)	-
fʷilfʷil	filfil	PILPIL	abvd	SHORT	abvd_154_short_87
fʷol	fol	POL	abvd	BUY	abvd_91_tobuy_1
fʷuɣe	fuɣe	PUGE	abvd	SWELL	abvd_87_toswell_10
gam	gam	GAM	abvd	YOU	abvd_186_you_1
gamai	gamai	GAMAI	abvd	WE	-
gamaru	gamaru	GAMARU	abvd	WE	-
gamaᵑgairua	gamagairua	GAMAGAIRUA	abvd	WE	-
gami rua	gamirua	GAMIRUA	abvd	WE	-
gamu	gamu	GAMU	abvd	YOU	abvd_186_you_1
gamurua	gamurua	GAMURUA	abvd	WE	-
garu	garu	GARU	abvd	FOOT OR LEG	abvd_4_legfoot_49
gemiu	gemiu	GEMIU	abvd	YOU	abvd_186_you_1
giaɣa	giaɣa	GIAGA	abvd	THIS	abvd_177_this_46
gika	gika	GIKA	abvd	THIS	abvd_177_this_46
giβano	giano	GIANO	abvd	THAT	abvd_178_that_66
gomai	gomai	GOMAI	abvd	WE	-
gomai rua	gomairua	GOMAIRUA	abvd	WE	-
