Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
Amelika	ʔa˧me˧li˧ka˧	HAMELIKA	wikipron	-	-
as_nyub	a¹¹ɲu⁵⁵	ANU	wold	AGE	-
as_thiv	a¹¹tʰi³⁴	ATI	wold	WEEK	-
av	a³⁴	A	wold	EARTH (SOIL)	-
av_nkos	a³⁴ⁿko¹¹	AKO	wold	MUD	-
av_nplaum	a³⁴ⁿplau²¹³	APLAU	wold	CLAY	-
av_qeeg	a³⁴qeŋ³¹	AKEN	wold	EARTHQUAKE	-
aws	aɯ¹¹	AU	wold	YES	-
cag	ca˧˩̤	KA	wikipron	-	-
cag	tɕa³¹	TSA	wold	ROOT	-
cai	tɕai³³	TSAI	wold	LAW	-
caij	cai̯˥˧	KAI	wikipron	-	-
caij	tɕai⁵³	TSAI	wold	RIDE	-
caij_nplooj_ntoo_hlav	tɕai⁵³ⁿploŋ⁵³ⁿtoŋ³³hl/l̥a³⁴	TSAIPLONTONHLLA	wold	SPRINGTIME	-
caij_nplooj_zeeg	tɕai⁵³ⁿploŋ⁵³ʐeŋ³¹	TSAIPLONEN	wold	AUTUMN	-
caij_ntuj_no	tɕai⁵³ⁿtu⁵³no³³	TSAITUNO	wold	WINTER	-
caij_ntuj_sov	tɕai⁵³ⁿtu⁵³ʂo³⁴	TSAITUSO	wold	SUMMER	-
cais	cai̯˩	KAI	wikipron	-	-
cais	tɕai¹¹	TSAI	wold	SEPARATE	-
caiv	cai̯˧˦	KAI	wikipron	-	-
caj-dab	tɕa⁵³da⁵⁵	TSADA	wold	NECK	-
caj-npab	tɕa⁵³ⁿpa⁵⁵	TSAPA	wold	ARM	-
caj-pas	tɕa⁵³pa¹¹	TSAPA	wold	THROAT	-
caug	cau̯˧˩̤	KAU	wikipron	-	-
caum	tɕau²¹³	TSAU	wold	PURSUE	-
caw	tɕaɯ³³	TSAU	wold	INVITE	-
cawm	tɕaɯ²¹³	TSAU	wold	RESCUE	-
caws	tɕaɯ¹¹	TSAU	wold	CROUCH	-
caws_pliav	tɕaɯ¹¹pˡi/ja³⁴	TSAUPIYA	wold	SCAR	-
cawv	caɨ̯˧˦	KAI	wikipron	-	-
cawv	tɕaɯ³⁴	TSAU	wold	ALCOHOL (FERMENTED DRINK)	-
ce	tɕe³³	TSE	wold	DRAW (WATER)	-
ceb	tɕe⁵⁵	TSE	wold	DIRTY	-
ceev	cẽ˧˦	K	wikipron	-	-
ceg	ce˧˩̤	KE	wikipron	-	-
ceg	tɕe³¹	TSE	wold	LEG	-
ceg_tawv	tɕe³¹taɯ³⁴	TSETAU	wold	LAME	-
cem	tɕe²¹³	TSE	wold	SCOLD	-
cev	ce˧˦	KE	wikipron	-	-
cev	tɕe³⁴	TSE	wold	BODY	-
cev_ntoo	tɕe³⁴ⁿtoŋ³³	TSETON	wold	TREE TRUNK	-
cev_tiab	tɕe³⁴ti/ja⁵⁵	TSETIYA	wold	DRESS	-
cev_txoj_lus	tɕe³⁴tso⁵³lu¹¹	TSETSOLU	wold	PREACH	-
chais	tɕʰai¹¹	TSAI	wold	RAZOR	-
chav	tɕʰa³⁴	TSA	wold	ROOM	-
chaw	tɕʰaɯ³³	TSAU	wold	PLACE (POSITION)	-
chaw_mos	tɕʰaɯ³³mo¹¹	TSAUMO	wold	PENIS	-
chaw_ntaus_nplej	tɕʰaɯ³³ⁿtau¹¹ⁿple⁵³	TSAUTAUPLE	wold	THRESHING-FLOOR	-
chaw_nyob	tɕʰaɯ³³ɲo⁵⁵	TSAUNO	wold	ADDRESS	-
cheb	tɕʰe⁵⁵	TSE	wold	SWEEP	-
chij	cʰi˥˧	KI	wikipron	-	-
chim	cʰi˩̰	KI	wikipron	-	-
chiv	tɕʰi³⁴	TSI	wold	BEGIN	-
chiv_keeb	tɕʰi³⁴keŋ⁵⁵	TSIKEN	wold	BEGINNING	-
choj	cʰɒ˥˧	K	wikipron	-	-
choj	tɕʰo⁵³	TSO	wold	BRIDGE	-
ci	ci˧	KI	wikipron	-	-
ci	tɕi³³	TSI	wold	ROAST OR FRY	-
ciab-mu	tɕi/ja⁵⁵mu³³	TSIYAMU	wold	BEESWAX	-
ciaj	ciə̯˥˧	KIE	wikipron	-	-
ciaj	tɕi/ja⁵³	TSIYA	wold	TONGS	-
ciaj-sia	tɕi/ja⁵³ʂi/jə³³	TSIYASIYE	wold	BE ALIVE	-
ciam	tɕi/ja²¹³	TSIYA	wold	BOUNDARY	-
ciav_dej	tɕi/ja³⁴de⁵³	TSIYADE	wold	FAUCET	-
ciblaug	ci˥lau̯˧˩̤	KILAU	wikipron	-	-
co	tɕo³³	TSO	wold	SHAKE	-
cog	tɕo³¹	TSO	wold	PLANT (SOMETHING)	-
cog_lus	tɕo³¹lu¹¹	TSOLU	wold	PROMISE	-
coj	tɕo⁵³	TSO	wold	LEAD (GUIDE)	-
coj_tuaj	tɕo⁵³tu/wa⁵³	TSOTUWA	wold	BRING	-
coob	tɕoŋ⁵⁵	TSON	wold	MANY	-
cov	cɒ˧˦	K	wikipron	-	-
cov_seem	tɕo³⁴ʂeŋ²¹³	TSOSEN	wold	REMAINS	-
cua	tɕu/wa³³	TSUWA	wold	WIND	-
cua_daj_cua_dub	tɕu/wa³³da⁵³tɕu/wa³³du⁵⁵	TSUWADATSUWADU	wold	STORM	-
cua_nab	tɕu/wa³³na⁵⁵	TSUWANA	wold	WORM	-
cuab	tɕu/wa⁵⁵	TSUWA	wold	TRAP (CATCH)	-
cuab_tam	tɕu/wa⁵⁵ta²¹³	TSUWATA	wold	TOOL	-
cuaj	cuə̯˥˧	KUE	wikipron	-	-
cuaj	tɕu/wa⁵³	TSUWA	wold	NINE	-
cw	cɨ˧	KI	wikipron	-	-
cw	tɕɯ³³	TSU	wold	CRUSTACEANS (PRAWNS OR SHRIMP)	-
cwj_mem	tɕɯ⁵³me²¹³	TSUME	wold	PEN	-
cwj_nrig	tɕɯ⁵³ⁿri³¹	TSURI	wold	WALKING STICK	-
cwj_pwm	tɕɯ⁵³pɯ²¹³	TSUPU	wold	MANNER	-
da	da˧	DA	wikipron	-	-
da_dej	da³³de⁵³	DADE	wold	BATHE	-
dab	da˥	DA	wikipron	-	-
dab	da⁵⁵	DA	wold	TROUGH	-
dab-taws	da⁵⁵taɯ¹¹	DATAU	wold	ANKLE	-
dab-teg	da⁵⁵te³¹	DATE	wold	WRIST	-
dab-tshos	da⁵⁵tʃʰo¹¹	DATSO	wold	COLLAR	-
dab_dej	da⁵⁵de⁵³	DADE	wold	SINK (BASIN)	-
dab_laug	da⁵⁵lau³¹	DALAU	wold	MATERNAL UNCLE (MOTHER'S BROTHER)	-
dab_tsi	da⁵⁵tʃi³³	DATSI	wold	WHAT	-
dab_tuag	da⁵⁵tu/wa³¹	DATUWA	wold	UGLY	-
dag	da˧˩̤	DA	wikipron	-	-
dag	da³¹	DA	wold	LIE (MISLEAD)	-
dai	dai³³	DAI	wold	HANG UP	-
daig_caj-dab	dai³¹tɕa⁵³da⁵⁵	DAITSADA	wold	CHOKE	-
daig_nplaig	dai³¹ⁿplai³¹	DAIPLAI	wold	STUTTER	-
daim	dai̯˩̰	DAI	wikipron	-	-
dais	dai̯˩	DAI	wikipron	-	-
dais	dai¹¹	DAI	wold	BEAR	-
daj	da˥˧	DA	wikipron	-	-
daj	da⁵³	DA	wold	FATHOM	-
daug	dau̯˧˩̤	DAU	wikipron	-	-
daus	dau̯˩	DAU	wikipron	-	-
dauslas	dau̯˩la˩	DAULA	wikipron	-	-
dav	da˧˦	DA	wikipron	-	-
dav	da³⁴	DA	wold	EAGLE	-
dav_hlau	da³⁴hl/l̥au³³	DAHLLAU	wold	AIRPLANE	-
daw	daɯ³³	DAU	wold	SALTY	-
dawb	daɨ̯˥	DAI	wikipron	-	-
dawb	daɯ⁵⁵	DAU	wold	WHITE	-
dawb_huv	daɯ⁵⁵hu³⁴	DAUHU	wold	HOLY	-
dawj	daɯ⁵³	DAU	wold	DIG	-
daws	daɯ¹¹	DAU	wold	UNTIE	-
