Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-riki	riki	RIKI	abvd	SMALL	abvd_152_small_66
aafea	aafea	AAPEA	abvd	WHEN	abvd_170_when_5
afa	afa	APA	abvd	WHAT	abvd_188_what_1
afi	afi	API	abvd	FIRE	abvd_143_fire_1
afia	afia	APIA	abvd	WHEN	abvd_170_when_5
afua	afua	APUA	abvd	FRUIT	abvd_117_fruit_1
aia	aia	AIA	abvd	HE OR SHE	abvd_184_heshe_1
akoe	akoe	AKOE	abvd	THOU	abvd_183_thou_1
ao	ao	AO	abvd	DAY (NOT NIGHT)	abvd_168_day_1
ara	ara	ARA	abvd	PATH OR ROAD	abvd_6_roadpath_1
arefu	arefu	AREPU	abvd	ASH	abvd_146_ashes_67
arero	arero	ARERO	abvd	TONGUE	abvd_32_tongue_15
aro	aro	ARO	abvd	BELOW OR UNDER	abvd_176_below_8
atai	atai	ATAI	abvd	FLESH OR MEAT	-
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
atolu	atolu	ATOLU	abvd	EGG	abvd_98_egg_1
atoto	atoto	ATOTO	abvd	BLOOD	abvd_23_blood_4
avau	avau	ABAU	abvd	I	abvd_182_i_1
a·fa	afa	APA	abvd	WHAT	abvd_188_what_1
aŋa·le	aale	AALE	abvd	MOON	abvd_129_moon_3
aŋi	ai	AI	abvd	WIND	abvd_136_wind_1
aβau	aau	AAU	abvd	I	abvd_182_i_1
e-fa	efa	EPA	abvd	FOUR	abvd_200_four_1
e-ono	eono	EONO	abvd	SIX	abvd_202_six_1
e-rima	erima	ERIMA	abvd	FIVE	abvd_201_five_1
e-toru	etoru	ETORU	abvd	THREE	abvd_199_three_1
efera	efera	EPERA	abvd	WARM	abvd_138_warm_8
efia	efia	EPIA	abvd	HOW	abvd_194_how_11
eia	eia	EIA	abvd	HE OR SHE	abvd_184_heshe_1
ekua	ekua	EKUA	abvd	WHAT	-
emama	emama	EMAMA	abvd	FATHER	abvd_60_father_1
emea	emea	EMEA	abvd	RED	abvd_149_red_1
emʷap	emap	EMAP	abvd	FAR	-
etasi	etasi	ETASI	abvd	ONE	abvd_197_one_41
etata	etata	ETATA	abvd	MOTHER	-
eueči	euei	EUEI	abvd	ALL	abvd_191_all_60
euči	eui	EUI	abvd	ALL	abvd_191_all_60
eβaru	earu	EARU	abvd	EIGHT	abvd_204_eight_3
eβitu	eitu	EITU	abvd	SEVEN	abvd_203_seven_1
fa	fa	PA	abvd	FOUR	abvd_200_four_1
faa	faa	PAA	abvd	FOUR	abvd_200_four_1
faafine	faafine	PAAPINE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
fano	fano	PANO	abvd	WALK	abvd_5_towalk_2
fare	fare	PARE	abvd	HOUSE	abvd_61_house_14
fasia	fasia	PASIA	abvd	CUT OR HACK	abvd_78_tocuthack_13
fatu	fatu	PATU	abvd	STONE	abvd_120_stone_1
fausia	fausia	PAUSIA	abvd	FASTEN	abvd_66_totieupfasten_11
fea	fea	PEA	abvd	WHERE	abvd_181_where_3
fenmai	fenmai	PENMAI	abvd	COME	abvd_7_tocome_1
ffura	ffura	PPURA	abvd	SWELL	abvd_87_toswell_7
fine	fine	PINE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
finimai	finimai	PINIMAI	abvd	COME	abvd_7_tocome_1
firia	firia	PIRIA	abvd	CHOOSE	abvd_85_tochoose_1
firiu	firiu	PIRIU	abvd	TURN	abvd_8_toturn_2
fitu	fitu	PITU	abvd	SEVEN	abvd_203_seven_1
foou	foou	POOU	abvd	NEW	abvd_163_new_1
fou	fou	POU	abvd	NEW	abvd_163_new_1
fua	fua	PUA	abvd	FRUIT	abvd_117_fruit_1
fuka	fuka	PUKA	abvd	THICK	-
fuma	fuma	PUMA	abvd	FLOWER	abvd_116_flower_72
gafuru	gafuru	GAPURU	abvd	TEN	abvd_206_ten_5
i	i	I	abvd	AT	abvd_173_at_1
i roto	iroto	IROTO	abvd	IN	abvd_174_ininside_5
ia	ia	IA	abvd	HE OR SHE	abvd_184_heshe_1
ifea	ifea	IPEA	abvd	WHERE	abvd_181_where_3
ifia	ifia	IPIA	abvd	WHERE	abvd_181_where_3
igoa	igoa	IGOA	abvd	NAME	abvd_63_name_6
ika	ika	IKA	abvd	FISH	abvd_111_fish_1
imao	imao	IMAO	abvd	FAR	abvd_180_far_13
ivi	ivi	IBI	abvd	BONE	abvd_15_bone_52
iŋoa	ioa	IOA	abvd	NAME	abvd_63_name_6
ka	ka	KA	abvd	CRY	abvd_34_tocry_58
kai	kai	KAI	abvd	EAT	abvd_37_toeat_1
kaiaa	kaiaa	KAIAA	abvd	STEAL	abvd_73_tosteal_7
kaina	kaina	KAINA	abvd	EAT	abvd_37_toeat_1
kake	kake	KAKE	abvd	CLIMB	abvd_172_toclimb_32
kalaalaa	kalaalaa	KALAALAA	abvd	SPIDER	abvd_110_spider_1
kalakela	kalakela	KALAKELA	abvd	SMALL	abvd_152_small_13
kamoa	kamoa	KAMOA	abvd	HOLD	-
kanainai	kanainai	KANAINAI	abvd	FAT (ORGANIC SUBSTANCE)	-
kapu	kapu	KAPU	abvd	LAKE	-
karukaru	karukaru	KARUKARU	abvd	SCRATCH	abvd_77_toscratch_9
karučia	karuia	KARUIA	abvd	SCRATCH	abvd_77_toscratch_10
kasikoa	kasikoa	KASIKOA	abvd	ROOT	abvd_115_root_2
kata	kata	KATA	abvd	LAUGH	abvd_33_tolaugh_7
katia	katia	KATIA	abvd	BITE	abvd_41_tobite_1
katoa	katoa	KATOA	abvd	ALL	abvd_191_all_13
kau	kau	KAU	abvd	SWIM	abvd_9_toswim_5
kaukau	kaukau	KAUKAU	abvd	SWIM	abvd_9_toswim_5
ka·	ka	KA	abvd	CRY	abvd_34_tocry_58
kačia	kaia	KAIA	abvd	BITE	abvd_41_tobite_1
kekela	kekela	KEKELA	abvd	SMALL	abvd_152_small_13
kelakela	kelakela	KELAKELA	abvd	SMALL	abvd_152_small_13
kele	kele	KELE	abvd	HEAD	-
kenei	kenei	KENEI	abvd	THIS	abvd_177_this_7
kere	kere	KERE	abvd	EARTH (SOIL)	abvd_119_earthsoil_10
keria	keria	KERIA	abvd	DIG	abvd_90_todig_1
keskesa	keskesa	KESKESA	abvd	GREEN	abvd_151_green_8
kečia	keia	KEIA	abvd	BITE	abvd_41_tobite_1
ki	ki	KI	abvd	THOU	abvd_183_thou_5
kimoa	kimoa	KIMOA	abvd	RAT	abvd_102_rat_14
kiri	kiri	KIRI	abvd	SKIN	abvd_12_skin_1
kisue	kisue	KISUE	abvd	RAT	abvd_102_rat_3
komia	komia	KOMIA	abvd	SUCK	abvd_42_tosuck_7
koomia	koomia	KOOMIA	abvd	SUCK	abvd_42_tosuck_7
kooteu	kooteu	KOOTEU	abvd	YOU	abvd_186_you_16
kootia	kootia	KOOTIA	abvd	CUT OR HACK	abvd_78_tocuthack_9
kori	kori	KORI	abvd	DOG	abvd_96_dog_7
korii	korii	KORII	abvd	DOG	abvd_96_dog_7
koteu	koteu	KOTEU	abvd	YOU	abvd_186_you_16?
koutou	koutou	KOUTOU	abvd	YOU	abvd_186_you_16
kuai	kuai	KUAI	abvd	WHO	abvd_189_who_1
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
laia	laia	LAIA	abvd	FASTEN	abvd_66_totieupfasten_14
lakela	lakela	LAKELA	abvd	THIN	-
leita	leita	LEITA	abvd	MOTHER	-
leleka	leleka	LELEKA	abvd	SMALL	abvd_152_small_13
lepa	lepa	LEPA	abvd	EARTH (SOIL)	abvd_119_earthsoil_11
leusa	leusa	LEUSA	abvd	WET	-
limena	limena	LIMENA	abvd	TONGUE	abvd_32_tongue_7
lousa	lousa	LOUSA	abvd	WET	-
