Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
adavu	adavu	ADABU	abvd	RAIN (PRECIPITATION)	abvd_133_rain_24
ade	ade	ADE	abvd	SAY	-
aisa	aisa	AISA	abvd	WHEN	abvd_170_when_1
aiʔa	aiʔa	AIHA	abvd	FISH	abvd_111_fish_1
alaba	alaba	ALABA	abvd	NEW	abvd_163_new_9
alʔusu	alʔusu	ALHUSU	abvd	SNAKE	-
amteu	amteu	AMTEU	abvd	YOU	abvd_186_you_1
amtou	amtou	AMTOU	abvd	WE	-
apa	apa	APA	abvd	SWIM	-
asau	asau	ASAU	abvd	WALK	abvd_5_towalk_125
ase	ase	ASE	abvd	MOUTH	abvd_30_mouth_15
ausa	ausa	AUSA	abvd	FOG	-
aʔano	aʔano	AHANO	abvd	ROOT	abvd_115_root_56
aʔara	aʔara	AHARA	abvd	BITE	abvd_41_tobite_1
bau	bau	BAU	abvd	SHOULDER	abvd_19_shoulder_17
bibi	bibi	BIBI	abvd	PERSON	-
bilas	bilas	BILAS	abvd	THATCH OR ROOF	-
binaso	binaso	BINASO	abvd	SHARP	-
bole	bole	BOLE	abvd	COOK (SOMETHING)	-
bosa	bosa	BOSA	abvd	FALL	-
boto	boto	BOTO	abvd	SHORT	abvd_154_short_9
bulago	bulago	BULAGO	abvd	FAR	-
buo	buo	BUO	abvd	BIG	-
buse	buse	BUSE	abvd	DOG	abvd_96_dog_67
daldala	daldala	DALDALA	abvd	BLOOD	abvd_23_blood_1
dana	dana	DANA	abvd	PLANT (SOMETHING)	-
dasi	dasi	DASI	abvd	SEA	abvd_124_sea_1
davutina	davutina	DABUTINA	abvd	PAINFUL OR SICK	-
doa	doa	DOA	abvd	GOOD	-
ei	ei	EI	abvd	HE OR SHE	abvd_184_heshe_1
elai	elai	ELAI	abvd	DIG	-
esaʔesa	esaʔesa	ESAHESA	abvd	GREEN	abvd_151_green_8
etou	etou	ETOU	abvd	WE	-
game	game	GAME	abvd	MOON	-
gata	gata	GATA	abvd	RIGHT	abvd_3_right_19
gei	gei	GEI	abvd	RAT	-
gi	gi	GI	abvd	COUNT	abvd_196_tocount_17
gulugulu	gulugulu	GULUGULU	abvd	GRASS	abvd_118_grass_6
