Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	northeuralex	NOT	-
a_kadoms_ojmamo	akadomsojmamo	AKADOMSOYMAMO	northeuralex	BOTHER (HARASS)	-
a_maksoms	amaksoms	AMAKSOMS	northeuralex	BOTHER (HARASS)	-
a_vasoloɲ	avasoloɲ	ABASOLON	northeuralex	NEAR	-
a_zʲardojak	azʲardojak	ASARDOYAK	northeuralex	NEVER	-
al	al	AL	northeuralex	EGG	-
alamoʃka	alamoʃka	ALAMOSKA	northeuralex	A LITTLE	-
alkuksoɲ	alkuksoɲ	ALKUKSON	northeuralex	TRUE	-
alo	alo	ALO	northeuralex	LOW	-
alov	alov	ALOB	northeuralex	DOWN	-
altams	altams	ALTAMS	northeuralex	PROMISE	-
altɨma	altɨma	ALTIMA	northeuralex	NET	-
alʲa	alʲa	ALA	northeuralex	MAN	-
amarʲit͡sʲa	amarʲitsʲa	AMARITSA	northeuralex	DEAF	-
andoms	andoms	ANDOMS	northeuralex	FEED	-
anokstams	anokstams	ANOKSTAMS	northeuralex	PREPARE	-
ansʲak	ansʲak	ANSAK	northeuralex	HARDLY	-
anɡordams	angordams	ANGORDAMS	northeuralex	SCRAPE	-
apak_ut͡ɕo	apakutɕo	APAKUTSO	northeuralex	SUDDENLY	-
aprʲelʲ	aprʲelʲ	APREL	northeuralex	APRIL	-
arams	arams	ARAMS	northeuralex	BECOME	-
aravtoms	aravtoms	ARABTOMS	northeuralex	822_put	-
ardoms	ardoms	ARDOMS	northeuralex	DRIVE	-
ardtɲems	ardtɲems	ARDTNEMS	northeuralex	RUN	-
arsʲems	arsʲems	ARSEMS	northeuralex	902_wish	-
artomapelʲ	artomapelʲ	ARTOMAPEL	northeuralex	PAINT (PIGMENTS)	-
artoms	artoms	ARTOMS	northeuralex	DYE	-
asodaviks	asodaviks	ASODABIKS	northeuralex	FOREIGN	-
atʲakʃ	atʲakʃ	ATAKS	northeuralex	ROOSTER	-
at͡samo	atsamo	ATSAMO	northeuralex	BED	-
ava	ava	ABA	northeuralex	WOMAN	-
avardʲems	avardʲems	ABARDEMS	northeuralex	CRY	-
avolʲ_pitɲej	avolʲpitɲej	ABOLPITNEY	northeuralex	CHEAP	-
avɡust	avgust	ABGUST	northeuralex	AUGUST	-
azorkstams	azorkstams	ASORKSTAMS	northeuralex	LEAD (GUIDE)	-
azorkst͡ɕʲi	azorkstɕʲi	ASORKSTSI	northeuralex	POWER	-
aʃo	aʃo	ASO	northeuralex	WHITE	-
aʃtʲems	aʃtʲems	ASTEMS	northeuralex	PROTECT	-
aʃtʲems_ozado	aʃtʲemsozado	ASTEMSOSADO	northeuralex	SIT	-
