Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aceituna	aceituna	AKEITUNA	wold	OLIVE	-
afwenche	afʷentʃe	APENTSE	wold	BIRD	-
afwenche_w’ule	afʷentʃewʔule	APENTSEWHULE	wold	FEATHER	-
afwotsaj	afʷotsax	APOTSAK	wold	SNAKE	-
afwtsaj	afʷtsax	APTSAK	wold	ITCH	-
afwtsinaj	afʷtsinax	APTSINAK	wold	PITCHFORK	-
ahotlhu	ahotlˠu	AHOTLU	wold	MUSHROOM	-
ahwula	ahʷula	AHULA	wold	GOURD	-
akojlhi	akoxlˠi	AKOKLI	wold	HAPPY	-
akojpho	akoxpʰo	AKOKPO	wold	CLEAN	-
akoyek	akojek	AKOYEK	wold	BEE	-
akoyek_lhes	akojeklˠes	AKOYEKLES	wold	BEESWAX	-
alena	alena	ALENA	wold	SAND	-
alhech’alu	alˠetʃʔalu	ALETSHALU	wold	HAWK	-
alheposet	alˠeposet	ALEPOSET	wold	CENTIPEDE	-
alhetaj	alˠetax	ALETAK	wold	CROCODILE	-
alhetaj_chos	alˠetaxtʃos	ALETAKTSOS	wold	SAW	-
alhu	alˠu	ALU	wold	PLAIN	-
alina	alina	ALINA	wold	FLOUR	-
alitsajhu	alitsaxʰu	ALITSAKU	wold	PITY	-
altal	altal	ALTAL	wold	ALTAR	-
alulis	alulis	ALULIS	wold	BRICK	-
alus	alus	ALUS	wold	RICE	-
alusw’et	aluswˀet	ALUSWET	wold	PADDY FIELD	-
am	am	AM	wold	THOU	-
ama	ama	AMA	wold	MUROID (MOUSE OR RAT)	-
amekwe	amekʷe	AMEKE	wold	MAD	-
amigo	amigo	AMIGO	wold	FRIEND	-
amilh	amil̥	AMIL	wold	YOU	-
amuku	amuku	AMUKU	wold	BOIL (OF SKIN)	-
amut’i	amutʔi	AMUTHI	wold	PUS	-
amuyik	amujik	AMUYIK	wold	SCAR	-
amyolo	amjolo	AMYOLO	wold	OWL	-
anio	anio	ANIO	wold	AGE	-
asala	asala	ASALA	wold	SPADE	-
asalataj	asalatax	ASALATAK	wold	HOE	-
aseitaj	aseitax	ASEITAK	wold	OIL (ORGANIC SUBSTANCE)	-
ases	ases	ASES	wold	BAT	-
asinoj	asinox	ASINOK	wold	DOG	-
askan	askan	ASKAN	wold	CORMORANT	-
asnaj	asnax	ASNAK	wold	QUAIL	-
asnak	asnak	ASNAK	wold	MALE (OF ANIMAL)	-
asnam	asnam	ASNAM	wold	BLIND	-
asnu	asnu	ASNU	wold	DONKEY	-
asukwi	asukʷi	ASUKI	wold	SUGAR	-
asul	asul	ASUL	wold	BLUE	-
atak	atak	ATAK	wold	FLY (INSECT)	-
atamkatej	atamkatex	ATAMKATEK	wold	DARE	-
atha	atʰa	ATA	wold	DIFFICULT	-
athana	atʰana	ATANA	wold	NOW	-
atsinha	atsin̥a	ATSINA	wold	WOMAN	-
atsinha_lach’efwa_ihi	atsin̥alatʃʔefʷaihi	ATSINALATSHEPAIHI	wold	MARRIED WOMAN	-
atsinha_wemek	atsin̥awemek	ATSINAWEMEK	wold	OLD WOMAN	-
atsufwnaj	atsufʷnax	ATSUPNAK	wold	STINGY	-
ats’iyej	atsʔijex	ATSHIYEK	wold	WHY	-
atufwcho’	atufʷtʃoʔ	ATUPTSOH	wold	LOW	-
atufwey	atufʷej	ATUPEY	wold	FAR	-
atufwpho	atufʷpʰo	ATUPPO	wold	HIGH	-
at’e	atʔe	ATHE	wold	WHICH	-
at’ep	atʔep	ATHEP	wold	WHAT	-
awetsaj	awetsax	AWETSAK	wold	BOAR (MALE PIG)	-
aypas	ajpas	AYPAS	wold	CHAMELEON	-
bronce	bronce	BRONKE	wold	COPPER	-
chalaj	tʃalax	TSALAK	wold	BLACK	-
chal’a	tʃalʔa	TSALHA	wold	LIZARD	-
chasmajlhi	tʃasmaxlˠi	TSASMAKLI	wold	SCRATCH	-
che	tʃe	TSE	wold	IF	-
chechelhep	tʃetʃelˠep	TSETSELEP	wold	HUT	-
chefw_ilon	tʃefʷilon	TSEPILON	wold	SWEAT (PERSPIRE)	-
chefwala	tʃefʷala	TSEPALA	wold	TOMORROW	-
chel	tʃel	TSEL	wold	HUNT	-
chelhchep	tʃelˠtʃep	TSELTSEP	wold	AUTUMN	-
chelhtaj	tʃelˠtax	TSELTAK	wold	NASAL MUCUS (SNOT)	-
chesoy	tʃesoj	TSESOY	wold	NETTLE	-
chesu	tʃesu	TSESU	wold	CHEESE	-
chilechakw	tʃiletʃakʷ	TSILETSAK	wold	OWL	-
chipena	tʃipena	TSIPENA	wold	ORPHAN	-
chitan’i	tʃitanʔi	TSITANHI	wold	TURTLE	-
chitsajhu	tʃitsaxʰu	TSITSAKU	wold	WIDE	-
chitsajpho	tʃitsaxpʰo	TSITSAKPO	wold	WIDE	-
chiyhel	tʃijhel	TSIYHEL	wold	GROW	-
chostilhoj	tʃostilˠox	TSOSTILOK	wold	SCORPION	-
chuhut	tʃuhut	TSUHUT	wold	SPIDER	-
chuhut_kaniyhoy	tʃuhutkanijhoj	TSUHUTKANIYHOY	wold	SPIDER WEB	-
chukuk	tʃukuk	TSUKUK	wold	BUTTERFLY	-
chulh	tʃul̥	TSUL	wold	GRASSHOPPER	-
chuwej	tʃuwex	TSUWEK	wold	CAVE	-
ch’inak	tʃʔinak	TSHINAK	wold	RAM	-
ch’iwase	tʃʔiwase	TSHIWASE	wold	DEER	-
ch’utech’u	tʃʔutetʃʔu	TSHUTETSHU	wold	DEAF	-
ch’utetaj	tʃʔutetax	TSHUTETAK	wold	BOWL	-
ch’’ilijtaj	tʃʔilixtax	TSHILIKTAK	wold	RATTLE	-
diario	diario	DIARIO	wold	NEWSPAPER	-
ehote	ehote	EHOTE	wold	HOW MANY PIECES	-
ele	ele	ELE	wold	PARROT	-
elh	el̥	EL	wold	OTHER	-
enfwelmela	enfʷelmela	ENPELMELA	wold	NURSE	-
eskuwa	eskuwa	ESKUWA	wold	BROOM	-
eskwelu	eskʷelu	ESKELU	wold	SCHOOL	-
estampiya	estampija	ESTAMPIYA	wold	POSTAGE STAMP	-
e’hotehlak	eʔhotehlak	EHHOTEHLAK	wold	WHEN	-
e’ihi	eʔihi	EHIHI	wold	WHERE	-
e’ihinaji	eʔihinaxi	EHIHINAKI	wold	WHEN	-
e’wuye	eˀwuje	EWUYE	wold	HOW	-
