Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ahu	ahu	AHU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_2
aijo	aijo	AIYO	abvd	NO OR NOT	-
ana	ana	ANA	abvd	CHILD	abvd_56_child_1
anaβula	anaula	ANAULA	abvd	STAR	-
apui	apui	APUI	abvd	FIRE	abvd_143_fire_1
asansoβu	asansou	ASANSOU	abvd	THOUSAND	-
aso	aso	ASO	abvd	ONE	abvd_197_one_1
asoʔetu	asoʔetu	ASOHETU	abvd	HUNDRED	-
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
aŋi	ai	AI	abvd	WIND	abvd_136_wind_1
aβu	au	AU	abvd	ASH	abvd_146_ashes_1
balara	balara	BALARA	abvd	ROPE	-
baru	baru	BARU	abvd	NEW	abvd_163_new_1
bau	bau	BAU	abvd	FLESH OR MEAT	-
beine	beine	BEINE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
betue	betue	BETUE	abvd	MOON	-
biri	biri	BIRI	abvd	EAR	abvd_43_ear_26
bombo	bombo	BOMBO	abvd	SMOKE (EXHAUST)	-
bou	bou	BOU	abvd	FISH	-
buku	buku	BUKU	abvd	BONE	abvd_15_bone_16
buraŋa	buraa	BURAA	abvd	SAND	-
buŋa	bua	BUA	abvd	FLOWER	abvd_116_flower_1
dahu	dahu	DAHU	abvd	DOG	abvd_96_dog_1
doŋa	doa	DOA	abvd	NECK	-
ehende	ehende	EHENDE	abvd	HOW	-
elo	elo	ELO	abvd	TONGUE	abvd_32_tongue_4
eŋe	ee	EE	abvd	NOSE	abvd_27_nose_20
haka	haka	HAKA	abvd	ROOT	abvd_115_root_2
haβe	hae	HAE	abvd	COME	-
hia	hia	HIA	abvd	SALT	-
hopulo	hopulo	HOPULO	abvd	TEN	-
hoto	hoto	HOTO	abvd	NO OR NOT	-
ihi	ihi	IHI	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
ikami	ikami	IKAMI	abvd	WE	-
inderio	inderio	INDERIO	abvd	WHERE	-
ine	ine	INE	abvd	MOTHER	abvd_59_mother_1
insani	insani	INSANI	abvd	OLD	-
iPono	ipono	IPONO	abvd	HE OR SHE	-
iPoro	iporo	IPORO	abvd	THEY	-
iroβai	iroai	IROAI	abvd	FEMALE PERSON	-
isea	isea	ISEA	abvd	WHO	-
isua	isua	ISUA	abvd	WHERE	abvd_181_where_23
iŋgito	igito	IGITO	abvd	WE	-
iŋgoʔo	igoʔo	IGOHO	abvd	THOU	-
kai	kai	KAI	abvd	HAND	abvd_1_hand_36
kare	kare	KARE	abvd	FOOT OR LEG	abvd_4_legfoot_49
kau	kau	KAU	abvd	STICK	abvd_79_stickwood_1
kodei	kodei	KODEI	abvd	SMALL	abvd_152_small_2
koloro	koloro	KOLORO	abvd	ROPE	-
kombia	kombia	KOMBIA	abvd	HUSBAND	-
kompo	kompo	KOMPO	abvd	BELLY	abvd_14_belly_2
kuli	kuli	KULI	abvd	SKIN	abvd_12_skin_1
kusu	kusu	KUSU	abvd	LOUSE	abvd_108_louse_1
laroŋkau	larokau	LAROKAU	abvd	FOREST	-
laŋi	lai	LAI	abvd	SKY	abvd_128_sky_1
