Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abahesuloan	abahesuloan	ABAHESULOAN	abvd	YOU	-
ahadalof	ahadalof	AHADALOP	abvd	SEVEN	abvd_203_seven_22
ahaluof	ahaluof	AHALUOP	abvd	EIGHT	abvd_204_eight_31
ahasiː	ahasi	AHASI	abvd	NINE	abvd_205_nine_37
aluen	aluen	ALUEN	abvd	LONG	abvd_155_long_12
aře-k	ařek	AEK	abvd	LIVER	abvd_17_liver_1
asegai	asegai	ASEGAI	abvd	ROPE	abvd_65_rope_27
balen	balen	BALEN	abvd	WHITE	abvd_148_white_7
bařif	bařif	BAIP	abvd	FEMALE PERSON	abvd_55_womanfemale_53
batu-k	batuk	BATUK	abvd	HEAD	abvd_24_head_9
baːt	bat	BAT	abvd	STONE	abvd_120_stone_1
biřiː	biři	BII	abvd	STAR	abvd_130_star_1
biŋ	bi	BI	abvd	NIGHT	abvd_167_night_1
buřue-m	buřuem	BUUEM	abvd	BELLY	abvd_14_belly_52
bwi	bwi	BWI	abvd	HIT	abvd_72_tohit_110
bwiː	bwi	BWI	abvd	NO OR NOT	abvd_195_nonot_9
dama-ʔ	damaʔ	DAMAH	abvd	FATHER	abvd_60_father_1
dine-n	dinen	DINEN	abvd	MOTHER	abvd_59_mother_1
diru	diru	DIRU	abvd	WE	-
diřu	diřu	DIU	abvd	WE	-
djaf	djaf	DYAP	abvd	FIRE	abvd_143_fire_1
djiliŋi	djilii	DYILII	abvd	CUT OR HACK	abvd_78_tocuthack_113
djuf	djuf	DYUP	abvd	SWIM	-
dwehinje djap	dwehinjedjap	DWEHINYEDYAP	abvd	ASH	-
eaŋin	eain	EAIN	abvd	RAIN (PRECIPITATION)	abvd_133_rain_6
faːf	faf	PAP	abvd	FOUR	abvd_200_four_1
fon	fon	PON	abvd	NEW	abvd_163_new_1
gafu sihif	gafusihif	GAPUSIHIP	abvd	WING	-
gahaf	gahaf	GAHAP	abvd	SKY	abvd_128_sky_72
galeme-k	galemek	GALEMEK	abvd	TONGUE	abvd_32_tongue_7
galuwi-n	galuwin	GALUWIN	abvd	TAIL	abvd_105_tail_71
gana	gana	GANA	abvd	EAT	abvd_37_toeat_1
