Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ae	ae	AE	abvd	WATER	abvd_122_water_2
ako	ako	AKO	abvd	DOG	-
ana	ana	ANA	abvd	CHILD	abvd_56_child_1
ana haki	anahaki	ANAHAKI	abvd	MALE PERSON	abvd_54_manmale_7
apa	apa	APA	abvd	WHAT	abvd_188_what_1
api	api	API	abvd	FIRE	abvd_143_fire_1
are	are	ARE	abvd	ROPE	-
aru	aru	ARU	abvd	NEEDLE (FOR SEWING)	-
ata	ata	ATA	abvd	PERSON	abvd_53_personhumanbeing_4
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
avu	avu	ABU	abvd	DUST	abvd_11_dust_1
avu apu	avuapu	ABUAPU	abvd	ASH	-
aŋi	ai	AI	abvd	BLOW (OF WIND)	abvd_137_toblow_8
aʔa	aʔa	AHA	abvd	WALK	-
aʔi	aʔi	AHI	abvd	FOOT OR LEG	abvd_4_legfoot_1
b. bhoko	bbhoko	BBHOKO	abvd	SHORT	-
bee	bee	BEE	abvd	FEATHER	-
beɣa	beɣa	BEGA	abvd	WING	-
beʔo	beʔo	BEHO	abvd	KNOW (SOMETHING)	-
bhara	bhara	BHARA	abvd	WHITE	abvd_148_white_3
bhea	bhea	BHEA	abvd	LIGHTNING	-
bhiso	bhiso	BHISO	abvd	SUCK	-
bhuŋu	bhuu	BHUU	abvd	BLUNT	-
bu ima	buima	BUIMA	abvd	FIFTY	-
bu rua	burua	BURUA	abvd	TWENTY	-
bupu	bupu	BUPU	abvd	OLD	abvd_162_old_6
bədha	bədha	BEDHA	abvd	FALL	-
bəta	bəta	BETA	abvd	BUY	-
bəɣaá	bəɣa	BEGA	abvd	FLY (MOVE THROUGH AIR)	-
da	da	DA	abvd	STAR	-
date	date	DATE	abvd	HEAVY	-
dheke	dheke	DHEKE	abvd	RAT	abvd_102_rat_17
dheo	dheo	DHEO	abvd	HOLD	abvd_89_tohold_5
dhua	dhua	DHUA	abvd	SKIN	-
di	di	DI	abvd	THIS	abvd_177_this_13
duge	duge	DUGE	abvd	STAND	-
eko	eko	EKO	abvd	TAIL	abvd_105_tail_1
era	era	ERA	abvd	DAY (NOT NIGHT)	-
eu	eu	EU	abvd	LEFT	-
eva	eva	EBA	abvd	LONG	-
fai	fai	PAI	abvd	WIFE	abvd_58_wife_31
faku	faku	PAKU	abvd	SWELL	-
fine gae	finegae	PINEGAE	abvd	FEMALE PERSON	-
foko	foko	POKO	abvd	NECK	abvd_25_neck_5
fəɣo	fəɣo	PEGO	abvd	COLD	-
ge	ge	GE	abvd	COUNT	abvd_196_tocount_4
guki	guki	GUKI	abvd	BAD OR EVIL	-
haki	haki	HAKI	abvd	HUSBAND	-
heti	heti	HETI	abvd	HEAR	-
hiwa	hiwa	HIWA	abvd	YEAR	abvd_169_year_4
hiŋa	hia	HIA	abvd	EAR	abvd_43_ear_1
hoga	hoga	HOGA	abvd	THEY	-
hui	hui	HUI	abvd	FLESH OR MEAT	-
hui ŋaŋe	huiae	HUIAE	abvd	BLOW (OF WIND)	-
həmu	həmu	HEMU	abvd	MOSQUITO	-
ie	ie	IE	abvd	FRUIT	-
ie mata	iemata	IEMATA	abvd	EYE	-
ika	ika	IKA	abvd	FISH	abvd_111_fish_1
ima	ima	IMA	abvd	HAND	abvd_1_hand_1
ima rua	imarua	IMARUA	abvd	SEVEN	-
ima əsa	imaəsa	IMAESA	abvd	SIX	-
imu	imu	IMU	abvd	HE OR SHE	-
ine	ine	INE	abvd	MOTHER	abvd_59_mother_1
inu	inu	INU	abvd	DRINK	abvd_40_todrink_1
iru	iru	IRU	abvd	NOSE	abvd_27_nose_1
ka	ka	KA	abvd	EAT	abvd_37_toeat_1
kabu	kabu	KABU	abvd	ROOT	abvd_115_root_6
kami	kami	KAMI	abvd	WE	-
kapa	kapa	KAPA	abvd	THICK	abvd_157_thick_1
kau	kau	KAU	abvd	THOU	abvd_183_thou_1
kava tona	kavatona	KABATONA	abvd	BACK	-
kaʔi	kaʔi	KAHI	abvd	OPEN	-
kiki	kiki	KIKI	abvd	BITE	abvd_41_tobite_1
kisa kadʒu	kisakadʒu	KISAKADSU	abvd	FOREST	-
kita	kita	KITA	abvd	WE	-
kobe	kobe	KOBE	abvd	NIGHT	abvd_167_night_6
kobe sa	kobesa	KOBESA	abvd	CLOUD	-
koda	koda	KODA	abvd	SQUEEZE	-
koe	koe	KOE	abvd	DIG	abvd_90_todig_5
kune	kune	KUNE	abvd	YELLOW	abvd_150_yellow_1
kuru	kuru	KURU	abvd	GRASS	-
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
kəna	kəna	KENA	abvd	THAT	abvd_178_that_1
liru	liru	LIRU	abvd	SKY	abvd_128_sky_8
mai	mai	MAI	abvd	COME	abvd_7_tocome_1
mata	mata	MATA	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
maɣa	maɣa	MAGA	abvd	THINK	-
mea	mea	MEA	abvd	SHY OR ASHAMED	abvd_161_shyashamed_1
mere	mere	MERE	abvd	BIG	-
miro	miro	MIRO	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
mite	mite	MITE	abvd	BLACK	abvd_147_black_1
miu	miu	MIU	abvd	YOU	abvd_186_you_1
moa pa	moapa	MOAPA	abvd	YAWN	abvd_47_toyawn_19
modhe	modhe	MODHE	abvd	GOOD	abvd_164_good_5
moe de	moede	MOEDE	abvd	HOW	-
moi-moi	moimoi	MOIMOI	abvd	ALL	-
moku	moku	MOKU	abvd	SIT	-
mona	mona	MONA	abvd	NO OR NOT	-
mou	mou	MOU	abvd	ROTTEN	-
mumu	mumu	MUMU	abvd	MOUTH	-
muri	muri	MURI	abvd	BE ALIVE	abvd_76_tolivebealive_1
muta	muta	MUTA	abvd	VOMIT	abvd_35_tovomit_1
məsi	məsi	MESI	abvd	SEA	abvd_124_sea_8
nade	nade	NADE	abvd	SLEEP	abvd_48_tosleep_5
nai	nai	NAI	abvd	CLIMB	abvd_172_toclimb_1
naka	naka	NAKA	abvd	STEAL	abvd_73_tosteal_1
naka tuu	nakatuu	NAKATUU	abvd	SPIDER	-
