Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-kaʝuk	kaʝuk	KAGUK	abvd	MALE PERSON	abvd_54_manmale_22
-ŋena	ena	ENA	abvd	THAT	-
-ŋeni	eni	ENI	abvd	THAT	abvd_178_that_1
-ɣaʝuk	ɣaʝuk	GAGUK	abvd	MALE PERSON	abvd_54_manmale_22
-ⁿda	da	DA	abvd	THIS	abvd_177_this_80
cac	cac	KAK	abvd	SHARP	-
capwek	capwek	KAPWEK	abvd	DOG	-
cawek	cawek	KAWEK	abvd	DOG	abvd_96_dog_45
caᵐbi	cabi	KABI	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_117
ceⁿda	ceda	KEDA	abvd	PATH OR ROAD	abvd_6_roadpath_1
ci:-	ci	KI	abvd	SKIN	abvd_12_skin_1
ci:k	cik	KIK	abvd	LOUSE	-
ci:ᵐbwi	cibwi	KIBWI	abvd	RAT	abvd_102_rat_3
cim	cim	KIM	abvd	GROW	-
cimwi	cimwi	KIMWI	abvd	HOLD	abvd_89_tohold_1
cne:ⁿdan	cnedan	KNEDAN	abvd	PATH OR ROAD	-
corai	corai	KORAI	abvd	CLIMB	-
e	e	E	abvd	WHERE	-
e:	e	E	abvd	WHERE	-
eve	eve	EBE	abvd	WHERE	abvd_181_where_41
fali:c	falic	PALIK	abvd	PAINFUL OR SICK	abvd_160_painfulsick_38
falic	falic	PALIK	abvd	PAINFUL OR SICK	abvd_160_painfulsick_38
felo	felo	PELO	abvd	DRINK	abvd_40_todrink_67
feloi	feloi	PELOI	abvd	DRINK	-
fi	fi	PI	abvd	EGG	-
fi:-	fi	PI	abvd	EGG	-
fine	fine	PINE	abvd	COUNT	abvd_196_tocount_26
fiʝe-	fiʝe	PIGE	abvd	EGG	-
gae kaca	gaekaca	GAEKAKA	abvd	NEW	abvd_163_new_53
gen	gen	GEN	abvd	NIGHT	abvd_167_night_1
guc	guc	GUK	abvd	EARTH (SOIL)	abvd_119_earthsoil_70
haⁿga	haga	HAGA	abvd	FEAR (BE AFRAID)	-
he-me	heme	HEME	abvd	COME	abvd_7_tocome_1
he:c	hec	HEK	abvd	ONE	-
he:c kha:k	heckhak	HEKKHAK	abvd	TWENTY	-
heluk	heluk	HELUK	abvd	TWO	-
het	het	HET	abvd	BURN	-
heʝen	heʝen	HEGEN	abvd	THREE	-
hi	hi	HI	abvd	HAND	abvd_1_hand_10
hi-manik	himanik	HIMANIK	abvd	WING	-
