Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
akambœ	akamb	AKAMB	abvd	FOG	abvd_132_fog_24
alaœ	ala	ALA	abvd	TURN	-
andu	andu	ANDU	abvd	BONE	-
awœ	aw	AW	abvd	THINK	abvd_21_tothink_47
dœwe	dwe	DWE	abvd	BIRD	-
eke	eke	EKE	abvd	THIS	abvd_177_this_6
ekæ	ek	EK	abvd	THIS	-
gæiplüwu	giplwu	GIPLWU	abvd	FOREST	-
i-bla	ibla	IBLA	abvd	RED	abvd_149_red_1
ibowi	ibowi	IBOWI	abvd	LONG	abvd_155_long_16
ibu	ibu	IBU	abvd	WET	-
iko	iko	IKO	abvd	GOOD	-
ikola	ikola	IKOLA	abvd	FEAR (BE AFRAID)	-
ikore	ikore	IKORE	abvd	CORRECT (RIGHT)	-
ikyɒu	ikyɒu	IKUU	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_18?
ikʰotʰei	ikotei	IKOTEI	abvd	GOOD	-
ilvœ	ilv	ILB	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_1
ilœpʰi	ilpi	ILPI	abvd	BIG	-
imaiyœ	imaiy	IMAIU	abvd	SHARP	abvd_81_sharp_36
imalue	imalue	IMALUE	abvd	HEAVY	abvd_142_heavy_28
imbla	imbla	IMBLA	abvd	RED	abvd_149_red_1
imblu	imblu	IMBLU	abvd	BLACK	abvd_147_black_45
imblɒŋɒ	imblɒɒ	IMBL	abvd	GREEN	abvd_151_green_13
imbu	imbu	IMBU	abvd	SWELL	-
imbuki	imbuki	IMBUKI	abvd	LONG	-
imbɔtu	imbɔtu	IMBOTU	abvd	SHORT	abvd_154_short_9
imbʷemi	imbemi	IMBEMI	abvd	ROTTEN	-
imele	imele	IMELE	abvd	THIN	abvd_156_thin_15
imiŋa	imia	IMIA	abvd	DRY	abvd_140_dry_34
imu	imu	IMU	abvd	BLUNT	-
imya	imya	IMUA	abvd	COLD	abvd_139_cold_1
imœmblɒ	immblɒ	IMMBL	abvd	YELLOW	abvd_150_yellow_40
iopʷai	iopai	IOPAI	abvd	LAUGH	-
ipmü	ipm	IPM	abvd	RAIN (PRECIPITATION)	abvd_133_rain_16
ipunda	ipunda	IPUNDA	abvd	ROTTEN	-
ise	ise	ISE	abvd	MOTHER	abvd_59_mother_25
itaŋalei	itaalei	ITAALEI	abvd	SPLIT	-
itœm	itm	ITM	abvd	MOTHER	-
itʰua	itua	ITUA	abvd	BAD OR EVIL	-
ive	ive	IBE	abvd	THICK	-
ivœlæ	ivl	IBL	abvd	BURN	-
iœkɛ	ikɛ	IKE	abvd	WHO	abvd_189_who_31?
kanumœ	kanum	KANUM	abvd	LEFT	abvd_2_left_41
kuli	kuli	KULI	abvd	DOG	abvd_96_dog_7
kɔtɔnɔ	kɔtɔnɔ	KOTONO	abvd	EARTH (SOIL)	abvd_119_earthsoil_1
lakulœ	lakul	LAKUL	abvd	OLD	-
lapʷœki	lapki	LAPKI	abvd	CUT OR HACK	-
lavi	lavi	LABI	abvd	FASTEN	-
lawi	lawi	LAWI	abvd	WHITE	-
lepmelɒ	lepmelɒ	LEPMEL	abvd	PERSON	abvd_53_personhumanbeing_36
lewi	lewi	LEWI	abvd	FLOW	-
loku	loku	LOKU	abvd	WATER	-
lue	lue	LUE	abvd	FASTEN	-
lœlānuŋɔ	llnuɔ	LLNUO	abvd	BRANCH	-
lœpœki	lpki	LPKI	abvd	PATH OR ROAD	abvd_6_roadpath_31
lɔdɔtɔ	lɔdɔtɔ	LODOTO	abvd	EAR	abvd_43_ear_21?
lɛpmü	lɛpm	LEPM	abvd	GRASS	abvd_118_grass_29
lɛpũ	lɛp	LEP	abvd	LEAF	abvd_114_leaf_1
lɛu	lɛu	LEU	abvd	LEAF	abvd_114_leaf_1
lʌfɔ	lʌfɔ	LPO	abvd	FOUR	abvd_200_four_1
lʌli	lʌli	LLI	abvd	TWO	abvd_198_two_1
lʌməf	lʌməf	LMEP	abvd	FIVE	abvd_201_five_1
lʌtü	lʌt	LT	abvd	THREE	abvd_199_three_1
lʌətʰemǣ	lʌətem	LETEM	abvd	SIX	-
male	male	MALE	abvd	HOLD	abvd_89_tohold_53
malitnɒ	malitnɒ	MALITN	abvd	EGG	-
manda dai we	mandadaiwe	MANDADAIWE	abvd	HOW	-
mbe	mbe	MBE	abvd	SKIN	abvd_12_skin_47?
