Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a-basõ	abas	ABAS	abvd	WET	abvd_141_wet_1
a-bou	abou	ABOU	abvd	ROTTEN	-
a-bua	abua	ABUA	abvd	HEAVY	abvd_142_heavy_1
a-doŋo	adoo	ADOO	abvd	SHORT	-
a-hatõ	ahat	AHAT	abvd	NEAR	-
a-itõ	ait	AIT	abvd	BLACK	abvd_147_black_1
a-lawe	alawe	ALAWE	abvd	FEMALE PERSON	abvd_55_womanfemale_33
a-lõsõ	als	ALS	abvd	DRY	-
a-nau	anau	ANAU	abvd	LONG	abvd_155_long_1
a-rõu	aru	ARU	abvd	FAR	abvd_180_far_1
a-tarõ	atar	ATAR	abvd	SHARP	abvd_81_sharp_1
a-tua	atua	ATUA	abvd	OLD	abvd_162_old_1
a-uxu	auxu	AUKU	abvd	WARM	-
a-wolo	awolo	AWOLO	abvd	WIDE	-
a-ʔewo	aʔewo	AHEWO	abvd	OLD	abvd_162_old_1
adulo	adulo	ADULO	abvd	EGG	abvd_98_egg_1?
afi	afi	API	abvd	WING	-
afu	afu	APU	abvd	SEW	-
ago	ago	AGO	abvd	SMELL (PERCEIVE)	-
ahe	ahe	AHE	abvd	FOOT OR LEG	abvd_4_legfoot_1
alisi	alisi	ALISI	abvd	SHOULDER	-
alitõ	alit	ALIT	abvd	FIRE	-
alu	alu	ALU	abvd	HUNT	abvd_69_tohunt_1?
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
asi	asi	ASI	abvd	SEA	abvd_124_sea_1
asu	asu	ASU	abvd	DOG	abvd_96_dog_1
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
awu	awu	AWU	abvd	ASH	abvd_146_ashes_1
aŋi	ai	AI	abvd	WIND	abvd_136_wind_1
ba	ba	BA	abvd	AT	abvd_173_at_17
bagi	bagi	BAGI	abvd	NECK	-
banua	banua	BANUA	abvd	SKY	abvd_128_sky_1
bao	bao	BAO	abvd	SWELL	abvd_87_toswell_1
bawa	bawa	BAWA	abvd	MOUTH	abvd_30_mouth_1
baw̃a	baw̃a	BAWA	abvd	MOON	-
baʔu	baʔu	BAHU	abvd	STONE	abvd_120_stone_1
betuʔa	betuʔa	BETUHA	abvd	INTESTINES	abvd_16_intestines_21
biniʔõ	biniʔ	BINIH	abvd	HIDE	-
bohou	bohou	BOHOU	abvd	NEW	abvd_163_new_1
boka	boka	BOKA	abvd	OPEN	abvd_92_toopenuncover_1
boŋi	boi	BOI	abvd	NIGHT	abvd_167_night_1
bu	bu	BU	abvd	HAIR	abvd_26_hair_1
bua	bua	BUA	abvd	FRUIT	abvd_117_fruit_1
