Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'k	k	K	wikipron	-	-
'k	ək	EK	wikipron	-	-
'm	əm	EM	wikipron	-	-
'n	ən	EN	wikipron	-	-
'ns	əns	ENS	wikipron	-	-
'r	ər	ER	wikipron	-	-
's	s	S	wikipron	-	-
's	əs	ES	wikipron	-	-
't	t	T	wikipron	-	-
't	ət	ET	wikipron	-	-
a	aː	A	wikipron	-	-
Aa	aː	A	wikipron	-	-
Aad	aːt	AT	wikipron	-	-
Aadje	aːtjə	ATYE	wikipron	-	-
Aadorp	aːdɔrp	ADORP	wikipron	-	-
Aafje	aːfjə	APYE	wikipron	-	-
Aagje	aːxjə	AKYE	wikipron	-	-
aagt	aːxt	AKT	wikipron	-	-
aagtappel	aːxtɑpəl	AKTAPEL	wikipron	-	-
Aagtekerke	aːxtəkɛrkə	AKTEKERKE	wikipron	-	-
Aagtje	aːxtjə	AKTYE	wikipron	-	-
aai	aːi̯	AI	wikipron	-	-
aaibaar	aːi̯baːr	AIBAR	wikipron	-	-
aaibaarheid	aːi̯baːrɦɛi̯t	AIBARHEIT	wikipron	-	-
aaibaarheidsfactor	aːi̯baːrɦɛi̯tsfɑktɔr	AIBARHEITSPAKTOR	wikipron	-	-
aaien	aːi̯ən	AIEN	wikipron	-	-
aaiing	aːi̯ɪŋ	AIIN	wikipron	-	-
aak	aːk	AK	wikipron	-	-
aaks	aːks	AKS	wikipron	-	-
Aaksens	aːksəns	AKSENS	wikipron	-	-
aal	aːl	AL	wikipron	-	-
Aalbeek	aːlbeːk	ALBEK	wikipron	-	-
Aalbert	aːlbɛrt	ALBERT	wikipron	-	-
aalbes	aːlbɛs	ALBES	wikipron	-	-
aalbessengelei	aːlbɛsənʒəlɛi̯	ALBESENSELEI	wikipron	-	-
aalbessenjam	aːlbɛsənʒɛm	ALBESENSEM	wikipron	-	-
aalbessenjenever	aːlbɛsənjəneːvər	ALBESENYENEBER	wikipron	-	-
aalbessensap	aːlbɛsənsɑp	ALBESENSAP	wikipron	-	-
aalbessenstruik	aːlbɛsənstrœy̯k	ALBESENSTREUK	wikipron	-	-
aalbessesap	aːlbɛsəsɑp	ALBESESAP	wikipron	-	-
aalbessestruik	aːlbɛsəstrœy̯k	ALBESESTREUK	wikipron	-	-
Aalbrecht	aːlbrɛxt	ALBREKT	wikipron	-	-
Aalburg	aːlbʏrx	ALBRK	wikipron	-	-
Aalden	aːldən	ALDEN	wikipron	-	-
Aalderik	aːldərɪk	ALDERIK	wikipron	-	-
Aalderinkshoek	aːldərɪŋksɦuk	ALDERINKSHUK	wikipron	-	-
Aaldert	aːldərt	ALDERT	wikipron	-	-
Aaldonk	aːldɔŋk	ALDONK	wikipron	-	-
Aaldrik	aːldrɪk	ALDRIK	wikipron	-	-
aalfuik	aːlfœy̯k	ALPEUK	wikipron	-	-
aalgeer	aːlɣeːr	ALGER	wikipron	-	-
aalglad	aːlɣlɑt	ALGLAT	wikipron	-	-
aalkorf	aːlkɔrf	ALKORP	wikipron	-	-
aalkuip	aːlkœy̯p	ALKEUP	wikipron	-	-
aalmoes	aːlmus	ALMUS	wikipron	-	-
aalmoezenier	aːlmuzəniːr	ALMUSENIR	wikipron	-	-
aalmoezenierskamer	aːlmuzəniːrskaːmər	ALMUSENIRSKAMER	wikipron	-	-
aaloud	aːlɑu̯t	ALAUT	wikipron	-	-
aalpomp	aːlpɔmp	ALPOMP	wikipron	-	-
aalput	aːlpʏt	ALPT	wikipron	-	-
Aalrik	aːlrɪk	ALRIK	wikipron	-	-
Aalsburg	aːlsbʏrx	ALSBRK	wikipron	-	-
aalschaar	aːlsxaːr	ALSKAR	wikipron	-	-
aalscholver	aːlsxɔlvər	ALSKOLBER	wikipron	-	-
Aalsmeer	aːlsmeːr	ALSMER	wikipron	-	-
aalspeer	aːlspeːr	ALSPER	wikipron	-	-
Aalst	aːlst	ALST	wikipron	-	-
aalstal	aːlstɑl	ALSTAL	wikipron	-	-
aalsteker	aːlsteːkər	ALSTEKER	wikipron	-	-
Aalstervelden	aːlstərvɛldən	ALSTERBELDEN	wikipron	-	-
aalstreep	aːlstreːp	ALSTREP	wikipron	-	-
Aalsum	aːlsʏm	ALSM	wikipron	-	-
aalsvel	aːlsfɛl	ALSPEL	wikipron	-	-
aalt	aːlt	ALT	wikipron	-	-
Aalten	aːltən	ALTEN	wikipron	-	-
aaltje	aːltjə	ALTYE	wikipron	-	-
aalvlug	aːlvlʏx	ALBLK	wikipron	-	-
aalvork	aːlvɔrk	ALBORK	wikipron	-	-
aalvormig	aːlvɔrməx	ALBORMEK	wikipron	-	-
Aam	aːm	AM	wikipron	-	-
aambeeld	aːmbeːlt	AMBELT	wikipron	-	-
aambeeldsblok	aːmbeːltsblɔk	AMBELTSBLOK	wikipron	-	-
aambei	aːmbɛi̯	AMBEI	wikipron	-	-
aamborstig	aːmbɔrstəx	AMBORSTEK	wikipron	-	-
aamborstigheid	aːmbɔrstəxɦɛi̯t	AMBORSTEKHEIT	wikipron	-	-
aamt	aːmt	AMT	wikipron	-	-
aan	aːn	AN	wikipron	-	-
aan_land_gaan	aːnlɑntxaːn	ANLANTKAN	wold	LAND (DESCEND)	-
aanaarden	aːnaːrdən	ANARDEN	wikipron	-	-
aanaarding	aːnaːrdɪŋ	ANARDIN	wikipron	-	-
aanaardploeg	aːnaːrtplux	ANARTPLUK	wikipron	-	-
aanademen	aːnaːdəmən	ANADEMEN	wikipron	-	-
aanbaffen	aːnbɑfən	ANBAPEN	wikipron	-	-
aanbakken	aːnbɑkən	ANBAKEN	wikipron	-	-
aanbaksel	aːnbɑksəl	ANBAKSEL	wikipron	-	-
