Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ablegøyer	ɑblə²ɡœʏər	ABLEGEER	wikipron	-	-
abonnera	ɑbʊneːrɑ	ABUNERA	wikipron	-	-
abortiv	ɑbɔʁtiːʋ	ABORTIW	wikipron	-	-
abortiv	ɑbɔʈiːʋ	ABOTIW	wikipron	-	-
absolutisme	ɑbsʊlʉtɪsmə	ABSULUTISME	wikipron	-	-
acre	æɪkər	AIKER	wikipron	-	-
adel	¹aːdəl	ADEL	wikipron	-	-
adelgod	²aːəlɡuː	AELGU	wikipron	-	-
adept	ɑdɛpt	ADEPT	wikipron	-	-
adla	²aːdla	ADLA	wikipron	-	-
adle	²adlə	ADLE	wikipron	-	-
administrasjon	ɑdmɪnɪstrɑʂuːn	ADMINISTRASUN	wikipron	-	-
afrikansk	ɑfrikɑːnsk	APRIKANSK	wikipron	-	-
aftan	ɑ̂ftɑn	APTAN	wikipron	-	-
Agder	²aɡdər	AGDER	wikipron	-	-
Agder	¹aɡdər	AGDER	wikipron	-	-
age	²ɑːjə	AYE	wikipron	-	-
age	²ɑːɡə	AGE	wikipron	-	-
ageleg	²ɑːɡəlɛ	AGELE	wikipron	-	-
agg	ɑɡː	AG	wikipron	-	-
agje	²ɑːjə	AYE	wikipron	-	-
agjen	²ɑːjən	AYEN	wikipron	-	-
agn	ɑŋn	ANN	wikipron	-	-
agurk	aɡʉrk	AGURK	wikipron	-	-
agurk	aɡːʉʂk	AGUSK	wikipron	-	-
agurktid	aɡʉrktiː	AGURKTI	wikipron	-	-
aillj	aʎː	A	wikipron	-	-
ailltj	ɑʎc	AK	wikipron	-	-
ainnjsles	aɲʂlɛs	ANSLES	wikipron	-	-
ainnsles	aɲʂlɛs	ANSLES	wikipron	-	-
aka	²aka	AKA	wikipron	-	-
aka	²aːka	AKA	wikipron	-	-
ake	²ɑːkə	AKE	wikipron	-	-
akjån	²ɑːçoːn	AON	wikipron	-	-
akka	²ɑkkɑ	AKKA	wikipron	-	-
akka	ɑkkɑ	AKKA	wikipron	-	-
akkar	²ɑkːɑr	AKAR	wikipron	-	-
akke	²ɑkkə	AKKE	wikipron	-	-
akkorart	akkuraʂt	AKKURAST	wikipron	-	-
akkorart	akkuraʈ	AKKURAT	wikipron	-	-
akkord	ɑkɔrd	AKORD	wikipron	-	-
aksel	²ɑksɛl	AKSEL	wikipron	-	-
aksel	²ɑkʂɛl	AKSEL	wikipron	-	-
aksel	ɑksɛl	AKSEL	wikipron	-	-
akselerasjon	akslraʃuːn	AKSLRASUN	wikipron	-	-
aksent	ɑksɑŋ	AKSAN	wikipron	-	-
aksla	²ɑkslɑ	AKSLA	wikipron	-	-
aksla	²ɑkʂlɑ	AKSLA	wikipron	-	-
aktiv	ɑktɪʋ	AKTIW	wikipron	-	-
aktsam	²aktsam	AKTSAM	wikipron	-	-
aktør	ɑktøːr	AKTER	wikipron	-	-
alaskar	alaskar	ALASKAR	wikipron	-	-
alaskisk	alaskisk	ALASKISK	wikipron	-	-
alde	²ɑldə	ALDE	wikipron	-	-
alder	ɑldɛr	ALDER	wikipron	-	-
aldri	²ɑldrɪ	ALDRI	wikipron	-	-
alfabet	alfabeːt	ALPABET	wikipron	-	-
alke	²alkə	ALKE	wikipron	-	-
alke	²aɽkə	ARKE	wikipron	-	-
all	adl	ADL	wikipron	-	-
all	alː	AL	wikipron	-	-
all	aʎː	A	wikipron	-	-
alle	alleː	ALLE	wikipron	-	-
alle	aʎː	A	wikipron	-	-
alle	²adlə	ADLE	wikipron	-	-
alle	²allə	ALLE	wikipron	-	-
alle	²aʎʎə	AE	wikipron	-	-
alltid	ɑltɪ	ALTI	wikipron	-	-
allting	ɑltɪŋ	ALTIN	wikipron	-	-
allvitande	²ɑlːʋiːtɑndə	ALWITANDE	wikipron	-	-
allvitande	²ɑlːʋiːtɑnə	ALWITANE	wikipron	-	-
