Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abanonner	abanune	ABANUNE	wikipron	-	-
abanonner	abanunɛ	ABANUNE	wikipron	-	-
abantchi	abɑ̃tʃi	ABATSI	wikipron	-	-
abat	aba	ABA	wikipron	-	-
abattre	abatr	ABATR	wikipron	-	-
abinnotage	abinətaʒ	ABINETAS	wikipron	-	-
abinnoter	abinəte	ABINETE	wikipron	-	-
abiêmer	abjɛːme	ABYEME	wikipron	-	-
abiêmer	abjɛːmɛ	ABYEME	wikipron	-	-
aboter	abəte	ABETE	wikipron	-	-
abouler	abule	ABULE	wikipron	-	-
abreuvoir	abrəvwar	ABREBWAR	wikipron	-	-
abri	abri	ABRI	wikipron	-	-
abrias	abriɑ	ABRIA	wikipron	-	-
abrier	abriːe	ABRIE	wikipron	-	-
abrier	abriːje	ABRIYE	wikipron	-	-
abréver	abrɛve	ABREBE	wikipron	-	-
abréver	abrɛvɛ	ABREBE	wikipron	-	-
abréveux	abrɛvœ	ABREBE	wikipron	-	-
abuser	abyːze	ABUSE	wikipron	-	-
abusette	abyːzɛt	ABUSET	wikipron	-	-
abuter	abyte	ABUTE	wikipron	-	-
abuter	abytɛ	ABUTE	wikipron	-	-
abûther	abyːðɛ	ABUDE	wikipron	-	-
achteur	astø	ASTE	wikipron	-	-
achteur	astœʁ	ASTER	wikipron	-	-
achteur	aʃtø	ASTE	wikipron	-	-
achteur	aʃtœʁ	ASTER	wikipron	-	-
affaûrder	afɔrdɛ	APORDE	wikipron	-	-
agnel	ãɲe	NE	wikipron	-	-
agnel	ɑɲe	ANE	wikipron	-	-
anmîn	amĩ	AM	wikipron	-	-
annel	ané	AN	wikipron	-	-
annel	ãné	N	wikipron	-	-
aveu	ɑvø	ABE	wikipron	-	-
aveuc	avø	ABE	wikipron	-	-
baïonnette	bajɔnɛt	BAYONET	wikipron	-	-
biauté	bjaʊte	BYAUTE	wikipron	-	-
blianc	bjɑ̃	BYA	wikipron	-	-
blianc	bʎɑ̃	BA	wikipron	-	-
bourgaille	burɡaj	BURGAY	wikipron	-	-
braichie	brɛʃi	BRESI	wikipron	-	-
brüethe	bryeð	BRUED	wikipron	-	-
bête	beit	BEIT	wikipron	-	-
bête	bwɛːt	BWET	wikipron	-	-
bête	bøit	BEIT	wikipron	-	-
bête	bɛːt	BET	wikipron	-	-
cacheux	kaʃœ	KASE	wikipron	-	-
caeir	ke	KE	wikipron	-	-
caeir	ki	KI	wikipron	-	-
caeir	kɛj	KEY	wikipron	-	-
caeir	kɛr	KER	wikipron	-	-
caeir	tʃi	TSI	wikipron	-	-
calengier	kalãʒe	KALSE	wikipron	-	-
calengier	kalãʒi	KALSI	wikipron	-	-
calengier	kalãʒje	KALSYE	wikipron	-	-
calengier	kalãʒji	KALSYI	wikipron	-	-
calengier	kalẽʒe	KALSE	wikipron	-	-
ch'min	ʃmin	SMIN	wikipron	-	-
chaîne	ʃeːn	SEN	wikipron	-	-
Cotentîn	kotɑ̃tẽ	KOTAT	wikipron	-	-
coumenchier	kumãʃe	KUMSE	wikipron	-	-
coumenchier	kumãʃi	KUMSI	wikipron	-	-
coumenchier	kumãʃje	KUMSYE	wikipron	-	-
coumenchier	kumãʃji	KUMSYI	wikipron	-	-
coumenchier	kõʊmãʃe	KUMSE	wikipron	-	-
counnétablle	kunetablə	KUNETABLE	wikipron	-	-
câtel	kɑte	KATE	wikipron	-	-
cône	kon	KON	wikipron	-	-
Côte	koːt	KOT	wikipron	-	-
cœur	kø	KE	wikipron	-	-
d'aveuc	davø	DABE	wikipron	-	-
dgèrre	d͡ʒɛr	SER	wikipron	-	-
dréchier	dreʃe	DRESE	wikipron	-	-
dréchier	dreʃi	DRESI	wikipron	-	-
dréchier	dreʃje	DRESYE	wikipron	-	-
