Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	abvd	WATER	abvd_122_water_2
ai	ai	AI	abvd	WATER	abvd_122_water_2
al	al	AL	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_31
alua	alua	ALUA	abvd	VOMIT	abvd_35_tovomit_8
amara	amara	AMARA	abvd	LEFT	abvd_2_left_2
anan	anan	ANAN	abvd	EAT	abvd_37_toeat_1
ar-na	arna	ARNA	abvd	ROOT	abvd_115_root_2
arif	arif	ARIP	abvd	RAT	abvd_102_rat_18
asa	asa	ASA	abvd	ROPE	abvd_65_rope_27
asiai	asiai	ASIAI	abvd	ROPE	abvd_65_rope_58
aᵐbapa-n	abapan	ABAPAN	abvd	WING	abvd_100_wing_1
aᵐbatia	abatia	ABATIA	abvd	MOON	abvd_129_moon_6
aᵐbaᵐba-n	ababan	ABABAN	abvd	WING	abvd_100_wing_1
aᵐp	ap	AP	abvd	FIRE	abvd_143_fire_19
aᵐpatia	apatia	APATIA	abvd	MOON	abvd_129_moon_6
aⁿdraⁿdʳi-ᵑku	adradiku	ADRADIKU	abvd	RIGHT	abvd_3_right_53
aⁿdwa	adwa	ADWA	abvd	CLOUD	abvd_131_cloud_18
aⁿdʳaf	adaf	ADAP	abvd	CLOUD	abvd_131_cloud_18
aⁿdʳaⁿdʳ	adad	ADAD	abvd	RIGHT	abvd_3_right_53
aⁿdʳu-	adu	ADU	abvd	BACK	abvd_13_back_82
aⁿdʳu-ᵑku	aduku	ADUKU	abvd	BACK	abvd_13_back_82
aⁿdʳua	adua	ADUA	abvd	SKY	abvd_128_sky_62
entˢ	ent	ENT	abvd	GREEN	abvd_151_green_8
entˢe-	ente	ENTE	abvd	NAME	abvd_63_name_1
esle-n	eslen	ESLEN	abvd	EGG	abvd_98_egg_56
faiaf	faiaf	PAIAP	abvd	ASH	abvd_146_ashes_1
falfut	falfut	PALPUT	abvd	FLOW	-
faliflif	faliflif	PALIPLIP	abvd	SAND	abvd_121_sand_78
falis	falis	PALIS	abvd	GRASS	abvd_118_grass_1
falɛflɛf	falɛflɛf	PALEPLEP	abvd	SAND	abvd_121_sand_78
fanfan	fanfan	PANPAN	abvd	WALK	abvd_5_towalk_2
farfar	farfar	PARPAR	abvd	SMALL	abvd_152_small_42
farlon luma-	farlonluma	PARLONLUMA	abvd	HAND	abvd_1_hand_1
fat	fat	PAT	abvd	STONE	abvd_120_stone_1
fatu	fatu	PATU	abvd	STONE	abvd_120_stone_1
faᵑgari-	fagari	PAGARI	abvd	BONE	abvd_15_bone_27
fer	fer	PER	abvd	SAY	abvd_64_tosay_30
fila	fila	PILA	abvd	HIT	abvd_72_tohit_95
filtoia	filtoia	PILTOIA	abvd	KILL	abvd_74_tokill_67
firi	firi	PIRI	abvd	DOG	abvd_96_dog_7
firiu	firiu	PIRIU	abvd	DOG	abvd_96_dog_7
fit	fit	PIT	abvd	STAR	abvd_130_star_1
fitˢarsar	fitarsar	PITARSAR	abvd	STAR	abvd_130_star_1
fiⁿdʳi-n	fidin	PIDIN	abvd	TAIL	abvd_105_tail_76
fiⁿdʳi-na	fidina	PIDINA	abvd	TAIL	abvd_105_tail_76
fleᵐb	fleb	PLEB	abvd	EARTH (SOIL)	abvd_119_earthsoil_11
flɛᵐp	flɛp	PLEP	abvd	EARTH (SOIL)	abvd_119_earthsoil_11
fnam	fnam	PNAM	abvd	OLD	-
folu-	folu	POLU	abvd	HAIR	abvd_26_hair_31
for	for	POR	abvd	SHARP	abvd_81_sharp_78
foᵑk	fok	POK	abvd	WORK (ACTIVITY)	abvd_83_towork_85
fu-mata	fumata	PUMATA	abvd	SNAKE	abvd_106_snake_12
fu-moi	fumoi	PUMOI	abvd	MOSQUITO	abvd_109_mosquito_1
fulinan	fulinan	PULINAN	abvd	WARM	abvd_138_warm_12
fulu-ᵑku	fuluku	PULUKU	abvd	HAIR	abvd_26_hair_31
fumoŋ	fumo	PUMO	abvd	MOSQUITO	abvd_109_mosquito_1
fusoron	fusoron	PUSORON	abvd	FLOWER	abvd_116_flower_53
fɔkarɛ-ᵑku	fɔkarɛku	POKAREKU	abvd	BONE	abvd_15_bone_27
hahara	hahara	HAHARA	abvd	RED	abvd_149_red_53
haᵐb	hab	HAB	abvd	FIRE	abvd_143_fire_19
hut	hut	HUT	abvd	LOUSE	abvd_108_louse_1
ifa	ifa	IPA	abvd	COUNT	abvd_196_tocount_70
ima	ima	IMA	abvd	HOUSE	abvd_61_house_1
ita	ita	ITA	abvd	WHO	abvd_189_who_62
itasa	itasa	ITASA	abvd	WHO	abvd_189_who_62
ite	ite	ITE	abvd	SEE	abvd_46_tosee_1
iⁿdʳa	ida	IDA	abvd	WE	abvd_185_we_45
iⁿdʳarua	idarua	IDARUA	abvd	WE	-
kamam	kamam	KAMAM	abvd	WE	abvd_185_we_42
kamamra	kamamra	KAMAMRA	abvd	WE	-
