Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'A fe?	afe	APE	abvd	WHEN	-
'a'anu	aanu	AANU	abvd	SPIT	abvd_36_tospit_14
'akau	akau	AKAU	abvd	STICK	abvd_79_stickwood_1
'alelo	alelo	ALELO	abvd	TONGUE	abvd_32_tongue_15
'ao	ao	AO	abvd	CLOUD	abvd_131_cloud_12
'ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
'efu'efu	efuefu	EPUEPU	abvd	ASH	abvd_146_ashes_67
'ilifia	ilifia	ILIPIA	abvd	FEAR (BE AFRAID)	abvd_22_tofear_92
'ilo	ilo	ILO	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_13
'uha	uha	UHA	abvd	RAIN (PRECIPITATION)	abvd_133_rain_1
'uli'uli	uliuli	ULIULI	abvd	BLACK	abvd_147_black_7
'ulu	ulu	ULU	abvd	HEAD	abvd_24_head_1
afi	afi	API	abvd	FIRE	abvd_143_fire_1
aka	aka	AKA	abvd	ROOT	abvd_115_root_2
engeenga	engeenga	ENGEENGA	abvd	YELLOW	abvd_150_yellow_10
fa'ē	fa	PA	abvd	MOTHER	abvd_59_mother_6
fafine	fafine	PAPINE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
fale	fale	PALE	abvd	HOUSE	abvd_61_house_14
fanongo	fanongo	PANONGO	abvd	HEAR	abvd_44_tohear_1
fetu'u	fetuu	PETUU	abvd	STAR	abvd_130_star_1
fitu	fitu	PITU	abvd	SEVEN	abvd_203_seven_1
fo'ou	foou	POOU	abvd	NEW	abvd_163_new_1
fua	fua	PUA	abvd	FRUIT	abvd_117_fruit_1
fulufulu	fulufulu	PULUPULU	abvd	HAIR	abvd_26_hair_31
fulufulu'i'ulu	fulufuluiulu	PULUPULUIULU	abvd	HAIR	abvd_26_hair_31
ha'i	hai	HAI	abvd	FASTEN	-
hala	hala	HALA	abvd	PATH OR ROAD	abvd_6_roadpath_1
hema	hema	HEMA	abvd	LEFT	abvd_2_left_11
hiku	hiku	HIKU	abvd	TAIL	abvd_105_tail_13
hingoa	hingoa	HINGOA	abvd	NAME	abvd_63_name_6
hohoki	hohoki	HOHOKI	abvd	THATCH OR ROOF	-
hongofulu	hongofulu	HONGOPULU	abvd	TEN	abvd_206_ten_5
ika	ika	IKA	abvd	FISH	abvd_111_fish_1
inu	inu	INU	abvd	DRINK	abvd_40_todrink_1
kai	kai	KAI	abvd	EAT	abvd_37_toeat_1
kaka	kaka	KAKA	abvd	CLIMB	abvd_172_toclimb_32
kakau	kakau	KAKAU	abvd	SWIM	abvd_9_toswim_5
kapakau	kapakau	KAPAKAU	abvd	WING	abvd_100_wing_1
kata	kata	KATA	abvd	LAUGH	abvd_33_tolaugh_7
kelekele	kelekele	KELEKELE	abvd	DIRTY	abvd_10_dirty_10
kili	kili	KILI	abvd	SKIN	abvd_12_skin_1
kuli	kuli	KULI	abvd	DOG	abvd_96_dog_7
kulokula	kulokula	KULOKULA	abvd	RED	abvd_149_red_13
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
kātoa	ktoa	KTOA	abvd	ALL	abvd_191_all_13
lamu	lamu	LAMU	abvd	CHEW	abvd_38_tochew_7
langi	langi	LANGI	abvd	SKY	abvd_128_sky_1
lanumata	lanumata	LANUMATA	abvd	GREEN	abvd_151_green_1
lau	lau	LAU	abvd	LEAF	abvd_114_leaf_1
lea	lea	LEA	abvd	SAY	abvd_64_tosay_88
lelei	lelei	LELEI	abvd	GOOD	abvd_164_good_17
loaloa	loaloa	LOALOA	abvd	LONG	abvd_155_long_12
loto	loto	LOTO	abvd	IN	abvd_174_ininside_5
lua	lua	LUA	abvd	VOMIT	abvd_35_tovomit_8
maea	maea	MAEA	abvd	ROPE	abvd_65_rope_10
maka	maka	MAKA	abvd	STONE	abvd_120_stone_4
mama'o	mamao	MAMAO	abvd	FAR	abvd_180_far_13
mamafa	mamafa	MAMAPA	abvd	HEAVY	abvd_142_heavy_46
manifi	manifi	MANIPI	abvd	THIN	abvd_156_thin_1
mata	mata	MATA	abvd	EYE	abvd_45_eye_1
mata'u	matau	MATAU	abvd	RIGHT	abvd_3_right_5
matangi	matangi	MATANGI	abvd	WIND	abvd_136_wind_1
mate	mate	MATE	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
mo'ui	moui	MOUI	abvd	BE ALIVE	abvd_76_tolivebealive_1
moana	moana	MOANA	abvd	SEA	abvd_124_sea_10
moe	moe	MOE	abvd	SLEEP	abvd_48_tosleep_10
māfana	mfana	MPANA	abvd	WARM	abvd_138_warm_1
mātolu	mtolu	MTOLU	abvd	THICK	abvd_157_thick_3
namu	namu	NAMU	abvd	MOSQUITO	abvd_109_mosquito_1
ngutu	ngutu	NGUTU	abvd	MOUTH	abvd_30_mouth_2
nifo	nifo	NIPO	abvd	TOOTH	abvd_31_tooth_1
nima	nima	NIMA	abvd	HEAD	abvd_24_head_1
nofo	nofo	NOPO	abvd	SIT	abvd_51_tosit_16
pakupaku	pakupaku	PAKUPAKU	abvd	DRY	abvd_140_dry_38
popo	popo	POPO	abvd	ROTTEN	abvd_112_rotten_14
puke	puke	PUKE	abvd	HOLD	abvd_89_tohold_13
pula	pula	PULA	abvd	SWELL	abvd_87_toswell_7
pō	p	P	abvd	NIGHT	abvd_167_night_1
tafe	tafe	TAPE	abvd	FLOW	abvd_123_toflow_10
tahi	tahi	TAHI	abvd	SEA	abvd_124_sea_1
tai	tai	TAI	abvd	SEA	abvd_124_sea_1
tala	tala	TALA	abvd	SHARP	-
talinga	talinga	TALINGA	abvd	EAR	abvd_43_ear_1
tama	tama	TAMA	abvd	CHILD	abvd_56_child_6
tangata	tangata	TANGATA	abvd	MALE PERSON	abvd_54_manmale_12
tokoto	tokoto	TOKOTO	abvd	LIE DOWN	abvd_49_toliedown_7
tolo	tolo	TOLO	abvd	THROW	abvd_94_tothrow_128
toto	toto	TOTO	abvd	BLOOD	abvd_23_blood_4
totonu	totonu	TOTONU	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_8
tu'a	tua	TUA	abvd	BACK	abvd_13_back_11
tu'u	tuu	TUU	abvd	STAND	abvd_52_tostand_2
tu'usi	tuusi	TUUSI	abvd	CUT OR HACK	abvd_78_tocuthack_17
tuki	tuki	TUKI	abvd	HIT	abvd_72_tohit_8
tō	t	T	abvd	FALL	abvd_95_tofall_14
va'e	vae	BAE	abvd	FOOT OR LEG	abvd_4_legfoot_1
vai	vai	BAI	abvd	WATER	abvd_122_water_2
ŋāue	ue	UE	abvd	WORK (ACTIVITY)	abvd_83_towork_11
