Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ahi	ahi	AHI	abvd	FIRE	abvd_143_fire_1
aho	aho	AHO	abvd	DAY (NOT NIGHT)	abvd_168_day_1
aia	aia	AIA	abvd	HE OR SHE	abvd_184_heshe_1
akoe	akoe	AKOE	abvd	THOU	abvd_183_thou_1
alaa	alaa	ALAA	abvd	OTHER	abvd_190_other_25
alelo	alelo	ALELO	abvd	TONGUE	abvd_32_tongue_15
anau	anau	ANAU	abvd	I	abvd_182_i_1
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
avana	avana	ABANA	abvd	HUSBAND	abvd_57_husband_13
haa	haa	HAA	abvd	FOUR	abvd_200_four_1
haa mai	haamai	HAAMAI	abvd	COME	abvd_7_tocome_1
haaeo	haaeo	HAAEO	abvd	BAD OR EVIL	abvd_165_badevil_1
hakappihi	hakappihi	HAKAPPIHI	abvd	SHOOT	abvd_70_toshoot_17
hare	hare	HARE	abvd	HOUSE	abvd_61_house_14
hatu	hatu	HATU	abvd	STONE	abvd_120_stone_1
haturi	haturi	HATURI	abvd	THUNDER	abvd_134_thunder_14
hauna	hauna	HAUNA	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_10
hea	hea	HEA	abvd	WHAT	abvd_188_what_83
hee	hee	HEE	abvd	WHERE	abvd_181_where_3
hekau	hekau	HEKAU	abvd	WORK (ACTIVITY)	abvd_83_towork_26
hetau	hetau	HETAU	abvd	YEAR	abvd_169_year_1
hine	hine	HINE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
hitu	hitu	HITU	abvd	SEVEN	abvd_203_seven_1
hokatoa	hokatoa	HOKATOA	abvd	ALL	abvd_191_all_13
hokotahi	hokotahi	HOKOTAHI	abvd	ONE	abvd_197_one_41
hua	hua	HUA	abvd	EGG	abvd_98_egg_5
huke	huke	HUKE	abvd	OPEN	abvd_92_toopenuncover_1
huu	huu	HUU	abvd	HIDE	abvd_171_tohide_1
ika	ika	IKA	abvd	FISH	abvd_111_fish_1
iloa	iloa	ILOA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_13
inoa	inoa	INOA	abvd	NAME	abvd_63_name_6
iroa	iroa	IROA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_13
ivi	ivi	IBI	abvd	BONE	abvd_15_bone_52
kai	kai	KAI	abvd	EAT	-
kai lalao	kailalao	KAILALAO	abvd	STEAL	abvd_73_tosteal_7
kaihu	kaihu	KAIHU	abvd	NOSE	abvd_27_nose_1
kaiuhu	kaiuhu	KAIUHU	abvd	NOSE	abvd_27_nose_1
kake	kake	KAKE	abvd	CLIMB	abvd_172_toclimb_32
kanomata	kanomata	KANOMATA	abvd	EYE	abvd_45_eye_1
kapakau	kapakau	KAPAKAU	abvd	WING	abvd_100_wing_1
katarina	katarina	KATARINA	abvd	EAR	abvd_43_ear_1
kaukau	kaukau	KAUKAU	abvd	SWIM	abvd_9_toswim_5
kaute	kaute	KAUTE	abvd	FLOWER	-
kere	kere	KERE	abvd	DIRTY	abvd_10_dirty_10
kerekere	kerekere	KEREKERE	abvd	SAND	abvd_121_sand_30
ki	ki	KI	abvd	AT	abvd_173_at_42
kiore	kiore	KIORE	abvd	RAT	abvd_102_rat_12
kiri	kiri	KIRI	abvd	SKIN	abvd_12_skin_1
kite	kite	KITE	abvd	SEE	abvd_46_tosee_1
ko ai	koai	KOAI	abvd	WHO	abvd_189_who_1
korua	korua	KORUA	abvd	YOU	abvd_186_you_16
kotou	kotou	KOTOU	abvd	YOU	abvd_186_you_16
kumi	kumi	KUMI	abvd	SQUEEZE	abvd_88_tosqueeze_14
kutu	kutu	KUTU	abvd	LOUSE	abvd_108_louse_1
laatou	laatou	LAATOU	abvd	THEY	abvd_187_they_1
lahi	lahi	LAHI	abvd	BIG	abvd_153_big_12
lalo	lalo	LALO	abvd	BELOW OR UNDER	abvd_176_below_8
llau	llau	LLAU	abvd	HUNDRED	abvd_209_onehundred_2
lle	lle	LLE	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_11
luna	luna	LUNA	abvd	ABOVE	abvd_175_above_9
maaeva	maaeva	MAAEBA	abvd	YAWN	abvd_47_toyawn_19
maahina	maahina	MAAHINA	abvd	MOON	abvd_129_moon_37
maanatu	maanatu	MAANATU	abvd	THINK	abvd_21_tothink_9
maatau	maatau	MAATAU	abvd	RIGHT	abvd_3_right_5
maatou	maatou	MAATOU	abvd	WE	abvd_185_we_2
maaua	maaua	MAAUA	abvd	WE	abvd_185_we_2
maaui	maaui	MAAUI	abvd	LEFT	abvd_2_left_1
maki	maki	MAKI	abvd	PAINFUL OR SICK	abvd_160_painfulsick_1
makini	makini	MAKINI	abvd	WHITE	-
mana	mana	MANA	abvd	THUNDER	abvd_134_thunder_37
manava	manava	MANABA	abvd	BELLY	abvd_14_belly_9
mannihi	mannihi	MANNIHI	abvd	THIN	abvd_156_thin_1
maoni	maoni	MAONI	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_105
mataku	mataku	MATAKU	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
mate	mate	MATE	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
mateara	mateara	MATEARA	abvd	PATH OR ROAD	abvd_6_roadpath_1
mattoru	mattoru	MATTORU	abvd	THICK	abvd_157_thick_3
mau	mau	MAU	abvd	FASTEN	abvd_66_totieupfasten_149
mea	mea	MEA	abvd	RED	abvd_149_red_1
meake	meake	MEAKE	abvd	SAY	abvd_64_tosay_170
moa	moa	MOA	abvd	COOK (SOMETHING)	abvd_39_tocook_51
moe	moe	MOE	abvd	SLEEP	abvd_48_tosleep_10
muri	muri	MURI	abvd	BACK	abvd_13_back_3
namu	namu	NAMU	abvd	MOSQUITO	abvd_109_mosquito_1
napa	napa	NAPA	abvd	SHY OR ASHAMED	abvd_161_shyashamed_48
nau	nau	NAU	abvd	CHEW	abvd_38_tochew_8
niho	niho	NIHO	abvd	TOOTH	abvd_31_tooth_1
noho	noho	NOHO	abvd	SIT	abvd_51_tosit_16
ono	ono	ONO	abvd	SIX	abvd_202_six_1
paamee	paamee	PAAMEE	abvd	SMALL	-
pakupaku	pakupaku	PAKUPAKU	abvd	DRY	abvd_140_dry_38
pallaa	pallaa	PALLAA	abvd	BLACK	-
panaua	panaua	PANAUA	abvd	SHOULDER	abvd_19_shoulder_8
patuahau	patuahau	PATUAHAU	abvd	ROPE	abvd_65_rope_92
peehee	peehee	PEEHEE	abvd	HOW	abvd_194_how_11
pela	pela	PELA	abvd	EARTH (SOIL)	abvd_119_earthsoil_32
po	po	PO	abvd	NIGHT	abvd_167_night_1
pohouru	pohouru	POHOURU	abvd	HEAD	abvd_24_head_1
pokua	pokua	POKUA	abvd	MOUTH	abvd_30_mouth_49
pukurehurehu	pukurehurehu	PUKUREHUREHU	abvd	CLOUD	-
raaua	raaua	RAAUA	abvd	THEY	abvd_187_they_1
raro	raro	RARO	abvd	BELOW OR UNDER	abvd_176_below_8
rau	rau	RAU	abvd	LEAF	abvd_114_leaf_1
rau uru	rauuru	RAUURU	abvd	HAIR	abvd_26_hair_40
rehu	rehu	REHU	abvd	DUST	abvd_11_dust_1
rehurehu	rehurehu	REHUREHU	abvd	RAIN (PRECIPITATION)	-
rima	rima	RIMA	abvd	HAND	abvd_1_hand_1
roto	roto	ROTO	abvd	IN	abvd_174_ininside_5
rua	rua	RUA	abvd	VOMIT	abvd_35_tovomit_8
runa	runa	RUNA	abvd	ABOVE	abvd_175_above_9
sanahuru	sanahuru	SANAHURU	abvd	TEN	abvd_206_ten_5
saumalli	saumalli	SAUMALLI	abvd	COLD	abvd_139_cold_1
se	se	SE	abvd	NO OR NOT	abvd_195_nonot_13
selo	selo	SELO	abvd	YELLOW	abvd_150_yellow_11
sivo	sivo	SIBO	abvd	NINE	abvd_205_nine_5
suu	suu	SUU	abvd	WET	abvd_141_wet_11
taa	taa	TAA	abvd	HIT	abvd_72_tohit_10
taa mate	taamate	TAAMATE	abvd	KILL	abvd_74_tokill_2
taahao	taahao	TAAHAO	abvd	WALK	abvd_5_towalk_7
taatou	taatou	TAATOU	abvd	WE	abvd_185_we_1
taaua	taaua	TAAUA	abvd	WE	abvd_185_we_1
tai	tai	TAI	abvd	SEA	abvd_124_sea_1
tama	tama	TAMA	abvd	CHILD	abvd_56_child_6
tamana	tamana	TAMANA	abvd	FATHER	abvd_60_father_1
tanata	tanata	TANATA	abvd	PERSON	abvd_53_personhumanbeing_1
tanata matua	tanatamatua	TANATAMATUA	abvd	OLD	abvd_162_old_1
tani	tani	TANI	abvd	CRY	abvd_34_tocry_1
taohi	taohi	TAOHI	abvd	HOLD	abvd_89_tohold_17
taureka	taureka	TAUREKA	abvd	GOOD	abvd_164_good_14
te mea na	temeana	TEMEANA	abvd	THAT	abvd_178_that_1
te mea nei	temeanei	TEMEANEI	abvd	THIS	abvd_177_this_1
tea	tea	TEA	abvd	GREEN	abvd_151_green_87
tinana	tinana	TINANA	abvd	MOTHER	abvd_59_mother_1
tinna	tinna	TINNA	abvd	MOTHER	abvd_59_mother_1
tipu rua	tipurua	TIPURUA	abvd	TWENTY	abvd_207_twenty_3
tiri	tiri	TIRI	abvd	THROW	abvd_94_tothrow_9
tokia	tokia	TOKIA	abvd	STAB	abvd_71_tostabpierce_77
toru	toru	TORU	abvd	THREE	abvd_199_three_1
toto	toto	TOTO	abvd	BLOOD	abvd_23_blood_4
