Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	abvd	BLOOD	abvd_23_blood_1
ana	ana	ANA	abvd	CHILD	abvd_56_child_1
ana haki	anahaki	ANAHAKI	abvd	MALE PERSON	abvd_54_manmale_7
ana mata	anamata	ANAMATA	abvd	EYE	abvd_45_eye_1
ata	ata	ATA	abvd	PERSON	abvd_53_personhumanbeing_4
até	at	AT	abvd	LIVER	abvd_17_liver_1
bagha	bagha	BAGHA	abvd	NEEDLE (FOR SEWING)	-
betta	betta	BETTA	abvd	BUY	abvd_91_tobuy_59
bhobha	bhobha	BHOBHA	abvd	HIT	abvd_72_tohit_4
bongo	bongo	BONGO	abvd	BLUNT	abvd_82_dullblunt_36
bowo	bowo	BOWO	abvd	SWELL	abvd_87_toswell_3
bé'o	bo	BO	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_7
dao	dao	DAO	abvd	HOLD	abvd_89_tohold_5
dawi	dawi	DAWI	abvd	STAND	abvd_52_tostand_1
dho	dho	DHO	abvd	POUND	-
dhou	dhou	DHOU	abvd	WORK (ACTIVITY)	-
emma	emma	EMMA	abvd	FATHER	abvd_60_father_1
fa'i	fai	PAI	abvd	WIFE	abvd_58_wife_31
fa'i ga'e	faigae	PAIGAE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
foko	foko	POKO	abvd	NECK	abvd_25_neck_5
fuu	fuu	PUU	abvd	HAIR	abvd_26_hair_1
ghao	ghao	GHAO	abvd	LEFT	abvd_2_left_70
ghubu	ghubu	GHUBU	abvd	THATCH OR ROOF	abvd_62_thatchroof_4
ghéjé	ghj	GHY	abvd	SQUEEZE	abvd_88_tosqueeze_3
gula	gula	GULA	abvd	SEE	-
haki	haki	HAKI	abvd	HUSBAND	abvd_57_husband_7
hinga	hinga	HINGA	abvd	EAR	abvd_43_ear_1
hu'i	hui	HUI	abvd	SKIN	abvd_12_skin_93
hé	h	H	abvd	THINK	-
ine	ine	INE	abvd	MOTHER	abvd_59_mother_1
inu	inu	INU	abvd	DRINK	abvd_40_todrink_1
ita	ita	ITA	abvd	CRY	abvd_34_tocry_1
izu	izu	ISU	abvd	NOSE	abvd_27_nose_1
ka	ka	KA	abvd	EAT	abvd_37_toeat_1
kabhu sati	kabhusati	KABHUSATI	abvd	SEW	-
keddha	keddha	KEDDHA	abvd	OPEN	-
kiki	kiki	KIKI	abvd	BITE	abvd_41_tobite_1
koe	koe	KOE	abvd	DIG	abvd_90_todig_5
la'a	laa	LAA	abvd	WALK	abvd_5_towalk_1
lako	lako	LAKO	abvd	DOG	abvd_96_dog_5
lemma	lemma	LEMMA	abvd	TONGUE	abvd_32_tongue_6
li'u	liu	LIU	abvd	TURN	-
lima	lima	LIMA	abvd	HAND	abvd_1_hand_1
logo	logo	LOGO	abvd	BACK	abvd_13_back_6
lua	lua	LUA	abvd	SPIT	-
lélé	ll	LL	abvd	HEAR	abvd_44_tohear_68
mata	mata	MATA	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
mecco	mecco	MEKKO	abvd	SUCK	abvd_42_tosuck_6
moapa	moapa	MOAPA	abvd	YAWN	abvd_47_toyawn_19
mula	mula	MULA	abvd	PLANT (SOMETHING)	abvd_84_toplant_1
muta	muta	MUTA	abvd	VOMIT	abvd_35_tovomit_1
muzi	muzi	MUSI	abvd	BE ALIVE	abvd_76_tolivebealive_1
nade	nade	NADE	abvd	SLEEP	abvd_48_tosleep_5
naka	naka	NAKA	abvd	STEAL	abvd_73_tosteal_1
nangu	nangu	NANGU	abvd	SWIM	abvd_9_toswim_1
ngai	ngai	NGAI	abvd	BREATHE	abvd_28_tobreathe_4
ngaju	ngaju	NGAYU	abvd	CHEW	abvd_38_tochew_4
ngaza	ngaza	NGASA	abvd	NAME	abvd_63_name_1
ngi'i	ngii	NGII	abvd	TOOTH	abvd_31_tooth_24
nipi	nipi	NIPI	abvd	DREAM (SOMETHING)	abvd_50_todream_1
nuawu	nuawu	NUAWU	abvd	DUST	abvd_11_dust_1
pasa	pasa	PASA	abvd	SHOOT	abvd_70_toshoot_2
peddhe	peddhe	PEDDHE	abvd	COOK (SOMETHING)	abvd_39_tocook_5
petté	pett	PETT	abvd	FASTEN	-
pili	pili	PILI	abvd	CHOOSE	abvd_85_tochoose_1
podhu	podhu	PODHU	abvd	SIT	-
pogo	pogo	POGO	abvd	CUT OR HACK	abvd_78_tocuthack_4
poké	pok	POK	abvd	THROW	abvd_94_tothrow_27
pulu'e	pulue	PULUE	abvd	SAY	-
sa'o	sao	SAO	abvd	HOUSE	abvd_61_house_3
sasi	sasi	SASI	abvd	SCRATCH	abvd_77_toscratch_5
segga	segga	SEGGA	abvd	STAB	abvd_71_tostabpierce_8
susu	susu	SUSU	abvd	BREAST	abvd_18_breast_1
séngu	sngu	SNGU	abvd	SMELL (PERCEIVE)	-
taga	taga	TAGA	abvd	FOOT OR LEG	-
taku	taku	TAKU	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
tali	tali	TALI	abvd	ROPE	abvd_65_rope_1
taso	taso	TASO	abvd	COME	-
tawa	tawa	TAWA	abvd	LAUGH	abvd_33_tolaugh_1
tebbu	tebbu	TEBBU	abvd	GROW	abvd_86_togrow_1
tekka	tekka	TEKKA	abvd	SHARP	abvd_81_sharp_5
teppu	teppu	TEPPU	abvd	HOLD	-
toko	toko	TOKO	abvd	BONE	abvd_15_bone_3
tua lako	tualako	TUALAKO	abvd	HUNT	-
tuka	tuka	TUKA	abvd	BELLY	abvd_14_belly_4
ulu	ulu	ULU	abvd	HEAD	abvd_24_head_1
wana	wana	WANA	abvd	RIGHT	abvd_3_right_1
wigu	wigu	WIGU	abvd	SHOULDER	abvd_19_shoulder_3
wunu mumu	wunumumu	WUNUMUMU	abvd	MOUTH	-
wéla	wla	WLA	abvd	KILL	abvd_74_tokill_5
zaki	zaki	SAKI	abvd	DIRTY	abvd_10_dirty_1
zala	zala	SALA	abvd	PATH OR ROAD	abvd_6_roadpath_1
