Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abakha	aɓakʰa	ABAKA	wikipron	-	-
abale	aɓaɽé	ABAR	wikipron	-	-
abambo	aɓaᵐbo	ABABO	wikipron	-	-
Abathwa	aɓatʷʰá	ABAT	wikipron	-	-
abulu	aɓuɽú	ABUR	wikipron	-	-
abusa	aɓúsa	ABSA	wikipron	-	-
abwana	aɓʷána	ABNA	wikipron	-	-
abwanamkubwa	aɓʷanamkúɓʷa	ABANAMKBA	wikipron	-	-
Achewa	at͡ʃew⁽ᵝ⁾á	ASEW	wikipron	-	-
adokotala	adókotaɽa	ADKOTARA	wikipron	-	-
adotolo	adótoɽo	ADTORO	wikipron	-	-
adyo	áɗʲo	DO	wikipron	-	-
Afirika	áfiɽika	PIRIKA	wikipron	-	-
afisi	afisi	APISI	wikipron	-	-
afisi	afísi	APSI	wikipron	-	-
afiti	afíti	APTI	wikipron	-	-
agalu	aɡaɽú	AGAR	wikipron	-	-
agogo	aɡoɡo	AGOGO	wikipron	-	-
agogo	aɡóɡo	AGGO	wikipron	-	-
agondwa	aɡóⁿdʷa	AGDA	wikipron	-	-
akalaliki	akaɽáɽiki	AKARRIKI	wikipron	-	-
akaloti	akáɽoti	AKROTI	wikipron	-	-
akalulu	akaɽuɽú	AKARUR	wikipron	-	-
akanungu	akánuᵑɡu	AKNUGU	wikipron	-	-
akatekisima	akatekísima	AKATEKSIMA	wikipron	-	-
akatundu	akatúⁿdu	AKATDU	wikipron	-	-
akavalo	akaváɽo	AKABRO	wikipron	-	-
akazi	akázi	AKSI	wikipron	-	-
akuluakulu	akúɽúakúɽu	AKRAKRU	wikipron	-	-
alendo	aɽeⁿdó	ARED	wikipron	-	-
Aloma	aɽóma	ARMA	wikipron	-	-
Amalawi	amaɽáw⁽ᵝ⁾i	AMARWI	wikipron	-	-
amayi	amáji	AMYI	wikipron	-	-
ambulera	aᵐbúɽeɽa	ABRERA	wikipron	-	-
amphaka	aᵐpʰaká	APAK	wikipron	-	-
Amwenye	amʷeɲe	AMENE	wikipron	-	-
ana	aná	AN	wikipron	-	-
angelo	aᵑɡéɽo	AGRO	wikipron	-	-
anthu	aⁿtʰu	ATU	wikipron	-	-
anyamata	aɲamatá	ANAMAT	wikipron	-	-
