Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abbat	abad	ABAD	wikipron	-	-
abece	aβet͡se	ABESE	wikipron	-	-
abeja	abeʒa	ABESA	wikipron	-	-
abismo	aβizmo	ABISMO	wikipron	-	-
aborrecimiento	aβoret͡simjento	ABORESIMYENTO	wikipron	-	-
aborrecimientos	aβoret͡simjentos	ABORESIMYENTOS	wikipron	-	-
aborricion	aβorit͡sjon	ABORISYON	wikipron	-	-
aborriciones	aβorit͡sjones	ABORISYONES	wikipron	-	-
Abraam	abɾaam	ABRAAM	wikipron	-	-
ací	atsi	ATSI	wikipron	-	-
adarve	adaɾβe	ADARBE	wikipron	-	-
adeuinanciella	adeβinant͡sjeʎa	ADEBINANSYEA	wikipron	-	-
adeuinança	adeβinant͡sa	ADEBINANSA	wikipron	-	-
adeuino	adeβino	ADEBINO	wikipron	-	-
adulterio	adulteɾjo	ADULTERYO	wikipron	-	-
affliccion	aflikt͡sjon	APLIKSYON	wikipron	-	-
agora	aɣoɾa	AGORA	wikipron	-	-
agradesçer	aɡɾadest͡seɾ	AGRADESSER	wikipron	-	-
agro	aɡɾo	AGRO	wikipron	-	-
agua	aɡwa	AGWA	wikipron	-	-
aguaducho	aɡwadut͡ʃo	AGWADUSO	wikipron	-	-
aguero	aɡweɾo	AGWERO	wikipron	-	-
aguila	aɡila	AGILA	wikipron	-	-
ala	ala	ALA	wikipron	-	-
alacran	alakɾan	ALAKRAN	wikipron	-	-
albafaca	albahaka	ALBAHAKA	wikipron	-	-
albuhera	albuheɾa	ALBUHERA	wikipron	-	-
alefant	alefant	ALEPANT	wikipron	-	-
alga	alɡa	ALGA	wikipron	-	-
algibe	alʒibe	ALSIBE	wikipron	-	-
algodon	alɡodon	ALGODON	wikipron	-	-
alguenno	alɡeɲo	ALGENO	wikipron	-	-
alhenna	alheɲa	ALHENA	wikipron	-	-
aljofar	alʒohaɾ	ALSOHAR	wikipron	-	-
almendra	almendɾa	ALMENDRA	wikipron	-	-
alquimia	alkimja	ALKIMYA	wikipron	-	-
