Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
آخلاط	ahɫat	AHLAT	wikipron	-	-
آرمود	armud	ARMUD	wikipron	-	-
آرمود	armut	ARMUT	wikipron	-	-
آلاڭ	ɑɫɑn	ALAN	wikipron	-	-
آلاڭ	ɑɫɑŋ	ALAN	wikipron	-	-
آهنك	aːheɲc	AHENK	wikipron	-	-
اتمك	ɛtmɛc	ETMEK	wikipron	-	-
ارغات	ɯɾɡat	URGAT	wikipron	-	-
اشغال	iʃɡal	ISGAL	wikipron	-	-
اشغال	iʒɡal	ISGAL	wikipron	-	-
اشفاق	iʃfäk	ISPK	wikipron	-	-
اقلیت	ekallijet	EKALLIYET	wikipron	-	-
اكمك	ɛcmɛc	EKMEK	wikipron	-	-
الوداع	elvedɑː	ELBEDA	wikipron	-	-
الوداع	ɛlvedɑː	ELBEDA	wikipron	-	-
انكار	incaːɾ	INKAR	wikipron	-	-
اولك	ɛβlɛc	EBLEK	wikipron	-	-
اوپه‌را	ɔpeɾa	OPERA	wikipron	-	-
اوچ	ʏt͡ʃ	S	wikipron	-	-
اوچر	ʏt͡ʃɛɾ	SER	wikipron	-	-
ایكی	iki	IKI	wikipron	-	-
ایكیشر	iciʃɛɾ	IKISER	wikipron	-	-
بالدران	bɑɫdɯɾɑn	BALDURAN	wikipron	-	-
بالطه	bɑltɑ	BALTA	wikipron	-	-
بدنا	bɛdɛnɛn	BEDENEN	wikipron	-	-
بربر	bɛrbɛɾ	BERBER	wikipron	-	-
برر	biɾɛɾ	BIRER	wikipron	-	-
برلك	biɾlic	BIRLIK	wikipron	-	-
بشر	bɛʃɛɾ	BESER	wikipron	-	-
بیرام	bajɾam	BAYRAM	wikipron	-	-
تجهیزات	tɛdʒhizaːt	TEDSHISAT	wikipron	-	-
ترك	tuɾc	TURK	wikipron	-	-
ترك	tyɾc	TURK	wikipron	-	-
ترك	tɛɾc	TERK	wikipron	-	-
ترك	tɛɾɛc	TEREK	wikipron	-	-
تره	tɛɾɛ	TERE	wikipron	-	-
تقدیر	takdiːr	TAKDIR	wikipron	-	-
تلغراف	teleɡɾaf	TELEGRAP	wikipron	-	-
تلغراف	tɛlɡɾaf	TELGRAP	wikipron	-	-
تمغا	dɑmɡɑ	DAMGA	wikipron	-	-
تمغا	tɑmɡɑ	TAMGA	wikipron	-	-
جدوار	d͡ʒɛdvɑɾ	SEDBAR	wikipron	-	-
جلاد	d͡ʒelːɑt	SELAT	wikipron	-	-
جلیل	d͡ʒɛlil	SELIL	wikipron	-	-
جنتلمن	dʒɛntilmæn	DSENTILMAN	wikipron	-	-
جوان	d͡ʒivan	SIBAN	wikipron	-	-
حامله	haːmile	HAMILE	wikipron	-	-
حریت	hyɾɾijet	HURRIYET	wikipron	-	-
حز	hɯz	HUS	wikipron	-	-
حكومت	hycuːmet	HUKUMET	wikipron	-	-
خاص	has	HAS	wikipron	-	-
خر	hɑɾ	HAR	wikipron	-	-
خر	hɯɾ	HUR	wikipron	-	-
خرسز	hɯɾsɯz	HURSUS	wikipron	-	-
خرم	hyrrɛm	HURREM	wikipron	-	-
خشر	hɯʃɯɾ	HUSUR	wikipron	-	-
دانه	tanɛ	TANE	wikipron	-	-
درت	do̞ɾt	DORT	wikipron	-	-
درت	dœɾt	DERT	wikipron	-	-
دردر	dœɾdɛɾ	DERDER	wikipron	-	-
ركاب	ricaːb	RIKAB	wikipron	-	-
رهبر	ɾɛhbeɾ	REHBER	wikipron	-	-
روزگار	ɾyzɟaːɾ	RUSGAR	wikipron	-	-
زره	zɯɾh	SURH	wikipron	-	-
