Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aba	aba	ABA	wikipron	-	-
abakada	abakada	ABAKADA	wikipron	-	-
Abalos	abalos	ABALOS	wikipron	-	-
abilay	abilay	ABILAU	abvd	BE ALIVE	abvd_76_tolivebealive_14
abong	aboŋ	ABON	wikipron	-	-
abong	abong	ABONG	abvd	HOUSE	abvd_61_house_16
abulok	abulok	ABULOK	abvd	ROTTEN	abvd_112_rotten_1
abung	abuŋ	ABUN	wikipron	-	-
acan	acan	AKAN	abvd	CHEW	-
acar	acar	AKAR	abvd	WALK	abvd_5_towalk_40
Acosta	akosta	AKOSTA	wikipron	-	-
aculao	aculao	AKULAO	abvd	WIFE	-
agew	aɡɨw	AGIW	wikipron	-	-
agew	agew	AGEW	abvd	DAY (NOT NIGHT)	abvd_168_day_1
agos	agos	AGOS	abvd	FLOW	abvd_123_toflow_2
agueyet	agueyet	AGUEUET	abvd	MOSQUITO	-
Aguilar	aɡilaɾ	AGILAR	wikipron	-	-
akis	akis	AKIS	abvd	CRY	abvd_34_tocry_86
akulaw	akulaw	AKULAW	abvd	OLD	-
alakdan	alakdan	ALAKDAN	wikipron	-	-
Alaminos	alaminos	ALAMINOS	wikipron	-	-
Almazan	almasan	ALMASAN	wikipron	-	-
altey	altey	ALTEU	abvd	LIVER	abvd_17_liver_1
alumbayar	alumbayar	ALUMBAUAR	abvd	WORM	-
alɨwaɨ	alɨwaɨ	ALIWAI	abvd	BAD OR EVIL	abvd_165_badevil_34
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
amaga	amaga	AMAGA	abvd	DRY	abvd_140_dry_26
aman	aman	AMAN	abvd	THAT	-
ambaeng	ambaeng	AMBAENG	abvd	SHY OR ASHAMED	abvd_161_shyashamed_25
ambalanga	ambalaŋa	AMBALANA	wikipron	-	-
ambalanga	ambalanga	AMBALANGA	abvd	RED	abvd_149_red_42
ambasa	ambasa	AMBASA	abvd	WET	abvd_141_wet_1
ambelat	ambelat	AMBELAT	abvd	HEAVY	abvd_142_heavy_1
ambetel	ambetel	AMBETEL	abvd	COLD	-
amin	amin	AMIN	abvd	ALL	abvd_191_all_1
amot	amot	AMOT	abvd	HIDE	abvd_171_tohide_20
ampetang	ampetang	AMPETANG	abvd	WARM	abvd_138_warm_39
amputi	amputi	AMPUTI	abvd	WHITE	abvd_148_white_1
amta	amta	AMTA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_25
amunggos	amuŋɡos	AMUNGOS	wikipron	-	-
anak	anak	ANAK	abvd	CHILD	abvd_56_child_1
andeket	andeket	ANDEKET	abvd	BLACK	abvd_147_black_86
andi	andi	ANDI	abvd	NO OR NOT	abvd_195_nonot_1
anduquey	anduquey	ANDUKUEU	abvd	LONG	abvd_155_long_1
angob	angob	ANGOB	abvd	SMELL (PERCEIVE)	-
animira	animira	ANIMIRA	abvd	SIX	abvd_202_six_1
animolok	animolok	ANIMOLOK	wikipron	-	-
anop	anop	ANOP	abvd	HUNT	abvd_69_tohunt_1
ansaquit	ansaquit	ANSAKUIT	abvd	PAINFUL OR SICK	abvd_160_painfulsick_1
antakot	antakot	ANTAKOT	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
antiquey	antiquey	ANTIKUEU	abvd	SHORT	abvd_154_short_49
anto	anto	ANTO	abvd	WHAT	abvd_188_what_24
apatira	apatira	APATIRA	abvd	FOUR	abvd_200_four_1
aping	apiŋ	APIN	wikipron	-	-
arawi	arawi	ARAWI	abvd	FAR	abvd_180_far_1
aripuen	aɾipwɨn	ARIPWIN	wikipron	-	-
arum	arum	ARUM	abvd	OTHER	abvd_190_other_1
asawa	asawa	ASAWA	wikipron	-	-
ashoot	ashoot	ASHOOT	abvd	SMOKE (EXHAUST)	-
asin	asin	ASIN	abvd	SALT	abvd_125_salt_3
asingger	asingger	ASINGGER	abvd	NEAR	-
asipuet	asipwɨt	ASIPWIT	wikipron	-	-
asiwek	asiwek	ASIWEK	abvd	SMOKE (EXHAUST)	-
aso	aso	ASO	wikipron	-	-
atep	atep	ATEP	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
aya	aya	AUA	abvd	THIS	abvd_177_this_35
ayro	ajɾo	AYRO	wikipron	-	-
Bacani	bakani	BAKANI	wikipron	-	-
baga	baga	BAGA	abvd	SAY	abvd_64_tosay_22
bagio	baɡjo	BAGYO	wikipron	-	-
bago	bago	BAGO	abvd	FEATHER	-
Balaoing	balawiŋ	BALAWIN	wikipron	-	-
balat	balat	BALAT	abvd	SKIN	abvd_12_skin_21
baleg	balɨɡ	BALIG	wikipron	-	-
baleg	baleg	BALEG	abvd	BIG	abvd_153_big_92
baley	balɨj	BALIY	wikipron	-	-
balo	balo	BALO	abvd	NEW	abvd_163_new_1
bambu	bambu	BAMBU	abvd	POUND	abvd_93_topoundbeat_1
Baniqued	banikɨd	BANIKID	wikipron	-	-
baog	baog	BAOG	abvd	SKIN	-
barena	baɾena	BARENA	wikipron	-	-
Barroga	baroɡa	BAROGA	wikipron	-	-
basakay	basakaj	BASAKAY	wikipron	-	-
baso	baso	BASO	wikipron	-	-
bato	bato	BATO	abvd	STONE	abvd_120_stone_1
Bautista	bawtista	BAWTISTA	wikipron	-	-
bayaw	bajaw	BAYAW	wikipron	-	-
bayawas	bajawas	BAYAWAS	wikipron	-	-
bayo	bayo	BAUO	abvd	POUND	abvd_93_topoundbeat_1
beklew	beklew	BEKLEW	abvd	NECK	abvd_25_neck_75
beneg	beneg	BENEG	abvd	BACK	abvd_13_back_45
Biernes	bjeɾnes	BYERNES	wikipron	-	-
bih-king	bihking	BIHKING	abvd	FOOT OR LEG	-
bii	bii	BII	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bilang	bilang	BILANG	abvd	COUNT	abvd_196_tocount_1
bilay	bilaj	BILAY	wikipron	-	-
birtud	biɾtud	BIRTUD	wikipron	-	-
bislak	bislak	BISLAK	abvd	STICK	-
biteuen	biteuen	BITEUEN	abvd	STAR	abvd_130_star_1
Boado	boado	BOADO	wikipron	-	-
boses	boses	BOSES	wikipron	-	-
Bravo	bɾabo	BRABO	wikipron	-	-
