Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-ket	ket	KET	abvd	BITE	abvd_41_tobite_21
abacan	əbakən	EBAKEN	wikipron	-	-
abagat	əbaɡət	EBAGET	wikipron	-	-
abak	abək	ABEK	wikipron	-	-
abak	abak	ABAK	abvd	DAY (NOT NIGHT)	-
abakan	əbakən	EBAKEN	wikipron	-	-
abala	əbəla	EBELA	wikipron	-	-
abalak	abalək	ABALEK	wikipron	-	-
abias	əbjas	EBYAS	wikipron	-	-
Abril	əbɾil	EBRIL	wikipron	-	-
abu	abu	ABU	abvd	ASH	abvd_146_ashes_1
abú	ab	AB	abvd	ASH	abvd_146_ashes_1
addua	ədwaʔ	EDWAH	wikipron	-	-
aduang pulû	aduangpul	ADUANGPUL	abvd	TWENTY	abvd_207_twenty_3
aduang-pulu	aduangpulu	ADUANGPULU	abvd	TWENTY	abvd_207_twenty_3
aduâ	adu	ADU	abvd	TWO	abvd_198_two_1
adwáq	adwq	ADWK	abvd	TWO	abvd_198_two_1
agila	aɡɪlə	AGILE	wikipron	-	-
aglahi	əɡlahiʔ	EGLAHIH	wikipron	-	-
Agostu	əɡostu	EGOSTU	wikipron	-	-
aguman	aɡumən	AGUMEN	wikipron	-	-
aku	aku	AKU	wikipron	-	-
ala	əlaʔ	ELAH	wikipron	-	-
alakdan	əlakdən	ELAKDEN	wikipron	-	-
alakdan	ələkdan	ELEKDAN	wikipron	-	-
alaya	əlajə	ELAYE	wikipron	-	-
albugan	əlbuɡən	ELBUGEN	wikipron	-	-
aldaw	əldaw	ELDAW	wikipron	-	-
aldo	əldo	ELDO	wikipron	-	-
aldó	ald	ALD	abvd	DAY (NOT NIGHT)	abvd_168_day_1
ali	ali	ALI	abvd	NO OR NOT	abvd_195_nonot_1
alikabuk	alikabuk	ALIKABUK	abvd	DUST	abvd_11_dust_1
alik|abuk	alikabuk	ALIKABUK	abvd	DUST	abvd_11_dust_1
aliua	aliua	ALIUA	abvd	OTHER	abvd_190_other_28
aliwaq	aliwaq	ALIWAK	abvd	OTHER	abvd_190_other_28
alti	alti	ALTI	abvd	LIGHTNING	-
alto	əlto	ELTO	wikipron	-	-
aluage	əlwaɡe	ELWAGE	wikipron	-	-
alun	alun	ALUN	wikipron	-	-
aluntian	aluntian	ALUNTIAN	abvd	GREEN	-
aluntiang	əluntjəŋ	ELUNTYEN	wikipron	-	-
