Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
آتھن	äːt̪ʰːəɳᵊ	TEN	wikipron	-	-
آنڈا	äːɳɖäː	ND	wikipron	-	-
آٹا	äːʈäː	T	wikipron	-	-
آکاش	äːkäːʃə̆	KSE	wikipron	-	-
آکھنا	äːkʰᵊɳäː	KN	wikipron	-	-
آکھنا	äːxᵊɳäː	KN	wikipron	-	-
آہڈا	äː˦ɖäː	D	wikipron	-	-
ابا	əbːäː	EB	wikipron	-	-
اتلا	ʊt̪ᵊläː	UTL	wikipron	-	-
اتہاس	ɪt̪ɪɦäːsᵊ	ITIHS	wikipron	-	-
ادھ	əd̪ːʰə̆	EDE	wikipron	-	-
استھی	əst̪ʰiː	ESTI	wikipron	-	-
اسلام	ɪsläːmə̆	ISLME	wikipron	-	-
اسٹریا	əsʈəɾijäː	ESTERIY	wikipron	-	-
الماری	ələ̆mäːɾiː	ELEMRI	wikipron	-	-
الہڑ	ə˦lləɽᵊ	ELLER	wikipron	-	-
امل	əməlᵊ	EMEL	wikipron	-	-
انار	ənäːɾ	ENR	wikipron	-	-
انب	ə̃mbə̆	EMBE	wikipron	-	-
انملا	ənə̆mʊlːäː	ENEMUL	wikipron	-	-
انوکھا	əɳoːkʰäː	ENOK	wikipron	-	-
انکھ	əɳəkʰᵊ	ENEK	wikipron	-	-
انگی	ə̃ŋɡiː	ENGI	wikipron	-	-
انھا	ə˦nːäː	EN	wikipron	-	-
اوداں	oːd̪ːãː	OD	wikipron	-	-
اٹ	ɪʈːə̆	ITE	wikipron	-	-
اٹاری	əʈäːɾiː	ETRI	wikipron	-	-
اٹل	əʈəlːᵊ	ETEL	wikipron	-	-
اچار	ət͡ʃäːɾᵊ	ESR	wikipron	-	-
اڈیکنا	ʊɖiːkə̆ɳäː	UDIKEN	wikipron	-	-
اکنا	əkkᵊɳɑː	EKKNA	wikipron	-	-
اکھ	əkːʰə̆	EKE	wikipron	-	-
اگ	əɡɡə̆	EGGE	wikipron	-	-
اے	eː	E	wikipron	-	-
اے	eː˥˩	E	wikipron	-	-
اے	ɛː˥˩	E	wikipron	-	-
باری	bäːɾiː	BRI	wikipron	-	-
بالنا	bäːlᵊɳäː	BLN	wikipron	-	-
بالنا	bäːɭᵊɳäː	BLN	wikipron	-	-
باندر	bäːnd̪əɾᵊ	BNDER	wikipron	-	-
بانہہ	bä̃ː˦	B	wikipron	-	-
باگھ	bɑ́ːɡ	BAG	wikipron	-	-
باگھا	bäː˦ɡäː	BG	wikipron	-	-
باہر	bäː˦ɾə̆	BRE	wikipron	-	-
بتھیرا	bət̪ʰeːɾäː	BETER	wikipron	-	-
بتی	bət̪t̪iː	BETTI	wikipron	-	-
بدل	bəd̪d̪əlᵊ	BEDDEL	wikipron	-	-
بدل	bəd̪d̪əɭᵊ	BEDDEL	wikipron	-	-
برات	bəɾäːt̪ᵊ	BERT	wikipron	-	-
بسورا	bəsuːɾäː	BESUR	wikipron	-	-
بندہ	bənd̪äː	BEND	wikipron	-	-
بنڈ	bʊ̃ɳɖə̆	BUNDE	wikipron	-	-
بنگالی	bə̃ŋɡäːliː	BENGLI	wikipron	-	-
بنھنا	bə̃nːə̆˦ɳäː	BENEN	wikipron	-	-
بوتھا	buːt̪ʰäː	BUT	wikipron	-	-
بولنا	boːlᵊɳäː	BOLN	wikipron	-	-
بوہا	buːɦäː	BUH	wikipron	-	-
بڑا	bəɽäː	BER	wikipron	-	-
بگھیاڑ	bəɡĕ˥˩jäːɽᵊ	BEGYR	wikipron	-	-
بھا	päː˨	P	wikipron	-	-
بھائی	pɑː˩˨iː	PAI	wikipron	-	-
بھار	pä˨ːɾə̆	PRE	wikipron	-	-
بھانبڑ	pä̃ː˨mbəɽᵊ	PMBER	wikipron	-	-
بھانویں	pä̃ː˨ʋẽː	PW	wikipron	-	-
بھانڈا	päː˨ɳɖäː	PND	wikipron	-	-
بھرا	pɾä˨	PR	wikipron	-	-
بھرجائی	pə˨ɾᵊd͡ʒäːjiː	PERSYI	wikipron	-	-
بھسوڑی	pə˨suːɽiː	PESURI	wikipron	-	-
بھنگڑا	pə˨ŋɡə̆ɽäː	PENGER	wikipron	-	-
بھٹو	pʊ˨ʈʈoː	PUTTO	wikipron	-	-
بھین	pɛ˨ɳə̆	PENE	wikipron	-	-
بھیڑا	pɛː˨ɽäː	PER	wikipron	-	-
بیوی	biːʋiː	BIWI	wikipron	-	-
ت	t̪	T	wikipron	-	-
ت	t̪a	TA	wikipron	-	-
تتا	t̪ət̪t̪äː	TETT	wikipron	-	-
تراہ	t̪ᵊɾäː˦	TR	wikipron	-	-
ترک	t̪ᵊɾəkkə̆	TREKKE	wikipron	-	-
ترکالاں	t̪əɾᵊkäːlä̃ː	TERKL	wikipron	-	-
ترکالاں	t̪əɾᵊkäːɭä̃ː	TERKL	wikipron	-	-
ترکھان	t̪əɾᵊkʰäːɳᵊ	TERKN	wikipron	-	-
ترکھان	t̪əɾᵊx̠äːɳᵊ	TERKN	wikipron	-	-
تریل	t̪ɾeːɭᵊ	TREL	wikipron	-	-
تننا	t̪ʊ̃nˑᵊɳäː	TUNN	wikipron	-	-
تواڈا	t̪ʊa˨ɖˑaː	TUADA	wikipron	-	-
تولیا	t̪oːlɪjə	TOLIYE	wikipron	-	-
تکنا	t̪əkkᵊɳäː	TEKKN	wikipron	-	-
تکنی	t̪əkkᵊɳiː	TEKKNI	wikipron	-	-
