Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ar	ʔar	HAR	wikipron	-	-
at	at	AT	wikipron	-	-
bam	bam	BAM	wikipron	-	-
bha	bha	BHA	wikipron	-	-
blooh	bloʔ	BLOH	wikipron	-	-
blu	blu	BLU	wikipron	-	-
bnai	bnaj	BNAY	wikipron	-	-
bri	bri	BRI	wikipron	-	-
bru	bru	BRU	wikipron	-	-
bu	bu	BU	wikipron	-	-
chiphaw	t͡ʃipʰaw	SIPAW	wikipron	-	-
chispah	t͡ʃispaʔ	SISPAH	wikipron	-	-
chit	t͡ʃit	SIT	wikipron	-	-
chkur	t͡ʃkur	SKUR	wikipron	-	-
chnong	t͡ʃnɔŋ	SNON	wikipron	-	-
chyeiñ	t͡ʃʔeɲ	SHEN	wikipron	-	-
chyrtoh	t͡ʃr̩tɔʔ	SRTOH	wikipron	-	-
dakha	dakʰa	DAKA	wikipron	-	-
deiñ	deɲ	DEN	wikipron	-	-
dih	diʔ	DIH	wikipron	-	-
diñ	diɲ	DIN	wikipron	-	-
hajar	had͡ʒar	HASAR	wikipron	-	-
hær	hɛr	HER	wikipron	-	-
im	ʔim	HIM	wikipron	-	-
ja	d͡ʒa	SA	wikipron	-	-
kba	kba	KBA	wikipron	-	-
khla	kʰla	KLA	wikipron	-	-
khlieh	kʰleʔ	KLEH	wikipron	-	-
khloo	kʰlo	KLO	wikipron	-	-
khmat	kʰmat	KMAT	wikipron	-	-
khmut	kʰmut	KMUT	wikipron	-	-
khne	kʰne	KNE	wikipron	-	-
khon	kʰɔn	KON	wikipron	-	-
khoo	kʰo	KO	wikipron	-	-
khroh	kʰrɔʔ	KROH	wikipron	-	-
khynde	kʰn̩de	KNDE	wikipron	-	-
kjat	kd͡ʒat	KSAT	wikipron	-	-
ksaw	ksaw	KSAW	wikipron	-	-
ksu	ksu	KSU	wikipron	-	-
kti	kti	KTI	wikipron	-	-
ku	ku	KU	wikipron	-	-
kyam	kd͡ʒam	KSAM	wikipron	-	-
kyntein	kn̩ten	KNTEN	wikipron	-	-
ladaw	ladaw	LADAW	wikipron	-	-
lai	laj	LAY	wikipron	-	-
le	le	LE	wikipron	-	-
loom	lom	LOM	wikipron	-	-
lymmeiñ	lm̩meɲ	LMMEN	wikipron	-	-
lyoh	lʔɔʔ	LHOH	wikipron	-	-
lyær	lʔɛr	LHER	wikipron	-	-
mait	mat̪	MAT	wikipron	-	-
mrad	mrad	MRAD	wikipron	-	-
mynthu	mn̩tʰu	MNTU	wikipron	-	-
nar	nar	NAR	wikipron	-	-
nga	ŋa	NA	wikipron	-	-
ngap	ŋap	NAP	wikipron	-	-
ngut	ŋut	NUT	wikipron	-	-
o	ʔɔ	HO	wikipron	-	-
phra	pʰra	PRA	wikipron	-	-
pseiñ	pseɲ	PSEN	wikipron	-	-
pyut	pʔut	PHUT	wikipron	-	-
reñ	rɛɲ	REN	wikipron	-	-
rwai	rwaj	RWAY	wikipron	-	-
san	san	SAN	wikipron	-	-
sapæt	sapɛt	SAPET	wikipron	-	-
sim	sim	SIM	wikipron	-	-
skur	skur	SKUR	wikipron	-	-
snam	snam	SNAM	wikipron	-	-
sngi	sŋi	SNI	wikipron	-	-
sniang	sniaŋ	SNIAN	wikipron	-	-
sniooh	sɲoʔ	SNOH	wikipron	-	-
snæm	snɛm	SNEM	wikipron	-	-
soh	sɔʔ	SOH	wikipron	-	-
soo	so	SO	wikipron	-	-
sum	sum	SUM	wikipron	-	-
sung	suŋ	SUN	wikipron	-	-
syiar	sʔiar	SHIAR	wikipron	-	-
symbe	sm̩be	SMBE	wikipron	-	-
syntu	sn̩tu	SNTU	wikipron	-	-
sñiaw	sɲiaw	SNIAW	wikipron	-	-
sñiawthooh	sɲiawtʰoh	SNIAWTOH	wikipron	-	-
tham	tʰam	TAM	wikipron	-	-
thiah	tʰiaʔ	TIAH	wikipron	-	-
thlu	tʰlu	TLU	wikipron	-	-
thylleij	tʰl̩leɟ	TLLEG	wikipron	-	-
thymme	tʰm̩me	TMME	wikipron	-	-
tit	tit	TIT	wikipron	-	-
tpai	tpaj	TPAY	wikipron	-	-
tylli	tl̩li	TLLI	wikipron	-	-
tyrsim	tr̩sim	TRSIM	wikipron	-	-
um	ʔum	HUM	wikipron	-	-
wah	waʔ	WAH	wikipron	-	-
waroh	warɔʔ	WAROH	wikipron	-	-
wi	wi	WI	wikipron	-	-
yam	jam	YAM	wikipron	-	-
yap	jap	YAP	wikipron	-	-
yaw	jaw	YAW	wikipron	-	-
ymbu	m̩bu	MBU	wikipron	-	-
ynru	n̩ru	NRU	wikipron	-	-
ynñiaw	n̩ɲiaw	NNIAW	wikipron	-	-
yoo	jo	YO	wikipron	-	-
