Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
bail	pɐi˨˦	PAI	wikipron	-	-
baul	pɐu˨˦	PAU	wikipron	-	-
baus	pɐu˧˥	PAU	wikipron	-	-
beangz	pɯəŋ˩	PUEN	wikipron	-	-
beedt	peːt̚˧˥	PET	wikipron	-	-
bidt	pit̚˧˥	PIT	wikipron	-	-
bil	pi˨˦	PI	wikipron	-	-
bingz	piŋ˩	PIN	wikipron	-	-
binyxiangy	pin˧ɕiəŋ˧	PINSIEN	wikipron	-	-
bix	pi˧˩	PI	wikipron	-	-
boh	po˧	PO	wikipron	-	-
byagt	pʲɐk̚˧˥	PAK	wikipron	-	-
byal	pʲa˨˦	PA	wikipron	-	-
cangjzangj	t͡sʰɐŋ˥˧t͡sɐŋ˥˧	SANSAN	wikipron	-	-
daail	taːi˨˦	TAI	wikipron	-	-
dal	ta˨˦	TA	wikipron	-	-
dams	tɐm˧˥	TAM	wikipron	-	-
danglngonz	tɐŋ˨˦ŋɔn˩	TANNON	wikipron	-	-
dangs	tɐŋ˧˥	TAN	wikipron	-	-
deel	te˨˦	TE	wikipron	-	-
deh	tɯ˧	TU	wikipron	-	-
diangz	tiəŋ˩	TIEN	wikipron	-	-
dianq	tiən˨˦	TIEN	wikipron	-	-
dianqnaoj	tiən˨˦naːu˥˧	TIENNAU	wikipron	-	-
dianqyinj	tiən˨˦jin˥˧	TIENYIN	wikipron	-	-
dinc	tin˥˧	TIN	wikipron	-	-
doongl	toːŋ˨˦	TON	wikipron	-	-
dueh	tuə˧	TUE	wikipron	-	-
dufpinj	tu˧˩pʰin˥˧	TUPIN	wikipron	-	-
dufzej	tu˧˩t͡sɯ˥˧	TUSU	wikipron	-	-
dungx	tuŋ˧˩	TUN	wikipron	-	-
fanz	fɐn˩	PAN	wikipron	-	-
faz	fa˩	PA	wikipron	-	-
fead	fɯət̚˧	PUET	wikipron	-	-
feiyjiy	fɯi˧t͡ɕi˧	PUISI	wikipron	-	-
fix	fi˧˩	PI	wikipron	-	-
fufhaoq	fu˧˩xaːu˨˦	PUKAU	wikipron	-	-
gaail	kaːi˨˦	KAI	wikipron	-	-
gaangc	kaːŋ˥˧	KAN	wikipron	-	-
gac	ka˥˧	KA	wikipron	-	-
gais	kɐi˧˥	KAI	wikipron	-	-
gal	ka˨˦	KA	wikipron	-	-
genl	kɯn˨˦	KUN	wikipron	-	-
ges	kɯ˧˥	KU	wikipron	-	-
guc	ku˥˧	KU	wikipron	-	-
guec	kuə˥˧	KUE	wikipron	-	-
gugt	kuk̚˧˥	KUK	wikipron	-	-
Guiqzouy	kui˨˦t͡səu˧	KUISEU	wikipron	-	-
gul	ku˨˦	KU	wikipron	-	-
gvaz	kʷa˩	KA	wikipron	-	-
Gvisxul	kʷi˧˥ɕu˨˦	KISU	wikipron	-	-
haangz	xaːŋ˩	KAN	wikipron	-	-
haaul	xaːu˨˦	KAU	wikipron	-	-
hac	xa˥˧	KA	wikipron	-	-
haec	xɐɯ˥˧	KAU	wikipron	-	-
hauc	xɐu˥˧	KAU	wikipron	-	-
haux	xɐu˧˩	KAU	wikipron	-	-
hauxfangx	xɐu˧˩fɐŋ˧˩	KAUPAN	wikipron	-	-
hingl	xiŋ˨˦	KIN	wikipron	-	-
hocdeel	xo˥˧te˨˦	KOTE	wikipron	-	-
hocdul	xo˥˧tu˨˦	KOTU	wikipron	-	-
hocrauz	xo˥˧zɐu˩	KOSAU	wikipron	-	-
hocsul	xo˥˧su˨˦	KOSU	wikipron	-	-
hol	xo˨˦	KO	wikipron	-	-
hoz	xo˩	KO	wikipron	-	-
iadt	ʔiət̚˧˥	HIET	wikipron	-	-
iel	ʔiə˨˦	HIE	wikipron	-	-
jac	t͡ɕa˥˧	SA	wikipron	-	-
jaec	t͡ɕɐɯ˥˧	SAU	wikipron	-	-
jael	t͡ɕɐɯ˨˦	SAU	wikipron	-	-
jais	t͡ɕɐi˧˥	SAI	wikipron	-	-
jangl	t͡ɕɐŋ˨˦	SAN	wikipron	-	-
jeemc	t͡ɕeːm˥˧	SEM	wikipron	-	-
jeengl	t͡ɕeːŋ˨˦	SEN	wikipron	-	-
jiml	t͡ɕim˨˦	SIM	wikipron	-	-
jizlanz	t͡ɕi˩lɐn˩	SILAN	wikipron	-	-
joic	t͡ɕoːi˥˧	SOI	wikipron	-	-
joicdiangz	t͡ɕoːi˥˧tiəŋ˩	SOITIEN	wikipron	-	-
jux	t͡ɕu˧˩	SU	wikipron	-	-
kuangq	kʰuəŋ˨˦	KUEN	wikipron	-	-
laail	laːi˨˦	LAI	wikipron	-	-
liad	liət̚˧	LIET	wikipron	-	-
lingz	liŋ˩	LIN	wikipron	-	-
linx	lin˧˩	LIN	wikipron	-	-
mal	ma˨˦	MA	wikipron	-	-
max	ma˧˩	MA	wikipron	-	-
mbael	ɓɐɯ˨˦	BAU	wikipron	-	-
mbenl	ɓɯn˨˦	BUN	wikipron	-	-
mengz	mɯŋ˩	MUN	wikipron	-	-
minfzuf	min˧˩t͡su˧˩	MINSU	wikipron	-	-
moil	moːi˨˦	MOI	wikipron	-	-
mos	mo˧˥	MO	wikipron	-	-
mul	mu˨˦	MU	wikipron	-	-
myaus	mʲɐu˧˥	MAU	wikipron	-	-
naais	naːi˧˥	NAI	wikipron	-	-
nail	nɐi˨˦	NAI	wikipron	-	-
naz	na˩	NA	wikipron	-	-
ndaaulndis	ɗaːu˨˦ɗi˧˥	DAUDI	wikipron	-	-
ndeeul	ɗeːu˨˦	DEU	wikipron	-	-
ndianl	ɗiən˨˦	DIEN	wikipron	-	-
ndingl	ɗiŋ˨˦	DIN	wikipron	-	-
ndumx	ɗum˧˩	DUM	wikipron	-	-
nganz	ŋɐn˩	NAN	wikipron	-	-
ngeaz	ŋɯə˩	NUE	wikipron	-	-
nguanz	ŋuən˩	NUEN	wikipron	-	-
noh	no˧	NO	wikipron	-	-
nuangx	nuəŋ˧˩	NUEN	wikipron	-	-
nyal	ɲa˨˦	NA	wikipron	-	-
nyib	ɲip̚˧	NIP	wikipron	-	-
oix	ʔoːi˧˩	HOI	wikipron	-	-
raabt	zaːp̚˧˥	SAP	wikipron	-	-
raaml	zaːm˨˦	SAM	wikipron	-	-
raangx	zaːŋ˧˩	SAN	wikipron	-	-
ral	za˨˦	SA	wikipron	-	-
ramx	zɐm˧˩	SAM	wikipron	-	-
ranl	zɐn˨˦	SAN	wikipron	-	-
rog	zɔk̚˧	SOK	wikipron	-	-
rogt	zɔk̚˧˥	SOK	wikipron	-	-
roh	zo˧	SO	wikipron	-	-
roons	zoːn˧˥	SON	wikipron	-	-
rox	zo˧˩	SO	wikipron	-	-
rumx	zum˧˩	SUM	wikipron	-	-
saaml	saːm˨˦	SAM	wikipron	-	-
saangl	saːŋ˨˦	SAN	wikipron	-	-
Siqcuany	si˨˦t͡sʰuən˧	SISUEN	wikipron	-	-
siqhuaq	si˨˦xua˨˦	SIKUA	wikipron	-	-
sis	si˧˥	SI	wikipron	-	-
siyzij	sz̩˧t͡sz̩˥˧	SSSS	wikipron	-	-
soix	soːi˧˩	SOI	wikipron	-	-
soongl	soːŋ˨˦	SON	wikipron	-	-
veac	vɯə˥˧	BUE	wikipron	-	-
venfhuaq	vɯn˧˩xua˨˦	BUNKUA	wikipron	-	-
waail	waːi˨˦	WAI	wikipron	-	-
waauz	waːu˩	WAU	wikipron	-	-
wenz	wɯn˩	WUN	wikipron	-	-
xadt	ɕɐt̚˧˥	SAT	wikipron	-	-
xeh	ɕɯ˧	SU	wikipron	-	-
xex	ɕɯ˧˩	SU	wikipron	-	-
xib	ɕip̚˧	SIP	wikipron	-	-
yianh	jiən˧	YIEN	wikipron	-	-
Yinfnanf	jin˧˩nɐn˧˩	YINNAN	wikipron	-	-
Zungyguef	t͡suŋ˧kuə˧˩	SUNKUE	wikipron	-	-
Zungyhuaf	t͡suŋ˧xua˧˩	SUNKUA	wikipron	-	-
