Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aa	aa	AA	abvd	WHAT	abvd_188_what_84
ahangia	ahangia	AHANGIA	abvd	OPEN	abvd_92_toopenuncover_9
ahea	ahea	AHEA	abvd	WHEN	abvd_170_when_5
ai	ai	AI	abvd	WHO	abvd_189_who_1
aka	aka	AKA	abvd	ROOT	abvd_115_root_2
akahu	akahu	AKAHU	abvd	MOON	abvd_129_moon_1?
ala	ala	ALA	abvd	PATH OR ROAD	abvd_6_roadpath_1
alelo	alelo	ALELO	abvd	TONGUE	abvd_32_tongue_15
anahea	anahea	ANAHEA	abvd	WHEN	abvd_170_when_5
anga	anga	ANGA	abvd	WORK (ACTIVITY)	abvd_83_towork_10
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
atoato	atoato	ATOATO	abvd	SEW	-
au	au	AU	abvd	COME	abvd_7_tocome_44
dumaa	dumaa	DUMAA	abvd	TEN	-
eha	eha	EHA	abvd	THICK	-
ehu	ehu	EHU	abvd	DUST	abvd_11_dust_1
elea	elea	ELEA	abvd	CUT OR HACK	-
emo	emo	EMO	abvd	FALL	abvd_95_tofall_88
esia	esia	ESIA	abvd	BITE	abvd_41_tobite_9
fuŋu	fuu	PUU	abvd	BLUNT	abvd_82_dullblunt_12
gatoaelima	gatoaelima	GATOAELIMA	abvd	FIFTY	abvd_208_fifty_13
gatoaelua	gatoaelua	GATOAELUA	abvd	TWENTY	abvd_207_twenty_5
haa	haa	HAA	abvd	FOUR	abvd_200_four_1
hahine	hahine	HAHINE	abvd	FEMALE PERSON	abvd_55_womanfemale_1
haila	haila	HAILA	abvd	OTHER	abvd_190_other_25?
hale	hale	HALE	abvd	HOUSE	abvd_61_house_14
hana	hana	HANA	abvd	FEMALE PERSON	abvd_55_womanfemale_1
hanaia	hanaia	HANAIA	abvd	SHOOT	abvd_70_toshoot_1
hangaa	hangaa	HANGAA	abvd	SPLIT	abvd_80_tosplit_5
hatahata	hatahata	HATAHATA	abvd	BREAST	abvd_18_breast_41
hatu	hatu	HATU	abvd	STONE	abvd_120_stone_1
hatu kio	hatukio	HATUKIO	abvd	EGG	-
hau	hau	HAU	abvd	ROPE	abvd_65_rope_92
hehoaki	hehoaki	HEHOAKI	abvd	WALK	abvd_5_towalk_4?
helo	helo	HELO	abvd	YELLOW	abvd_150_yellow_11
hetuu	hetuu	HETUU	abvd	STAR	abvd_130_star_1
hihia.	hihia	HIHIA	abvd	FASTEN	-
hilihilia	hilihilia	HILIHILIA	abvd	CHOOSE	abvd_85_tochoose_1
hina-	hina	HINA	abvd	MOTHER	abvd_59_mother_4?
hinga	hinga	HINGA	abvd	THINK	-
hitu	hitu	HITU	abvd	SEVEN	abvd_203_seven_1
hou	hou	HOU	abvd	NEW	abvd_163_new_1
hua	hua	HUA	abvd	FRUIT	abvd_117_fruit_1
huahea	huahea	HUAHEA	abvd	HOW	abvd_194_how_11
hukea	hukea	HUKEA	abvd	OPEN	abvd_92_toopenuncover_1
hulu	hulu	HULU	abvd	FEATHER	abvd_99_feather_1
i	i	I	abvd	AT	abvd_173_at_1
i hea	ihea	IHEA	abvd	WHERE	abvd_181_where_3
ia	ia	IA	abvd	HE OR SHE	abvd_184_heshe_1
iau	iau	IAU	abvd	I	abvd_182_i_1
ika	ika	IKA	abvd	FISH	abvd_111_fish_1
ilo	ilo	ILO	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_13
iloa	iloa	ILOA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_13
imea	imea	IMEA	abvd	FLOWER	abvd_116_flower_18
ingoa	ingoa	INGOA	abvd	NAME	abvd_63_name_6
inu	inu	INU	abvd	DRINK	abvd_40_todrink_1
inumia	inumia	INUMIA	abvd	DRINK	abvd_40_todrink_1
