Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
babuloŋ	babulo	BABULO	abvd	SKY	abvd_128_sky_56
baŋ	ba	BA	abvd	RAIN (PRECIPITATION)	abvd_133_rain_5
baːbi	babi	BABI	abvd	SAND	-
baːhun	bahun	BAHUN	abvd	NEW	abvd_163_new_1
bebsen	bebsen	BEBSEN	abvd	WHITE	-
beni-n	benin	BENIN	abvd	WING	abvd_100_wing_2
berhik	berhik	BERHIK	abvd	BONE	-
bihin	bihin	BIHIN	abvd	FEMALE PERSON	abvd_55_womanfemale_1
bogeri	bogeri	BOGERI	abvd	HIDE	-
bol	bol	BOL	abvd	MOON	abvd_129_moon_1
bur	bur	BUR	abvd	STONE	abvd_120_stone_1
buʔu-k	buʔuk	BUHUK	abvd	WIFE	abvd_58_wife_10
buːŋ	bu	BU	abvd	NIGHT	abvd_167_night_1
bwiw	bwiw	BWIW	abvd	NO OR NOT	abvd_195_nonot_9
dalui-k	daluik	DALUIK	abvd	BELLY	abvd_14_belly_92
dama-k	damak	DAMAK	abvd	FATHER	abvd_60_father_1
daməra	daməra	DAMERA	abvd	PATH OR ROAD	-
daxuo	daxuo	DAKUO	abvd	EIGHT	abvd_204_eight_31
daːlor	dalor	DALOR	abvd	FOUR	abvd_200_four_12
daːrdiːc	dardic	DARDIK	abvd	NINE	abvd_205_nine_37
daːrluh	darluh	DARLUH	abvd	SEVEN	abvd_203_seven_22
derbei	derbei	DERBEI	abvd	SMALL	-
diliŋ	dili	DILI	abvd	CRY	abvd_34_tocry_19
din	din	DIN	abvd	CUT OR HACK	-
dis	dis	DIS	abvd	SEA	abvd_124_sea_1
diːə	diə	DIE	abvd	ONE	abvd_197_one_56
doberhi-n	doberhin	DOBERHIN	abvd	THIN	abvd_156_thin_51
duluh	duluh	DULUH	abvd	THREE	abvd_199_three_1
eleřu-n	eleřun	ELEUN	abvd	EGG	abvd_98_egg_1
eluen	eluen	ELUEN	abvd	LONG	abvd_155_long_12
er	er	ER	abvd	BAD OR EVIL	-
erduŋ	erdu	ERDU	abvd	SKY	-
eři-k	eřik	EIK	abvd	LIVER	abvd_17_liver_1
