Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
a	a	A	abvd	ONE	abvd_197_one_1
ab'a	aba	ABA	abvd	WHAT	-
ab'i	abi	ABI	abvd	FIRE	-
ai	ai	AI	abvd	WHO	abvd_189_who_1
aku	aku	AKU	abvd	I	abvd_182_i_1
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
ana	ana	ANA	abvd	CHILD	abvd_56_child_1
ata	ata	ATA	abvd	PERSON	abvd_53_personhumanbeing_4
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
avu	avu	ABU	abvd	ASH	abvd_146_ashes_1
aŋi	ai	AI	abvd	WIND	abvd_136_wind_1
aʔe	aʔe	AHE	abvd	THIS	-
b'a	ba	BA	abvd	FOUR	abvd_200_four_1
b'adʒu	badʒu	BADSU	abvd	SHOULDER	-
b'alu	balu	BALU	abvd	HIT	abvd_72_tohit_1
b'ara laʔi mai-n	baralaʔimain	BARALAHIMAIN	abvd	SALT	-
b'itu	bitu	BITU	abvd	SEVEN	abvd_203_seven_1
b'uka	buka	BUKA	abvd	SWELL	abvd_87_toswell_34?
eko	eko	EKO	abvd	BACK	-
ere pha	erepha	EREPHA	abvd	HOW	-
eʔe	eʔe	EHE	abvd	OTHER	-
i	i	I	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
ia	ia	IA	abvd	HE OR SHE	abvd_184_heshe_1
ika	ika	IKA	abvd	FISH	abvd_111_fish_1
ina	ina	INA	abvd	MOTHER	abvd_59_mother_1
iri	iri	IRI	abvd	LEFT	abvd_2_left_1
iva	iva	IBA	abvd	NINE	abvd_205_nine_5
iʔo	iʔo	IHO	abvd	TAIL	abvd_105_tail_1
kadʒu	kadʒu	KADSU	abvd	STICK	abvd_79_stickwood_1
kadʒu kha	kadʒukha	KADSUKHA	abvd	BURN	-
karamboro	karamboro	KARAMBORO	abvd	SPIDER	-
kau	kau	KAU	abvd	THOU	abvd_183_thou_1
kaʔa	kaʔa	KAHA	abvd	NO OR NOT	-
kaʔa mbola	kaʔambola	KAHAMBOLA	abvd	BAD OR EVIL	-
keve	keve	KEBE	abvd	HOLD	-
kha	kha	KHA	abvd	EAT	abvd_37_toeat_1
khab'a	khaba	KHABA	abvd	THICK	-
khadʒe	khadʒe	KHADSE	abvd	SCRATCH	abvd_77_toscratch_5
khali	khali	KHALI	abvd	DIG	abvd_90_todig_1
khila	khila	KHILA	abvd	GREEN	-
khira	khira	KHIRA	abvd	COUNT	-
khuʔa	khuʔa	KHUHA	abvd	WORK (ACTIVITY)	-
khəla	khəla	KHELA	abvd	SPLIT	-
