Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
afa|i	afai	APAI	abvd	WHAT	abvd_188_what_1
afe	afe	APE	abvd	FIRE	abvd_143_fire_1
afʔ mata-i	afʔmatai	APHMATAI	abvd	ASH	abvd_146_ashes_4?
ai	ai	AI	abvd	STICK	abvd_79_stickwood_1
ai-lahai	ailahai	AILAHAI	abvd	SAND	-
akakila	akakila	AKAKILA	abvd	SHY OR ASHAMED	-
ala	ala	ALA	abvd	SCRATCH	abvd_77_toscratch_46
ale	ale	ALE	abvd	THOU	abvd_183_thou_4
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
ami	ami	AMI	abvd	WE	abvd_185_we_2
ana	ana	ANA	abvd	CHILD	abvd_56_child_1
ane	ane	ANE	abvd	EAT	abvd_37_toeat_1
anine	anine	ANINE	abvd	WIND	abvd_136_wind_1
ari	ari	ARI	abvd	DIG	abvd_90_todig_1
aru	aru	ARU	abvd	TAIL	abvd_105_tail_6
aseh	aseh	ASEH	abvd	BREATHE	-
asu	asu	ASU	abvd	DOG	abvd_96_dog_1
ata	ata	ATA	abvd	LONG	abvd_155_long_48
ate	ate	ATE	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
au	au	AU	abvd	I	abvd_182_i_1
auina	auina	AUINA	abvd	RIGHT	abvd_3_right_1
aupaa	aupaa	AUPAA	abvd	LEFT	abvd_2_left_30
auwani	auwani	AUWANI	abvd	BAD OR EVIL	-
awahia	awahia	AWAHIA	abvd	BAD OR EVIL	abvd_165_badevil_40
a|ma|mua|e	amamuae	AMAMUAE	abvd	YAWN	abvd_47_toyawn_19
a|ma|naa	amanaa	AMANAA	abvd	STEAL	abvd_73_tosteal_11
ehori	ehori	EHORI	abvd	WING	abvd_100_wing_36
ele	ele	ELE	abvd	STAND	abvd_52_tostand_1
eri	eri	ERI	abvd	GRASS	-
etee	etee	ETEE	abvd	NARROW	-
fa-mata	famata	PAMATA	abvd	KILL	abvd_74_tokill_2
failae	failae	PAILAE	abvd	SHY OR ASHAMED	-
fale	fale	PALE	abvd	FOUR	abvd_200_four_1
famese	famese	PAMESE	abvd	HOLD	-
fana	fana	PANA	abvd	SHOOT	abvd_70_toshoot_1
fe|nene	fenene	PENENE	abvd	HEAR	abvd_44_tohear_1
fi|fila|i	fifilai	PIPILAI	abvd	WHEN	abvd_170_when_1
fofori	fofori	POPORI	abvd	SMALL	abvd_152_small_5?
fu|rkin|i	furkini	PURKINI	abvd	COLD	abvd_139_cold_1
haa	haa	HAA	abvd	SPLIT	abvd_80_tosplit_37
hakari	hakari	HAKARI	abvd	WIDE	-
halee	halee	HALEE	abvd	COUNT	-
hatu	hatu	HATU	abvd	STONE	abvd_120_stone_1
hau-faini	haufaini	HAUPAINI	abvd	HOW	-
haunie	haunie	HAUNIE	abvd	HIDE	-
heru|i	herui	HERUI	abvd	NEW	abvd_163_new_1
heteru	heteru	HETERU	abvd	THICK	abvd_157_thick_3
hita	hita	HITA	abvd	HIT	abvd_72_tohit_39?
hoo	hoo	HOO	abvd	FASTEN	abvd_66_totieupfasten_118
hoot	hoot	HOOT	abvd	SMOKE (EXHAUST)	-
hua	hua	HUA	abvd	HAIR	abvd_26_hair_1
hulane	hulane	HULANE	abvd	MOON	abvd_129_moon_1
hulo	hulo	HULO	abvd	BLOW (OF WIND)	abvd_137_toblow_39
humelee	humelee	HUMELEE	abvd	NIGHT	-
huru	huru	HURU	abvd	FEATHER	abvd_99_feather_1
hutua	hutua	HUTUA	abvd	INTESTINES	abvd_16_intestines_8
hēka	hka	HKA	abvd	OPEN	abvd_92_toopenuncover_29
iane	iane	IANE	abvd	FISH	abvd_111_fish_1
ike	ike	IKE	abvd	WE	abvd_185_we_1
ila	ila	ILA	abvd	BIG	abvd_153_big_8?
ile	ile	ILE	abvd	HE OR SHE	abvd_184_heshe_3
ile mei	ilemei	ILEMEI	abvd	THAT	-
ile nei	ilenei	ILENEI	abvd	THIS	-
imi	imi	IMI	abvd	YOU	abvd_186_you_1
ina	ina	INA	abvd	MOTHER	abvd_59_mother_1
iri	iri	IRI	abvd	NOSE	abvd_27_nose_1
isi	isi	ISI	abvd	FLESH OR MEAT	abvd_103_meatflesh_31
kala	kala	KALA	abvd	FLOW	abvd_123_toflow_8
kau	kau	KAU	abvd	RED	abvd_149_red_8
ke	ke	KE	abvd	IF	abvd_193_if_1?
keri	keri	KERI	abvd	BITE	abvd_41_tobite_1?
kia	kia	KIA	abvd	RAIN (PRECIPITATION)	-
kihu	kihu	KIHU	abvd	GROW	abvd_86_togrow_3
kokoru	kokoru	KOKORU	abvd	SHORT	abvd_154_short_38
kupane	kupane	KUPANE	abvd	FLOWER	-
laai	laai	LAAI	abvd	IN	-
lahani	lahani	LAHANI	abvd	OTHER	-
lahone	lahone	LAHONE	abvd	DUST	abvd_11_dust_5
lakine	lakine	LAKINE	abvd	PATH OR ROAD	-
lala	lala	LALA	abvd	BLOOD	abvd_23_blood_1
lama	lama	LAMA	abvd	FAR	-
lamut	lamut	LAMUT	abvd	ROOT	abvd_115_root_3
lanite	lanite	LANITE	abvd	SKY	abvd_128_sky_1
lata	lata	LATA	abvd	HIT	-
lau	lau	LAU	abvd	LEAF	abvd_114_leaf_1
lepa	lepa	LEPA	abvd	SAY	abvd_64_tosay_152
lepe	lepe	LEPE	abvd	SQUEEZE	abvd_88_tosqueeze_4
lete	lete	LETE	abvd	ABOVE	abvd_175_above_6
lopisie	lopisie	LOPISIE	abvd	ALL	abvd_191_all_34
mahaiti	mahaiti	MAHAITI	abvd	BE ALIVE	abvd_76_tolivebealive_3
manahu	manahu	MANAHU	abvd	FALL	abvd_95_tofall_1
manawa	manawa	MANAWA	abvd	MALE PERSON	abvd_54_manmale_1
manisä	manis	MANIS	abvd	CORRECT (RIGHT)	abvd_166_correcttrue_27
manue	manue	MANUE	abvd	BIRD	abvd_97_bird_1
masele	masele	MASELE	abvd	PAINFUL OR SICK	abvd_160_painfulsick_43
masu	masu	MASU	abvd	NEAR	abvd_179_near_6
mata	mata	MATA	abvd	EYE	abvd_45_eye_1
matae	matae	MATAE	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
ma|laha	malaha	MALAHA	abvd	RAT	abvd_102_rat_1
mei	mei	MEI	abvd	TONGUE	abvd_32_tongue_7
memei-e	memeie	MEMEIE	abvd	LAUGH	abvd_33_tolaugh_3?
mete	mete	METE	abvd	BLACK	abvd_147_black_1
mi-ninifi	mininifi	MININIPI	abvd	DREAM (SOMETHING)	abvd_50_todream_1
mina	mina	MINA	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_1
moi	moi	MOI	abvd	SHARP	abvd_81_sharp_7
momʔá	momʔ	MOMH	abvd	VOMIT	abvd_35_tovomit_1?
moone	moone	MOONE	abvd	FOG	-
mulala	mulala	MULALA	abvd	THIN	-
muri	muri	MURI	abvd	BACK	abvd_13_back_3
mutu	mutu	MUTU	abvd	DRY	-
mutua	mutua	MUTUA	abvd	OLD	abvd_162_old_1
muturu	muturu	MUTURU	abvd	LIE DOWN	abvd_49_toliedown_37
mu|turu	muturu	MUTURU	abvd	SLEEP	abvd_48_tosleep_1
nahue	nahue	NAHUE	abvd	COOK (SOMETHING)	abvd_39_tocook_3
nala	nala	NALA	abvd	NAME	abvd_63_name_1
nale	nale	NALE	abvd	YEAR	abvd_169_year_3
nanu	nanu	NANU	abvd	SWIM	abvd_9_toswim_1
nifa	nifa	NIPA	abvd	SNAKE	abvd_106_snake_1
nife	nife	NIPE	abvd	TOOTH	abvd_31_tooth_1
nuku	nuku	NUKU	abvd	MOUTH	abvd_30_mouth_2
pae	pae	PAE	abvd	WHERE	abvd_181_where_3
pei	pei	PEI	abvd	WARM	-
peperi	peperi	PEPERI	abvd	ROTTEN	abvd_112_rotten_44
petu	petu	PETU	abvd	DAY (NOT NIGHT)	abvd_168_day_4
pila	pila	PILA	abvd	HEAVY	-
pipina	pipina	PIPINA	abvd	FEMALE PERSON	abvd_55_womanfemale_1
poa	poa	POA	abvd	SWELL	abvd_87_toswell_75
poku	poku	POKU	abvd	YELLOW	-
popota	popota	POPOTA	abvd	WET	abvd_141_wet_33
pota	pota	POTA	abvd	SWELL	abvd_87_toswell_75
puti	puti	PUTI	abvd	WHITE	abvd_148_white_1
rikine	rikine	RIKINE	abvd	COLD	abvd_139_cold_1
rima	rima	RIMA	abvd	HAND	abvd_1_hand_1
riri	riri	RIRI	abvd	BONE	abvd_15_bone_2
rua	rua	RUA	abvd	TWO	abvd_198_two_1
ruma	ruma	RUMA	abvd	HOUSE	abvd_61_house_1
sae	sae	SAE	abvd	ONE	abvd_197_one_1?
sahe	sahe	SAHE	abvd	BUY	abvd_91_tobuy_3
samika	samika	SAMIKA	abvd	CHEW	-
sana	sana	SANA	abvd	BRANCH	abvd_113_branch_2
sapuri	sapuri	SAPURI	abvd	TURN	-
sawe	sawe	SAWE	abvd	SEW	abvd_67_tosew_10
sei|na	seina	SEINA	abvd	WHO	abvd_189_who_1
sepee	sepee	SEPEE	abvd	SQUEEZE	-
seru	seru	SERU	abvd	SEE	abvd_46_tosee_5
sihiri	sihiri	SIHIRI	abvd	SHOULDER	-
sikae	sikae	SIKAE	abvd	FEAR (BE AFRAID)	-
sile	sile	SILE	abvd	THEY	abvd_187_they_1
sonote	sonote	SONOTE	abvd	MOSQUITO	abvd_109_mosquito_40
suma	suma	SUMA	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_15
susu	susu	SUSU	abvd	BREAST	abvd_18_breast_1
ta	ta	TA	abvd	NO OR NOT	abvd_195_nonot_4
tahae	tahae	TAHAE	abvd	THROW	-
