Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-ali̥	ali̥	ALI	abvd	WALK	abvd_5_towalk_10
-amai	amai	AMAI	abvd	COME	abvd_7_tocome_1
-amis	amis	AMIS	abvd	CRY	abvd_34_tocry_67
-ani	ani	ANI	abvd	EAT	abvd_37_toeat_1
-anian	anian	ANIAN	abvd	EAT	abvd_37_toeat_1
-ati	ati	ATI	abvd	BITE	abvd_41_tobite_1
-bas	bas	BAS	abvd	SPLIT	-
-halau	halau	HALAU	abvd	HUNT	abvd_69_tohunt_74
-hamai	hamai	HAMAI	abvd	COME	abvd_7_tocome_1
-hatufa	hatufa	HATUPA	abvd	HUNT	-
-hideni	hideni	HIDENI	abvd	SAY	abvd_64_tosay_16
-hiles	hiles	HILES	abvd	TURN	abvd_8_toturn_24
-hitaini	hitaini	HITAINI	abvd	FASTEN	abvd_66_totieupfasten_90?
-hiteal	hiteal	HITEAL	abvd	LAUGH	abvd_33_tolaugh_84
-hiteni	hiteni	HITENI	abvd	SAY	abvd_64_tosay_16
-huhus	huhus	HUHUS	abvd	SQUEEZE	-
-hulhuli	hulhuli	HULHULI	abvd	COUNT	abvd_196_tocount_81
-huli	huli	HULI	abvd	COUNT	abvd_196_tocount_81
-hulie	hulie	HULIE	abvd	COUNT	abvd_196_tocount_81
-hulikati	hulikati	HULIKATI	abvd	HOLD	abvd_89_tohold_34
-ili	ili	ILI	abvd	DIG	abvd_90_todig_1
-iⁿdikati	idikati	IDIKATI	abvd	SQUEEZE	-
-ka	ka	KA	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_14
-kaka	kaka	KAKA	abvd	WALK	abvd_5_towalk_62
-kali	kali	KALI	abvd	SCRATCH	abvd_77_toscratch_12
-kilea	kilea	KILEA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_18
-kiloŋe	kiloe	KILOE	abvd	HEAR	abvd_44_tohear_1
-kokila	kokila	KOKILA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_18
-koloŋe	koloe	KOLOE	abvd	HEAR	abvd_44_tohear_1
-koluβos	koluos	KOLUOS	abvd	LIE DOWN	-
-kul	kul	KUL	abvd	SWIM	abvd_9_toswim_71
-kuᵐbus-huseni	kubushuseni	KUBUSHUSENI	abvd	SQUEEZE	abvd_88_tosqueeze_18
-lelakati	lelakati	LELAKATI	abvd	HUNT	-
-lemalu	lemalu	LEMALU	abvd	STAND	abvd_52_tostand_25
-lesi	lesi	LESI	abvd	SEE	abvd_46_tosee_14
-loŋi	loi	LOI	abvd	HEAR	abvd_44_tohear_1
-lu	lu	LU	abvd	VOMIT	abvd_35_tovomit_8
-lue̥	lue̥	LUE	abvd	VOMIT	abvd_35_tovomit_8
-lætkati	ltkati	LTKATI	abvd	FASTEN	abvd_66_totieupfasten_1
-mat	mat	MAT	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-matil	matil	MATIL	abvd	SLEEP	abvd_48_tosleep_1
-matilu	matilu	MATILU	abvd	SLEEP	abvd_48_tosleep_1
-maul	maul	MAUL	abvd	BE ALIVE	abvd_76_tolivebealive_1
-mea	mea	MEA	abvd	STAND	abvd_52_tostand_58
-metau	metau	METAU	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-mewul	mewul	MEWUL	abvd	BE ALIVE	abvd_76_tolivebealive_1
-mot	mot	MOT	abvd	FALL	abvd_95_tofall_57
-moul	moul	MOUL	abvd	BE ALIVE	abvd_76_tolivebealive_1
-mu-niti	muniti	MUNITI	abvd	BURN	abvd_144_toburn_86
-mu-we	muwe	MUWE	abvd	FLOW	abvd_123_toflow_65
-mun susu	munsusu	MUNSUSU	abvd	SUCK	abvd_42_tosuck_25
-muni	muni	MUNI	abvd	DRINK	abvd_40_todrink_1
-musaβoe	musaoe	MUSAOE	abvd	STAB	-
-museh	museh	MUSEH	abvd	BREATHE	abvd_28_tobreathe_14
-musi	musi	MUSI	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_65
-mu·si	musi	MUSI	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_65
-mæt	mt	MT	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-mætil	mtil	MTIL	abvd	LIE DOWN	abvd_49_toliedown_37
-mʷis	mis	MIS	abvd	CRY	abvd_34_tocry_67
-mʷot	mot	MOT	abvd	FALL	abvd_95_tofall_57
-mʷoti	moti	MOTI	abvd	FALL	abvd_95_tofall_57
-niti	niti	NITI	abvd	BURN	abvd_144_toburn_86
-ofeni	ofeni	OPENI	abvd	THROW	-
-parkati	parkati	PARKATI	abvd	FASTEN	abvd_66_totieupfasten_94
-rapasi	rapasi	RAPASI	abvd	SPLIT	-
-reⁿdem	redem	REDEM	abvd	THINK	abvd_21_tothink_13
-reⁿdemien	redemien	REDEMIEN	abvd	THINK	abvd_21_tothink_13
-rili	rili	RILI	abvd	SEW	abvd_67_tosew_13
-sal	sal	SAL	abvd	FLOW	abvd_123_toflow_38
-sali	sali	SALI	abvd	STAB	abvd_71_tostabpierce_14
-seh	seh	SEH	abvd	BREATHE	abvd_28_tobreathe_35
-simi	simi	SIMI	abvd	SUCK	abvd_42_tosuck_51
-soni	soni	SONI	abvd	THROW	abvd_94_tothrow_87?
-səlus	səlus	SELUS	abvd	SAY	-
-tafasi	tafasi	TAPASI	abvd	SPLIT	abvd_80_tosplit_4
-tai	tai	TAI	abvd	CUT OR HACK	abvd_78_tocuthack_1
-tei	tei	TEI	abvd	CUT OR HACK	abvd_78_tocuthack_1
-ti	ti	TI	abvd	BITE	abvd_41_tobite_1
-tif	tif	TIP	abvd	SPIT	abvd_36_tospit_87
-tili	tili	TILI	abvd	SEW	abvd_67_tosew_13
-tip	tip	TIP	abvd	SPIT	abvd_36_tospit_15
-titil	titil	TITIL	abvd	SEW	abvd_67_tosew_13
-tiβ	ti	TI	abvd	SPIT	abvd_36_tospit_15
-totan	totan	TOTAN	abvd	SIT	abvd_51_tosit_1
-toⁿdan	todan	TODAN	abvd	SIT	abvd_51_tosit_1
-tuntan	tuntan	TUNTAN	abvd	SIT	abvd_51_tosit_1
-uh-fini	uhfini	UHPINI	abvd	BLOW (OF WIND)	abvd_137_toblow_4
-uhi	uhi	UHI	abvd	BLOW (OF WIND)	abvd_137_toblow_4
