Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
ago	ago	AGO	abvd	STEAL	abvd_73_tosteal_1
aku	aku	AKU	abvd	I	abvd_182_i_1
alima	alima	ALIMA	abvd	FIVE	abvd_201_five_1
alima mpuyu	alimampuyu	ALIMAMPUUU	abvd	FIFTY	-
ana	ana	ANA	abvd	CHILD	abvd_56_child_1
ane	ane	ANE	abvd	IF	abvd_193_if_19
apu	apu	APU	abvd	FIRE	abvd_143_fire_1
asu	asu	ASU	abvd	DOG	abvd_96_dog_1
ata	ata	ATA	abvd	THATCH OR ROOF	abvd_62_thatchroof_1
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
awaa	awaa	AWAA	abvd	SHOULDER	abvd_19_shoulder_1
awu	awu	AWU	abvd	DUST	abvd_11_dust_1
banua	banua	BANUA	abvd	HOUSE	abvd_61_house_7
bareʔe	bareʔe	BAREHE	abvd	NO OR NOT	-
bau	bau	BAU	abvd	FISH	abvd_111_fish_21?
baŋka	baka	BAKA	abvd	SWELL	abvd_87_toswell_19
baŋke	bake	BAKE	abvd	BIG	abvd_153_big_24?
betuʔu	betuʔu	BETUHU	abvd	STAR	abvd_130_star_1
boko	boko	BOKO	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_5
bone	bone	BONE	abvd	SAND	abvd_121_sand_2
bowo	bowo	BOWO	abvd	OPEN	abvd_92_toopenuncover_1?
boŋko	boko	BOKO	abvd	ROTTEN	-
bukaka	bukaka	BUKAKA	abvd	SPIDER	-
bure	bure	BURE	abvd	SALT	-
bómbali	bmbali	BMBALI	abvd	HIT	-
da woʔu	dawoʔu	DAWOHU	abvd	NEW	abvd_163_new_1
daa	daa	DAA	abvd	BLOOD	abvd_23_blood_1
doŋe	doe	DOE	abvd	HEAR	abvd_44_tohear_1
ede	ede	EDE	abvd	SHORT	-
eo	eo	EO	abvd	DAY (NOT NIGHT)	abvd_168_day_20
ewo	ewo	EWO	abvd	GRASS	-
eŋo	eo	EO	abvd	NOSE	abvd_27_nose_20
gele	gele	GELE	abvd	LAUGH	-
gili	gili	GILI	abvd	TURN	abvd_8_toturn_70
gundu	gundu	GUNDU	abvd	THUNDER	abvd_134_thunder_30
i se|ma	isema	ISEMA	abvd	WHO	abvd_189_who_16
i-jau	ijau	IYAU	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1?
iku	iku	IKU	abvd	TAIL	abvd_105_tail_1
ili	ili	ILI	abvd	FLOW	abvd_123_toflow_24
im-pia	impia	IMPIA	abvd	WHEN	abvd_170_when_1
ina	ina	INA	abvd	SLEEP	-
inca	inca	INKA	abvd	KNOW (SOMETHING)	-
indo	indo	INDO	abvd	MOTHER	abvd_59_mother_10
ine	ine	INE	abvd	MOTHER	abvd_59_mother_1
inu	inu	INU	abvd	DRINK	abvd_40_todrink_1
ira	ira	IRA	abvd	LEAF	-
isa	isa	ISA	abvd	ONE	abvd_197_one_1
iwa	iwa	IWA	abvd	COUNT	-
jama	jama	YAMA	abvd	WORK (ACTIVITY)	abvd_83_towork_24
jaya	jaya	YAUA	abvd	PATH OR ROAD	abvd_6_roadpath_1
jila	jila	YILA	abvd	TONGUE	abvd_32_tongue_4
juʔa	juʔa	YUHA	abvd	PAINFUL OR SICK	-
kaii	kaii	KAII	abvd	LEFT	abvd_2_left_1
kaju	kaju	KAYU	abvd	STICK	abvd_79_stickwood_1
kale	kale	KALE	abvd	ROOT	-
kambi	kambi	KAMBI	abvd	WIDE	-
kami	kami	KAMI	abvd	WE	abvd_185_we_2
kana	kana	KANA	abvd	RIGHT	abvd_3_right_1
kao	kao	KAO	abvd	SCRATCH	abvd_77_toscratch_1
karamoso	karamoso	KARAMOSO	abvd	HOLD	-
karo	karo	KARO	abvd	STAND	-
kayu	kayu	KAUU	abvd	STICK	abvd_79_stickwood_1
kila	kila	KILA	abvd	LIGHTNING	abvd_135_lightning_1
kita	kita	KITA	abvd	WE	abvd_185_we_1
kodi	kodi	KODI	abvd	SMALL	abvd_152_small_2
kombi	kombi	KOMBI	abvd	FASTEN	-
komi	komi	KOMI	abvd	YOU	abvd_186_you_1
kompo	kompo	KOMPO	abvd	BELLY	abvd_14_belly_2
lawa	lawa	LAWA	abvd	FAR	-
laŋkai	lakai	LAKAI	abvd	HUSBAND	abvd_57_husband_34
le'e	lee	LEE	abvd	NECK	-
limu	limu	LIMU	abvd	CLOUD	-
