Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'cihcin	ht͡ʃiht͡ʃin	HSIHSIN	wikipron	-	-
'kotuwossomikhal	hkətuwəssəmikhal	HKETUWESSEMIKHAL	wikipron	-	-
'qoci	hkʷət͡ʃi	HKESI	wikipron	-	-
'qotalokamkis	hkʷətaləkamkis	HKETALEKAMKIS	wikipron	-	-
'qotalokamqahk	hkʷətaləkamkʷahk	HKETALEKAMKAHK	wikipron	-	-
'qotamqahk	hkʷətamkʷahk	HKETAMKAHK	wikipron	-	-
'qotatq	hkʷətatkʷ	HKETATK	wikipron	-	-
'qotinsk	hkʷətinsk	HKETINSK	wikipron	-	-
'qotuhkayiw	hkʷətukajiw	HKETUKAYIW	wikipron	-	-
'sak	hsak	HSAK	wikipron	-	-
'samaqan	hsamakʷan	HSAMAKAN	wikipron	-	-
'sinsk	hsinsk	HSINSK	wikipron	-	-
'sis	hsis	HSIS	wikipron	-	-
'tahakon	htahakən	HTAHAKEN	wikipron	-	-
'tapakon	htapakən	HTAPAKEN	wikipron	-	-
'temisol	htemisəl	HTEMISEL	wikipron	-	-
'tokitomuwan	htəkitəmuwan	HTEKITEMUWAN	wikipron	-	-
'tomawey	htəmawej	HTEMAWEY	wikipron	-	-
acaqaluhs	at͡ʃakʷaluhs	ASAKALUHS	wikipron	-	-
acehlosu	at͡ʃehləsu	ASEHLESU	wikipron	-	-
acicuwon	at͡ʃit͡ʃuwən	ASISUWEN	wikipron	-	-
ahpap	ahpàp	AHPP	wikipron	-	-
akson	aksən	AKSEN	wikipron	-	-
alincis	alint͡ʃis	ALINSIS	wikipron	-	-
alinocis	alinətʃis	ALINETSIS	wikipron	-	-
aloncis	alənt͡ʃis	ALENSIS	wikipron	-	-
alonocis	alənət͡ʃis	ALENESIS	wikipron	-	-
amonopekek	amənəpekek	AMENEPEKEK	wikipron	-	-
amoqalokehs	aməkʷaləkèhs	AMEKALEKHS	wikipron	-	-
amsqahsewey	amskʷahsewèj	AMSKAHSEWY	wikipron	-	-
amucalu	amut͡ʃalù	AMUSAL	wikipron	-	-
aneqehs	anekʷèhs	ANEKHS	wikipron	-	-
anqotuwawimus	ankʷətuwawimus	ANKETUWAWIMUS	wikipron	-	-
apsapskolan	apsapskəlan	APSAPSKELAN	wikipron	-	-
askat	askàt	ASKT	wikipron	-	-
asukulapet	asukulapet	ASUKULAPET	wikipron	-	-
asups	asùps	ASPS	wikipron	-	-
athusoss	athusə̀ss	ATHUSESS	wikipron	-	-
atkuhkakon	atkuhkakən	ATKUHKAKEN	wikipron	-	-
atolahsimuwakon	atəlahsimuwakən	ATELAHSIMUWAKEN	wikipron	-	-
atpehe	atpehe	ATPEHE	wikipron	-	-
atutuwehc	atutuwèht͡ʃ	ATUTUWHS	wikipron	-	-
atuwamkimin	atuwamkimin	ATUWAMKIMIN	wikipron	-	-
awt	awt	AWT	wikipron	-	-
cacawikatehs	t͡ʃat͡ʃawikatèhs	SASAWIKATHS	wikipron	-	-
cetuwihikon	t͡ʃetuwihikən	SETUWIHIKEN	wikipron	-	-
cihkonaqc	t͡ʃihkənakʷt͡ʃ	SIHKENAKS	wikipron	-	-
cilonikon	t͡ʃilənikən	SILENIKEN	wikipron	-	-
coqolahsiyamq	t͡ʃəkʷəlahsijàmkʷ	SEKELAHSIYMK	wikipron	-	-
coskuwehsis	t͡ʃəskuwehsis	SESKUWEHSIS	wikipron	-	-
cossawakon	t͡ʃəssawakən	SESSAWAKEN	wikipron	-	-
cuspes	t͡ʃuspes	SUSPES	wikipron	-	-
ehqolan	ehkʷəlan	EHKELAN	wikipron	-	-
eleyimok	elejimək	ELEYIMEK	wikipron	-	-
eloqiyamok	eləkʷijamək	ELEKIYAMEK	wikipron	-	-
emqan	emkʷan	EMKAN	wikipron	-	-
emqanok	emkʷanək	EMKANEK	wikipron	-	-
emqansis	emkʷansis	EMKANSIS	wikipron	-	-
epeskocossis	epeskət͡ʃəssìs	EPESKESESSS	wikipron	-	-
epeskomaluwehs	epeskəmaluwèhs	EPESKEMALUWHS	wikipron	-	-
Eqpahak	ekʷpahàk	EKPAHK	wikipron	-	-
esqonatek	eskʷənatek	ESKENATEK	wikipron	-	-
esuwonike	esuwənike	ESUWENIKE	wikipron	-	-
ihtolahkikhotimok	ihtəlahkikhətimək	IHTELAHKIKHETIMEK	wikipron	-	-
ipiminaks	ipiminaks	IPIMINAKS	wikipron	-	-
