Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
....gig	gig	GIG	abvd	SQUEEZE	-
..ta	ta	TA	abvd	MOTHER	-
3eɣ	eɣ	EG	abvd	THROW	-
bazub	bazub	BASUB	abvd	HEAD	-
bob	bob	BOB	abvd	FLY (MOVE THROUGH AIR)	-
buk	buk	BUK	abvd	NIGHT	abvd_167_night_1
byag	byag	BUAG	abvd	CRY	-
bɔ	bɔ	BO	abvd	SHORT	-
bɛak	bɛak	BEAK	abvd	FISH	-
dia	dia	DIA	abvd	LONG	-
do	do	DO	abvd	SIT	abvd_51_tosit_18
dok	dok	DOK	abvd	LOUSE	-
du	du	DU	abvd	SEW	abvd_67_tosew_76
duu	duu	DUU	abvd	STAB	-
də	də	DE	abvd	AND	abvd_192_and_61
dɛduk	dɛduk	DEDUK	abvd	MOON	-
gol	gol	GOL	abvd	CUT OR HACK	-
gɛt	gɛt	GET	abvd	TONGUE	-
hi	hi	HI	abvd	BLOOD	-
hlɔɔ	hlɔɔ	HLOO	abvd	HUNT	-
hom	hom	HOM	abvd	HOLD	-
hyov	hyov	HUOB	abvd	RIGHT	-
hzi	hzi	HSI	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_69
hɛ	hɛ	HE	abvd	THEY	-
il	il	IL	abvd	WE	abvd_185_we_1
kbun	kbun	KBUN	abvd	EARTH (SOIL)	-
kdia	kdia	KDIA	abvd	SHOULDER	-
kdɛn	kdɛn	KDEN	abvd	SPLIT	-
ked	ked	KED	abvd	LEFT	abvd_2_left_15
kku	kku	KKU	abvd	CUT OR HACK	-
kloho	kloho	KLOHO	abvd	BREATHE	-
klɛn	klɛn	KLEN	abvd	ASH	-
ksii	ksii	KSII	abvd	ABOVE	-
ksuu	ksuu	KSUU	abvd	BUY	-
ktov	ktov	KTOB	abvd	ASH	-
ku	ku	KU	abvd	FASTEN	-
kwa	kwa	KWA	abvd	NECK	-
kʷel	kel	KEL	abvd	SCRATCH	abvd_77_toscratch_12
kʷɛm	kɛm	KEM	abvd	WHITE	-
lag	lag	LAG	abvd	SKY	abvd_128_sky_1
lam	lam	LAM	abvd	COME	abvd_7_tocome_1
le	le	LE	abvd	STAND	-
lea	lea	LEA	abvd	WIND	-
lehi	lehi	LEHI	abvd	HAIR	-
leya	leya	LEUA	abvd	HUSBAND	-
lig	lig	LIG	abvd	GROW	-
lihi	lihi	LIHI	abvd	LEAF	-
loɣowa	loɣowa	LOGOWA	abvd	LIVER	-
lu	lu	LU	abvd	SMOKE (EXHAUST)	abvd_145_smoke_1
luda	luda	LUDA	abvd	SAND	abvd_121_sand_93
lul	lul	LUL	abvd	BREAST	abvd_18_breast_1
lun	lun	LUN	abvd	RAIN (PRECIPITATION)	-
lɛ	lɛ	LE	abvd	WHO	abvd_189_who_1
lɛn	lɛn	LEN	abvd	BONE	-
lɛvak	lɛvak	LEBAK	abvd	BIG	abvd_153_big_10
lɛʔ	lɛʔ	LEH	abvd	CLIMB	abvd_172_toclimb_2
ma	ma	MA	abvd	EYE	abvd_45_eye_1
mamvha	mamvha	MAMBHA	abvd	BE ALIVE	-
mia	mia	MIA	abvd	WATER	-
mila	mila	MILA	abvd	SALT	abvd_125_salt_9
mop	mop	MOP	abvd	PATH OR ROAD	-
msem	msem	MSEM	abvd	GOOD	-
mun	mun	MUN	abvd	RAT	-
mupaken	mupaken	MUPAKEN	abvd	DRY	-
mutak	mutak	MUTAK	abvd	VOMIT	abvd_35_tovomit_1
mya	mya	MUA	abvd	MOUTH	-
m¥el	mel	MEL	abvd	COOK (SOMETHING)	abvd_39_tocook_77
mɛnak	mɛnak	MENAK	abvd	BIRD	abvd_97_bird_1
na	na	NA	abvd	WHERE	-
nap	nap	NAP	abvd	LAUGH	-
