Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'áruʔ	ruʔ	RUH	abvd	EIGHT	abvd_204_eight_3
-amən	amən	AMEN	abvd	WE	abvd_185_we_2
-itən	itən	ITEN	abvd	WE	abvd_185_we_1
-mun	mun	MUN	abvd	YOU	abvd_186_you_1?
a-i-tsu	aitsu	AITSU	abvd	THIS	abvd_177_this_14
a-nema	anema	ANEMA	abvd	WHAT	abvd_188_what_16
a-zua	azua	ASUA	abvd	THAT	abvd_178_that_13
a. bisabis b. djapes	abisabisbdjapes	ABISABISBDYAPES	abvd	BLOW (OF WIND)	abvd_137_toblow_31
aken	aken	AKEN	abvd	I	abvd_182_i_1
alis	alis	ALIS	abvd	TOOTH	abvd_31_tooth_2
aLu	alu	ALU	abvd	EIGHT	abvd_204_eight_3
alu	alu	ALU	abvd	EIGHT	abvd_204_eight_3
amen	amen	AMEN	abvd	WE	abvd_185_we_2
anema	anema	ANEMA	abvd	WHAT	abvd_188_what_16
anəma	anəma	ANEMA	abvd	WHAT	abvd_188_what_16
aru	aru	ARU	abvd	EIGHT	abvd_204_eight_3
asau	asau	ASAU	abvd	LEAF	abvd_114_leaf_10
asaw	asaw	ASAW	abvd	LEAF	abvd_114_leaf_10
aya	aya	AUA	abvd	SAY	-
aycu	aycu	AUKU	abvd	THIS	abvd_177_this_14
azua	azua	ASUA	abvd	THAT	abvd_178_that_13
azuwa	azuwa	ASUWA	abvd	THAT	abvd_178_that_13
aŋaɬ	aaɬ	AAL	abvd	MOUTH	abvd_30_mouth_69
aɬak	aɬak	ALAK	abvd	CHILD	abvd_56_child_1
aɬis	aɬis	ALIS	abvd	TOOTH	abvd_31_tooth_2
beniniq	beniniq	BENINIK	abvd	SQUEEZE	-
buLabuLay	bulabulay	BULABULAU	abvd	GOOD	abvd_164_good_91
cacaRag	cacarag	KAKARAG	abvd	MOSQUITO	abvd_109_mosquito_70
cacarag	cacarag	KAKARAG	abvd	MOSQUITO	abvd_109_mosquito_70
cada	cada	KADA	abvd	FAR	abvd_180_far_41
caLag	calag	KALAG	abvd	BACK	abvd_13_back_70
caLiŋa	calia	KALIA	abvd	EAR	abvd_43_ear_1
caviɬ	caviɬ	KABIL	abvd	YEAR	abvd_169_year_22
ciqaw	ciqaw	KIKAW	abvd	FISH	abvd_111_fish_30
ciʔaw	ciʔaw	KIHAW	abvd	FISH	abvd_111_fish_30
cuqəLaɬ	cuqəlaɬ	KUKELAL	abvd	BONE	abvd_15_bone_1
cuʔəLal	cuʔəlal	KUHELAL	abvd	BONE	abvd_15_bone_1
cəLaLaq	cəlalaq	KELALAK	abvd	THUNDER	abvd_134_thunder_70
cəmakaw	cəmakaw	KEMAKAW	abvd	STEAL	abvd_73_tosteal_1
cəmaqis	cəmaqis	KEMAKIS	abvd	SEW	abvd_67_tosew_1
cəmaʔis	cəmaʔis	KEMAHIS	abvd	SEW	abvd_67_tosew_1
cəmulu	cəmulu	KEMULU	abvd	WARM	abvd_138_warm_83
cəmuɬu	cəmuɬu	KEMULU	abvd	WARM	abvd_138_warm_83
cəməL	cəməl	KEMEL	abvd	GRASS	abvd_118_grass_3
cəpəLivu	cəpəlivu	KEPELIBU	abvd	TURN	-
cəraraʔ	cəraraʔ	KERARAH	abvd	THUNDER	abvd_134_thunder_70
cəvuɬ	cəvuɬ	KEBUL	abvd	SMOKE (EXHAUST)	abvd_145_smoke_65
daLan	dalan	DALAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
damuq	damuq	DAMUK	abvd	BLOOD	abvd_23_blood_20
damuʔ	damuʔ	DAMUH	abvd	BLOOD	abvd_23_blood_20
dapaɬ	dapaɬ	DAPAL	abvd	FOOT OR LEG	abvd_4_legfoot_55
daRum	darum	DARUM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
daum	daum	DAUM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
dimiLay	dimilay	DIMILAU	abvd	SPIT	abvd_36_tospit_78
dj-m-apes	djmapes	DYMAPES	abvd	BLOW (OF WIND)	abvd_137_toblow_31
dj-m-eli	djmeli	DYMELI	abvd	LAUGH	abvd_33_tolaugh_77
dj-m-ilay	djmilay	DYMILAU	abvd	SPIT	abvd_36_tospit_78
djalan	djalan	DYALAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
djamuq	djamuq	DYAMUK	abvd	BLOOD	abvd_23_blood_20
djanaw	djanaw	DYANAW	abvd	LAKE	abvd_126_lake_1
djapeŋ	djape	DYAPE	abvd	POUND	-
djaum	djaum	DYAUM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
djavats	djavats	DYABATS	abvd	WALK	abvd_5_towalk_23?
djerl	djerl	DYERL	abvd	LAUGH	abvd_33_tolaugh_77
djeŋats	djeats	DYEATS	abvd	WORM	-
djeɬesem	djeɬesem	DYELESEM	abvd	GREEN	-
djilai	djilai	DYILAI	abvd	SPIT	abvd_36_tospit_78
djui	djui	DYUI	abvd	STAB	-
duŋduŋ	dudu	DUDU	abvd	NEAR	abvd_179_near_100
dədət	dədət	DEDET	abvd	NEAR	abvd_179_near_83?
dəmapəs	dəmapəs	DEMAPES	abvd	BLOW (OF WIND)	abvd_137_toblow_31
dəmavac	dəmavac	DEMABAK	abvd	WALK	abvd_5_towalk_23
dəmiLay	dəmilay	DEMILAU	abvd	SPIT	abvd_36_tospit_78
dəmukuL	dəmukul	DEMUKUL	abvd	HIT	abvd_72_tohit_80
g-m-utsgusts	gmutsgusts	GMUTSGUSTS	abvd	SCRATCH	abvd_77_toscratch_62
gumats	gumats	GUMATS	abvd	SCRATCH	-
gəmucguc	gəmucguc	GEMUKGUK	abvd	SCRATCH	abvd_77_toscratch_62
i	i	I	abvd	AT	abvd_173_at_1
i taladj	italadj	ITALADY	abvd	IN	abvd_174_ininside_40
i teku	iteku	ITEKU	abvd	BELOW OR UNDER	abvd_176_below_68
i vavaw	ivavaw	IBABAW	abvd	ABOVE	abvd_175_above_2
iku	iku	IKU	abvd	TAIL	abvd_105_tail_1
ima	ima	IMA	abvd	WHO	abvd_189_who_2
ini	ini	INI	abvd	NO OR NOT	abvd_195_nonot_3
inu	inu	INU	abvd	WHERE	abvd_181_where_1
inuwan	inuwan	INUWAN	abvd	WHERE	abvd_181_where_1
ita	ita	ITA	abvd	ONE	abvd_197_one_1
itaLat	italat	ITALAT	abvd	IN	abvd_174_ininside_40
itjen	itjen	ITYEN	abvd	WE	abvd_185_we_1
itədəp	itədəp	ITEDEP	abvd	IN	-
itəku	itəku	ITEKU	abvd	BELOW OR UNDER	abvd_176_below_68
ivavaw	ivavaw	IBABAW	abvd	SKY	abvd_128_sky_68
iɬaiɬaŋ	iɬaiɬa	ILAILA	abvd	DIRTY	-
k-ar-a-kuda	karakuda	KARAKUDA	abvd	WORK (ACTIVITY)	abvd_83_towork_27
k-m-an	kman	KMAN	abvd	EAT	abvd_37_toeat_1
k-m-ats	kmats	KMATS	abvd	BITE	abvd_41_tobite_1
k-m-eramet	kmeramet	KMERAMET	abvd	SQUEEZE	-
k-m-esa	kmesa	KMESA	abvd	COOK (SOMETHING)	abvd_39_tocook_73
k-m-eɬaŋ	kmeɬa	KMELA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_73
ka-navaɬ	kanavaɬ	KANABAL	abvd	RIGHT	abvd_3_right_1
ka-viri	kaviri	KABIRI	abvd	LEFT	abvd_2_left_1
kaciya	kaciya	KAKIUA	abvd	ROPE	-
kadunaŋan	kadunaan	KADUNAAN	abvd	EARTH (SOIL)	abvd_119_earthsoil_31
kakəɖiyan	kakəɖiyan	KAKEDIUAN	abvd	CHILD	abvd_56_child_56
kalevlevan	kalevlevan	KALEBLEBAN	abvd	SKY	abvd_128_sky_2
kali	kali	KALI	abvd	DIG	abvd_90_todig_1
kaLəvəLəvan	kaləvələvan	KALEBELEBAN	abvd	SKY	abvd_128_sky_2
kama	kama	KAMA	abvd	FATHER	abvd_60_father_1
kan	kan	KAN	abvd	EAT	abvd_37_toeat_1
kana	kana	KANA	abvd	ALL	-
kanavaɬ	kanavaɬ	KANABAL	abvd	RIGHT	abvd_3_right_1
kapaz	kapaz	KAPAS	abvd	ROOT	abvd_115_root_24
kapkap	kapkap	KAPKAP	abvd	WING	abvd_100_wing_33?
kaRakuda	karakuda	KARAKUDA	abvd	WORK (ACTIVITY)	abvd_83_towork_27
karakuda	karakuda	KARAKUDA	abvd	WORK (ACTIVITY)	abvd_83_towork_27
kasiv	kasiv	KASIB	abvd	STICK	abvd_79_stickwood_1
kasiw	kasiw	KASIW	abvd	STICK	abvd_79_stickwood_1
kati	kati	KATI	abvd	AND	abvd_192_and_51
kats	kats	KATS	abvd	BITE	abvd_41_tobite_1
kaviRi	kaviri	KABIRI	abvd	LEFT	abvd_2_left_1
kaviri	kaviri	KABIRI	abvd	LEFT	abvd_2_left_1
kerebau	kerebau	KEREBAU	abvd	FOG	abvd_132_fog_81
kerebaw	kerebaw	KEREBAW	abvd	FOG	abvd_132_fog_81
kezeŋ	keze	KESE	abvd	HOLD	-
keɬaŋ	keɬa	KELA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_73
keɬetets	keɬetets	KELETETS	abvd	NARROW	-
keḍemel	keemel	KEEMEL	abvd	THICK	abvd_157_thick_21
keḍi	kei	KEI	abvd	SMALL	abvd_152_small_2
ki-a-ɬavar-an	kiaɬavaran	KIALABARAN	abvd	SAY	abvd_64_tosay_123
ki-nemnem	kinemnem	KINEMNEM	abvd	THINK	abvd_21_tothink_28
ki-palits	kipalits	KIPALITS	abvd	TURN	abvd_8_toturn_104
ki-qiɬa	kiqiɬa	KIKILA	abvd	HIDE	-
ki-tsaiŋ	kitsai	KITSAI	abvd	HOLD	-
ki-ɬa-ɬiŋa	kiɬaɬia	KILALIA	abvd	HIDE	-
kiLaŋda	kilada	KILADA	abvd	HEAR	abvd_44_tohear_49
kina	kina	KINA	abvd	MOTHER	abvd_59_mother_1
kinemnem	kinemnem	KINEMNEM	abvd	THINK	abvd_21_tothink_28
kinuda	kinuda	KINUDA	abvd	HOW	abvd_194_how_1
kinəmənəm	kinəmənəm	KINEMENEM	abvd	THINK	abvd_21_tothink_28
kisəqu	kisəqu	KISEKU	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_59
kucu	kucu	KUKU	abvd	LOUSE	abvd_108_louse_1
kula	kula	KULA	abvd	FOOT OR LEG	abvd_4_legfoot_77
kulavau	kulavau	KULABAU	abvd	RAT	abvd_102_rat_1
kulavaw	kulavaw	KULABAW	abvd	RAT	abvd_102_rat_1
kuma-kuma	kumakuma	KUMAKUMA	abvd	SPIDER	abvd_110_spider_53
kumakuma	kumakuma	KUMAKUMA	abvd	SPIDER	abvd_110_spider_53
kutsu	kutsu	KUTSU	abvd	LOUSE	abvd_108_louse_1
kuzuɬ	kuzuɬ	KUSUL	abvd	THOUSAND	abvd_210_onethousand_7
kuɖakuɖaL	kuɖakuɖal	KUDAKUDAL	abvd	BIG	abvd_153_big_69
kuɖaL	kuɖal	KUDAL	abvd	BIG	abvd_153_big_69
kuɖəmədəməL	kuɖəmədəməl	KUDEMEDEMEL	abvd	THICK	abvd_157_thick_21
kuɖəməL	kuɖəməl	KUDEMEL	abvd	THICK	abvd_157_thick_21
kuɬai	kuɬai	KULAI	abvd	THIN	-
kuɬaL	kuɬal	KULAL	abvd	NARROW	-
kyaɬavaran	kyaɬavaran	KUALABARAN	abvd	SAY	abvd_64_tosay_123
kəmac	kəmac	KEMAK	abvd	BITE	abvd_41_tobite_1
kəmaLaɖay	kəmalaɖay	KEMALADAU	abvd	HOLD	abvd_89_tohold_81
kəmaLi	kəmali	KEMALI	abvd	DIG	abvd_90_todig_1
kəmali	kəmali	KEMALI	abvd	DIG	abvd_90_todig_1
kəman	kəman	KEMAN	abvd	EAT	abvd_37_toeat_1
kəmsa	kəmsa	KEMSA	abvd	COOK (SOMETHING)	abvd_39_tocook_73
kəmuda	kəmuda	KEMUDA	abvd	HOW	abvd_194_how_1
kəməlaŋ	kəməla	KEMELA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_73
kəməɬaŋ	kəməɬa	KEMELA	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_73
kəɖi	kəɖi	KEDI	abvd	SMALL	abvd_152_small_2
kəɖikəɖi	kəɖikəɖi	KEDIKEDI	abvd	CHILD	abvd_56_child_56
kəɖəməL	kəɖəməl	KEDEMEL	abvd	THICK	abvd_157_thick_21
l-m-aŋeda	lmaeda	LMAEDA	abvd	HEAR	abvd_44_tohear_49
la-ŋeda	laeda	LAEDA	abvd	HEAR	abvd_44_tohear_49
Ladap	ladap	LADAP	abvd	LIGHTNING	abvd_135_lightning_3
ladjap	ladjap	LADYAP	abvd	LIGHTNING	abvd_135_lightning_3
Laduq	laduq	LADUK	abvd	LONG	abvd_155_long_1
lagau	lagau	LAGAU	abvd	TURN	-
laits	laits	LAITS	abvd	GRASS	-
laləʔəL	laləʔəl	LALEHEL	abvd	COLD	abvd_139_cold_86
Latuk	latuk	LATUK	abvd	LAKE	abvd_126_lake_32
lavək	lavək	LABEK	abvd	SEA	abvd_124_sea_51
Laɖuq	laɖuq	LADUK	abvd	LONG	abvd_155_long_1
Laɖuʔ	laɖuʔ	LADUH	abvd	LONG	abvd_155_long_1
laḍuq	lauq	LAUK	abvd	LONG	abvd_155_long_1
liluwaluwas	liluwaluwas	LILUWALUWAS	abvd	GREEN	abvd_151_green_58
lim-a-puluq	limapuluq	LIMAPULUK	abvd	FIFTY	abvd_208_fifty_1
lima	lima	LIMA	abvd	HAND	abvd_1_hand_1
Lima	lima	LIMA	abvd	FIVE	abvd_201_five_1
liqe	liqe	LIKE	abvd	NECK	abvd_25_neck_1
Liqu	liqu	LIKU	abvd	NECK	abvd_25_neck_1
liqu	liqu	LIKU	abvd	NECK	abvd_25_neck_1
liɬuas	liɬuas	LILUAS	abvd	GREEN	abvd_151_green_58
Liʔu	liʔu	LIHU	abvd	NECK	abvd_25_neck_1
lusəpisəpit	lusəpisəpit	LUSEPISEPIT	abvd	THIN	abvd_156_thin_1
luɬu	luɬu	LULU	abvd	FLOW	-
ləmaŋuy	ləmauy	LEMAUU	abvd	SWIM	abvd_9_toswim_1
ləvavaw	ləvavaw	LEBABAW	abvd	CLIMB	abvd_172_toclimb_43
m-atsai	matsai	MATSAI	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
m-utjaq	mutjaq	MUTYAK	abvd	VOMIT	abvd_35_tovomit_1
ma-qitaŋ	maqita	MAKITA	abvd	DIRTY	-
ma-rekutj	marekutj	MAREKUTY	abvd	FEAR (BE AFRAID)	abvd_22_tofear_59
ma-seɬets	maseɬets	MASELETS	abvd	WARM	-
ma-siaq	masiaq	MASIAK	abvd	SHY OR ASHAMED	abvd_161_shyashamed_1
ma-tjani	matjani	MATYANI	abvd	FALL	abvd_95_tofall_4
ma-tjeveŋ	matjeve	MATYEBE	abvd	WET	abvd_141_wet_77
ma-tsepis	matsepis	MATSEPIS	abvd	FALL	-
ma-vúk	mavk	MABK	abvd	ROTTEN	abvd_112_rotten_1
ma-ŋetjez	maetjez	MAETYES	abvd	COME	abvd_7_tocome_36
maca	maca	MAKA	abvd	EYE	abvd_45_eye_1
macay	macay	MAKAU	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
macəmu	macəmu	MAKEMU	abvd	ROTTEN	abvd_112_rotten_82
maisu	maisu	MAISU	abvd	POUND	abvd_93_topoundbeat_35
makəLu	makəlu	MAKELU	abvd	FALL	-
malama	malama	MALAMA	abvd	BURN	abvd_144_toburn_79
