Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
'iwáʔ	iwʔ	IWH	abvd	NINE	abvd_205_nine_5
*adaləp	adaləp	ADALEP	abvd	NEAR	abvd_179_near_78
*adawil	adawil	ADAWIL	abvd	FAR	abvd_180_far_2
*alamu	alamu	ALAMU	abvd	COME	abvd_7_tocome_37
*alupəʔ	alupəʔ	ALUPEH	abvd	SLEEP	abvd_48_tosleep_76
*ama	ama	AMA	abvd	FATHER	abvd_60_father_1
*ami	ami	AMI	abvd	YEAR	abvd_169_year_23
*apuy	apuy	APUU	abvd	FIRE	abvd_143_fire_1
*aɭuɖun	aɭuɖun	ALUDUN	abvd	HEAVY	abvd_142_heavy_3
*b-ən-aliʔəʈu	bənaliʔəʈu	BENALIHETU	abvd	FASTEN	-
*b-ən-ətəbət	bənətəbət	BENETEBET	abvd	FASTEN	abvd_66_totieupfasten_70
*babayan	babayan	BABAUAN	abvd	MALE PERSON	abvd_54_manmale_1?
*barasaʔ	barasaʔ	BARASAH	abvd	STONE	abvd_120_stone_33
*baɭi	baɭi	BALI	abvd	WIND	abvd_136_wind_2
*baʔaw	baʔaw	BAHAW	abvd	BE ALIVE	abvd_76_tolivebealive_51
*biraʔ	biraʔ	BIRAH	abvd	LEAF	abvd_114_leaf_2
*biʔas	biʔas	BIHAS	abvd	WARM	abvd_138_warm_79
*buɭan	buɭan	BULAN	abvd	MOON	abvd_129_moon_1
*buʈinun	buʈinun	BUTINUN	abvd	EGG	abvd_98_egg_47
*buʈək	buʈək	BUTEK	abvd	SAND	abvd_121_sand_58
*bəkaɭ	bəkaɭ	BEKAL	abvd	NEW	abvd_163_new_39
*d-əm-əru	dəməru	DEMERU	abvd	COOK (SOMETHING)	abvd_39_tocook_74
*damuk	damuk	DAMUK	abvd	BLOOD	abvd_23_blood_20
*danaw	danaw	DANAW	abvd	LAKE	abvd_126_lake_1
*dapal	dapal	DAPAL	abvd	FOOT OR LEG	abvd_4_legfoot_55
*darəʔ	darəʔ	DAREH	abvd	EARTH (SOIL)	abvd_119_earthsoil_30
*daɭan	daɭan	DALAN	abvd	PATH OR ROAD	abvd_6_roadpath_1
*daʔum	daʔum	DAHUM	abvd	NEEDLE (FOR SEWING)	abvd_68_needle_1
*gumul	gumul	GUMUL	abvd	FEATHER	abvd_99_feather_22
*hənarəʔ	hənarəʔ	HENAREH	abvd	SWELL	abvd_87_toswell_1
*ikur	ikur	IKUR	abvd	TAIL	abvd_105_tail_1
*ina	ina	INA	abvd	MOTHER	abvd_59_mother_1
*ini	ini	INI	abvd	THIS	abvd_177_this_1
*isaʈ	isaʈ	ISAT	abvd	ABOVE	abvd_175_above_42
*iwa	iwa	IWA	abvd	NINE	abvd_205_nine_5
*iɖiw	iɖiw	IDIW	abvd	THAT	abvd_178_that_47
*iɖu	iɖu	IDU	abvd	THAT	abvd_178_that_13
*iʈas	iʈas	ITAS	abvd	ABOVE	abvd_175_above_42
*k-əm-araʈ	kəmaraʈ	KEMARAT	abvd	BITE	abvd_41_tobite_1
*k-əm-uruʈ	kəmuruʈ	KEMURUT	abvd	DIG	abvd_90_todig_41
*kadaw	kadaw	KADAW	abvd	DAY (NOT NIGHT)	abvd_168_day_1
*karaub	karaub	KARAUB	abvd	NIGHT	abvd_167_night_21?
*kawaŋ	kawa	KAWA	abvd	WALK	abvd_5_towalk_91
*kawi	kawi	KAWI	abvd	STICK	abvd_79_stickwood_1
*kaɖu	kaɖu	KADU	abvd	BE ALIVE	-
*kikarun	kikarun	KIKARUN	abvd	WORK (ACTIVITY)	abvd_83_towork_62
*kualəŋ	kualə	KUALE	abvd	PAINFUL OR SICK	abvd_160_painfulsick_76
*kulabaw	kulabaw	KULABAW	abvd	RAT	abvd_102_rat_1
*kuraw	kuraw	KURAW	abvd	FISH	abvd_111_fish_74
*kuʈu	kuʈu	KUTU	abvd	LOUSE	abvd_108_louse_1
*kuʈəm	kuʈəm	KUTEM	abvd	CLOUD	abvd_131_cloud_78
*kəmuda	kəmuda	KEMUDA	abvd	HOW	abvd_194_how_1
*kətibi	kətibi	KETIBI	abvd	THICK	abvd_157_thick_13
*kəŋkəŋ	kəkə	KEKE	abvd	MOSQUITO	abvd_109_mosquito_96
*likti	likti	LIKTI	abvd	SHORT	abvd_154_short_11
*m-in-aʈay	minaʈay	MINATAU	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
*magatəɭ	magatəɭ	MAGATEL	abvd	SCRATCH	abvd_77_toscratch_61
*maka-luaʈ	makaluaʈ	MAKALUAT	abvd	FIFTY	-
*makabuʈaan	makabuʈaan	MAKABUTAAN	abvd	TWENTY	abvd_207_twenty_17
*makitəŋ	makitə	MAKITE	abvd	SMALL	abvd_152_small_85
*marum	marum	MARUM	abvd	DRY	abvd_140_dry_30
*marŋay	maray	MARAU	abvd	SAY	abvd_64_tosay_99
*matiaʔ	matiaʔ	MATIAH	abvd	DREAM (SOMETHING)	abvd_50_todream_44
*matinapan	matinapan	MATINAPAN	abvd	POUND	abvd_93_topoundbeat_36
*matupaʔ	matupaʔ	MATUPAH	abvd	ROTTEN	abvd_112_rotten_54
*maɭuɭuʔ	maɭuɭuʔ	MALULUH	abvd	YELLOW	abvd_150_yellow_18
*maʈa	maʈa	MATA	abvd	EYE	abvd_45_eye_1
*maʈək	maʈək	MATEK	abvd	CUT OR HACK	abvd_78_tocuthack_3?
*maʔinayan	maʔinayan	MAHINAUAN	abvd	FEMALE PERSON	-
*maʔiɖaŋ	maʔiɖa	MAHIDA	abvd	BIG	abvd_153_big_2
*miyup	miyup	MIUUP	abvd	BLOW (OF WIND)	abvd_137_toblow_1
*mubiʔi	mubiʔi	MUBIHI	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_30
*muisaʈ	muisaʈ	MUISAT	abvd	CLIMB	abvd_172_toclimb_13
*muiʈas	muiʈas	MUITAS	abvd	CLIMB	abvd_172_toclimb_13
*məkan	məkan	MEKAN	abvd	EAT	abvd_37_toeat_1
*mənaʔu	mənaʔu	MENAHU	abvd	SEE	abvd_46_tosee_76
*məŋaɖ	məaɖ	MEAD	abvd	BREATHE	abvd_28_tobreathe_61
*nana	nana	NANA	abvd	PAINFUL OR SICK	abvd_160_painfulsick_75
*naɖuma	naɖuma	NADUMA	abvd	OTHER	abvd_190_other_1
*niʔən	niʔən	NIHEN	abvd	NECK	abvd_25_neck_94
*p-in-aʈay	pinaʈay	PINATAU	abvd	KILL	abvd_74_tokill_2
