Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-chu	tʃu	TSU	wold	NOT	-
-kpi	kpi	KPI	wold	IF	-
-lla	ʒa	SA	wold	ONLY	-
-llatak	ʒatak	SATAK	wold	SAME	-
-manta	manda	MANDA	wold	BECAUSE	-
-pash	paʃ	PAS	wold	AND	-
-pi	pi	PI	wold	AT	-
-ta	ta	TA	wold	THROUGH	-
-yana	jana	YANA	wold	BECOME	-
abija	abixa	ABIKA	wold	BEE	-
abina	abina	ABINA	wold	OAT	-
abyun	abjuŋ	ABYUN	wold	AIRPLANE	-
achiklla	atʃikʒa	ATSIKSA	wold	CLEAN	-
achka	atʃka	ATSKA	wold	MANY	-
achka_jinti	atʃkaxindi	ATSKAKINDI	wold	CROWD	-
adibinana	adibinana	ADIBINANA	wold	GUESS	-
adubi	adubi	ADUBI	wold	ADOBE	-
afilana_rumi	aɸilanaɾumi	APILANARUMI	wold	WHETSTONE	-
ajustana	axustana	AKUSTANA	wold	PRESS	-
akcha	aktʃa	AKTSA	wold	HAIR (HEAD)	-
akllana	akʒana	AKSANA	wold	CHOOSE	-
akuna	akuna	AKUNA	wold	CHEW	-
alakrán	alakɾá/aŋ	ALAKRAN	wold	SCORPION	-
alas	alas	ALAS	wold	WING	-
albañil	albaɲil	ALBANIL	wold	MASON	-
algudun	alguduŋ	ALGUDUN	wold	COTTON	-
ali	ali	ALI	wold	GOOD	-
ali_ladu	aliladu	ALILADU	wold	RIGHT	-
ali_shungu	aliʃuŋgu	ALISUNGU	wold	FAITHFUL	-
ali_washa	aliwaʃa	ALIWASA	wold	GOOD LUCK	-
ali_willay	aliwiʒaj	ALIWISAY	wold	TRUE	-
alimanda	alimanda	ALIMANDA	wold	SLOW	-
aliyana	alijana	ALIYANA	wold	CURE	-
alkilana	alkilana	ALKILANA	wold	HIRE	-
allana	aʒana	ASANA	wold	DIG	-
allana_kaspi	aʒanakaspi	ASANAKASPI	wold	DIGGING STICK	-
allchi	aʒtʃi	ASTSI	wold	GRANDCHILD	-
alli_kawsay	aʒikawsaj	ASIKAWSAY	wold	HEALTHY	-
allichina	aʒitʃina	ASITSINA	wold	KEEP	-
allku	aʒku	ASKU	wold	DOG	-
allpa	aʒpa	ASPA	wold	LAND	-
allpa_chukchuy	aʒpatʃuktʃuj	ASPATSUKTSUY	wold	EARTHQUAKE	-
allpa_jaku	aʒpaxaku	ASPAKAKU	wold	DUST	-
alma	alma	ALMA	wold	SOUL	-
almanaki	almanaki	ALMANAKI	wold	CALENDAR	-
almuza	almuza	ALMUSA	wold	LUNCH	-
altar	altaɾ	ALTAR	wold	ALTAR	-
amfana	amɸana	AMPANA	wold	YAWN	-
amsa	amsa	AMSA	wold	DARKNESS	-
amu	amu	AMU	wold	MASTER	-
amuklla	amukʒa	AMUKSA	wold	SOFT	-
anaku	anaku	ANAKU	wold	DRESS	-
anchu	andʒu	ANDSU	wold	WIDE	-
anga	aŋga	ANGA	wold	EAGLE	-
angu	aŋgu	ANGU	wold	VINE	-
animal	animal	ANIMAL	wold	ANIMAL	-
anku	aŋgu	ANGU	wold	BLOOD VESSEL	-
antyujus	andjuxus	ANDYUKUS	wold	SPECTACLES	-
apamuna	apamuna	APAMUNA	wold	BRING	-
apana	apana	APANA	wold	CARRY	-
apuk	apuk	APUK	wold	CHIEFTAIN	-
apunchik	apundʒik	APUNDSIK	wold	DEITY	-
ardilla	aɾdiʒa	ARDISA	wold	SQUIRREL	-
ari	aɾi	ARI	wold	YES	-
ari_nina	aɾinina	ARININA	wold	ADMIT	-
arku	aɾku	ARKU	wold	ARCH	-
armadillu	aɾmadiʒu	ARMADISU	wold	3-99906	-
armadura	aɾmaduɾa	ARMADURA	wold	ARMOUR	-
armarina	aɾmaɾina	ARMARINA	wold	BATHE	-
arrusa	aʐusa	AUSA	wold	RICE	-
aru	aɾu	ARU	wold	PEG	-
asha	aʃa	ASA	wold	FEW	-
ashalla	aʃaʒa	ASASA	wold	SHALLOW	-
ashnajuk	aʃnaxuk	ASNAKUK	wold	STINKING	-
ashtawan	aʃtawaŋ	ASTAWAN	wold	MORE	-
asina	asina	ASINA	wold	LAUGH	-
asirina	asiɾina	ASIRINA	wold	SMILE	-
asituna	asituna	ASITUNA	wold	OLIVE	-
asiyti	asijti	ASIYTI	wold	OIL (ORGANIC SUBSTANCE)	-
aspina	aspina	ASPINA	wold	SCRAPE	-
asua	asua	ASUA	wold	ALCOHOL (FERMENTED DRINK)	-
asul	asul	ASUL	wold	BLUE	-
aswila	aswila	ASWILA	wold	ADZE	-
ataju	ataxu	ATAKU	wold	3-99917	-
atallpa	ataʒpa	ATASPA	wold	FOWL	-
atribina	atɾibina	ATRIBINA	wold	DARE	-
atsiana	atsiana	ATSIANA	wold	SNEEZE	-
atuk	atuk	ATUK	wold	WOLF	-
atuk_sara	atuksaɾa	ATUKSARA	wold	8-99956	-
auka	auka	AUKA	wold	SOLDIER	-
aukakuna	aukakuna	AUKAKUNA	wold	ARMY	-
awana	awana	AWANA	wold	CHOKE	-
awarina	awaɾina	AWARINA	wold	DROWN	-
awila	awila	AWILA	wold	GRANDMOTHER	-
awilu	awilu	AWILU	wold	GRANDFATHER	-
awllana	awʒana	AWSANA	wold	HOWL	-
awtu	awtu	AWTU	wold	CAR	-
awuja	awuxa	AWUKA	wold	NEEDLE (FOR SEWING)	-
aya	aja	AYA	wold	DEMON	-
aycha	ajtʃa	AYTSA	wold	BODY	-
ayllu	ajʒu	AYSU	wold	RELATIVES	-
aysana	ajsana	AYSANA	wold	PULL	-
ayunana	ajunana	AYUNANA	wold	ABSTAIN FROM FOOD	-
azadun	azaduŋ	ASADUN	wold	SPADE	-
añanku	aɲaŋgu	ANANGU	wold	ANT	-
añara	aɲaɾa	ANARA	wold	SPIDER	-
añas	aɲas	ANAS	wold	FOX	-
baka	baka	BAKA	wold	COW	-
banku	baŋgu	BANGU	wold	BANK	-
baratu	baɾatu	BARATU	wold	CHEAP	-
barbas	baɾbas	BARBAS	wold	BEARD	-
batiya	batija	BATIYA	wold	TROUGH	-
bichai	bitʃai	BITSAI	wold	SOUTH	-
bichashka	bitʃaʃka	BITSASKA	wold	PRISONER	-
bichi	bitʃi	BITSI	wold	PAN	-
bichkana	bitʃkana	BITSKANA	wold	SHUT	-
biga	biga	BIGA	wold	RAFTER	-
bijsayuk	bixsajuk	BIKSAYUK	wold	PREGNANT	-
biki	biki	BIKI	wold	TEAR (OF EYE)	-
bila	bila	BILA	wold	CANDLE	-
billa	biʒa	BISA	wold	TOWN	-
billana	biʒana	BISANA	wold	ANNOUNCE	-
bindisina	bindisina	BINDISINA	wold	BLESS	-
bininu	bininu	BININU	wold	POISON	-
bintana	bindana	BINDANA	wold	WINDOW	-
binu	binu	BINU	wold	WINE	-
birdi	biɾdi	BIRDI	wold	GREEN	-
birnes	biɾnes	BIRNES	wold	FRIDAY	-
bisiklita	bisiklita	BISIKLITA	wold	BICYCLE	-
bistya	bistja	BISTYA	wold	MARE	-
bisya	bisja	BISYA	wold	8-99953	-
bitsijana	bitsixana	BITSIKANA	wold	RISE (MOVE UPWARDS)	-
bizinu	bizinu	BISINU	wold	NEIGHBOUR	-
brasa	bɾasa	BRASA	wold	FATHOM	-
briya	bɾija	BRIYA	wold	8-99948	-
