Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
akakar	akakar	AKAKAR	abvd	ROOT	abvd_115_root_37
akdoko	akdoko	AKDOKO	abvd	KILL	-
akə	akə	AKE	abvd	BAD OR EVIL	abvd_165_badevil_1
akəpi	akəpi	AKEPI	abvd	PATH OR ROAD	abvd_6_roadpath_68
alaviok	alaviok	ALABIOK	abvd	LONG	-
alir	alir	ALIR	abvd	FLOW	abvd_123_toflow_24
aru	aru	ARU	abvd	ROPE	abvd_65_rope_2
ava	ava	ABA	abvd	MOUTH	abvd_30_mouth_36
aval	aval	ABAL	abvd	FOG	abvd_132_fog_56
ba	ba	BA	abvd	THAT	-
bakut	bakut	BAKUT	abvd	SKY	abvd_128_sky_30
bala-	bala	BALA	abvd	BELLY	abvd_14_belly_18
bare	bare	BARE	abvd	FRUIT	-
bata	bata	BATA	abvd	RAIN (PRECIPITATION)	abvd_133_rain_8
bi	bi	BI	abvd	THIS	-
bibia	bibia	BIBIA	abvd	WING	abvd_100_wing_34
bir	bir	BIR	abvd	SCRATCH	-
birə	birə	BIRE	abvd	FAT (ORGANIC SUBSTANCE)	-
bo	bo	BO	abvd	SEE	abvd_46_tosee_63
buibui	buibui	BUIBUI	abvd	WET	abvd_141_wet_109
bulbul	bulbul	BULBUL	abvd	BLUNT	abvd_82_dullblunt_6
buri	buri	BURI	abvd	CUT OR HACK	-
burut	burut	BURUT	abvd	FEAR (BE AFRAID)	abvd_22_tofear_28
bəla-	bəla	BELA	abvd	IN	abvd_174_ininside_62
bəne	bəne	BENE	abvd	BELOW OR UNDER	abvd_176_below_41
dadaip	dadaip	DADAIP	abvd	WIND	abvd_136_wind_70
dat	dat	DAT	abvd	WE	-
diet	diet	DIET	abvd	THEY	abvd_187_they_25
dodo	dodo	DODO	abvd	LEAF	abvd_114_leaf_1
dumaruki	dumaruki	DUMARUKI	abvd	SUCK	-
durdur	durdur	DURDUR	abvd	DIRTY	abvd_10_dirty_68
gaga	gaga	GAGA	abvd	SHOULDER	-
gap	gap	GAP	abvd	BLOOD	abvd_23_blood_5
gar	gar	GAR	abvd	SPIT	abvd_36_tospit_117
goi	goi	GOI	abvd	STAB	abvd_71_tostabpierce_50
i	i	I	abvd	HE OR SHE	abvd_184_heshe_1
ia	ia	IA	abvd	NAME	abvd_63_name_66
ian	ian	IAN	abvd	FISH	abvd_111_fish_1
iap	iap	IAP	abvd	COME	-
inangə	inangə	INANGE	abvd	ABOVE	-
inep	inep	INEP	abvd	SLEEP	abvd_48_tosleep_8
inim	inim	INIM	abvd	DRINK	abvd_40_todrink_1
inəu	inəu	INEU	abvd	I	abvd_182_i_1
ipi	ipi	IPI	abvd	BLOW (OF WIND)	abvd_137_toblow_5
iŋit	iit	IIT	abvd	SEW	abvd_67_tosew_43
ka	ka	KA	abvd	CLIMB	-
kabaŋ	kaba	KABA	abvd	WHITE	-
kaboro	kaboro	KABORO	abvd	NECK	abvd_25_neck_129
kabu	kabu	KABU	abvd	DUST	abvd_11_dust_22
kabulak	kabulak	KABULAK	abvd	SPIDER	abvd_110_spider_28
kaki	kaki	KAKI	abvd	FOOT OR LEG	abvd_4_legfoot_1
kalaŋ	kala	KALA	abvd	MOON	abvd_129_moon_26
kalolo	kalolo	KALOLO	abvd	WORM	abvd_107_wormearthworm_39
kamen	kamen	KAMEN	abvd	SHARP	-
karme	karme	KARME	abvd	TONGUE	abvd_32_tongue_7
ki	ki	KI	abvd	SIT	abvd_51_tosit_20
kiau	kiau	KIAU	abvd	EGG	abvd_98_egg_31
kil	kil	KIL	abvd	DIG	abvd_90_todig_1
kip	kip	KIP	abvd	BUY	-
koi	koi	KOI	abvd	GOOD	-
kukul	kukul	KUKUL	abvd	BUY	abvd_91_tobuy_15
kukuri	kukuri	KUKURI	abvd	SHORT	abvd_154_short_13
kup	kup	KUP	abvd	FIRE	-
kurə	kurə	KURE	abvd	THATCH OR ROOF	-
kəməngong	kəməngong	KEMENGONG	abvd	FLESH OR MEAT	-
kəopə	kəopə	KEOPE	abvd	RAT	abvd_102_rat_3
kəti	kəti	KETI	abvd	LIVER	abvd_17_liver_1
lako	lako	LAKO	abvd	TOOTH	abvd_31_tooth_64
lakor	lakor	LAKOR	abvd	FOREST	abvd_127_woodsforest_46
lakua	lakua	LAKUA	abvd	FEATHER	abvd_99_feather_53
leve	leve	LEBE	abvd	HUNT	-
lima	lima	LIMA	abvd	HAND	abvd_1_hand_1
limut	limut	LIMUT	abvd	GREEN	abvd_151_green_76
lodadaip	lodadaip	LODADAIP	abvd	BREATHE	-
lolo	lolo	LOLO	abvd	INTESTINES	-
lori	lori	LORI	abvd	HEAD	-
luluk	luluk	LULUK	abvd	COUNT	-
luŋi	lui	LUI	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_29
ləlaun	ləlaun	LELAUN	abvd	BE ALIVE	abvd_76_tolivebealive_31
