Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
aasoetu	aasoetu	AASOETU	abvd	HUNDRED	-
ahu	ahu	AHU	abvd	DOG	abvd_96_dog_1
ama	ama	AMA	abvd	FATHER	abvd_60_father_1
ana	ana	ANA	abvd	CHILD	abvd_56_child_1
analaki	analaki	ANALAKI	abvd	MALE PERSON	-
anaβula	anaula	ANAULA	abvd	STAR	-
api	api	API	abvd	FIRE	abvd_143_fire_1
asosoβu	asosou	ASOSOU	abvd	THOUSAND	-
asoʔetu	asoʔetu	ASOHETU	abvd	HUNDRED	-
ate	ate	ATE	abvd	LIVER	abvd_17_liver_1
aŋi	ai	AI	abvd	WIND	abvd_136_wind_1
aβu	au	AU	abvd	ASH	abvd_146_ashes_1
beli	beli	BELI	abvd	BLOOD	-
biri	biri	BIRI	abvd	EAR	abvd_43_ear_26
buŋa	bua	BUA	abvd	FLOWER	abvd_116_flower_1
elo	elo	ELO	abvd	TONGUE	abvd_32_tongue_4
epe	epe	EPE	abvd	LAKE	-
haka	haka	HAKA	abvd	ROOT	abvd_115_root_2
hao	hao	HAO	abvd	WHAT	-
hau	hau	HAU	abvd	ROOT	-
hoalu	hoalu	HOALU	abvd	EIGHT	-
holiligoro	holiligoro	HOLILIGORO	abvd	STAND	-
honeʔe	honeʔe	HONEHE	abvd	THIS	-
hopulo	hopulo	HOPULO	abvd	TEN	-
horaʔa	horaʔa	HORAHA	abvd	THAT	-
i tondo	itondo	ITONDO	abvd	BELOW OR UNDER	-
i tōdo	itdo	ITDO	abvd	BELOW OR UNDER	-
i βaβo	iao	IAO	abvd	ABOVE	abvd_175_above_2
iee	iee	IEE	abvd	HE OR SHE	-
iku	iku	IKU	abvd	TAIL	abvd_105_tail_13
ina	ina	INA	abvd	MOTHER	abvd_59_mother_1
inai	inai	INAI	abvd	WHO	abvd_189_who_1
inaku	inaku	INAKU	abvd	I	-
ineʔe	ineʔe	INEHE	abvd	THIS	-
inoʔohe	inoʔohe	INOHOHE	abvd	NO OR NOT	-
iro	iro	IRO	abvd	THEY	abvd_187_they_1
iroʔo	iroʔo	IROHO	abvd	THEY	-
iroβai	iroai	IROAI	abvd	FEMALE PERSON	-
ituʔu	ituʔu	ITUHU	abvd	THAT	-
iŋgami	igami	IGAMI	abvd	WE	-
iŋgito	igito	IGITO	abvd	WE	-
iŋgomai	igomai	IGOMAI	abvd	WE	-
iŋgoo	igoo	IGOO	abvd	THOU	-
iŋgoʔo	igoʔo	IGOHO	abvd	THOU	-
iβoi	ioi	IOI	abvd	WATER	-
kae	kae	KAE	abvd	HAND	abvd_1_hand_36
kare	kare	KARE	abvd	FOOT OR LEG	abvd_4_legfoot_49
kasu	kasu	KASU	abvd	STICK	-
korerehu	korerehu	KOREREHU	abvd	SIT	-
kororo	kororo	KORORO	abvd	ROPE	-
korosi	korosi	KOROSI	abvd	SMALL	-
