Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
abadént	abadɛnt	ABADENT	wikipron	-	-
abuși	abuzi	ABUSI	wikipron	-	-
abușêda	abuzeda	ABUSEDA	wikipron	-	-
abușêdi	abuzedi	ABUSEDI	wikipron	-	-
abușìva	abuziva	ABUSIBA	wikipron	-	-
abușìvi	abuzivi	ABUSIBI	wikipron	-	-
abëj	abei̯	ABEI	wikipron	-	-
académica	acadɛmica	AKADEMIKA	wikipron	-	-
académici	acadɛmit͡ʃi	AKADEMISI	wikipron	-	-
acv	acv	AKB	wikipron	-	-
acùta	acuta	AKUTA	wikipron	-	-
acùti	acuti	AKUTI	wikipron	-	-
adrizêr	adrit͡sɛ	ADRISE	wikipron	-	-
adruvêr	adruvɛ	ADRUBE	wikipron	-	-
adubêr	adubɛ	ADUBE	wikipron	-	-
aducêr	adut͡ʃɛ	ADUSE	wikipron	-	-
alẓir	alðir	ALDIR	wikipron	-	-
anàdar	anadar	ANADAR	wikipron	-	-
anèl	anel	ANEL	wikipron	-	-
aquasénta	aku̯asɛnta	AKUASENTA	wikipron	-	-
archeològica	arceo̯lod͡ʒica	ARKEOLOSIKA	wikipron	-	-
archeològici	arceo̯lod͡ʒit͡ʃi	ARKEOLOSISI	wikipron	-	-
archeológic	arceo̯lɔd͡ʒic	ARKEOLOSIK	wikipron	-	-
artóc	artɔc	ARTOK	wikipron	-	-
aspèt	azpet	ASPET	wikipron	-	-
avidrêda	avidreda	ABIDREDA	wikipron	-	-
avidrêdi	avidredi	ABIDREDI	wikipron	-	-
babilâna	babilãna	BABILNA	wikipron	-	-
babilâni	babilãni	BABILNI	wikipron	-	-
babilén	babilɛn	BABILEN	wikipron	-	-
badêr	badẽr	BADR	wikipron	-	-
balén	balɛn	BALEN	wikipron	-	-
bravùr	bravur	BRABUR	wikipron	-	-
brilêr	briler	BRILER	wikipron	-	-
bur	buːr	BUR	wikipron	-	-
bus	bus	BUS	wikipron	-	-
bérc	bɛrc	BERK	wikipron	-	-
cabréd	cabrɛd	KABRED	wikipron	-	-
cacào	cacao̯	KAKAO	wikipron	-	-
cadén	cadɛn	KADEN	wikipron	-	-
cadér	kader	KADER	wikipron	-	-
cadìn	cadin	KADIN	wikipron	-	-
cafeìn	cafein	KAPEIN	wikipron	-	-
calur	calur	KALUR	wikipron	-	-
calurôșa	caluroza	KALUROSA	wikipron	-	-
calurôși	calurozi	KALUROSI	wikipron	-	-
camsãnt	kamsə̃nt	KAMSENT	wikipron	-	-
cativ	kativ	KATIB	wikipron	-	-
cativēria	kativeerja	KATIBEERYA	wikipron	-	-
cativēria	kativerja	KATIBERYA	wikipron	-	-
cautēla	kawteela	KAWTEELA	wikipron	-	-
cautēla	kawtela	KAWTELA	wikipron	-	-
cavērna	kaverna	KABERNA	wikipron	-	-
cazadùr	cat͡sadur	KASADUR	wikipron	-	-
censur	t͡ʃensur	SENSUR	wikipron	-	-
chén	cɛn	KEN	wikipron	-	-
chêrtacarbun	certacarbun	KERTAKARBUN	wikipron	-	-
chëc	cec	KEK	wikipron	-	-
chëliz	celit͡s	KELIS	wikipron	-	-
cróṡ	kɾoːz	KROS	wikipron	-	-
cud	cud	KUD	wikipron	-	-
curdêr	kurdeə	KURDEE	wikipron	-	-
curdêr	kurdeər	KURDEER	wikipron	-	-
curdêr	kuurdeə	KUURDEE	wikipron	-	-
curidôr	curidõr	KURIDR	wikipron	-	-
curidùr	curidur	KURIDUR	wikipron	-	-
cușum	cuzum	KUSUM	wikipron	-	-
càchi	caci	KAKI	wikipron	-	-
càliz	calit͡s	KALIS	wikipron	-	-
càza	cat͡sa	KASA	wikipron	-	-
câmpsânt	cãpsãt	KPST	wikipron	-	-
câna	cãna	KNA	wikipron	-	-
cêv	t͡ʃeə̯v	SEEB	wikipron	-	-
cósta	cɔsta	KOSTA	wikipron	-	-
cóstla	cɔstla	KOSTLA	wikipron	-	-
cöșum	cozum	KOSUM	wikipron	-	-
cùra	cura	KURA	wikipron	-	-
dabàs	dabas	DABAS	wikipron	-	-
Dalmàzia	dalmat͡sia̯	DALMASIA	wikipron	-	-
Dalmêzia	dalmet͡sia	DALMESIA	wikipron	-	-
decapitêr	dekapiteə	DEKAPITEE	wikipron	-	-
decapitêr	dekapiteər	DEKAPITEER	wikipron	-	-
drizêr	drit͡sɛ	DRISE	wikipron	-	-
druvêr	druvɛ	DRUBE	wikipron	-	-
dubadôr	dubadɔr	DUBADOR	wikipron	-	-
ducêr	adut͡ʃɛ	ADUSE	wikipron	-	-
dêd	ded	DED	wikipron	-	-
ematòma	ematoma	EMATOMA	wikipron	-	-
ematóm	ematɔm	EMATOM	wikipron	-	-
ematùri	ematuri	EMATURI	wikipron	-	-
ematùria	ematuria̯	EMATURIA	wikipron	-	-
emblemàtic	emblematic	EMBLEMATIK	wikipron	-	-
emblemàtica	emblematica	EMBLEMATIKA	wikipron	-	-
emblemàtici	emblematit͡ʃi	EMBLEMATISI	wikipron	-	-
emblemëtic	emblemetic	EMBLEMETIK	wikipron	-	-
emblim	emblim	EMBLIM	wikipron	-	-
embléma	emblɛm	EMBLEM	wikipron	-	-
embriun	embriun	EMBRIUN	wikipron	-	-
embriunél	embriu̯nɛl	EMBRIUNEL	wikipron	-	-
embriunêl	embriu̯nel	EMBRIUNEL	wikipron	-	-
embriunêla	embriu̯nela	EMBRIUNELA	wikipron	-	-
embriunêli	embriu̯neli	EMBRIUNELI	wikipron	-	-
embriôn	embriõn	EMBRIN	wikipron	-	-
embulèja	embuleʝa	EMBULEGA	wikipron	-	-
embuléj	embulɛʝ	EMBULEG	wikipron	-	-
embulì	embuli	EMBULI	wikipron	-	-
emendamént	emendamɛnt	EMENDAMENT	wikipron	-	-
emendaziôn	emendat͡siõn	EMENDASIN	wikipron	-	-
emendàbil	emendabil	EMENDABIL	wikipron	-	-
emendàbila	emendabila	EMENDABILA	wikipron	-	-
emendàbili	emendabili	EMENDABILI	wikipron	-	-
emendëbil	emendebil	EMENDEBIL	wikipron	-	-
emergint	emerd͡ʒint	EMERSINT	wikipron	-	-
emerginz	emerd͡ʒint͡s	EMERSINS	wikipron	-	-
