Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-garagar	garagar	GARAGAR	abvd	SCRATCH	abvd_77_toscratch_12
-kas	kas	KAS	abvd	BITE	abvd_41_tobite_1
-kuᵐbux	kubux	KUBUK	abvd	THROW	abvd_94_tothrow_84
-leles	leles	LELES	abvd	SWIM	abvd_9_toswim_8
-leŋ	le	LE	abvd	WALK	abvd_5_towalk_60
-lis	lis	LIS	abvd	SEE	abvd_46_tosee_14
-lualu	lualu	LUALU	abvd	VOMIT	abvd_35_tovomit_8
-mas	mas	MAS	abvd	BE DEAD OR DIE	abvd_75_todiebedead_1
-maur	maur	MAUR	abvd	BE ALIVE	abvd_76_tolivebealive_1
-melah	melah	MELAH	abvd	HUNT	-
-memsir	memsir	MEMSIR	abvd	SPIT	abvd_36_tospit_42
-metak	metak	METAK	abvd	FEAR (BE AFRAID)	abvd_22_tofear_1
-mun	mun	MUN	abvd	DRINK	abvd_40_todrink_1
-mæra	mra	MRA	abvd	FLY (MOVE THROUGH AIR)	abvd_101_tofly_27
-mʷanamʷan	manaman	MANAMAN	abvd	LIE DOWN	abvd_49_toliedown_15
-mʷen	men	MEN	abvd	SLEEP	abvd_48_tosleep_19
-nenaβok	nenaok	NENAOK	abvd	THINK	abvd_21_tothink_16?
-reŋ	re	RE	abvd	HEAR	abvd_44_tohear_1
-reβüs	res	RES	abvd	HIT	abvd_72_tohit_86
-reβüsi-mas	resimas	RESIMAS	abvd	KILL	abvd_74_tokill_74
-rokiau	rokiau	ROKIAU	abvd	FALL	abvd_95_tofall_95
-roŋ-noᵐbui	ronobui	RONOBUI	abvd	SMELL (PERCEIVE)	abvd_29_tosniffsmell_42
-sa	sa	SA	abvd	STAB	abvd_71_tostabpierce_14
-sil	sil	SIL	abvd	BURN	abvd_144_toburn_4
-soᵐbsoᵐb	sobsob	SOBSOB	abvd	SIT	abvd_51_tosit_40
-sua	sua	SUA	abvd	COUNT	-
-səru	səru	SERU	abvd	SUCK	abvd_42_tosuck_60
-tautau	tautau	TAUTAU	abvd	EAT	abvd_37_toeat_45
-tekᵐbʷare	tekbare	TEKBARE	abvd	SPLIT	abvd_80_tosplit_1
-tetaβ	teta	TETA	abvd	FLOW	abvd_123_toflow_10
-ti	ti	TI	abvd	CUT OR HACK	abvd_78_tocuthack_1
-totower	totower	TOTOWER	abvd	STAND	abvd_52_tostand_2
-tuβau	tuau	TUAU	abvd	FASTEN	abvd_66_totieupfasten_102
-uβ	u	U	abvd	BLOW (OF WIND)	abvd_137_toblow_4
-weret	weret	WERET	abvd	CRY	abvd_34_tocry_61
-yeule	yeule	UEULE	abvd	SAY	-
-ŋaβaŋaβ	aaa	AAA	abvd	BREATHE	abvd_28_tobreathe_69
-ɣil	ɣil	GIL	abvd	DIG	abvd_90_todig_1
-βisŋal	isal	ISAL	abvd	LAUGH	abvd_33_tolaugh_84
-βul	ul	UL	abvd	COME	abvd_7_tocome_25
-βuruⁿdau	urudau	URUDAU	abvd	HOLD	abvd_89_tohold_34
-βusβus	usus	USUS	abvd	SQUEEZE	abvd_88_tosqueeze_18
-ᵐbunas	bunas	BUNAS	abvd	SEW	-
-ⁿdʳaᵑgəle	dagəle	DAGELE	abvd	KNOW (SOMETHING)	abvd_20_toknowbeknowledgeable_19
-ⁿdʳiau	diau	DIAU	abvd	TURN	abvd_8_toturn_34
aⁿdar	adar	ADAR	abvd	WE	-
aⁿde	ade	ADE	abvd	MOTHER	abvd_59_mother_17
ei	ei	EI	abvd	HE OR SHE	abvd_184_heshe_1
i-leᵐb	ileb	ILEB	abvd	FAT (ORGANIC SUBSTANCE)	abvd_104_fatgrease_78
i-loᵐb	ilob	ILOB	abvd	WET	abvd_141_wet_85
i-ləme	iləme	ILEME	abvd	FIVE	abvd_201_five_1
i-miel	imiel	IMIEL	abvd	RED	abvd_149_red_1
i-neᵐb	ineb	INEB	abvd	HEAVY	abvd_142_heavy_71
i-rikᵐboi	irikboi	IRIKBOI	abvd	SMALL	abvd_152_small_66
i-rue	irue	IRUE	abvd	TWO	abvd_198_two_1
i-saᵐb	isab	ISAB	abvd	BAD OR EVIL	abvd_165_badevil_41
i-til	itil	ITIL	abvd	THREE	abvd_199_three_1
i-tuatuai	ituatuai	ITUATUAI	abvd	OLD	abvd_162_old_1
i-ŋet	iet	IET	abvd	ROTTEN	abvd_112_rotten_93
i-βas	ias	IAS	abvd	FOUR	abvd_200_four_1
i-βiten	iiten	IITEN	abvd	DIRTY	abvd_10_dirty_127
i-βoi	ioi	IOI	abvd	GOOD	abvd_164_good_108
i-βoisiᵑk	ioisik	IOISIK	abvd	COOK (SOMETHING)	abvd_39_tocook_87
i-βoβ	io	IO	abvd	WHITE	abvd_148_white_101
i-βæβeu	ieu	IEU	abvd	NEW	abvd_163_new_1
i-ᵐberaβ	ibera	IBERA	abvd	LONG	abvd_155_long_16
i-ᵑgelet	igelet	IGELET	abvd	PAINFUL OR SICK	abvd_160_painfulsick_94
iasaβa	iasaa	IASAA	abvd	HOW	abvd_194_how_58
ila-βas	ilaas	ILAAS	abvd	NINE	abvd_205_nine_20
iose	iose	IOSE	abvd	WHERE	abvd_181_where_34
isua	isua	ISUA	abvd	ONE	abvd_197_one_5
kælaᵑkæl	klakl	KLAKL	abvd	NARROW	abvd_158_narrow_61
laŋaβül	laal	LAAL	abvd	TEN	abvd_206_ten_5
laβuɣet	lauɣet	LAUGET	abvd	NIGHT	abvd_167_night_42
laᵑga-ᵐbuas	lagabuas	LAGABUAS	abvd	FLESH OR MEAT	abvd_103_meatflesh_15
loβ-til	lotil	LOTIL	abvd	EIGHT	abvd_204_eight_5
loβə-rue	loərue	LOERUE	abvd	SEVEN	abvd_203_seven_13
loβəsua	loəsua	LOESUA	abvd	SIX	abvd_202_six_33
