Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
acats	akat͡s	AKAS	wikipron	-	-
acatsu	akat͡sʷ	AKAS	wikipron	-	-
alavdu	alavdu	ALABDU	wikipron	-	-
albu	albu	ALBU	wikipron	-	-
alumtu	alumtu	ALUMTU	wikipron	-	-
ambratsu	ambrat͡sʷ	AMBRAS	wikipron	-	-
ambrãtsishedz	ambrət͡siʃed͡z	AMBRESISES	wikipron	-	-
ambrãtsishedz	ambrɨt͡siʃed͡z	AMBRISISES	wikipron	-	-
ambrãtsitedz	ambrət͡sited͡z	AMBRESITES	wikipron	-	-
ambrãtsitedz	ambrɨt͡sited͡z	AMBRISITES	wikipron	-	-
amintu	amintu	AMINTU	wikipron	-	-
amiridz	amirid͡z	AMIRIS	wikipron	-	-
amiridzu	amirid͡zʷ	AMIRIS	wikipron	-	-
amãrtii	amərtij	AMERTIY	wikipron	-	-
amãrtii	amɨrtij	AMIRTIY	wikipron	-	-
an	an	AN	wikipron	-	-
andamusi	andamusi	ANDAMUSI	wikipron	-	-
anyedz	anɣed͡z	ANGES	wikipron	-	-
aoa	ao̯a	AOA	wikipron	-	-
ape	ape	APE	wikipron	-	-
apã	apə	APE	wikipron	-	-
apã	apɨ	API	wikipron	-	-
aravdu	aravdu	ARABDU	wikipron	-	-
arcoatã	arko̯atə	ARKOATE	wikipron	-	-
arcoatã	arko̯atɨ	ARKOATI	wikipron	-	-
arnedz	arned͡z	ARNES	wikipron	-	-
aroata	aro̯ata	AROATA	wikipron	-	-
aroate	aro̯ate	AROATE	wikipron	-	-
aroateljei	aro̯ateʎej	AROATEEY	wikipron	-	-
aroatelor	aro̯atelor	AROATELOR	wikipron	-	-
aroati	aro̯ati	AROATI	wikipron	-	-
aroatile	aro̯atile	AROATILE	wikipron	-	-
aroatili	aro̯atili	AROATILI	wikipron	-	-
aroatiljei	aro̯atiʎej	AROATIEY	wikipron	-	-
aroatilor	aro̯atilor	AROATILOR	wikipron	-	-
aroatã	aro̯atə	AROATE	wikipron	-	-
aroatã	aro̯atɨ	AROATI	wikipron	-	-
aroatãljei	aro̯atəʎej	AROATEEY	wikipron	-	-
aroatãljei	aro̯atɨʎej	AROATIEY	wikipron	-	-
aruc	aruk	ARUK	wikipron	-	-
arucu	arukʷ	ARUK	wikipron	-	-
arãcoatã	arəko̯atə	AREKOATE	wikipron	-	-
arãcoatã	arəko̯atɨ	AREKOATI	wikipron	-	-
arãcoatã	arɨko̯atə	ARIKOATE	wikipron	-	-
arãcoatã	arɨko̯atɨ	ARIKOATI	wikipron	-	-
arãstornu	arəstornu	ARESTORNU	wikipron	-	-
aua	awa	AWA	wikipron	-	-
bardzu	bardzu	BARDSU	wikipron	-	-
buf	buf	BUP	wikipron	-	-
bufu	bufʷ	BUP	wikipron	-	-
bufã	bufə	BUPE	wikipron	-	-
bufã	bufɨ	BUPI	wikipron	-	-
buhã	buhə	BUHE	wikipron	-	-
buhã	buhɨ	BUHI	wikipron	-	-
chentru	kentru	KENTRU	wikipron	-	-
chicu	kikʷ	KIK	wikipron	-	-
chimã	kimə	KIME	wikipron	-	-
chimã	kimɨ	KIMI	wikipron	-	-
crescu	kresku	KRESKU	wikipron	-	-
crest	krest	KREST	wikipron	-	-
crivati	kɾivati	KRIBATI	wikipron	-	-
crãshtin	krəʃtin	KRESTIN	wikipron	-	-
crãshtin	krɨʃtin	KRISTIN	wikipron	-	-
cumnat	kumnat	KUMNAT	wikipron	-	-
cãntu	kəntu	KENTU	wikipron	-	-
cãntu	kɨntu	KINTU	wikipron	-	-
cãntãtor	kəntətor	KENTETOR	wikipron	-	-
cãntãtor	kəntɨtor	KENTITOR	wikipron	-	-
cãntãtor	kɨntətor	KINTETOR	wikipron	-	-
cãntãtor	kɨntɨtor	KINTITOR	wikipron	-	-
cãntãtoru	kəntətorʷ	KENTETOR	wikipron	-	-
cãntãtoru	kəntɨtorʷ	KENTITOR	wikipron	-	-
cãntãtoru	kɨntətorʷ	KINTETOR	wikipron	-	-
cãntãtoru	kɨntɨtorʷ	KINTITOR	wikipron	-	-
dadã	dadə	DADE	wikipron	-	-
dadã	dadɨ	DADI	wikipron	-	-
derã	derə	DERE	wikipron	-	-
derã	derɨ	DERI	wikipron	-	-
dhixescu	ðiksesku	DIKSESKU	wikipron	-	-
dhuchimãsescu	ðukiməsesku	DUKIMESESKU	wikipron	-	-
dhuchimãsescu	ðukimɨsesku	DUKIMISESKU	wikipron	-	-
discãntu	diskəntu	DISKENTU	wikipron	-	-
discãntu	diskɨntu	DISKINTU	wikipron	-	-
dixescu	diksesku	DIKSESKU	wikipron	-	-
doamnã	do̯amnə	DOAMNE	wikipron	-	-
doamnã	do̯amnɨ	DOAMNI	wikipron	-	-
dodã	dodə	DODE	wikipron	-	-
dodã	dodɨ	DODI	wikipron	-	-
Domnu	domnu	DOMNU	wikipron	-	-
duchimãsescu	dukiməsesku	DUKIMESESKU	wikipron	-	-
duchimãsescu	dukimɨsesku	DUKIMISESKU	wikipron	-	-
dushmanu	duʃmanu	DUSMANU	wikipron	-	-
dzinire	d͡zinire	SINIRE	wikipron	-	-
dziniri	d͡ziniri	SINIRI	wikipron	-	-
dzuuã	d͡zuwə	SUWE	wikipron	-	-
dzuuã	d͡zuwɨ	SUWI	wikipron	-	-
dzuã	d͡zuə	SUE	wikipron	-	-
dzuã	d͡zuɨ	SUI	wikipron	-	-
dzã	d͡zə	SE	wikipron	-	-
dzã	d͡zɨ	SI	wikipron	-	-
dzãuã	d͡zəwə	SEWE	wikipron	-	-
dzãuã	d͡zəwɨ	SEWI	wikipron	-	-
dzãuã	d͡zɨwə	SIWE	wikipron	-	-
dzãuã	d͡zɨwɨ	SIWI	wikipron	-	-
dãmar	dəmar	DEMAR	wikipron	-	-
dãmar	dɨmar	DIMAR	wikipron	-	-
educatsie	edukatsie	EDUKATSIE	wikipron	-	-
fanara	fanara	PANARA	wikipron	-	-
featã	fe̯atə	PEATE	wikipron	-	-
featã	fe̯atɨ	PEATI	wikipron	-	-
frate	frate	PRATE	wikipron	-	-
ftohu	ftohʷ	PTOH	wikipron	-	-
furculitsã	furkulit͡sə	PURKULISE	wikipron	-	-
furnicã	furnikə	PURNIKE	wikipron	-	-
furnigã	furniɡə	PURNIGE	wikipron	-	-
ghine	ɣine	GINE	wikipron	-	-
ghini	ɡini	GINI	wikipron	-	-
gãleatã	ɡəle̯atə	GELEATE	wikipron	-	-
gãleatã	ɡəle̯atɨ	GELEATI	wikipron	-	-
gãleatã	ɡɨle̯atə	GILEATE	wikipron	-	-
gãleatã	ɡɨle̯atɨ	GILEATI	wikipron	-	-
inimã	inimə	INIME	wikipron	-	-
lavdu	lavdu	LABDU	wikipron	-	-
limba	limba	LIMBA	wikipron	-	-
limbã	limbə	LIMBE	wikipron	-	-
limbã	limbɨ	LIMBI	wikipron	-	-
lunjinã	luɲinə	LUNINE	wikipron	-	-
lunjinã	luɲinɨ	LUNINI	wikipron	-	-
lunã	lunə	LUNE	wikipron	-	-
lunã	lunɨ	LUNI	wikipron	-	-
mielmã	mjelmə	MYELME	wikipron	-	-
mielmã	mjelmɨ	MYELMI	wikipron	-	-
milanculii	milankulij	MILANKULIY	wikipron	-	-
minutã	minutə	MINUTE	wikipron	-	-
minutã	minutɨ	MINUTI	wikipron	-	-
mirizedz	mirized͡z	MIRISES	wikipron	-	-
mãnushe	mɨnuʃe	MINUSE	wikipron	-	-
namisa	namisa	NAMISA	wikipron	-	-
njiridzu	ɲirid͡zʷ	NIRIS	wikipron	-	-
ofitsial	ofit͡sial	OPISIAL	wikipron	-	-
om	om	OM	wikipron	-	-
patru	patru	PATRU	wikipron	-	-
patur	patur	PATUR	wikipron	-	-
polim	polim	POLIM	wikipron	-	-
pãrãvulii	pərəvulij	PEREBULIY	wikipron	-	-
pãrãvulii	pərɨvulij	PERIBULIY	wikipron	-	-
pãrãvulii	pɨrəvulij	PIREBULIY	wikipron	-	-
pãrãvulii	pɨrɨvulij	PIRIBULIY	wikipron	-	-
revistã	revistə	REBISTE	wikipron	-	-
rivistã	rivistə	RIBISTE	wikipron	-	-
roatã	ro̯atə	ROATE	wikipron	-	-
roatã	ro̯atɨ	ROATI	wikipron	-	-
sendzi	sendʒi	SENDSI	wikipron	-	-
shi	ʃi	SI	wikipron	-	-
sutã	sutə	SUTE	wikipron	-	-
sutã	sutɨ	SUTI	wikipron	-	-
sãndze	sɨndʒe	SINDSE	wikipron	-	-
sãndzi	sɨndʒi	SINDSI	wikipron	-	-
sãrmu	sɨrmu	SIRMU	wikipron	-	-
sãrmã	sərmɨ	SERMI	wikipron	-	-
sãrmã	sɨrmə	SIRME	wikipron	-	-
tora	tora	TORA	wikipron	-	-
tsendu	t͡sendu	SENDU	wikipron	-	-
tsentru	t͡sentɾu	SENTRU	wikipron	-	-
tsentu	t͡sentu	SENTU	wikipron	-	-
tser	t͡ser	SER	wikipron	-	-
tãxescu	təksesku	TEKSESKU	wikipron	-	-
tãxescu	tɨksesku	TIKSESKU	wikipron	-	-
undã	undə	UNDE	wikipron	-	-
undã	undɨ	UNDI	wikipron	-	-
unã	unə	UNE	wikipron	-	-
unã	unɨ	UNI	wikipron	-	-
vale	vale	BALE	wikipron	-	-
vromi	vromi	BROMI	wikipron	-	-
yinghits	ʝiŋʲɡʲit͡sʲ	GINGIS	wikipron	-	-
