Word	IPA	SCA	Source	Concept_ID	Cognate_Set_ID
-ɣa	ɣa	GA	northeuralex	BELOW OR UNDER	-
abaɣa	abaɣa	ABAGA	northeuralex	UNCLE	-
abɯɾaxtaː	abɯɾaxtaː	ABURAKTA	northeuralex	REPAIR	-
acːaː	acːaː	AKA	northeuralex	DECREASE	-
acːɯk	acːɯk	AKUK	northeuralex	BE HUNGRY	-
ahat	ahat	AHAT	northeuralex	FEED	-
ahaɣas	ahaɣas	AHAGAS	northeuralex	OPEN (STATE)	-
ahaː	ahaː	AHA	northeuralex	EAT	-
ahɯlɯk	ahɯlɯk	AHULUK	northeuralex	MEAL	-
ahɯː	ahɯː	AHU	northeuralex	BITTER	-
ajanːaː	ajanːaː	AYANA	northeuralex	DRIVE	-
ajax	ajax	AYAK	northeuralex	MOUTH	-
ajdaːn	ajdaːn	AYDAN	northeuralex	NOISE	-
ajɡɯɾat	ajgɯɾat	AYGURAT	northeuralex	TINKLE	-
ajɯː	ajɯː	AYU	northeuralex	SIN	-
akaːɾɯ	akaːɾɯ	AKARU	northeuralex	STUPID	-
albɯnːaː	albɯnːaː	ALBUNA	northeuralex	DECEIVE	-
alta	alta	ALTA	northeuralex	SIX	-
alta_u͡on	altauon	ALTAUON	northeuralex	SIXTY	-
altɯɲːɯ	altɯɲːɯ	ALTUNU	northeuralex	OCTOBER	-
alɟat	alɟat	ALGAT	northeuralex	DAMAGE	-
alɟaɾxaj	alɟaɾxaj	ALGARKAY	northeuralex	BAD LUCK	-
alɯhaɾ	alɯhaɾ	ALUHAR	northeuralex	PERCH (FISH)	-
alːaɾa	alːaɾa	ALARA	northeuralex	LOW	-
amsajan_køɾ	amsajankøɾ	AMSAYANKER	northeuralex	TASTE (SOMETHING)	-
amtan	amtan	AMTAN	northeuralex	TASTE	-
as	as	AS	northeuralex	FOOD	-
atas	atas	ATAS	northeuralex	COMPANION	-
atax	atax	ATAK	northeuralex	LEG	-
atɯlːaː	atɯlːaː	ATULA	northeuralex	STEP (VERB)	-
atɯn	atɯn	ATUN	northeuralex	FOREIGN	-
atɯɾɟax_ɯja	atɯɾɟaxɯja	ATURGAKUYA	northeuralex	AUGUST	-
atɯːlas	atɯːlas	ATULAS	northeuralex	BUY	-
atɯːlaː	atɯːlaː	ATULA	northeuralex	SELL	-
atːɯɡaɾ	atːɯgaɾ	ATUGAR	northeuralex	NEXT TO	-
axsaːn	axsaːn	AKSAN	northeuralex	COUNT (QUANTITY)	-
axsɯɲːɯ	axsɯɲːɯ	AKSUNU	northeuralex	DECEMBER	-
aŋaɾ	aŋaɾ	ANAR	northeuralex	HALF	-
aɣa	aɣa	AGA	northeuralex	FATHER	-
aɣa-ije	aɣaije	AGAIYE	northeuralex	PARENTS	-
aɣal	aɣal	AGAL	northeuralex	BRING	-
aɣas	aɣas	AGAS	northeuralex	SISTER	-
aɣɯn	aɣɯn	AGUN	northeuralex	REMEMBER	-
aɣɯs	aɣɯs	AGUS	northeuralex	EIGHT	-
aɣɯs_u͡on	aɣɯsuon	AGUSUON	northeuralex	EIGHTY	-
aɾaj_biːɾde	aɾajbiːɾde	ARAYBIRDE	northeuralex	ONCE (IN THE PAST)	-
aɾaŋacːɯlaː	aɾaŋacːɯlaː	ARANAKULA	northeuralex	927_guard	-
aɾaɣɯs	aɾaɣɯs	ARAGUS	northeuralex	SEPARATE	-
aɾaːs	aɾaːs	ARAS	northeuralex	DIFFERENT	-
aɾɣaː	aɾɣaː	ARGA	northeuralex	WEST	-
aɾɯt	aɾɯt	ARUT	northeuralex	GAP (DISTANCE)	-
aɾɯː	aɾɯː	ARU	northeuralex	ISLAND	-
aːl	aːl	AL	northeuralex	RUB	-
aːn	aːn	AN	northeuralex	DOOR	-
aːn_dojdu	aːndojdu	ANDOYDU	northeuralex	WORLD	-
aːs	aːs	AS	northeuralex	HUNGER	-
aːt	aːt	AT	northeuralex	NAME	-
aːtɯɾbɯt	aːtɯɾbɯt	ATURBUT	northeuralex	571_famous	-
aːtːaː	aːtːaː	ATA	northeuralex	CALL BY NAME	-
